circuit,compound,degree,fuel_slope_s_per_lap,fuel_slope_ci_low,fuel_slope_ci_high,n_laps,n_stints,deg_p1,deg_p1_ci_low,deg_p1_ci_high,deg_p2,deg_p2_ci_low,deg_p2_ci_high
monaco,HARD,2,-0.05255428997374323,-0.05618275390511354,-0.048925826042372916,3211,95,0.04742653998254198,0.03768681413433995,0.057166265830744016,-0.000497751191314233,-0.0006353894231659613,-0.00036011295946250456
monaco,MEDIUM,2,-0.05255428997374323,-0.05618275390511354,-0.048925826042372916,3211,95,0.06836091843059577,0.05630466793682034,0.08041716892437122,-0.0008896098553350384,-0.001081328338525271,-0.0006978913721448058
monaco,SOFT,2,-0.05255428997374323,-0.05618275390511354,-0.048925826042372916,3211,95,0.05209978647971658,-0.014878337963738608,0.11907791092317177,0.0007641057874288038,-0.0018327524542113512,0.0033609640290689588
singapore,HARD,1,-0.049835212696763165,-0.0522452909750158,-0.04742513441851053,3027,126,0.056808886877824705,0.05230008351732572,0.06131769023832369,,,
singapore,MEDIUM,1,-0.049835212696763165,-0.0522452909750158,-0.04742513441851053,3027,126,0.03931217801511755,0.0348882908924869,0.0437360651377482,,,
singapore,SOFT,1,-0.049835212696763165,-0.0522452909750158,-0.04742513441851053,3027,126,0.019486859340516638,0.010106947882193767,0.02886677079883951,,,
barcelona,HARD,2,-0.05697867573377913,-0.05832476356513886,-0.05563258790241939,3352,191,0.11111788686223356,0.09992739186552121,0.12230838185894591,-0.0014365251051731143,-0.001764437002474035,-0.0011086132078721935
barcelona,MEDIUM,2,-0.05697867573377913,-0.05832476356513886,-0.05563258790241939,3352,191,0.1118776254027054,0.09853244857580654,0.12522280222960427,-0.001556928030582494,-0.0020648856694651507,-0.001048970391699837
barcelona,SOFT,2,-0.05697867573377913,-0.05832476356513886,-0.05563258790241939,3352,191,0.08749490002972637,0.07198346483667824,0.10300633522277451,-0.00022721238688683254,-0.0009419079567608245,0.0004874831829871594
suzuka,HARD,2,-0.08111768635979555,-0.08331657588031886,-0.07891879683927223,2389,136,0.13098924678300305,0.11736917366561156,0.14460931990039455,-0.002031653807013978,-0.0024695313551553522,-0.0015937762588726031
suzuka,MEDIUM,2,-0.08111768635979555,-0.08331657588031886,-0.07891879683927223,2389,136,0.1185786661672319,0.10237537961795203,0.13478195271651175,-0.0016357824828094891,-0.0023197540012444076,-0.0009518109643745704
suzuka,SOFT,2,-0.08111768635979555,-0.08331657588031886,-0.07891879683927223,2389,136,0.07734772202467388,0.03839103348677952,0.11630441056256824,0.0016906211586790731,-0.0008594070383808826,0.004240649355739029
