series_code,year,event,circuit_name,session,session_id,car,class,driver_name,driver_id,lap,stint_number,stint_lap,lap_time,lap_time_s1,lap_time_s2,lap_time_s3,pit_time,flags,est_tire_age,air_temp_f,track_temp_f,humidity_percent,raining,race_duration_minutes
elms,2022,Monza,Autodromo Nazionale Monza,race,177,19,LMP2,Bent Viscaal,bent viscaal,1,1.0,0,108.279,35.876,37.303,35.1,,GF,0,32.82,48.7,37.23,False,242
elms,2022,Monza,Autodromo Nazionale Monza,race,177,19,LMP2,Bent Viscaal,bent viscaal,2,1.0,1,104.927,33.604,35.465,35.858,,GF,0,33.09,48.6,37.08,False,242
elms,2022,Monza,Autodromo Nazionale Monza,race,177,19,LMP2,Bent Viscaal,bent viscaal,3,1.0,2,102.813,33.125,35.567,34.121,,GF,1,33.7,48.5,35.84,False,242
elms,2022,Monza,Autodromo Nazionale Monza,race,177,19,LMP2,Bent Viscaal,bent viscaal,4,1.0,3,100.209,32.563,33.985,33.661,,GF,2,33.75,48.3,35.63,False,242
elms,2022,Monza,Autodromo Nazionale Monza,race,177,19,LMP2,Bent Viscaal,bent viscaal,5,1.0,4,100.604,32.735,33.971,33.898,,GF,3,33.89,48.2,35.62,False,242
elms,2022,Monza,Autodromo Nazionale Monza,race,177,19,LMP2,Bent Viscaal,bent viscaal,6,1.0,5,100.767,32.702,34.267,33.798,,GF,4,34.22,48.4,34.85,False,242
elms,2022,Monza,Autodromo Nazionale Monza,race,177,19,LMP2,Bent Viscaal,bent viscaal,7,1.0,6,100.402,32.736,34.02,33.646,,GF,5,33.98,48.3,35.22,False,242
elms,2022,Monza,Autodromo Nazionale Monza,race,177,19,LMP2,Bent Viscaal,bent viscaal,8,1.0,7,100.31,32.495,34.043,33.772,,GF,6,33.84,48.3,34.87,False,242
elms,2022,Monza,Autodromo Nazionale Monza,race,177,19,LMP2,Bent Viscaal,bent viscaal,9,1.0,8,103.718,32.748,35.701,35.269,,GF,7,34.32,48.4,34.7,False,242
elms,2022,Monza,Autodromo Nazionale Monza,race,177,19,LMP2,Bent Viscaal,bent viscaal,10,1.0,9,103.558,33.483,35.83,34.245,,SF,8,34.3,48.4,35.18,False,242
elms,2022,Monza,Autodromo Nazionale Monza,race,177,19,LMP2,Bent Viscaal,bent viscaal,11,1.0,10,189.832,41.072,66.937,81.823,,SF,8,34.75,48.9,34.09,False,242
elms,2022,Monza,Autodromo Nazionale Monza,race,177,19,LMP2,Bent Viscaal,bent viscaal,12,1.0,11,211.408,73.554,64.753,73.101,,SF,8,34.95,49.6,34.03,False,242
elms,2022,Monza,Autodromo Nazionale Monza,race,177,19,LMP2,Bent Viscaal,bent viscaal,13,1.0,12,177.33,57.065,58.488,61.777,,SF,8,35.19,49.7,34.54,False,242
elms,2022,Monza,Autodromo Nazionale Monza,race,177,19,LMP2,Bent Viscaal,bent viscaal,14,1.0,13,158.951,44.487,55.053,59.411,,GF,8,34.79,50.0,34.86,False,242
elms,2022,Monza,Autodromo Nazionale Monza,race,177,19,LMP2,Bent Viscaal,bent viscaal,15,1.0,14,103.62,33.533,35.884,34.203,,GF,9,34.69,49.7,34.81,False,242
elms,2022,Monza,Autodromo Nazionale Monza,race,177,19,LMP2,Bent Viscaal,bent viscaal,16,1.0,15,103.675,32.811,34.49,36.374,,SF,10,35.0,49.6,34.44,False,242
