series_code,year,event,circuit_name,session,session_id,car,class,driver_name,driver_id,lap,stint_number,stint_lap,lap_time,lap_time_s1,lap_time_s2,lap_time_s3,pit_time,flags,est_tire_age,air_temp_f,track_temp_f,humidity_percent,raining,race_duration_minutes
elms,2022,Paul Ricard,Circuit Paul Ricard,race,199,19,LMP2,Sophia FLÖRSCH,sophia floersch,1,1.0,0,111.21,35.028,27.968,48.214,,GF,0,,,,,243
elms,2022,Paul Ricard,Circuit Paul Ricard,race,199,19,LMP2,Sophia FLÖRSCH,sophia floersch,2,1.0,1,107.549,32.19,27.775,47.584,,GF,0,,,,,243
elms,2022,Paul Ricard,Circuit Paul Ricard,race,199,19,LMP2,Sophia FLÖRSCH,sophia floersch,3,1.0,2,121.172,31.53,27.795,61.847,,SF,1,,,,,243
elms,2022,Paul Ricard,Circuit Paul Ricard,race,199,19,LMP2,Sophia FLÖRSCH,sophia floersch,4,1.0,3,225.661,55.167,70.461,100.033,,SF,1,,,,,243
elms,2022,Paul Ricard,Circuit Paul Ricard,race,199,19,LMP2,Sophia FLÖRSCH,sophia floersch,5,1.0,4,147.901,41.474,38.069,68.358,,GF,1,,,,,243
elms,2022,Paul Ricard,Circuit Paul Ricard,race,199,19,LMP2,Sophia FLÖRSCH,sophia floersch,6,1.0,5,106.949,31.959,27.828,47.162,,GF,2,,,,,243
elms,2022,Paul Ricard,Circuit Paul Ricard,race,199,19,LMP2,Sophia FLÖRSCH,sophia floersch,7,1.0,6,106.372,31.729,27.658,46.985,,GF,3,,,,,243
elms,2022,Paul Ricard,Circuit Paul Ricard,race,199,19,LMP2,Sophia FLÖRSCH,sophia floersch,8,1.0,7,105.546,31.376,27.592,46.578,,GF,4,,,,,243
elms,2022,Paul Ricard,Circuit Paul Ricard,race,199,19,LMP2,Sophia FLÖRSCH,sophia floersch,9,1.0,8,105.977,31.42,27.712,46.845,,GF,5,,,,,243
elms,2022,Paul Ricard,Circuit Paul Ricard,race,199,19,LMP2,Sophia FLÖRSCH,sophia floersch,10,1.0,9,105.731,31.382,27.589,46.76,,GF,6,,,,,243
elms,2022,Paul Ricard,Circuit Paul Ricard,race,199,19,LMP2,Sophia FLÖRSCH,sophia floersch,11,1.0,10,107.927,31.343,27.674,48.91,,SF,7,,,,,243
elms,2022,Paul Ricard,Circuit Paul Ricard,race,199,19,LMP2,Sophia FLÖRSCH,sophia floersch,12,1.0,11,235.705,57.589,78.672,99.444,,SF,7,,,,,243
elms,2022,Paul Ricard,Circuit Paul Ricard,race,199,19,LMP2,Sophia FLÖRSCH,sophia floersch,13,1.0,12,197.05,56.773,58.187,82.09,,SF,7,,,,,243
elms,2022,Paul Ricard,Circuit Paul Ricard,race,199,19,LMP2,Sophia FLÖRSCH,sophia floersch,14,1.0,13,144.096,41.435,36.342,66.319,,GF,7,,,,,243
elms,2022,Paul Ricard,Circuit Paul Ricard,race,199,19,LMP2,Sophia FLÖRSCH,sophia floersch,15,1.0,14,106.1,31.544,27.805,46.751,,GF,8,,,,,243
elms,2022,Paul Ricard,Circuit Paul Ricard,race,199,19,LMP2,Sophia FLÖRSCH,sophia floersch,16,1.0,15,105.829,31.523,27.765,46.541,,GF,9,,,,,243
elms,2022,Paul Ricard,Circuit Paul Ricard,race,199,19,LMP2,Sophia FLÖRSCH,sophia floersch,17,1.0,16,105.693,31.349,27.741,46.603,,GF,10,,,,,243
