series_code,year,event,circuit_name,session,session_id,car,class,driver_name,driver_id,lap,stint_number,stint_lap,lap_time,lap_time_s1,lap_time_s2,lap_time_s3,pit_time,flags,est_tire_age,air_temp_f,track_temp_f,humidity_percent,raining,race_duration_minutes
elms,2022,Spa,Circuit de Spa-Francorchamps,race,207,19,LMP2,Bent Viscaal,bent viscaal,1,1.0,0,148.215,43.075,70.025,35.115,,GF,0,,,,,243
elms,2022,Spa,Circuit de Spa-Francorchamps,race,207,19,LMP2,Bent Viscaal,bent viscaal,2,1.0,1,213.18,39.458,85.189,88.533,,SF,0,,,,,243
elms,2022,Spa,Circuit de Spa-Francorchamps,race,207,19,LMP2,Bent Viscaal,bent viscaal,3,1.0,2,273.146,86.913,116.631,69.602,,SF,0,,,,,243
elms,2022,Spa,Circuit de Spa-Francorchamps,race,207,19,LMP2,Bent Viscaal,bent viscaal,4,1.0,3,249.502,80.048,107.195,62.259,,SF,0,,,,,243
elms,2022,Spa,Circuit de Spa-Francorchamps,race,207,19,LMP2,Bent Viscaal,bent viscaal,5,1.0,4,177.504,49.174,73.655,54.675,,GF,0,,,,,243
elms,2022,Spa,Circuit de Spa-Francorchamps,race,207,19,LMP2,Bent Viscaal,bent viscaal,6,1.0,5,136.142,39.29,63.185,33.667,,GF,1,,,,,243
elms,2022,Spa,Circuit de Spa-Francorchamps,race,207,19,LMP2,Bent Viscaal,bent viscaal,7,1.0,6,131.357,37.905,60.342,33.11,,GF,2,,,,,243
elms,2022,Spa,Circuit de Spa-Francorchamps,race,207,19,LMP2,Bent Viscaal,bent viscaal,8,1.0,7,130.083,37.489,59.507,33.087,,GF,3,,,,,243
elms,2022,Spa,Circuit de Spa-Francorchamps,race,207,19,LMP2,Bent Viscaal,bent viscaal,9,1.0,8,128.6,37.333,58.265,33.002,,GF,4,,,,,243
elms,2022,Spa,Circuit de Spa-Francorchamps,race,207,19,LMP2,Bent Viscaal,bent viscaal,10,1.0,9,128.734,37.481,58.182,33.071,,GF,5,,,,,243
