series_code,year,event,circuit_name,session,session_id,car,class,driver_name,driver_id,lap,stint_number,stint_lap,lap_time,lap_time_s1,lap_time_s2,lap_time_s3,pit_time,flags,est_tire_age,air_temp_f,track_temp_f,humidity_percent,raining,race_duration_minutes
elms,2024,Imola,Autodromo Enzo e Dino Ferrari,race,285,10,LMP2,Ryan Cullen,ryan cullen,1,1.0,0,99.102,21.045,32.636,45.421,,GF,0,,,,,243
elms,2024,Imola,Autodromo Enzo e Dino Ferrari,race,285,10,LMP2,Ryan Cullen,ryan cullen,2,1.0,1,95.785,19.823,31.391,44.571,,GF,0,,,,,243
elms,2024,Imola,Autodromo Enzo e Dino Ferrari,race,285,10,LMP2,Ryan Cullen,ryan cullen,3,1.0,2,94.578,19.557,30.858,44.163,,GF,1,,,,,243
elms,2024,Imola,Autodromo Enzo e Dino Ferrari,race,285,10,LMP2,Ryan Cullen,ryan cullen,4,1.0,3,93.783,19.486,30.51,43.787,,GF,2,,,,,243
elms,2024,Imola,Autodromo Enzo e Dino Ferrari,race,285,10,LMP2,Ryan Cullen,ryan cullen,5,1.0,4,93.941,19.551,30.509,43.881,,GF,3,,,,,243
elms,2024,Imola,Autodromo Enzo e Dino Ferrari,race,285,10,LMP2,Ryan Cullen,ryan cullen,6,1.0,5,93.678,19.486,30.449,43.743,,GF,4,,,,,243
elms,2024,Imola,Autodromo Enzo e Dino Ferrari,race,285,10,LMP2,Ryan Cullen,ryan cullen,7,1.0,6,93.88,19.348,30.538,43.994,,GF,5,,,,,243
elms,2024,Imola,Autodromo Enzo e Dino Ferrari,race,285,10,LMP2,Ryan Cullen,ryan cullen,8,1.0,7,95.243,19.506,30.563,45.174,,GF,6,,,,,243
elms,2024,Imola,Autodromo Enzo e Dino Ferrari,race,285,10,LMP2,Ryan Cullen,ryan cullen,9,1.0,8,96.287,20.347,31.807,44.133,,GF,7,,,,,243
elms,2024,Imola,Autodromo Enzo e Dino Ferrari,race,285,10,LMP2,Ryan Cullen,ryan cullen,10,1.0,9,96.842,20.613,31.842,44.387,,GF,8,,,,,243
elms,2024,Imola,Autodromo Enzo e Dino Ferrari,race,285,10,LMP2,Ryan Cullen,ryan cullen,11,1.0,10,95.301,20.65,30.819,43.832,,GF,9,,,,,243
elms,2024,Imola,Autodromo Enzo e Dino Ferrari,race,285,10,LMP2,Ryan Cullen,ryan cullen,12,1.0,11,126.287,19.375,30.473,76.439,,FCY,10,,,,,243
elms,2024,Imola,Autodromo Enzo e Dino Ferrari,race,285,10,LMP2,Ryan Cullen,ryan cullen,13,1.0,12,160.871,54.901,60.843,45.127,,GF,10,,,,,243
elms,2024,Imola,Autodromo Enzo e Dino Ferrari,race,285,10,LMP2,Ryan Cullen,ryan cullen,14,1.0,13,95.467,19.458,31.347,44.662,,GF,11,,,,,243
elms,2024,Imola,Autodromo Enzo e Dino Ferrari,race,285,10,LMP2,Ryan Cullen,ryan cullen,15,1.0,14,94.224,19.99,30.587,43.647,,GF,12,,,,,243
elms,2024,Imola,Autodromo Enzo e Dino Ferrari,race,285,10,LMP2,Ryan Cullen,ryan cullen,16,1.0,15,93.821,19.696,30.365,43.76,,GF,13,,,,,243
elms,2024,Imola,Autodromo Enzo e Dino Ferrari,race,285,10,LMP2,Ryan Cullen,ryan cullen,17,1.0,16,94.063,19.343,30.763,43.957,,GF,14,,,,,243
elms,2024,Imola,Autodromo Enzo e Dino Ferrari,race,285,10,LMP2,Ryan Cullen,ryan cullen,18,1.0,17,99.701,19.351,31.02,49.33,,GF,15,,,,,243
elms,2024,Imola,Autodromo Enzo e Dino Ferrari,race,285,10,LMP2,Ryan Cullen,ryan cullen,19,1.0,18,95.813,19.945,31.129,44.739,,GF,16,,,,,243
elms,2024,Imola,Autodromo Enzo e Dino Ferrari,race,285,10,LMP2,Ryan Cullen,ryan cullen,20,1.0,19,94.937,20.275,30.631,44.031,,GF,17,,,,,243
elms,2024,Imola,Autodromo Enzo e Dino Ferrari,race,285,10,LMP2,Ryan Cullen,ryan cullen,21,1.0,20,95.195,20.212,31.27,43.713,,GF,18,,,,,243
elms,2024,Imola,Autodromo Enzo e Dino Ferrari,race,285,10,LMP2,Ryan Cullen,ryan cullen,22,1.0,21,94.294,19.604,30.948,43.742,,GF,19,,,,,243
elms,2024,Imola,Autodromo Enzo e Dino Ferrari,race,285,10,LMP2,Ryan Cullen,ryan cullen,23,1.0,22,111.955,20.411,30.936,60.608,,GF,20,,,,,243
elms,2024,Imola,Autodromo Enzo e Dino Ferrari,race,285,10,LMP2,Ryan Cullen,ryan cullen,24,1.0,23,153.508,77.289,31.187,45.032,75.773,GF,0,,,,,243
elms,2024,Imola,Autodromo Enzo e Dino Ferrari,race,285,10,LMP2,Ryan Cullen,ryan cullen,25,1.0,24,96.451,19.67,31.461,45.32,,GF,0,,,,,243
elms,2024,Imola,Autodromo Enzo e Dino Ferrari,race,285,10,LMP2,Ryan Cullen,ryan cullen,26,1.0,25,95.873,19.594,31.885,44.394,,GF,1,,,,,243
