series_code,year,event,circuit_name,session,session_id,car,class,driver_name,driver_id,lap,stint_number,stint_lap,lap_time,lap_time_s1,lap_time_s2,lap_time_s3,pit_time,flags,est_tire_age,air_temp_f,track_temp_f,humidity_percent,raining,race_duration_minutes
elms,2024,Imola,Autodromo Enzo e Dino Ferrari,race,285,19,LMP2 Pro/Am,Anthony Wells,anthony wells,1,1.0,0,108.341,25.762,34.684,47.895,,GF,0,,,,,243
elms,2024,Imola,Autodromo Enzo e Dino Ferrari,race,285,19,LMP2 Pro/Am,Anthony Wells,anthony wells,2,1.0,1,98.882,20.505,32.467,45.91,,GF,0,,,,,243
elms,2024,Imola,Autodromo Enzo e Dino Ferrari,race,285,19,LMP2 Pro/Am,Anthony Wells,anthony wells,3,1.0,2,97.579,20.224,32.077,45.278,,GF,1,,,,,243
elms,2024,Imola,Autodromo Enzo e Dino Ferrari,race,285,19,LMP2 Pro/Am,Anthony Wells,anthony wells,4,1.0,3,96.572,19.953,31.544,45.075,,GF,2,,,,,243
elms,2024,Imola,Autodromo Enzo e Dino Ferrari,race,285,19,LMP2 Pro/Am,Anthony Wells,anthony wells,5,1.0,4,96.947,20.16,31.365,45.422,,GF,3,,,,,243
elms,2024,Imola,Autodromo Enzo e Dino Ferrari,race,285,19,LMP2 Pro/Am,Anthony Wells,anthony wells,6,1.0,5,96.203,19.819,31.188,45.196,,GF,4,,,,,243
elms,2024,Imola,Autodromo Enzo e Dino Ferrari,race,285,19,LMP2 Pro/Am,Anthony Wells,anthony wells,7,1.0,6,96.648,19.999,31.778,44.871,,GF,5,,,,,243
elms,2024,Imola,Autodromo Enzo e Dino Ferrari,race,285,19,LMP2 Pro/Am,Anthony Wells,anthony wells,8,1.0,7,96.245,19.851,31.406,44.988,,GF,6,,,,,243
elms,2024,Imola,Autodromo Enzo e Dino Ferrari,race,285,19,LMP2 Pro/Am,Anthony Wells,anthony wells,9,1.0,8,97.117,19.966,31.605,45.546,,GF,7,,,,,243
elms,2024,Imola,Autodromo Enzo e Dino Ferrari,race,285,19,LMP2 Pro/Am,Anthony Wells,anthony wells,10,1.0,9,96.614,19.92,31.764,44.93,,GF,8,,,,,243
elms,2024,Imola,Autodromo Enzo e Dino Ferrari,race,285,19,LMP2 Pro/Am,Anthony Wells,anthony wells,11,1.0,10,98.945,20.487,32.07,46.388,,GF,9,,,,,243
elms,2024,Imola,Autodromo Enzo e Dino Ferrari,race,285,19,LMP2 Pro/Am,Anthony Wells,anthony wells,12,1.0,11,170.985,20.293,52.371,98.321,,FCY,10,,,,,243
elms,2024,Imola,Autodromo Enzo e Dino Ferrari,race,285,19,LMP2 Pro/Am,Anthony Wells,anthony wells,13,1.0,12,121.131,43.245,32.733,45.153,,GF,10,,,,,243
elms,2024,Imola,Autodromo Enzo e Dino Ferrari,race,285,19,LMP2 Pro/Am,Anthony Wells,anthony wells,14,1.0,13,97.625,20.407,31.865,45.353,,GF,11,,,,,243
elms,2024,Imola,Autodromo Enzo e Dino Ferrari,race,285,19,LMP2 Pro/Am,Anthony Wells,anthony wells,15,1.0,14,98.137,19.994,31.998,46.145,,GF,12,,,,,243
elms,2024,Imola,Autodromo Enzo e Dino Ferrari,race,285,19,LMP2 Pro/Am,Anthony Wells,anthony wells,16,1.0,15,97.42,20.035,32.289,45.096,,GF,13,,,,,243
elms,2024,Imola,Autodromo Enzo e Dino Ferrari,race,285,19,LMP2 Pro/Am,Anthony Wells,anthony wells,17,1.0,16,95.494,19.874,31.0,44.62,,GF,14,,,,,243
elms,2024,Imola,Autodromo Enzo e Dino Ferrari,race,285,19,LMP2 Pro/Am,Anthony Wells,anthony wells,18,1.0,17,96.014,19.7,31.107,45.207,,GF,15,,,,,243
elms,2024,Imola,Autodromo Enzo e Dino Ferrari,race,285,19,LMP2 Pro/Am,Anthony Wells,anthony wells,19,1.0,18,97.025,19.791,31.386,45.848,,GF,16,,,,,243
elms,2024,Imola,Autodromo Enzo e Dino Ferrari,race,285,19,LMP2 Pro/Am,Anthony Wells,anthony wells,20,1.0,19,98.235,20.233,31.903,46.099,,GF,17,,,,,243
elms,2024,Imola,Autodromo Enzo e Dino Ferrari,race,285,19,LMP2 Pro/Am,Anthony Wells,anthony wells,21,1.0,20,98.711,20.292,31.637,46.782,,GF,18,,,,,243
elms,2024,Imola,Autodromo Enzo e Dino Ferrari,race,285,19,LMP2 Pro/Am,Anthony Wells,anthony wells,22,1.0,21,95.716,19.778,31.257,44.681,,GF,19,,,,,243
elms,2024,Imola,Autodromo Enzo e Dino Ferrari,race,285,19,LMP2 Pro/Am,Anthony Wells,anthony wells,23,1.0,22,97.489,19.903,31.749,45.837,,GF,20,,,,,243
elms,2024,Imola,Autodromo Enzo e Dino Ferrari,race,285,19,LMP2 Pro/Am,Anthony Wells,anthony wells,24,1.0,23,165.827,20.066,32.028,113.733,,GF,21,,,,,243
elms,2024,Imola,Autodromo Enzo e Dino Ferrari,race,285,19,LMP2 Pro/Am,Anthony Wells,anthony wells,25,1.0,24,112.412,35.183,32.013,45.216,82.376,GF,0,,,,,243
elms,2024,Imola,Autodromo Enzo e Dino Ferrari,race,285,19,LMP2 Pro/Am,Anthony Wells,anthony wells,26,1.0,25,98.805,21.313,32.067,45.425,,GF,0,,,,,243
elms,2024,Imola,Autodromo Enzo e Dino Ferrari,race,285,19,LMP2 Pro/Am,Anthony Wells,anthony wells,27,1.0,26,97.884,20.291,31.778,45.815,,GF,1,,,,,243
elms,2024,Imola,Autodromo Enzo e Dino Ferrari,race,285,19,LMP2 Pro/Am,Anthony Wells,anthony wells,28,1.0,27,97.307,20.372,31.798,45.137,,GF,2,,,,,243
elms,2024,Imola,Autodromo Enzo e Dino Ferrari,race,285,19,LMP2 Pro/Am,Anthony Wells,anthony wells,29,1.0,28,98.127,20.063,31.946,46.118,,GF,3,,,,,243
elms,2024,Imola,Autodromo Enzo e Dino Ferrari,race,285,19,LMP2 Pro/Am,Anthony Wells,anthony wells,30,1.0,29,97.619,19.993,32.132,45.494,,GF,4,,,,,243
elms,2024,Imola,Autodromo Enzo e Dino Ferrari,race,285,19,LMP2 Pro/Am,Anthony Wells,anthony wells,31,1.0,30,112.817,20.819,32.083,59.915,,FCY,5,,,,,243
elms,2024,Imola,Autodromo Enzo e Dino Ferrari,race,285,19,LMP2 Pro/Am,Anthony Wells,anthony wells,32,1.0,31,203.432,54.651,68.609,80.172,,GF,5,,,,,243
elms,2024,Imola,Autodromo Enzo e Dino Ferrari,race,285,19,LMP2 Pro/Am,Anthony Wells,anthony wells,33,1.0,32,98.828,20.823,32.432,45.573,,GF,6,,,,,243
elms,2024,Imola,Autodromo Enzo e Dino Ferrari,race,285,19,LMP2 Pro/Am,Anthony Wells,anthony wells,34,1.0,33,97.325,20.125,31.752,45.448,,GF,7,,,,,243
elms,2024,Imola,Autodromo Enzo e Dino Ferrari,race,285,19,LMP2 Pro/Am,Anthony Wells,anthony wells,35,1.0,34,99.198,20.136,32.862,46.2,,GF,8,,,,,243
elms,2024,Imola,Autodromo Enzo e Dino Ferrari,race,285,19,LMP2 Pro/Am,Anthony Wells,anthony wells,36,1.0,35,98.725,20.244,31.631,46.85,,GF,9,,,,,243
elms,2024,Imola,Autodromo Enzo e Dino Ferrari,race,285,19,LMP2 Pro/Am,Anthony Wells,anthony wells,37,1.0,36,98.207,20.564,31.956,45.687,,GF,10,,,,,243
elms,2024,Imola,Autodromo Enzo e Dino Ferrari,race,285,19,LMP2 Pro/Am,Anthony Wells,anthony wells,38,1.0,37,98.757,19.982,31.984,46.791,,GF,11,,,,,243
elms,2024,Imola,Autodromo Enzo e Dino Ferrari,race,285,19,LMP2 Pro/Am,Anthony Wells,anthony wells,39,1.0,38,182.856,21.543,63.395,97.918,,FCY,12,,,,,243
elms,2024,Imola,Autodromo Enzo e Dino Ferrari,race,285,19,LMP2 Pro/Am,Anthony Wells,anthony wells,40,1.0,39,215.541,54.606,62.84,98.095,,GF,12,,,,,243
elms,2024,Imola,Autodromo Enzo e Dino Ferrari,race,285,19,LMP2 Pro/Am,Matt Bell,matthew bell,41,2.0,0,111.949,35.202,31.59,45.157,66.403,GF,0,,,,,243
elms,2024,Imola,Autodromo Enzo e Dino Ferrari,race,285,19,LMP2 Pro/Am,Matt Bell,matthew bell,42,2.0,1,168.473,20.189,50.094,98.19,,FCY,0,,,,,243
elms,2024,Imola,Autodromo Enzo e Dino Ferrari,race,285,19,LMP2 Pro/Am,Matt Bell,matthew bell,43,2.0,2,138.626,54.744,39.167,44.715,,GF,0,,,,,243
elms,2024,Imola,Autodromo Enzo e Dino Ferrari,race,285,19,LMP2 Pro/Am,Matt Bell,matthew bell,44,2.0,3,95.346,19.692,30.994,44.66,,GF,1,,,,,243
elms,2024,Imola,Autodromo Enzo e Dino Ferrari,race,285,19,LMP2 Pro/Am,Matt Bell,matthew bell,45,2.0,4,99.474,20.884,30.979,47.611,,GF,2,,,,,243
elms,2024,Imola,Autodromo Enzo e Dino Ferrari,race,285,19,LMP2 Pro/Am,Matt Bell,matthew bell,46,2.0,5,95.895,19.913,31.384,44.598,,GF,3,,,,,243
elms,2024,Imola,Autodromo Enzo e Dino Ferrari,race,285,19,LMP2 Pro/Am,Matt Bell,matthew bell,47,2.0,6,94.259,19.49,30.724,44.045,,GF,4,,,,,243
elms,2024,Imola,Autodromo Enzo e Dino Ferrari,race,285,19,LMP2 Pro/Am,Matt Bell,matthew bell,48,2.0,7,96.464,19.754,32.192,44.518,,GF,5,,,,,243
elms,2024,Imola,Autodromo Enzo e Dino Ferrari,race,285,19,LMP2 Pro/Am,Matt Bell,matthew bell,49,2.0,8,95.786,19.409,30.955,45.422,,GF,6,,,,,243
elms,2024,Imola,Autodromo Enzo e Dino Ferrari,race,285,19,LMP2 Pro/Am,Matt Bell,matthew bell,50,2.0,9,96.779,21.045,31.114,44.62,,GF,7,,,,,243
elms,2024,Imola,Autodromo Enzo e Dino Ferrari,race,285,19,LMP2 Pro/Am,Matt Bell,matthew bell,51,2.0,10,94.494,19.356,30.651,44.487,,GF,8,,,,,243
elms,2024,Imola,Autodromo Enzo e Dino Ferrari,race,285,19,LMP2 Pro/Am,Matt Bell,matthew bell,52,2.0,11,96.386,19.704,31.702,44.98,,GF,9,,,,,243
elms,2024,Imola,Autodromo Enzo e Dino Ferrari,race,285,19,LMP2 Pro/Am,Matt Bell,matthew bell,53,2.0,12,96.175,20.472,31.758,43.945,,GF,10,,,,,243
elms,2024,Imola,Autodromo Enzo e Dino Ferrari,race,285,19,LMP2 Pro/Am,Matt Bell,matthew bell,54,2.0,13,95.508,19.482,31.515,44.511,,GF,11,,,,,243
elms,2024,Imola,Autodromo Enzo e Dino Ferrari,race,285,19,LMP2 Pro/Am,Matt Bell,matthew bell,55,2.0,14,96.1,19.456,31.931,44.713,,GF,12,,,,,243
elms,2024,Imola,Autodromo Enzo e Dino Ferrari,race,285,19,LMP2 Pro/Am,Matt Bell,matthew bell,56,2.0,15,94.313,19.602,30.736,43.975,,GF,13,,,,,243
elms,2024,Imola,Autodromo Enzo e Dino Ferrari,race,285,19,LMP2 Pro/Am,Matt Bell,matthew bell,57,2.0,16,94.63,19.484,31.125,44.021,,GF,14,,,,,243
elms,2024,Imola,Autodromo Enzo e Dino Ferrari,race,285,19,LMP2 Pro/Am,Matt Bell,matthew bell,58,2.0,17,94.428,19.403,30.625,44.4,,GF,15,,,,,243
elms,2024,Imola,Autodromo Enzo e Dino Ferrari,race,285,19,LMP2 Pro/Am,Matt Bell,matthew bell,59,2.0,18,97.29,20.027,32.132,45.131,,GF,16,,,,,243
elms,2024,Imola,Autodromo Enzo e Dino Ferrari,race,285,19,LMP2 Pro/Am,Matt Bell,matthew bell,60,2.0,19,94.073,19.388,30.649,44.036,,GF,17,,,,,243
elms,2024,Imola,Autodromo Enzo e Dino Ferrari,race,285,19,LMP2 Pro/Am,Matt Bell,matthew bell,61,2.0,20,94.435,19.345,30.959,44.131,,GF,18,,,,,243
elms,2024,Imola,Autodromo Enzo e Dino Ferrari,race,285,19,LMP2 Pro/Am,Matt Bell,matthew bell,62,2.0,21,94.202,19.417,30.817,43.968,,GF,19,,,,,243
elms,2024,Imola,Autodromo Enzo e Dino Ferrari,race,285,19,LMP2 Pro/Am,Matt Bell,matthew bell,63,2.0,22,95.633,19.484,31.381,44.768,,GF,20,,,,,243
elms,2024,Imola,Autodromo Enzo e Dino Ferrari,race,285,19,LMP2 Pro/Am,Matt Bell,matthew bell,64,2.0,23,95.75,19.615,31.081,45.054,,GF,21,,,,,243
elms,2024,Imola,Autodromo Enzo e Dino Ferrari,race,285,19,LMP2 Pro/Am,Matt Bell,matthew bell,65,2.0,24,183.836,19.65,31.468,132.718,,GF,22,,,,,243
elms,2024,Imola,Autodromo Enzo e Dino Ferrari,race,285,19,LMP2 Pro/Am,Matt Bell,matthew bell,66,2.0,25,116.318,37.369,33.155,45.794,104.632,GF,0,,,,,243
elms,2024,Imola,Autodromo Enzo e Dino Ferrari,race,285,19,LMP2 Pro/Am,Matt Bell,matthew bell,67,2.0,26,95.529,19.904,31.128,44.497,,GF,0,,,,,243
