series_code,year,event,circuit_name,session,session_id,car,class,driver_name,driver_id,lap,stint_number,stint_lap,lap_time,lap_time_s1,lap_time_s2,lap_time_s3,pit_time,flags,est_tire_age,air_temp_f,track_temp_f,humidity_percent,raining,race_duration_minutes
elms,2024,Mugello,Autodromo Internazionale del Mugello,race,295,19,LMP2 Pro/Am,George Kolovos,george kolovos,1,1.0,0,113.722,45.606,32.106,36.01,,GF,0,,,,,262
elms,2024,Mugello,Autodromo Internazionale del Mugello,race,295,19,LMP2 Pro/Am,George Kolovos,george kolovos,2,1.0,1,101.208,35.597,30.5,35.111,,GF,0,,,,,262
elms,2024,Mugello,Autodromo Internazionale del Mugello,race,295,19,LMP2 Pro/Am,George Kolovos,george kolovos,3,1.0,2,100.5,34.921,30.377,35.202,,GF,1,,,,,262
elms,2024,Mugello,Autodromo Internazionale del Mugello,race,295,19,LMP2 Pro/Am,George Kolovos,george kolovos,4,1.0,3,100.237,34.564,30.174,35.499,,GF,2,,,,,262
elms,2024,Mugello,Autodromo Internazionale del Mugello,race,295,19,LMP2 Pro/Am,George Kolovos,george kolovos,5,1.0,4,100.464,34.595,30.404,35.465,,GF,3,,,,,262
elms,2024,Mugello,Autodromo Internazionale del Mugello,race,295,19,LMP2 Pro/Am,George Kolovos,george kolovos,6,1.0,5,100.926,35.041,30.457,35.428,,GF,4,,,,,262
elms,2024,Mugello,Autodromo Internazionale del Mugello,race,295,19,LMP2 Pro/Am,George Kolovos,george kolovos,7,1.0,6,100.609,34.758,30.498,35.353,,GF,5,,,,,262
elms,2024,Mugello,Autodromo Internazionale del Mugello,race,295,19,LMP2 Pro/Am,George Kolovos,george kolovos,8,1.0,7,131.209,35.015,31.29,64.904,,SF,6,,,,,262
elms,2024,Mugello,Autodromo Internazionale del Mugello,race,295,19,LMP2 Pro/Am,George Kolovos,george kolovos,9,1.0,8,185.757,72.842,46.245,66.67,,SF,6,,,,,262
elms,2024,Mugello,Autodromo Internazionale del Mugello,race,295,19,LMP2 Pro/Am,George Kolovos,george kolovos,10,1.0,9,224.831,68.876,66.966,88.989,,SF,6,,,,,262
elms,2024,Mugello,Autodromo Internazionale del Mugello,race,295,19,LMP2 Pro/Am,George Kolovos,george kolovos,11,1.0,10,191.16,68.347,63.585,59.228,,SF,6,,,,,262
elms,2024,Mugello,Autodromo Internazionale del Mugello,race,295,19,LMP2 Pro/Am,George Kolovos,george kolovos,12,1.0,11,146.891,46.898,47.782,52.211,,GF,6,,,,,262
elms,2024,Mugello,Autodromo Internazionale del Mugello,race,295,19,LMP2 Pro/Am,George Kolovos,george kolovos,13,1.0,12,102.563,35.758,30.879,35.926,,GF,7,,,,,262
elms,2024,Mugello,Autodromo Internazionale del Mugello,race,295,19,LMP2 Pro/Am,George Kolovos,george kolovos,14,1.0,13,101.774,35.2,30.754,35.82,,GF,8,,,,,262
elms,2024,Mugello,Autodromo Internazionale del Mugello,race,295,19,LMP2 Pro/Am,George Kolovos,george kolovos,15,1.0,14,101.168,35.069,30.485,35.614,,GF,9,,,,,262
elms,2024,Mugello,Autodromo Internazionale del Mugello,race,295,19,LMP2 Pro/Am,George Kolovos,george kolovos,16,1.0,15,100.123,34.784,30.048,35.291,,GF,10,,,,,262
elms,2024,Mugello,Autodromo Internazionale del Mugello,race,295,19,LMP2 Pro/Am,George Kolovos,george kolovos,17,1.0,16,100.616,34.85,30.262,35.504,,GF,11,,,,,262
elms,2024,Mugello,Autodromo Internazionale del Mugello,race,295,19,LMP2 Pro/Am,George Kolovos,george kolovos,18,1.0,17,101.076,34.818,30.479,35.779,,GF,12,,,,,262
elms,2024,Mugello,Autodromo Internazionale del Mugello,race,295,19,LMP2 Pro/Am,George Kolovos,george kolovos,19,1.0,18,101.132,34.75,30.459,35.923,,GF,13,,,,,262
elms,2024,Mugello,Autodromo Internazionale del Mugello,race,295,19,LMP2 Pro/Am,George Kolovos,george kolovos,20,1.0,19,102.231,35.15,30.529,36.552,,GF,14,,,,,262
elms,2024,Mugello,Autodromo Internazionale del Mugello,race,295,19,LMP2 Pro/Am,George Kolovos,george kolovos,21,1.0,20,104.502,35.81,32.251,36.441,,GF,15,,,,,262
elms,2024,Mugello,Autodromo Internazionale del Mugello,race,295,19,LMP2 Pro/Am,George Kolovos,george kolovos,22,1.0,21,102.901,35.302,31.234,36.365,,GF,16,,,,,262
elms,2024,Mugello,Autodromo Internazionale del Mugello,race,295,19,LMP2 Pro/Am,George Kolovos,george kolovos,23,1.0,22,103.451,36.334,31.365,35.752,,GF,17,,,,,262
elms,2024,Mugello,Autodromo Internazionale del Mugello,race,295,19,LMP2 Pro/Am,George Kolovos,george kolovos,24,1.0,23,102.806,35.078,30.687,37.041,,GF,18,,,,,262
elms,2024,Mugello,Autodromo Internazionale del Mugello,race,295,19,LMP2 Pro/Am,George Kolovos,george kolovos,25,1.0,24,101.93,35.412,30.783,35.735,,GF,19,,,,,262
elms,2024,Mugello,Autodromo Internazionale del Mugello,race,295,19,LMP2 Pro/Am,George Kolovos,george kolovos,26,1.0,25,102.505,35.309,31.157,36.039,,GF,20,,,,,262
elms,2024,Mugello,Autodromo Internazionale del Mugello,race,295,19,LMP2 Pro/Am,George Kolovos,george kolovos,27,1.0,26,148.568,36.732,30.969,80.867,,GF,21,,,,,262
elms,2024,Mugello,Autodromo Internazionale del Mugello,race,295,19,LMP2 Pro/Am,George Kolovos,george kolovos,28,1.0,27,110.174,43.005,31.143,36.026,49.974,GF,0,,,,,262
elms,2024,Mugello,Autodromo Internazionale del Mugello,race,295,19,LMP2 Pro/Am,George Kolovos,george kolovos,29,1.0,28,105.111,36.909,31.522,36.68,,GF,0,,,,,262
elms,2024,Mugello,Autodromo Internazionale del Mugello,race,295,19,LMP2 Pro/Am,George Kolovos,george kolovos,30,1.0,29,105.245,37.157,31.875,36.213,,GF,1,,,,,262
elms,2024,Mugello,Autodromo Internazionale del Mugello,race,295,19,LMP2 Pro/Am,George Kolovos,george kolovos,31,1.0,30,104.691,36.024,32.782,35.885,,GF,2,,,,,262
elms,2024,Mugello,Autodromo Internazionale del Mugello,race,295,19,LMP2 Pro/Am,George Kolovos,george kolovos,32,1.0,31,102.497,35.278,30.984,36.235,,GF,3,,,,,262
elms,2024,Mugello,Autodromo Internazionale del Mugello,race,295,19,LMP2 Pro/Am,George Kolovos,george kolovos,33,1.0,32,104.179,35.482,32.496,36.201,,GF,4,,,,,262
elms,2024,Mugello,Autodromo Internazionale del Mugello,race,295,19,LMP2 Pro/Am,George Kolovos,george kolovos,34,1.0,33,190.91,35.937,33.144,121.829,,GF,5,,,,,262
elms,2024,Mugello,Autodromo Internazionale del Mugello,race,295,19,LMP2 Pro/Am,Raphaël NARAC,raphaël narac,35,2.0,0,116.914,46.697,34.239,35.978,90.906,GF,0,,,,,262
elms,2024,Mugello,Autodromo Internazionale del Mugello,race,295,19,LMP2 Pro/Am,Raphaël NARAC,raphaël narac,36,2.0,1,102.995,35.585,32.086,35.324,,GF,0,,,,,262
elms,2024,Mugello,Autodromo Internazionale del Mugello,race,295,19,LMP2 Pro/Am,Raphaël NARAC,raphaël narac,37,2.0,2,98.667,34.26,29.715,34.692,,GF,1,,,,,262
elms,2024,Mugello,Autodromo Internazionale del Mugello,race,295,19,LMP2 Pro/Am,Raphaël NARAC,raphaël narac,38,2.0,3,99.686,33.873,29.945,35.868,,GF,2,,,,,262
elms,2024,Mugello,Autodromo Internazionale del Mugello,race,295,19,LMP2 Pro/Am,Raphaël NARAC,raphaël narac,39,2.0,4,99.58,34.696,30.177,34.707,,GF,3,,,,,262
elms,2024,Mugello,Autodromo Internazionale del Mugello,race,295,19,LMP2 Pro/Am,Raphaël NARAC,raphaël narac,40,2.0,5,100.851,35.18,30.865,34.806,,GF,4,,,,,262
elms,2024,Mugello,Autodromo Internazionale del Mugello,race,295,19,LMP2 Pro/Am,Raphaël NARAC,raphaël narac,41,2.0,6,98.981,34.159,30.209,34.613,,GF,5,,,,,262
elms,2024,Mugello,Autodromo Internazionale del Mugello,race,295,19,LMP2 Pro/Am,Raphaël NARAC,raphaël narac,42,2.0,7,100.041,34.452,30.884,34.705,,GF,6,,,,,262
elms,2024,Mugello,Autodromo Internazionale del Mugello,race,295,19,LMP2 Pro/Am,Raphaël NARAC,raphaël narac,43,2.0,8,100.097,34.525,30.876,34.696,,GF,7,,,,,262
elms,2024,Mugello,Autodromo Internazionale del Mugello,race,295,19,LMP2 Pro/Am,Raphaël NARAC,raphaël narac,44,2.0,9,99.938,35.523,29.91,34.505,,GF,8,,,,,262
elms,2024,Mugello,Autodromo Internazionale del Mugello,race,295,19,LMP2 Pro/Am,Raphaël NARAC,raphaël narac,45,2.0,10,98.076,33.738,29.732,34.606,,GF,9,,,,,262
elms,2024,Mugello,Autodromo Internazionale del Mugello,race,295,19,LMP2 Pro/Am,Raphaël NARAC,raphaël narac,46,2.0,11,102.003,35.032,30.442,36.529,,GF,10,,,,,262
elms,2024,Mugello,Autodromo Internazionale del Mugello,race,295,19,LMP2 Pro/Am,Raphaël NARAC,raphaël narac,47,2.0,12,106.213,35.92,34.106,36.187,,GF,11,,,,,262
elms,2024,Mugello,Autodromo Internazionale del Mugello,race,295,19,LMP2 Pro/Am,Raphaël NARAC,raphaël narac,48,2.0,13,102.821,35.473,32.45,34.898,,GF,12,,,,,262
elms,2024,Mugello,Autodromo Internazionale del Mugello,race,295,19,LMP2 Pro/Am,Raphaël NARAC,raphaël narac,49,2.0,14,100.685,36.197,29.851,34.637,,GF,13,,,,,262
elms,2024,Mugello,Autodromo Internazionale del Mugello,race,295,19,LMP2 Pro/Am,Raphaël NARAC,raphaël narac,50,2.0,15,99.577,34.225,29.784,35.568,,GF,14,,,,,262
elms,2024,Mugello,Autodromo Internazionale del Mugello,race,295,19,LMP2 Pro/Am,Raphaël NARAC,raphaël narac,51,2.0,16,100.715,34.371,29.855,36.489,,GF,15,,,,,262
elms,2024,Mugello,Autodromo Internazionale del Mugello,race,295,19,LMP2 Pro/Am,Raphaël NARAC,raphaël narac,52,2.0,17,196.037,39.372,71.048,85.617,,SF,16,,,,,262
elms,2024,Mugello,Autodromo Internazionale del Mugello,race,295,19,LMP2 Pro/Am,Raphaël NARAC,raphaël narac,53,2.0,18,233.574,76.989,71.21,85.375,,SF,16,,,,,262
elms,2024,Mugello,Autodromo Internazionale del Mugello,race,295,19,LMP2 Pro/Am,Raphaël NARAC,raphaël narac,54,2.0,19,145.255,62.396,38.501,44.358,,SF,16,,,,,262
elms,2024,Mugello,Autodromo Internazionale del Mugello,race,295,19,LMP2 Pro/Am,Raphaël NARAC,raphaël narac,55,2.0,20,112.328,37.712,33.978,40.638,,SF,16,,,,,262
elms,2024,Mugello,Autodromo Internazionale del Mugello,race,295,19,LMP2 Pro/Am,Raphaël NARAC,raphaël narac,56,2.0,21,159.195,63.437,41.423,54.335,,GF,16,,,,,262
elms,2024,Mugello,Autodromo Internazionale del Mugello,race,295,19,LMP2 Pro/Am,Raphaël NARAC,raphaël narac,57,2.0,22,106.508,36.291,33.84,36.377,,GF,17,,,,,262
elms,2024,Mugello,Autodromo Internazionale del Mugello,race,295,19,LMP2 Pro/Am,Raphaël NARAC,raphaël narac,58,2.0,23,268.1,52.22,72.142,143.738,,GF,18,,,,,262
elms,2024,Mugello,Autodromo Internazionale del Mugello,race,295,19,LMP2 Pro/Am,Raphaël NARAC,raphaël narac,59,2.0,24,236.989,79.028,72.122,85.839,73.684,GF,0,,,,,262
elms,2024,Mugello,Autodromo Internazionale del Mugello,race,295,19,LMP2 Pro/Am,Raphaël NARAC,raphaël narac,60,2.0,25,168.177,65.946,36.992,65.239,,SF,0,,,,,262
elms,2024,Mugello,Autodromo Internazionale del Mugello,race,295,19,LMP2 Pro/Am,Raphaël NARAC,raphaël narac,61,2.0,26,220.922,78.301,58.161,84.46,,SF,0,,,,,262
elms,2024,Mugello,Autodromo Internazionale del Mugello,race,295,19,LMP2 Pro/Am,Raphaël NARAC,raphaël narac,62,2.0,27,211.957,73.382,68.883,69.692,,SF,0,,,,,262
elms,2024,Mugello,Autodromo Internazionale del Mugello,race,295,19,LMP2 Pro/Am,Raphaël NARAC,raphaël narac,63,2.0,28,149.291,48.719,45.302,55.27,,GF,0,,,,,262
elms,2024,Mugello,Autodromo Internazionale del Mugello,race,295,19,LMP2 Pro/Am,Raphaël NARAC,raphaël narac,64,2.0,29,103.488,36.347,31.45,35.691,,GF,1,,,,,262
elms,2024,Mugello,Autodromo Internazionale del Mugello,race,295,19,LMP2 Pro/Am,Raphaël NARAC,raphaël narac,65,2.0,30,160.839,35.904,37.279,87.656,,SF,2,,,,,262
elms,2024,Mugello,Autodromo Internazionale del Mugello,race,295,19,LMP2 Pro/Am,Raphaël NARAC,raphaël narac,66,2.0,31,280.872,93.349,68.171,119.352,27.154,SF,0,,,,,262
elms,2024,Mugello,Autodromo Internazionale del Mugello,race,295,19,LMP2 Pro/Am,Raphaël NARAC,raphaël narac,67,2.0,32,1728.535,76.694,67.223,1584.618,36.489,SF,0,,,,,262
elms,2024,Mugello,Autodromo Internazionale del Mugello,race,295,19,LMP2 Pro/Am,Raphaël NARAC,raphaël narac,68,2.0,33,170.08,50.427,56.214,63.439,,SF,0,,,,,262
