series_code,year,event,circuit_name,session,session_id,car,class,driver_name,driver_id,lap,stint_number,stint_lap,lap_time,lap_time_s1,lap_time_s2,lap_time_s3,pit_time,flags,est_tire_age,air_temp_f,track_temp_f,humidity_percent,raining,race_duration_minutes
elms,2024,Portimao,Autodromo Internacional do Algarve,race,267,10,LMP2,Ryan Cullen,ryan cullen,1,1.0,0,102.888,34.479,33.29,35.119,,GF,0,,,,,242
elms,2024,Portimao,Autodromo Internacional do Algarve,race,267,10,LMP2,Ryan Cullen,ryan cullen,2,1.0,1,156.367,29.435,51.901,75.031,,GF,0,,,,,242
elms,2024,Portimao,Autodromo Internacional do Algarve,race,267,10,LMP2,Ryan Cullen,ryan cullen,3,1.0,2,211.751,72.052,64.093,75.606,,GF,1,,,,,242
elms,2024,Portimao,Autodromo Internacional do Algarve,race,267,10,LMP2,Ryan Cullen,ryan cullen,4,1.0,3,210.197,73.55,63.583,73.064,,SF,2,,,,,242
elms,2024,Portimao,Autodromo Internacional do Algarve,race,267,10,LMP2,Ryan Cullen,ryan cullen,5,1.0,4,154.393,62.843,38.963,52.587,,GF,2,,,,,242
elms,2024,Portimao,Autodromo Internacional do Algarve,race,267,10,LMP2,Ryan Cullen,ryan cullen,6,1.0,5,96.37,30.055,31.315,35.0,,GF,3,,,,,242
elms,2024,Portimao,Autodromo Internacional do Algarve,race,267,10,LMP2,Ryan Cullen,ryan cullen,7,1.0,6,95.59,30.021,31.156,34.413,,GF,4,,,,,242
elms,2024,Portimao,Autodromo Internacional do Algarve,race,267,10,LMP2,Ryan Cullen,ryan cullen,8,1.0,7,94.444,29.122,30.945,34.377,,GF,5,,,,,242
elms,2024,Portimao,Autodromo Internacional do Algarve,race,267,10,LMP2,Ryan Cullen,ryan cullen,9,1.0,8,94.479,28.963,31.035,34.481,,GF,6,,,,,242
elms,2024,Portimao,Autodromo Internacional do Algarve,race,267,10,LMP2,Ryan Cullen,ryan cullen,10,1.0,9,94.323,28.884,30.892,34.547,,GF,7,,,,,242
elms,2024,Portimao,Autodromo Internacional do Algarve,race,267,10,LMP2,Ryan Cullen,ryan cullen,11,1.0,10,94.366,28.995,30.978,34.393,,GF,8,,,,,242
elms,2024,Portimao,Autodromo Internacional do Algarve,race,267,10,LMP2,Ryan Cullen,ryan cullen,12,1.0,11,152.998,28.93,48.994,75.074,,FCY,9,,,,,242
elms,2024,Portimao,Autodromo Internacional do Algarve,race,267,10,LMP2,Ryan Cullen,ryan cullen,13,1.0,12,176.253,72.102,63.168,40.983,,GF,9,,,,,242
elms,2024,Portimao,Autodromo Internacional do Algarve,race,267,10,LMP2,Ryan Cullen,ryan cullen,14,1.0,13,96.986,29.235,31.039,36.712,,GF,10,,,,,242
elms,2024,Portimao,Autodromo Internacional do Algarve,race,267,10,LMP2,Ryan Cullen,ryan cullen,15,1.0,14,100.538,32.409,32.078,36.051,,GF,11,,,,,242
elms,2024,Portimao,Autodromo Internacional do Algarve,race,267,10,LMP2,Ryan Cullen,ryan cullen,16,1.0,15,96.567,29.915,31.701,34.951,,GF,12,,,,,242
elms,2024,Portimao,Autodromo Internacional do Algarve,race,267,10,LMP2,Ryan Cullen,ryan cullen,17,1.0,16,99.105,31.185,31.22,36.7,,GF,13,,,,,242
elms,2024,Portimao,Autodromo Internacional do Algarve,race,267,10,LMP2,Ryan Cullen,ryan cullen,18,1.0,17,95.155,29.46,30.819,34.876,,GF,14,,,,,242
elms,2024,Portimao,Autodromo Internacional do Algarve,race,267,10,LMP2,Ryan Cullen,ryan cullen,19,1.0,18,95.211,29.29,31.13,34.791,,GF,15,,,,,242
elms,2024,Portimao,Autodromo Internacional do Algarve,race,267,10,LMP2,Ryan Cullen,ryan cullen,20,1.0,19,95.367,29.909,30.94,34.518,,GF,16,,,,,242
elms,2024,Portimao,Autodromo Internacional do Algarve,race,267,10,LMP2,Ryan Cullen,ryan cullen,21,1.0,20,137.396,30.207,39.09,68.099,,GF,17,,,,,242
elms,2024,Portimao,Autodromo Internacional do Algarve,race,267,10,LMP2,Ryan Cullen,ryan cullen,22,1.0,21,95.716,30.334,30.822,34.56,,GF,18,,,,,242
elms,2024,Portimao,Autodromo Internacional do Algarve,race,267,10,LMP2,Ryan Cullen,ryan cullen,23,1.0,22,96.15,29.961,31.42,34.769,,GF,19,,,,,242
elms,2024,Portimao,Autodromo Internacional do Algarve,race,267,10,LMP2,Ryan Cullen,ryan cullen,24,1.0,23,94.063,28.764,30.761,34.538,,GF,20,,,,,242
elms,2024,Portimao,Autodromo Internacional do Algarve,race,267,10,LMP2,Ryan Cullen,ryan cullen,25,1.0,24,95.859,30.119,31.072,34.668,,GF,21,,,,,242
elms,2024,Portimao,Autodromo Internacional do Algarve,race,267,10,LMP2,Ryan Cullen,ryan cullen,26,1.0,25,103.135,30.813,31.492,40.83,,GF,22,,,,,242
elms,2024,Portimao,Autodromo Internacional do Algarve,race,267,10,LMP2,Ryan Cullen,ryan cullen,27,1.0,26,154.49,87.795,31.23,35.465,63.56,GF,0,,,,,242
elms,2024,Portimao,Autodromo Internacional do Algarve,race,267,10,LMP2,Ryan Cullen,ryan cullen,28,1.0,27,95.921,29.696,31.163,35.062,,GF,0,,,,,242
elms,2024,Portimao,Autodromo Internacional do Algarve,race,267,10,LMP2,Ryan Cullen,ryan cullen,29,1.0,28,97.778,29.508,31.325,36.945,,GF,1,,,,,242
elms,2024,Portimao,Autodromo Internacional do Algarve,race,267,10,LMP2,Ryan Cullen,ryan cullen,30,1.0,29,99.321,30.497,33.116,35.708,,GF,2,,,,,242
elms,2024,Portimao,Autodromo Internacional do Algarve,race,267,10,LMP2,Ryan Cullen,ryan cullen,31,1.0,30,103.124,29.441,31.812,41.871,,GF,3,,,,,242
elms,2024,Portimao,Autodromo Internacional do Algarve,race,267,10,LMP2,Ryan Cullen,ryan cullen,32,1.0,31,119.482,52.938,31.629,34.915,28.545,GF,0,,,,,242
elms,2024,Portimao,Autodromo Internacional do Algarve,race,267,10,LMP2,Ryan Cullen,ryan cullen,33,1.0,32,96.582,29.716,31.871,34.995,,GF,0,,,,,242
elms,2024,Portimao,Autodromo Internacional do Algarve,race,267,10,LMP2,Ryan Cullen,ryan cullen,34,1.0,33,99.195,30.814,32.03,36.351,,GF,1,,,,,242
elms,2024,Portimao,Autodromo Internacional do Algarve,race,267,10,LMP2,Ryan Cullen,ryan cullen,35,1.0,34,99.2,29.638,33.028,36.534,,GF,2,,,,,242
elms,2024,Portimao,Autodromo Internacional do Algarve,race,267,10,LMP2,Ryan Cullen,ryan cullen,36,1.0,35,185.857,46.681,62.686,76.49,,GF,3,,,,,242
elms,2024,Portimao,Autodromo Internacional do Algarve,race,267,10,LMP2,Stéphane RICHELMI,stéphane richelmi,37,2.0,0,272.538,138.78,63.021,70.737,89.141,SF,0,,,,,242
elms,2024,Portimao,Autodromo Internacional do Algarve,race,267,10,LMP2,Stéphane RICHELMI,stéphane richelmi,38,2.0,1,115.08,40.197,34.349,40.534,,SF,0,,,,,242
elms,2024,Portimao,Autodromo Internacional do Algarve,race,267,10,LMP2,Stéphane RICHELMI,stéphane richelmi,39,2.0,2,208.981,68.932,61.453,78.596,,SF,0,,,,,242
elms,2024,Portimao,Autodromo Internacional do Algarve,race,267,10,LMP2,Stéphane RICHELMI,stéphane richelmi,40,2.0,3,197.566,73.598,56.854,67.114,,SF,0,,,,,242
elms,2024,Portimao,Autodromo Internacional do Algarve,race,267,10,LMP2,Stéphane RICHELMI,stéphane richelmi,41,2.0,4,148.205,50.063,40.5,57.642,,GF,0,,,,,242
elms,2024,Portimao,Autodromo Internacional do Algarve,race,267,10,LMP2,Stéphane RICHELMI,stéphane richelmi,42,2.0,5,97.589,30.363,31.68,35.546,,GF,1,,,,,242
elms,2024,Portimao,Autodromo Internacional do Algarve,race,267,10,LMP2,Stéphane RICHELMI,stéphane richelmi,43,2.0,6,97.108,30.035,32.076,34.997,,GF,2,,,,,242
elms,2024,Portimao,Autodromo Internacional do Algarve,race,267,10,LMP2,Stéphane RICHELMI,stéphane richelmi,44,2.0,7,95.831,29.33,31.376,35.125,,GF,3,,,,,242
elms,2024,Portimao,Autodromo Internacional do Algarve,race,267,10,LMP2,Stéphane RICHELMI,stéphane richelmi,45,2.0,8,96.1,29.375,31.411,35.314,,GF,4,,,,,242
elms,2024,Portimao,Autodromo Internacional do Algarve,race,267,10,LMP2,Stéphane RICHELMI,stéphane richelmi,46,2.0,9,95.496,29.313,31.146,35.037,,GF,5,,,,,242
elms,2024,Portimao,Autodromo Internacional do Algarve,race,267,10,LMP2,Stéphane RICHELMI,stéphane richelmi,47,2.0,10,96.176,29.593,31.386,35.197,,GF,6,,,,,242
elms,2024,Portimao,Autodromo Internacional do Algarve,race,267,10,LMP2,Stéphane RICHELMI,stéphane richelmi,48,2.0,11,96.321,29.645,31.369,35.307,,GF,7,,,,,242
elms,2024,Portimao,Autodromo Internacional do Algarve,race,267,10,LMP2,Stéphane RICHELMI,stéphane richelmi,49,2.0,12,96.9,29.337,31.478,36.085,,GF,8,,,,,242
elms,2024,Portimao,Autodromo Internacional do Algarve,race,267,10,LMP2,Stéphane RICHELMI,stéphane richelmi,50,2.0,13,96.108,30.04,31.292,34.776,,GF,9,,,,,242
elms,2024,Portimao,Autodromo Internacional do Algarve,race,267,10,LMP2,Stéphane RICHELMI,stéphane richelmi,51,2.0,14,95.945,28.922,31.206,35.817,,GF,10,,,,,242
elms,2024,Portimao,Autodromo Internacional do Algarve,race,267,10,LMP2,Stéphane RICHELMI,stéphane richelmi,52,2.0,15,96.39,30.134,31.197,35.059,,GF,11,,,,,242
elms,2024,Portimao,Autodromo Internacional do Algarve,race,267,10,LMP2,Stéphane RICHELMI,stéphane richelmi,53,2.0,16,96.119,29.32,31.856,34.943,,GF,12,,,,,242
elms,2024,Portimao,Autodromo Internacional do Algarve,race,267,10,LMP2,Stéphane RICHELMI,stéphane richelmi,54,2.0,17,94.956,28.916,31.081,34.959,,GF,13,,,,,242
elms,2024,Portimao,Autodromo Internacional do Algarve,race,267,10,LMP2,Stéphane RICHELMI,stéphane richelmi,55,2.0,18,96.116,29.122,31.192,35.802,,GF,14,,,,,242
elms,2024,Portimao,Autodromo Internacional do Algarve,race,267,10,LMP2,Stéphane RICHELMI,stéphane richelmi,56,2.0,19,94.442,28.856,31.122,34.464,,GF,15,,,,,242
elms,2024,Portimao,Autodromo Internacional do Algarve,race,267,10,LMP2,Stéphane RICHELMI,stéphane richelmi,57,2.0,20,95.119,28.864,31.058,35.197,,GF,16,,,,,242
elms,2024,Portimao,Autodromo Internacional do Algarve,race,267,10,LMP2,Stéphane RICHELMI,stéphane richelmi,58,2.0,21,96.46,29.228,31.237,35.995,,GF,17,,,,,242
elms,2024,Portimao,Autodromo Internacional do Algarve,race,267,10,LMP2,Stéphane RICHELMI,stéphane richelmi,59,2.0,22,95.005,28.937,31.141,34.927,,GF,18,,,,,242
elms,2024,Portimao,Autodromo Internacional do Algarve,race,267,10,LMP2,Stéphane RICHELMI,stéphane richelmi,60,2.0,23,95.292,29.011,31.141,35.14,,GF,19,,,,,242
