series_code,year,event,circuit_name,session,session_id,car,class,driver_name,driver_id,lap,stint_number,stint_lap,lap_time,lap_time_s1,lap_time_s2,lap_time_s3,pit_time,flags,est_tire_age,air_temp_f,track_temp_f,humidity_percent,raining,race_duration_minutes
elms,2024,Spa,Circuit de Spa-Francorchamps,race,315,19,LMP2 Pro/Am,Anthony Wells,anthony wells,1,1.0,0,136.798,42.573,61.446,32.779,,GF,0,,,,,244
elms,2024,Spa,Circuit de Spa-Francorchamps,race,315,19,LMP2 Pro/Am,Anthony Wells,anthony wells,2,1.0,1,128.055,36.362,59.272,32.421,,GF,0,,,,,244
elms,2024,Spa,Circuit de Spa-Francorchamps,race,315,19,LMP2 Pro/Am,Anthony Wells,anthony wells,3,1.0,2,126.885,36.059,58.675,32.151,,GF,1,,,,,244
elms,2024,Spa,Circuit de Spa-Francorchamps,race,315,19,LMP2 Pro/Am,Anthony Wells,anthony wells,4,1.0,3,126.651,35.987,58.41,32.254,,GF,2,,,,,244
elms,2024,Spa,Circuit de Spa-Francorchamps,race,315,19,LMP2 Pro/Am,Anthony Wells,anthony wells,5,1.0,4,126.67,35.866,58.475,32.329,,GF,3,,,,,244
elms,2024,Spa,Circuit de Spa-Francorchamps,race,315,19,LMP2 Pro/Am,Anthony Wells,anthony wells,6,1.0,5,126.622,35.924,58.342,32.356,,GF,4,,,,,244
elms,2024,Spa,Circuit de Spa-Francorchamps,race,315,19,LMP2 Pro/Am,Anthony Wells,anthony wells,7,1.0,6,161.588,35.718,69.361,56.509,,SF,5,,,,,244
elms,2024,Spa,Circuit de Spa-Francorchamps,race,315,19,LMP2 Pro/Am,Anthony Wells,anthony wells,8,1.0,7,274.501,62.433,131.81,80.258,,SF,5,,,,,244
elms,2024,Spa,Circuit de Spa-Francorchamps,race,315,19,LMP2 Pro/Am,Anthony Wells,anthony wells,9,1.0,8,302.537,115.582,115.268,71.687,,SF,5,,,,,244
elms,2024,Spa,Circuit de Spa-Francorchamps,race,315,19,LMP2 Pro/Am,Anthony Wells,anthony wells,10,1.0,9,181.727,55.751,68.919,57.057,,GF,5,,,,,244
elms,2024,Spa,Circuit de Spa-Francorchamps,race,315,19,LMP2 Pro/Am,Anthony Wells,anthony wells,11,1.0,10,128.854,36.458,59.996,32.4,,GF,6,,,,,244
elms,2024,Spa,Circuit de Spa-Francorchamps,race,315,19,LMP2 Pro/Am,Anthony Wells,anthony wells,12,1.0,11,127.145,35.703,58.83,32.612,,GF,7,,,,,244
elms,2024,Spa,Circuit de Spa-Francorchamps,race,315,19,LMP2 Pro/Am,Anthony Wells,anthony wells,13,1.0,12,127.084,35.617,59.249,32.218,,GF,8,,,,,244
elms,2024,Spa,Circuit de Spa-Francorchamps,race,315,19,LMP2 Pro/Am,Anthony Wells,anthony wells,14,1.0,13,127.417,36.536,58.596,32.285,,GF,9,,,,,244
elms,2024,Spa,Circuit de Spa-Francorchamps,race,315,19,LMP2 Pro/Am,Anthony Wells,anthony wells,15,1.0,14,127.305,35.85,59.149,32.306,,GF,10,,,,,244
elms,2024,Spa,Circuit de Spa-Francorchamps,race,315,19,LMP2 Pro/Am,Anthony Wells,anthony wells,16,1.0,15,126.613,35.7,58.62,32.293,,GF,11,,,,,244
elms,2024,Spa,Circuit de Spa-Francorchamps,race,315,19,LMP2 Pro/Am,Anthony Wells,anthony wells,17,1.0,16,125.716,35.841,57.809,32.066,,GF,12,,,,,244
elms,2024,Spa,Circuit de Spa-Francorchamps,race,315,19,LMP2 Pro/Am,Anthony Wells,anthony wells,18,1.0,17,134.341,35.645,58.713,39.983,,GF,13,,,,,244
elms,2024,Spa,Circuit de Spa-Francorchamps,race,315,19,LMP2 Pro/Am,Anthony Wells,anthony wells,19,1.0,18,180.658,87.757,60.552,32.349,61.907,GF,0,,,,,244
elms,2024,Spa,Circuit de Spa-Francorchamps,race,315,19,LMP2 Pro/Am,Anthony Wells,anthony wells,20,1.0,19,186.559,35.995,65.192,85.372,,GF,0,,,,,244
