series_code,year,event,circuit_name,session,session_id,car,class,driver_name,driver_id,lap,stint_number,stint_lap,lap_time,lap_time_s1,lap_time_s2,lap_time_s3,pit_time,flags,est_tire_age,air_temp_f,track_temp_f,humidity_percent,raining,race_duration_minutes
elms,2025,Barcelona,Circuit de Barcelona-Catalunya,race,335,10,LMP2,Ryan Cullen,ryan cullen,1,1.0,0,103.267,32.933,41.074,29.26,,GF,0,70.03,88.52,54.19,False,242
elms,2025,Barcelona,Circuit de Barcelona-Catalunya,race,335,10,LMP2,Ryan Cullen,ryan cullen,2,1.0,1,95.035,27.403,39.11,28.522,,GF,0,70.29,88.52,54.44,False,242
elms,2025,Barcelona,Circuit de Barcelona-Catalunya,race,335,10,LMP2,Ryan Cullen,ryan cullen,3,1.0,2,94.508,27.248,38.835,28.425,,GF,1,70.41,88.7,55.02,False,242
elms,2025,Barcelona,Circuit de Barcelona-Catalunya,race,335,10,LMP2,Ryan Cullen,ryan cullen,4,1.0,3,94.249,27.191,38.661,28.397,,GF,2,70.72,89.06,53.71,False,242
elms,2025,Barcelona,Circuit de Barcelona-Catalunya,race,335,10,LMP2,Ryan Cullen,ryan cullen,5,1.0,4,94.098,26.995,38.63,28.473,,GF,3,70.77,89.24,53.98,False,242
elms,2025,Barcelona,Circuit de Barcelona-Catalunya,race,335,10,LMP2,Ryan Cullen,ryan cullen,6,1.0,5,95.156,27.037,39.47,28.649,,GF,4,70.92,89.42,53.76,False,242
elms,2025,Barcelona,Circuit de Barcelona-Catalunya,race,335,10,LMP2,Ryan Cullen,ryan cullen,7,1.0,6,94.099,26.994,38.622,28.483,,GF,5,71.02,89.6,53.87,False,242
elms,2025,Barcelona,Circuit de Barcelona-Catalunya,race,335,10,LMP2,Ryan Cullen,ryan cullen,8,1.0,7,95.192,26.839,38.696,29.657,,GF,6,71.29,89.96,52.99,False,242
elms,2025,Barcelona,Circuit de Barcelona-Catalunya,race,335,10,LMP2,Ryan Cullen,ryan cullen,9,1.0,8,96.991,27.362,39.943,29.686,,GF,7,71.29,89.96,53.52,False,242
elms,2025,Barcelona,Circuit de Barcelona-Catalunya,race,335,10,LMP2,Ryan Cullen,ryan cullen,10,1.0,9,99.305,28.297,40.274,30.734,,GF,8,71.46,90.14,53.03,False,242
elms,2025,Barcelona,Circuit de Barcelona-Catalunya,race,335,10,LMP2,Ryan Cullen,ryan cullen,11,1.0,10,95.83,27.478,39.578,28.774,,GF,9,71.73,90.68,52.76,False,242
elms,2025,Barcelona,Circuit de Barcelona-Catalunya,race,335,10,LMP2,Ryan Cullen,ryan cullen,12,1.0,11,94.366,27.105,38.68,28.581,,GF,10,72.01,90.86,52.58,False,242
elms,2025,Barcelona,Circuit de Barcelona-Catalunya,race,335,10,LMP2,Ryan Cullen,ryan cullen,13,1.0,12,96.073,27.116,38.983,29.974,,GF,11,72.12,91.04,52.94,False,242
elms,2025,Barcelona,Circuit de Barcelona-Catalunya,race,335,10,LMP2,Ryan Cullen,ryan cullen,14,1.0,13,98.229,28.047,40.062,30.12,,GF,12,72.14,91.4,51.91,False,242
elms,2025,Barcelona,Circuit de Barcelona-Catalunya,race,335,10,LMP2,Ryan Cullen,ryan cullen,15,1.0,14,97.65,28.457,39.174,30.019,,GF,13,72.27,91.58,52.15,False,242
elms,2025,Barcelona,Circuit de Barcelona-Catalunya,race,335,10,LMP2,Ryan Cullen,ryan cullen,16,1.0,15,99.209,29.555,39.569,30.085,,GF,14,72.36,91.76,51.61,False,242
