series_code,year,event,circuit_name,session,session_id,car,class,driver_name,driver_id,lap,stint_number,stint_lap,lap_time,lap_time_s1,lap_time_s2,lap_time_s3,pit_time,flags,est_tire_age,air_temp_f,track_temp_f,humidity_percent,raining,race_duration_minutes
elms,2025,Barcelona,Circuit de Barcelona-Catalunya,race,335,20,LMP2 Pro/Am,Kriton Lentoudis,kriton lentoudis,1,1.0,0,108.535,35.897,42.409,30.229,,GF,0,70.03,88.52,54.19,False,242
elms,2025,Barcelona,Circuit de Barcelona-Catalunya,race,335,20,LMP2 Pro/Am,Kriton Lentoudis,kriton lentoudis,2,1.0,1,98.657,28.828,40.377,29.452,,GF,0,70.29,88.52,54.44,False,242
elms,2025,Barcelona,Circuit de Barcelona-Catalunya,race,335,20,LMP2 Pro/Am,Kriton Lentoudis,kriton lentoudis,3,1.0,2,98.903,28.258,40.275,30.37,,GF,1,70.41,88.7,55.02,False,242
elms,2025,Barcelona,Circuit de Barcelona-Catalunya,race,335,20,LMP2 Pro/Am,Kriton Lentoudis,kriton lentoudis,4,1.0,3,99.805,29.256,40.573,29.976,,GF,2,70.72,89.06,53.71,False,242
elms,2025,Barcelona,Circuit de Barcelona-Catalunya,race,335,20,LMP2 Pro/Am,Kriton Lentoudis,kriton lentoudis,5,1.0,4,98.859,28.579,40.389,29.891,,GF,3,70.84,89.42,53.66,False,242
elms,2025,Barcelona,Circuit de Barcelona-Catalunya,race,335,20,LMP2 Pro/Am,Kriton Lentoudis,kriton lentoudis,6,1.0,5,99.187,28.346,40.961,29.88,,GF,4,70.92,89.42,53.76,False,242
elms,2025,Barcelona,Circuit de Barcelona-Catalunya,race,335,20,LMP2 Pro/Am,Kriton Lentoudis,kriton lentoudis,7,1.0,6,98.678,28.445,40.3,29.933,,GF,5,71.19,89.78,54.11,False,242
elms,2025,Barcelona,Circuit de Barcelona-Catalunya,race,335,20,LMP2 Pro/Am,Kriton Lentoudis,kriton lentoudis,8,1.0,7,98.615,28.229,40.873,29.513,,GF,6,71.29,89.96,52.99,False,242
elms,2025,Barcelona,Circuit de Barcelona-Catalunya,race,335,20,LMP2 Pro/Am,Kriton Lentoudis,kriton lentoudis,9,1.0,8,98.41,28.459,40.438,29.513,,GF,7,71.33,90.14,52.77,False,242
elms,2025,Barcelona,Circuit de Barcelona-Catalunya,race,335,20,LMP2 Pro/Am,Kriton Lentoudis,kriton lentoudis,10,1.0,9,98.053,28.062,40.282,29.709,,GF,8,71.46,90.14,53.03,False,242
elms,2025,Barcelona,Circuit de Barcelona-Catalunya,race,335,20,LMP2 Pro/Am,Kriton Lentoudis,kriton lentoudis,11,1.0,10,98.635,28.276,40.378,29.981,,GF,9,71.87,90.68,52.57,False,242
elms,2025,Barcelona,Circuit de Barcelona-Catalunya,race,335,20,LMP2 Pro/Am,Kriton Lentoudis,kriton lentoudis,12,1.0,11,100.699,29.345,41.216,30.138,,GF,10,72.12,91.04,52.94,False,242
elms,2025,Barcelona,Circuit de Barcelona-Catalunya,race,335,20,LMP2 Pro/Am,Kriton Lentoudis,kriton lentoudis,13,1.0,12,100.025,28.62,41.389,30.016,,GF,11,72.19,91.4,51.54,False,242
elms,2025,Barcelona,Circuit de Barcelona-Catalunya,race,335,20,LMP2 Pro/Am,Kriton Lentoudis,kriton lentoudis,14,1.0,13,103.643,29.637,41.707,32.299,,GF,12,72.16,91.58,52.02,False,242
elms,2025,Barcelona,Circuit de Barcelona-Catalunya,race,335,20,LMP2 Pro/Am,Kriton Lentoudis,kriton lentoudis,15,1.0,14,100.871,28.798,41.212,30.861,,GF,13,72.27,91.58,52.15,False,242
elms,2025,Barcelona,Circuit de Barcelona-Catalunya,race,335,20,LMP2 Pro/Am,Kriton Lentoudis,kriton lentoudis,16,1.0,15,102.012,29.914,42.074,30.024,,GF,14,72.39,91.76,51.51,False,242
elms,2025,Barcelona,Circuit de Barcelona-Catalunya,race,335,20,LMP2 Pro/Am,Kriton Lentoudis,kriton lentoudis,17,1.0,16,99.462,28.526,40.596,30.34,,GF,15,72.45,92.12,52.35,False,242
elms,2025,Barcelona,Circuit de Barcelona-Catalunya,race,335,20,LMP2 Pro/Am,Kriton Lentoudis,kriton lentoudis,18,1.0,17,101.079,28.576,40.849,31.654,,GF,16,72.77,92.3,51.89,False,242
elms,2025,Barcelona,Circuit de Barcelona-Catalunya,race,335,20,LMP2 Pro/Am,Kriton Lentoudis,kriton lentoudis,19,1.0,18,101.424,29.519,41.55,30.355,,GF,17,73.11,92.48,50.65,False,242
elms,2025,Barcelona,Circuit de Barcelona-Catalunya,race,335,20,LMP2 Pro/Am,Kriton Lentoudis,kriton lentoudis,20,1.0,19,98.516,28.456,40.317,29.743,,GF,18,73.04,92.66,50.44,False,242
elms,2025,Barcelona,Circuit de Barcelona-Catalunya,race,335,20,LMP2 Pro/Am,Kriton Lentoudis,kriton lentoudis,21,1.0,20,99.932,28.489,41.061,30.382,,GF,19,73.17,93.02,50.54,False,242
elms,2025,Barcelona,Circuit de Barcelona-Catalunya,race,335,20,LMP2 Pro/Am,Kriton Lentoudis,kriton lentoudis,22,1.0,21,98.664,28.167,40.642,29.855,,GF,20,73.38,93.2,50.45,False,242
elms,2025,Barcelona,Circuit de Barcelona-Catalunya,race,335,20,LMP2 Pro/Am,Kriton Lentoudis,kriton lentoudis,23,1.0,22,98.669,28.272,40.266,30.131,,GF,21,73.4,93.2,51.19,False,242
elms,2025,Barcelona,Circuit de Barcelona-Catalunya,race,335,20,LMP2 Pro/Am,Kriton Lentoudis,kriton lentoudis,24,1.0,23,99.865,28.208,40.699,30.958,,GF,22,73.44,93.38,50.06,False,242
elms,2025,Barcelona,Circuit de Barcelona-Catalunya,race,335,20,LMP2 Pro/Am,Kriton Lentoudis,kriton lentoudis,25,1.0,24,109.531,28.787,42.516,38.228,,GF,23,73.65,93.74,50.28,False,242
elms,2025,Barcelona,Circuit de Barcelona-Catalunya,race,335,20,LMP2 Pro/Am,Kriton Lentoudis,kriton lentoudis,26,1.0,25,150.727,78.078,40.91,31.739,53.046,GF,0,74.03,94.1,49.78,False,242
elms,2025,Barcelona,Circuit de Barcelona-Catalunya,race,335,20,LMP2 Pro/Am,Kriton Lentoudis,kriton lentoudis,27,1.0,26,101.082,28.72,42.015,30.347,,GF,0,73.81,94.28,48.3,False,242
elms,2025,Barcelona,Circuit de Barcelona-Catalunya,race,335,20,LMP2 Pro/Am,Kriton Lentoudis,kriton lentoudis,28,1.0,27,99.895,28.859,40.847,30.189,,GF,1,73.83,94.28,49.22,False,242
elms,2025,Barcelona,Circuit de Barcelona-Catalunya,race,335,20,LMP2 Pro/Am,Kriton Lentoudis,kriton lentoudis,29,1.0,28,102.689,28.556,42.982,31.151,,GF,2,73.56,94.64,49.29,False,242
elms,2025,Barcelona,Circuit de Barcelona-Catalunya,race,335,20,LMP2 Pro/Am,Kriton Lentoudis,kriton lentoudis,30,1.0,29,100.742,28.533,40.788,31.421,,GF,3,73.63,94.64,49.1,False,242
elms,2025,Barcelona,Circuit de Barcelona-Catalunya,race,335,20,LMP2 Pro/Am,Kriton Lentoudis,kriton lentoudis,31,1.0,30,100.703,28.792,41.616,30.295,,GF,4,73.96,94.82,48.94,False,242
elms,2025,Barcelona,Circuit de Barcelona-Catalunya,race,335,20,LMP2 Pro/Am,Kriton Lentoudis,kriton lentoudis,32,1.0,31,101.963,28.72,41.26,31.983,,GF,5,74.43,95.18,48.42,False,242
elms,2025,Barcelona,Circuit de Barcelona-Catalunya,race,335,20,LMP2 Pro/Am,Kriton Lentoudis,kriton lentoudis,33,1.0,32,102.009,29.192,41.421,31.396,,GF,6,74.53,95.18,48.43,False,242
elms,2025,Barcelona,Circuit de Barcelona-Catalunya,race,335,20,LMP2 Pro/Am,Kriton Lentoudis,kriton lentoudis,34,1.0,33,102.887,30.042,41.836,31.009,,GF,7,74.75,95.72,47.97,False,242
elms,2025,Barcelona,Circuit de Barcelona-Catalunya,race,335,20,LMP2 Pro/Am,Kriton Lentoudis,kriton lentoudis,35,1.0,34,101.743,28.785,41.765,31.193,,GF,8,74.86,95.9,47.6,False,242
elms,2025,Barcelona,Circuit de Barcelona-Catalunya,race,335,20,LMP2 Pro/Am,Kriton Lentoudis,kriton lentoudis,36,1.0,35,101.538,29.113,41.624,30.801,,GF,9,74.79,96.08,47.56,False,242
