series_code,year,event,circuit_name,session,session_id,car,class,driver_name,driver_id,lap,stint_number,stint_lap,lap_time,lap_time_s1,lap_time_s2,lap_time_s3,pit_time,flags,est_tire_age,air_temp_f,track_temp_f,humidity_percent,raining,race_duration_minutes
elms,2025,Paul Ricard,Circuit Paul Ricard,race,355,20,LMP2 Pro/Am,Kriton Lentoudis,kriton lentoudis,1,1.0,0,156.015,50.173,46.165,59.677,,GF,0,60.94,61.7,64.77,False,244
elms,2025,Paul Ricard,Circuit Paul Ricard,race,355,20,LMP2 Pro/Am,Kriton Lentoudis,kriton lentoudis,2,1.0,1,163.298,36.334,55.329,71.635,,SF,0,60.89,61.34,65.34,False,244
elms,2025,Paul Ricard,Circuit Paul Ricard,race,355,20,LMP2 Pro/Am,Kriton Lentoudis,kriton lentoudis,3,1.0,2,249.579,58.894,84.604,106.081,,SF,0,60.93,61.52,66.43,False,244
elms,2025,Paul Ricard,Circuit Paul Ricard,race,355,20,LMP2 Pro/Am,Kriton Lentoudis,kriton lentoudis,4,1.0,3,174.623,56.142,57.57,60.911,,GF,0,60.98,61.34,66.73,False,244
elms,2025,Paul Ricard,Circuit Paul Ricard,race,355,20,LMP2 Pro/Am,Kriton Lentoudis,kriton lentoudis,5,1.0,4,135.995,36.986,41.441,57.568,,GF,1,60.85,61.16,68.14,False,244
elms,2025,Paul Ricard,Circuit Paul Ricard,race,355,20,LMP2 Pro/Am,Kriton Lentoudis,kriton lentoudis,6,1.0,5,138.584,35.885,41.522,61.177,,GF,2,60.85,61.16,69.31,False,244
elms,2025,Paul Ricard,Circuit Paul Ricard,race,355,20,LMP2 Pro/Am,Kriton Lentoudis,kriton lentoudis,7,1.0,6,137.818,37.046,41.975,58.797,,GF,3,60.64,60.98,71.02,False,244
elms,2025,Paul Ricard,Circuit Paul Ricard,race,355,20,LMP2 Pro/Am,Kriton Lentoudis,kriton lentoudis,8,1.0,7,137.938,37.412,42.452,58.074,,GF,4,60.51,60.8,71.63,False,244
elms,2025,Paul Ricard,Circuit Paul Ricard,race,355,20,LMP2 Pro/Am,Kriton Lentoudis,kriton lentoudis,9,1.0,8,138.205,36.843,43.158,58.204,,GF,5,60.13,60.62,72.3,False,244
elms,2025,Paul Ricard,Circuit Paul Ricard,race,355,20,LMP2 Pro/Am,Kriton Lentoudis,kriton lentoudis,10,1.0,9,138.123,36.352,42.738,59.033,,GF,6,59.67,60.26,72.91,False,244
elms,2025,Paul Ricard,Circuit Paul Ricard,race,355,20,LMP2 Pro/Am,Kriton Lentoudis,kriton lentoudis,11,1.0,10,136.772,37.104,41.774,57.894,,GF,7,59.43,60.08,72.85,False,244
elms,2025,Paul Ricard,Circuit Paul Ricard,race,355,20,LMP2 Pro/Am,Kriton Lentoudis,kriton lentoudis,12,1.0,11,135.006,35.912,41.265,57.829,,GF,8,59.23,60.08,73.46,False,244
elms,2025,Paul Ricard,Circuit Paul Ricard,race,355,20,LMP2 Pro/Am,Kriton Lentoudis,kriton lentoudis,13,1.0,12,136.932,37.425,41.492,58.015,,GF,9,59.14,59.72,74.16,False,244
elms,2025,Paul Ricard,Circuit Paul Ricard,race,355,20,LMP2 Pro/Am,Kriton Lentoudis,kriton lentoudis,14,1.0,13,134.548,36.019,41.149,57.38,,GF,10,59.23,59.72,74.5,False,244
elms,2025,Paul Ricard,Circuit Paul Ricard,race,355,20,LMP2 Pro/Am,Kriton Lentoudis,kriton lentoudis,15,1.0,14,136.026,35.819,41.546,58.661,,GF,11,59.31,59.72,74.02,False,244
elms,2025,Paul Ricard,Circuit Paul Ricard,race,355,20,LMP2 Pro/Am,Kriton Lentoudis,kriton lentoudis,16,1.0,15,136.101,36.004,41.553,58.544,,GF,12,59.41,59.54,72.44,False,244
elms,2025,Paul Ricard,Circuit Paul Ricard,race,355,20,LMP2 Pro/Am,Kriton Lentoudis,kriton lentoudis,17,1.0,16,138.39,36.331,42.029,60.03,,GF,13,59.56,59.54,73.59,False,244
elms,2025,Paul Ricard,Circuit Paul Ricard,race,355,20,LMP2 Pro/Am,Kriton Lentoudis,kriton lentoudis,18,1.0,17,137.647,36.81,42.07,58.767,,GF,14,59.63,59.72,73.41,False,244
elms,2025,Paul Ricard,Circuit Paul Ricard,race,355,20,LMP2 Pro/Am,Kriton Lentoudis,kriton lentoudis,19,1.0,18,139.122,37.58,43.101,58.441,,GF,15,59.74,60.08,72.06,False,244
elms,2025,Paul Ricard,Circuit Paul Ricard,race,355,20,LMP2 Pro/Am,Kriton Lentoudis,kriton lentoudis,20,1.0,19,139.283,37.343,42.594,59.346,,GF,16,59.85,60.8,72.25,False,244
elms,2025,Paul Ricard,Circuit Paul Ricard,race,355,20,LMP2 Pro/Am,Kriton Lentoudis,kriton lentoudis,21,1.0,20,139.555,37.861,43.036,58.658,,SF,17,60.15,61.52,70.21,False,244
elms,2025,Paul Ricard,Circuit Paul Ricard,race,355,20,LMP2 Pro/Am,Kriton Lentoudis,kriton lentoudis,22,1.0,21,167.738,44.031,52.813,70.894,,SF,17,60.37,61.7,70.17,False,244
elms,2025,Paul Ricard,Circuit Paul Ricard,race,355,20,LMP2 Pro/Am,Kriton Lentoudis,kriton lentoudis,23,1.0,22,162.944,43.164,48.893,70.887,,SF,17,60.67,62.6,70.32,False,244
elms,2025,Paul Ricard,Circuit Paul Ricard,race,355,20,LMP2 Pro/Am,Kriton Lentoudis,kriton lentoudis,24,1.0,23,245.736,63.062,78.119,104.555,,SF,17,60.78,63.5,68.25,False,244
elms,2025,Paul Ricard,Circuit Paul Ricard,race,355,20,LMP2 Pro/Am,Kriton Lentoudis,kriton lentoudis,25,1.0,24,203.337,62.802,54.684,85.851,,GF,17,60.85,63.68,68.82,False,244
elms,2025,Paul Ricard,Circuit Paul Ricard,race,355,20,LMP2 Pro/Am,Kriton Lentoudis,kriton lentoudis,26,1.0,25,147.522,38.553,43.61,65.359,,GF,18,60.78,63.14,69.88,False,244
elms,2025,Paul Ricard,Circuit Paul Ricard,race,355,20,LMP2 Pro/Am,Olli Caldwell,olli caldwell,27,2.0,0,196.462,96.399,42.264,57.799,68.805,GF,0,60.55,61.88,69.51,False,244
