series_code,year,event,circuit_name,session,session_id,car,class,driver_name,driver_id,lap,stint_number,stint_lap,lap_time,lap_time_s1,lap_time_s2,lap_time_s3,pit_time,flags,est_tire_age,air_temp_f,track_temp_f,humidity_percent,raining,race_duration_minutes
elms,2025,Silverstone,Silverstone Circuit,race,365,10,LMP2,Ryan Cullen,ryan cullen,1,1.0,0,120.765,38.962,31.187,50.616,,GF,0,54.3,59.9,77.52,False,277
elms,2025,Silverstone,Silverstone Circuit,race,365,10,LMP2,Ryan Cullen,ryan cullen,2,1.0,1,183.442,32.166,46.763,104.513,,GF,0,54.32,59.72,77.59,False,277
elms,2025,Silverstone,Silverstone Circuit,race,365,10,LMP2,Ryan Cullen,ryan cullen,3,1.0,2,263.514,91.127,67.688,104.699,,GF,1,54.55,59.9,77.14,False,277
elms,2025,Silverstone,Silverstone Circuit,race,365,10,LMP2,Ryan Cullen,ryan cullen,4,1.0,3,247.24,109.177,66.986,71.077,33.899,SF,0,54.66,59.9,77.37,False,277
elms,2025,Silverstone,Silverstone Circuit,race,365,10,LMP2,Ryan Cullen,ryan cullen,5,1.0,4,211.259,80.195,58.969,72.095,,SF,0,54.73,60.08,77.19,False,277
elms,2025,Silverstone,Silverstone Circuit,race,365,10,LMP2,Ryan Cullen,ryan cullen,6,1.0,5,169.399,45.209,36.229,87.961,,GF,0,54.75,60.08,76.89,False,277
elms,2025,Silverstone,Silverstone Circuit,race,365,10,LMP2,Ryan Cullen,ryan cullen,7,1.0,6,110.593,32.762,29.168,48.663,,GF,1,54.77,60.26,77.43,False,277
elms,2025,Silverstone,Silverstone Circuit,race,365,10,LMP2,Ryan Cullen,ryan cullen,8,1.0,7,109.367,32.441,28.969,47.957,,GF,2,54.75,60.26,77.49,False,277
elms,2025,Silverstone,Silverstone Circuit,race,365,10,LMP2,Ryan Cullen,ryan cullen,9,1.0,8,108.582,31.611,28.506,48.465,,GF,3,54.79,60.26,77.14,False,277
elms,2025,Silverstone,Silverstone Circuit,race,365,10,LMP2,Ryan Cullen,ryan cullen,10,1.0,9,107.191,31.833,28.199,47.159,,GF,4,54.82,60.26,76.99,False,277
elms,2025,Silverstone,Silverstone Circuit,race,365,10,LMP2,Ryan Cullen,ryan cullen,11,1.0,10,107.1,31.532,28.249,47.319,,GF,5,54.93,60.26,76.66,False,277
