series_code,year,event,circuit_name,session,session_id,car,class,driver_name,driver_id,lap,stint_number,stint_lap,lap_time,lap_time_s1,lap_time_s2,lap_time_s3,pit_time,flags,est_tire_age,air_temp_f,track_temp_f,humidity_percent,raining,race_duration_minutes
elms,2025,Silverstone,Silverstone Circuit,race,365,20,LMP2 Pro/Am,Kriton Lentoudis,kriton lentoudis,1,1.0,0,130.186,45.225,32.576,52.385,,GF,0,54.36,59.9,77.61,False,277
elms,2025,Silverstone,Silverstone Circuit,race,365,20,LMP2 Pro/Am,Kriton Lentoudis,kriton lentoudis,2,1.0,1,199.215,34.296,60.637,104.282,,GF,0,54.43,59.72,77.91,False,277
elms,2025,Silverstone,Silverstone Circuit,race,365,20,LMP2 Pro/Am,Kriton Lentoudis,kriton lentoudis,3,1.0,2,264.06,91.303,67.665,105.092,,GF,1,54.55,59.9,77.14,False,277
elms,2025,Silverstone,Silverstone Circuit,race,365,20,LMP2 Pro/Am,Kriton Lentoudis,kriton lentoudis,4,1.0,3,227.437,115.429,52.797,59.211,39.753,SF,0,54.66,59.9,77.37,False,277
elms,2025,Silverstone,Silverstone Circuit,race,365,20,LMP2 Pro/Am,Kriton Lentoudis,kriton lentoudis,5,1.0,4,210.52,79.73,59.633,71.157,,SF,0,54.73,60.08,77.19,False,277
elms,2025,Silverstone,Silverstone Circuit,race,365,20,LMP2 Pro/Am,Kriton Lentoudis,kriton lentoudis,6,1.0,5,169.984,44.416,36.194,89.374,,GF,0,54.75,60.08,76.89,False,277
elms,2025,Silverstone,Silverstone Circuit,race,365,20,LMP2 Pro/Am,Kriton Lentoudis,kriton lentoudis,7,1.0,6,114.273,33.316,31.237,49.72,,GF,1,54.77,60.26,77.43,False,277
elms,2025,Silverstone,Silverstone Circuit,race,365,20,LMP2 Pro/Am,Kriton Lentoudis,kriton lentoudis,8,1.0,7,111.781,33.05,29.613,49.118,,GF,2,54.75,60.26,77.49,False,277
elms,2025,Silverstone,Silverstone Circuit,race,365,20,LMP2 Pro/Am,Kriton Lentoudis,kriton lentoudis,9,1.0,8,111.506,33.336,29.28,48.89,,GF,3,54.82,60.26,77.23,False,277
elms,2025,Silverstone,Silverstone Circuit,race,365,20,LMP2 Pro/Am,Kriton Lentoudis,kriton lentoudis,10,1.0,9,111.061,32.978,29.607,48.476,,GF,4,54.91,60.26,77.1,False,277
elms,2025,Silverstone,Silverstone Circuit,race,365,20,LMP2 Pro/Am,Kriton Lentoudis,kriton lentoudis,11,1.0,10,111.131,32.663,29.758,48.71,,GF,5,54.93,60.26,76.66,False,277
elms,2025,Silverstone,Silverstone Circuit,race,365,20,LMP2 Pro/Am,Kriton Lentoudis,kriton lentoudis,12,1.0,11,111.504,32.781,29.728,48.995,,GF,6,55.04,60.26,76.7,False,277
elms,2025,Silverstone,Silverstone Circuit,race,365,20,LMP2 Pro/Am,Kriton Lentoudis,kriton lentoudis,13,1.0,12,111.806,33.082,29.862,48.862,,GF,7,55.08,60.26,76.62,False,277
elms,2025,Silverstone,Silverstone Circuit,race,365,20,LMP2 Pro/Am,Kriton Lentoudis,kriton lentoudis,14,1.0,13,111.812,32.739,29.704,49.369,,GF,8,55.11,60.26,76.25,False,277
elms,2025,Silverstone,Silverstone Circuit,race,365,20,LMP2 Pro/Am,Kriton Lentoudis,kriton lentoudis,15,1.0,14,118.31,32.685,30.616,55.009,,GF,9,55.09,60.08,76.11,False,277
elms,2025,Silverstone,Silverstone Circuit,race,365,20,LMP2 Pro/Am,Kriton Lentoudis,kriton lentoudis,16,1.0,15,163.721,37.896,53.278,72.547,,SF,10,55.06,60.08,75.95,False,277
elms,2025,Silverstone,Silverstone Circuit,race,365,20,LMP2 Pro/Am,Kriton Lentoudis,kriton lentoudis,17,1.0,16,1861.676,48.57,44.795,1768.311,,SF,10,55.58,60.08,74.68,False,277
elms,2025,Silverstone,Silverstone Circuit,race,365,20,LMP2 Pro/Am,Kriton Lentoudis,kriton lentoudis,18,1.0,17,186.285,56.568,54.019,75.698,,SF,10,55.63,60.44,74.55,False,277
elms,2025,Silverstone,Silverstone Circuit,race,365,20,LMP2 Pro/Am,Kriton Lentoudis,kriton lentoudis,19,1.0,18,194.227,47.066,76.573,70.588,,GF,10,55.67,60.62,74.29,False,277
elms,2025,Silverstone,Silverstone Circuit,race,365,20,LMP2 Pro/Am,Kriton Lentoudis,kriton lentoudis,20,1.0,19,120.784,36.435,32.35,51.999,,GF,11,55.63,60.8,74.16,False,277
elms,2025,Silverstone,Silverstone Circuit,race,365,20,LMP2 Pro/Am,Kriton Lentoudis,kriton lentoudis,21,1.0,20,118.99,36.234,30.097,52.659,,GF,12,55.71,60.8,74.43,False,277
elms,2025,Silverstone,Silverstone Circuit,race,365,20,LMP2 Pro/Am,Kriton Lentoudis,kriton lentoudis,22,1.0,21,114.049,34.572,29.715,49.762,,GF,13,55.78,60.98,74.07,False,277
elms,2025,Silverstone,Silverstone Circuit,race,365,20,LMP2 Pro/Am,Kriton Lentoudis,kriton lentoudis,23,1.0,22,110.883,32.681,29.218,48.984,,SF,14,55.83,61.16,74.62,False,277
elms,2025,Silverstone,Silverstone Circuit,race,365,20,LMP2 Pro/Am,Kriton Lentoudis,kriton lentoudis,24,1.0,23,178.746,71.225,41.759,65.762,,SF,14,55.99,61.16,74.26,False,277
elms,2025,Silverstone,Silverstone Circuit,race,365,20,LMP2 Pro/Am,Kriton Lentoudis,kriton lentoudis,25,1.0,24,252.047,69.474,43.352,139.221,,RF,14,56.12,61.16,74.93,False,277
