series,season,circuit,driver,decision_lap,real_pit_lap,model_pit_lap,race_laps,compound,tyre_age,slope_s_per_lap,pit_loss_s,b1_lap,b2_lap,b3_lap,b3_undefined,car_class,model_error,b1_error,b2_error,b3_error
elms,2021,Portimao,24,27,30,31,129,,27,-0.0008,66.5,26,,31,,LMP2,1,4,,1
elms,2021,Portimao,65,28,31,30,129,,28,-0.0008,66.5,26,,31,,LMP2,1,5,,0
elms,2021,Spa,28,14,17,23,99,,14,0.0184,65.3,20,84.0,23,,LMP2,6,3,67.0,6
elms,2021,Spa,32,11,14,22,99,,11,0.0184,65.3,20,84.0,23,,LMP2,8,6,70.0,9
elms,2021,Spa,30,14,17,23,99,,14,0.0184,65.3,20,84.0,23,,LMP2,6,3,67.0,6
elms,2022,Barcelona,65,23,26,25,131,,23,0.0275,77.1,22,75.0,26,,LMP2,1,4,49.0,0
elms,2022,Barcelona,47,22,25,26,131,,22,0.0275,77.1,22,75.0,26,,LMP2,1,3,50.0,1
elms,2022,Imola,22,20,23,25,126,,20,0.0006,15.2,21,,25,,LMP2,2,2,,2
elms,2022,Imola,65,21,24,25,126,,21,0.0006,15.2,21,,25,,LMP2,1,3,,1
elms,2022,Imola,34,21,24,25,126,,21,0.0006,15.2,21,,25,,LMP2,1,3,,1
elms,2022,Imola,30,20,23,25,126,,20,0.0006,15.2,21,,25,,LMP2,2,2,,2
elms,2022,Monza,19,20,23,23,121,,20,0.0105,64.8,20,111.0,23,,LMP2,0,3,88.0,0
elms,2022,Monza,22,20,23,23,121,,20,0.0105,64.8,20,111.0,23,,LMP2,0,3,88.0,0
elms,2022,Monza,24,19,22,23,121,,19,0.0105,64.8,20,111.0,23,,LMP2,1,2,89.0,1
elms,2022,Paul Ricard,19,18,21,20,119,,18,-0.0121,50.2,20,,24,,LMP2,1,1,,3
elms,2022,Paul Ricard,22,19,22,21,119,,19,-0.0121,50.2,20,,24,,LMP2,1,2,,2
elms,2022,Paul Ricard,28,20,23,21,119,,20,-0.0121,50.2,20,,24,,LMP2,2,3,,1
elms,2022,Paul Ricard,34,20,23,21,119,,20,-0.0121,50.2,20,,24,,LMP2,2,3,,1
elms,2022,Paul Ricard,37,21,24,23,119,,21,-0.0121,50.2,20,,24,,LMP2,1,4,,0
elms,2022,Portimao,65,15,18,16,124,,15,-0.0875,57.1,25,,27,,LMP2,2,7,,9
elms,2022,Portimao,9,16,19,17,124,,16,-0.0875,57.1,25,,27,,LMP2,2,6,,8
elms,2022,Portimao,37,15,18,16,124,,15,-0.0875,57.1,25,,27,,LMP2,2,7,,9
elms,2022,Portimao,19,16,19,17,124,,16,-0.0875,57.1,25,,27,,LMP2,2,6,,8
elms,2022,Portimao,43,16,19,17,124,,16,-0.0875,57.1,25,,27,,LMP2,2,6,,8
elms,2022,Spa,19,10,13,11,97,,10,-0.039,66.8,16,,19,,LMP2,2,3,,6
elms,2022,Spa,22,10,13,11,97,,10,-0.039,66.8,16,,19,,LMP2,2,3,,6
elms,2022,Spa,34,10,13,11,97,,10,-0.039,66.8,16,,19,,LMP2,2,3,,6
elms,2022,Spa,30,9,12,10,97,,9,-0.039,66.8,16,,19,,LMP2,2,4,,7
elms,2022,Spa,65,10,13,11,97,,10,-0.039,66.8,16,,19,,LMP2,2,3,,6
elms,2023,Aragon,22,18,21,23,119,,18,0.0389,64.9,20,58.0,23,,LMP2,2,1,37.0,2
elms,2023,Aragon,23,19,22,23,119,,19,0.0389,64.9,20,58.0,23,,LMP2,1,2,36.0,1
elms,2023,Aragon,25,19,22,23,119,,19,0.0389,64.9,20,58.0,23,,LMP2,1,2,36.0,1
elms,2023,Aragon,28,19,22,23,119,,19,0.0389,64.9,20,58.0,23,,LMP2,1,2,36.0,1
elms,2023,Aragon,30,18,21,23,119,,18,0.0389,64.9,20,58.0,23,,LMP2,2,1,37.0,2
elms,2023,Aragon,24,16,19,23,118,,16,0.0278,68.5,20,70.0,23,,LMP2 Pro/Am,4,1,51.0,4
elms,2023,Aragon,21,16,19,23,118,,16,0.0278,68.5,20,70.0,23,,LMP2 Pro/Am,4,1,51.0,4
elms,2023,Aragon,83,17,20,23,118,,17,0.0278,68.5,20,70.0,23,,LMP2 Pro/Am,3,0,50.0,3
elms,2023,Aragon,19,17,20,23,118,,17,0.0278,68.5,20,70.0,23,,LMP2 Pro/Am,3,0,50.0,3
