series,event,circuit_canonical,car_class,season,total_laps,non_green_or_pit,missing_tyre_age,field_wide_trimmed,per_car_trimmed,insufficient_car_laps,kept,pct_kept
imsa,Daytona,Daytona,GTP,2023,6772,847,0,154,580,0,5191,76.7
imsa,Daytona,Daytona,GTP,2024,7322,951,0,198,621,0,5552,75.8
imsa,Daytona,Daytona,GTP,2025,7563,1107,0,192,631,0,5633,74.5
imsa,Daytona,Daytona,GTP,2026,7635,1959,0,159,556,0,4961,65.0
imsa,Detroit,Detroit,GTP,2024,697,165,0,76,48,0,408,58.5
imsa,Detroit,Detroit,GTP,2025,922,100,0,35,85,0,702,76.1
imsa,Detroit,Detroit,GTP,2026,900,129,0,55,76,0,640,71.1
imsa,Indianapolis,Indianapolis,GTP,2023,1120,146,0,27,98,0,849,75.8
imsa,Indianapolis,Indianapolis,GTP,2024,2178,632,0,564,103,10,869,39.9
imsa,Indianapolis,Indianapolis,GTP,2025,2915,475,0,97,239,0,2104,72.2
imsa,Laguna Seca,Laguna Seca,GTP,2023,910,219,0,44,71,0,576,63.3
imsa,Laguna Seca,Laguna Seca,GTP,2024,1188,107,0,10,110,0,961,80.9
imsa,Laguna Seca,Laguna Seca,GTP,2025,1352,38,0,0,132,0,1182,87.4
imsa,Laguna Seca,Laguna Seca,GTP,2026,1215,100,0,10,113,0,992,81.6
imsa,Long Beach,Long Beach,GTP,2023,543,48,0,8,49,0,438,80.7
imsa,Long Beach,Long Beach,GTP,2024,635,164,0,31,47,0,393,61.9
imsa,Long Beach,Long Beach,GTP,2025,824,122,0,23,76,0,603,73.2
imsa,Long Beach,Long Beach,GTP,2026,763,184,0,72,54,0,453,59.4
imsa,Mosport,Mosport,GTP,2023,1077,167,0,27,90,0,793,73.6
imsa,Road America,Road America,GTP,2023,699,54,0,39,61,1,544,77.8
imsa,Road America,Road America,GTP,2024,586,207,0,47,38,17,277,47.3
imsa,Road America,Road America,GTP,2025,726,203,0,55,54,0,414,57.0
imsa,Road Atlanta,Road Atlanta,GTP,2023,3737,820,0,133,282,0,2502,67.0
imsa,Road Atlanta,Road Atlanta,GTP,2024,4259,424,0,56,380,0,3399,79.8
imsa,Road Atlanta,Road Atlanta,GTP,2025,5224,604,0,73,457,0,4090,78.3
imsa,Sebring,Sebring,GTP,2023,2303,451,0,78,180,0,1594,69.2
imsa,Sebring,Sebring,GTP,2024,3383,607,0,124,270,0,2382,70.4
imsa,Sebring,Sebring,GTP,2025,4444,542,0,106,386,0,3410,76.7
imsa,Sebring,Sebring,GTP,2026,3747,558,0,93,316,0,2780,74.2
imsa,Watkins Glen,Watkins Glen,GTP,2023,1476,203,0,32,128,0,1113,75.4
imsa,Watkins Glen,Watkins Glen,GTP,2024,1569,441,0,95,105,0,928,59.1
imsa,Watkins Glen,Watkins Glen,GTP,2025,1984,618,0,138,129,0,1099,55.4
imsa,Watkins Glen,Watkins Glen,GTP,2026,1680,382,0,74,129,24,1071,63.8
imsa,Belle Isle,Belle Isle,GTD,2022,612,19,0,0,63,15,515,84.2
imsa,Canadian Tire Motorsport Park,Mosport,GTD,2026,1529,123,0,37,143,0,1226,80.2
imsa,Daytona,Daytona,GTD,2021,12592,1634,0,136,1087,0,9735,77.3
imsa,Daytona,Daytona,GTD,2022,12048,2328,0,136,964,0,8620,71.5
imsa,Daytona,Daytona,GTD,2023,14446,2107,0,105,1231,0,11003,76.2
imsa,Daytona,Daytona,GTD,2024,14326,2146,0,203,1207,0,10770,75.2
imsa,Daytona,Daytona,GTD,2025,13071,2203,0,230,1070,0,9568,73.2
imsa,Daytona,Daytona,GTD,2026,11826,3261,0,201,845,1,7518,63.6
imsa,Indianapolis,Indianapolis,GTD,2023,1675,258,0,17,145,18,1237,73.9
imsa,Indianapolis,Indianapolis,GTD,2024,3978,1250,0,987,182,27,1532,38.5
imsa,Indianapolis,Indianapolis,GTD,2025,3431,670,0,68,277,15,2401,70.0
imsa,Laguna Seca,Laguna Seca,GTD,2021,1167,81,0,22,110,0,954,81.7
imsa,Laguna Seca,Laguna Seca,GTD,2022,1342,140,0,10,125,19,1048,78.1
imsa,Laguna Seca,Laguna Seca,GTD,2023,1332,405,0,57,94,22,754,56.6
imsa,Laguna Seca,Laguna Seca,GTD,2024,1616,177,0,20,147,0,1272,78.7
imsa,Laguna Seca,Laguna Seca,GTD,2025,1694,50,0,0,165,0,1479,87.3
imsa,Laguna Seca,Laguna Seca,GTD,2026,1293,126,0,24,119,0,1024,79.2
imsa,Lime Rock,Lime Rock,GTD,2021,1263,42,0,0,129,0,1092,86.5
imsa,Lime Rock,Lime Rock,GTD,2022,1575,102,0,8,147,0,1318,83.7
imsa,Lime Rock,Lime Rock,GTD,2023,2202,256,0,25,198,0,1723,78.2
imsa,Long Beach,Long Beach,GTD,2021,1179,103,0,0,114,19,943,80.0
imsa,Long Beach,Long Beach,GTD,2022,873,168,0,34,75,0,596,68.3
imsa,Long Beach,Long Beach,GTD,2023,937,93,0,13,91,0,740,79.0
imsa,Long Beach,Long Beach,GTD,2024,951,274,0,60,73,29,515,54.2
imsa,Long Beach,Long Beach,GTD,2025,1079,198,0,31,92,12,746,69.1
imsa,Long Beach,Long Beach,GTD,2026,1089,286,0,90,80,5,628,57.7
imsa,Mid-Ohio,Mid-Ohio,GTD,2021,1404,118,0,26,127,0,1133,80.7
imsa,Mid-Ohio,Mid-Ohio,GTD,2022,1209,110,0,20,110,0,969,80.1
imsa,Mosport,Mosport,GTD,2022,635,92,0,22,52,0,469,73.9
imsa,Mosport,Mosport,GTD,2023,1478,262,0,39,121,0,1056,71.4
imsa,Mosport,Mosport,GTD,2024,1362,236,0,42,111,17,956,70.2
imsa,Mosport,Mosport,GTD,2025,1401,320,0,25,110,0,946,67.5
imsa,Road America,Road America,GTD,2021,951,124,0,30,83,18,696,73.2
imsa,Road America,Road America,GTD,2022,656,206,0,123,33,0,294,44.8
imsa,Road America,Road America,GTD,2023,1019,88,0,30,99,9,793,77.8
imsa,Road America,Road America,GTD,2024,843,363,0,67,45,52,316,37.5
imsa,Road America,Road America,GTD,2025,712,249,0,59,45,9,350,49.2
imsa,Road Atlanta,Road Atlanta,GTD,2021,4153,946,0,125,314,0,2768,66.7
imsa,Road Atlanta,Road Atlanta,GTD,2022,4745,884,0,113,381,18,3349,70.6
imsa,Road Atlanta,Road Atlanta,GTD,2023,6329,1610,0,222,458,0,4039,63.8
imsa,Road Atlanta,Road Atlanta,GTD,2024,7284,826,0,133,638,10,5677,77.9
imsa,Road Atlanta,Road Atlanta,GTD,2025,5273,722,0,46,455,0,4050,76.8
imsa,Sebring,Sebring,GTD,2021,3566,589,0,78,294,0,2605,73.1
imsa,Sebring,Sebring,GTD,2022,4942,737,0,86,417,0,3702,74.9
imsa,Sebring,Sebring,GTD,2023,5522,1305,0,217,407,0,3593,65.1
imsa,Sebring,Sebring,GTD,2024,5772,1217,0,210,440,15,3890,67.4
imsa,Sebring,Sebring,GTD,2025,5529,782,0,130,471,19,4127,74.6
imsa,Sebring,Sebring,GTD,2026,4961,838,0,145,407,0,3571,72.0
imsa,VIR,VIR,GTD,2021,1212,134,0,15,114,0,949,78.3
imsa,VIR,VIR,GTD,2022,1032,89,0,12,96,1,834,80.8
imsa,VIR,VIR,GTD,2023,1004,139,0,50,87,22,706,70.3
imsa,VIR,VIR,GTD,2024,1170,93,0,33,110,0,934,79.8
imsa,VIR,VIR,GTD,2025,1033,159,0,58,89,0,727,70.4
imsa,Watkins Glen,Watkins Glen,GTD,2022,2146,462,0,97,163,16,1408,65.6
imsa,Watkins Glen,Watkins Glen,GTD,2023,3398,528,0,81,286,14,2489,73.2
imsa,Watkins Glen,Watkins Glen,GTD,2024,2612,821,0,141,171,9,1470,56.3
imsa,Watkins Glen,Watkins Glen,GTD,2025,2863,1070,0,206,163,12,1412,49.3
imsa,Watkins Glen,Watkins Glen,GTD,2026,3019,893,0,137,208,18,1763,58.4
imsa,Watkins Glen 240,Watkins Glen,GTD,2021,637,112,0,33,54,17,421,66.1
imsa,Watkins Glen 6 Hours,Watkins Glen,GTD,2021,2251,407,0,51,185,0,1608,71.4
imsa,Canadian Tire Motorsport Park,Mosport,GTDPRO,2026,1180,95,0,20,110,0,955,80.9
imsa,Daytona,Daytona,GTDPRO,2022,7903,1488,0,172,629,0,5614,71.0
imsa,Daytona,Daytona,GTDPRO,2023,6734,936,0,122,571,0,5105,75.8
imsa,Daytona,Daytona,GTDPRO,2024,7875,1169,0,158,659,0,5889,74.8
imsa,Daytona,Daytona,GTDPRO,2025,9190,1460,0,181,760,0,6789,73.9
imsa,Daytona,Daytona,GTDPRO,2026,9186,2506,0,127,659,0,5894,64.2
imsa,Detroit,Detroit,GTDPRO,2024,765,213,0,73,52,0,427,55.8
imsa,Detroit,Detroit,GTDPRO,2025,879,106,0,36,76,0,661,75.2
imsa,Detroit,Detroit,GTDPRO,2026,788,121,0,41,69,0,557,70.7
imsa,Indianapolis,Indianapolis,GTDPRO,2023,520,79,0,10,45,0,386,74.2
imsa,Indianapolis,Indianapolis,GTDPRO,2024,2448,726,0,592,117,1,1012,41.3
imsa,Indianapolis,Indianapolis,GTDPRO,2025,2381,454,0,82,191,0,1654,69.5
imsa,Laguna Seca,Laguna Seca,GTDPRO,2022,642,61,0,6,60,0,515,80.2
imsa,Laguna Seca,Laguna Seca,GTDPRO,2023,481,144,0,15,35,0,287,59.7
imsa,Laguna Seca,Laguna Seca,GTDPRO,2024,996,100,0,9,90,0,797,80.0
imsa,Laguna Seca,Laguna Seca,GTDPRO,2025,1140,35,0,0,112,0,993,87.1
imsa,Laguna Seca,Laguna Seca,GTDPRO,2026,997,92,0,8,90,0,807,80.9
imsa,Lime Rock,Lime Rock,GTDPRO,2022,768,48,0,6,75,0,639,83.2
imsa,Lime Rock,Lime Rock,GTDPRO,2023,840,100,0,10,75,0,655,78.0
imsa,Long Beach,Long Beach,GTDPRO,2022,374,65,0,15,32,0,262,70.1
imsa,Long Beach,Long Beach,GTDPRO,2023,364,35,0,5,35,0,289,79.4
imsa,Mosport,Mosport,GTDPRO,2022,666,99,0,24,54,0,489,73.4
imsa,Mosport,Mosport,GTDPRO,2023,480,74,0,16,40,0,350,72.9
imsa,Mosport,Mosport,GTDPRO,2024,987,162,0,33,80,0,712,72.1
imsa,Mosport,Mosport,GTDPRO,2025,1080,231,0,19,89,0,741,68.6
imsa,Road America,Road America,GTDPRO,2022,300,100,0,59,14,19,108,36.0
imsa,Road America,Road America,GTDPRO,2023,361,32,0,10,35,0,284,78.7
