series,event,circuit_canonical,car_class,season,n_laps,n_cars,net_slope,ci_low,ci_high,rmse_s,fuel_deg_corr,separable
imsa,Daytona,Daytona,GTP,2023,5191,9,0.0216,0.0143,0.0289,0.965,0.951,False
imsa,Daytona,Daytona,GTP,2024,5555,10,0.0307,0.0253,0.0361,0.899,0.966,False
imsa,Daytona,Daytona,GTP,2025,5649,12,0.0385,0.0286,0.0484,1.52,0.943,False
imsa,Daytona,Daytona,GTP,2026,4961,11,0.0233,0.0167,0.03,0.908,0.972,False
imsa,Detroit,Detroit,GTP,2024,426,10,0.0301,0.0002,0.06,0.978,0.984,False
imsa,Detroit,Detroit,GTP,2025,702,11,-0.0,-0.0054,0.0053,0.632,0.996,False
imsa,Detroit,Detroit,GTP,2026,651,11,0.0034,-0.0044,0.0112,0.735,0.994,False
imsa,Indianapolis,Indianapolis,GTP,2023,854,10,0.0171,0.0111,0.0231,0.845,0.975,False
imsa,Indianapolis,Indianapolis,GTP,2024,1338,11,0.0155,-0.0215,0.0526,3.522,0.897,True
imsa,Indianapolis,Indianapolis,GTP,2025,2116,12,0.0122,0.0095,0.0148,0.732,0.977,False
imsa,Laguna Seca,Laguna Seca,GTP,2023,585,9,0.0099,-0.0104,0.0301,1.255,0.982,False
imsa,Laguna Seca,Laguna Seca,GTP,2024,961,10,0.0166,0.0081,0.0251,0.906,0.985,False
imsa,Laguna Seca,Laguna Seca,GTP,2025,1182,11,0.0238,0.0178,0.0298,0.846,1.0,False
imsa,Laguna Seca,Laguna Seca,GTP,2026,992,11,0.0241,0.0127,0.0355,0.758,0.997,False
imsa,Long Beach,Long Beach,GTP,2023,438,7,0.0008,-0.0116,0.0131,0.803,1.0,False
imsa,Long Beach,Long Beach,GTP,2024,394,10,-0.0249,-0.0366,-0.0133,0.813,0.985,False
imsa,Long Beach,Long Beach,GTP,2025,603,11,-0.0236,-0.0345,-0.0127,0.633,0.996,False
imsa,Long Beach,Long Beach,GTP,2026,467,11,-0.0141,-0.0281,-0.0002,0.73,0.985,False
imsa,Mosport,Mosport,GTP,2023,793,9,0.0002,-0.0091,0.0094,0.969,0.986,False
imsa,Road America,Road America,GTP,2023,555,9,-0.0357,-0.0653,-0.006,1.469,0.996,False
imsa,Road America,Road America,GTP,2024,277,9,-0.059,-0.0966,-0.0215,1.22,0.97,False
imsa,Road America,Road America,GTP,2025,414,11,0.0174,-0.0184,0.0533,1.384,0.98,False
imsa,Road Atlanta,Road Atlanta,GTP,2023,2520,10,0.0217,0.0182,0.0252,1.057,0.973,False
imsa,Road Atlanta,Road Atlanta,GTP,2024,3403,11,0.0112,0.0054,0.0171,0.976,0.987,False
imsa,Road Atlanta,Road Atlanta,GTP,2025,4091,12,0.0204,0.0162,0.0246,0.887,0.97,False
imsa,Sebring,Sebring,GTP,2023,1594,8,0.0194,-0.0016,0.0404,1.28,0.978,False
imsa,Sebring,Sebring,GTP,2024,2387,11,0.0138,0.0064,0.0212,1.05,0.975,False
imsa,Sebring,Sebring,GTP,2025,3411,13,0.0123,-0.0008,0.0253,1.018,0.826,True
imsa,Sebring,Sebring,GTP,2026,2780,11,0.0022,-0.0042,0.0085,0.893,0.82,True
imsa,Watkins Glen,Watkins Glen,GTP,2023,1113,8,0.0047,-0.0093,0.0188,1.174,0.991,False
imsa,Watkins Glen,Watkins Glen,GTP,2024,947,11,0.0172,0.0031,0.0314,1.363,0.978,False
imsa,Watkins Glen,Watkins Glen,GTP,2025,1119,13,0.0226,0.0082,0.037,1.399,0.96,False
imsa,Watkins Glen,Watkins Glen,GTP,2026,1071,9,0.0271,0.0194,0.0348,0.867,0.945,False
imsa,Belle Isle,Belle Isle,GTD,2022,515,9,-0.0186,-0.0272,-0.01,0.635,1.0,False
imsa,Canadian Tire Motorsport Park,Mosport,GTD,2026,1226,13,0.0109,0.0041,0.0177,0.428,0.999,False
imsa,Daytona,Daytona,GTD,2021,9753,19,0.0085,0.0038,0.0131,0.831,0.972,False
imsa,Daytona,Daytona,GTD,2022,8653,22,-0.0693,-0.0823,-0.0563,1.821,0.959,False
imsa,Daytona,Daytona,GTD,2023,11009,23,-0.0109,-0.0158,-0.0059,1.026,0.968,False
imsa,Daytona,Daytona,GTD,2024,10775,23,0.0019,-0.0037,0.0074,1.021,0.968,False
imsa,Daytona,Daytona,GTD,2025,9595,22,0.0398,0.0342,0.0454,0.604,0.961,False
imsa,Daytona,Daytona,GTD,2026,7540,20,0.0358,0.0309,0.0406,0.599,0.949,False
imsa,Indianapolis,Indianapolis,GTD,2023,1237,16,0.0239,0.0113,0.0366,0.636,0.985,False
imsa,Indianapolis,Indianapolis,GTD,2024,2367,21,0.059,0.0291,0.0889,3.521,0.957,False
imsa,Indianapolis,Indianapolis,GTD,2025,2403,17,0.0265,0.0212,0.0317,0.71,0.985,False
imsa,Laguna Seca,Laguna Seca,GTD,2021,965,11,0.0444,0.0366,0.0521,0.503,0.999,False
imsa,Laguna Seca,Laguna Seca,GTD,2022,1048,13,0.0522,0.0458,0.0586,0.618,0.999,False
imsa,Laguna Seca,Laguna Seca,GTD,2023,754,14,0.0658,0.0462,0.0855,0.706,0.98,False
imsa,Laguna Seca,Laguna Seca,GTD,2024,1272,15,0.0247,0.0164,0.0329,0.667,0.978,False
imsa,Laguna Seca,Laguna Seca,GTD,2025,1479,15,0.0308,0.0243,0.0374,0.874,1.0,False
imsa,Laguna Seca,Laguna Seca,GTD,2026,1024,13,0.052,0.0439,0.0601,0.604,0.994,False
imsa,Lime Rock,Lime Rock,GTD,2021,1092,13,0.0278,0.0229,0.0327,0.33,1.0,False
imsa,Lime Rock,Lime Rock,GTD,2022,1318,10,0.0272,0.0244,0.0299,0.343,0.994,False
imsa,Lime Rock,Lime Rock,GTD,2023,1723,15,0.0258,0.0228,0.0288,0.289,0.981,False
imsa,Long Beach,Long Beach,GTD,2021,943,16,0.0002,-0.0074,0.0079,0.64,0.995,False
imsa,Long Beach,Long Beach,GTD,2022,596,14,0.0058,-0.0056,0.0172,0.641,0.964,False
imsa,Long Beach,Long Beach,GTD,2023,740,13,0.0007,-0.0053,0.0067,0.471,1.0,False
imsa,Long Beach,Long Beach,GTD,2024,515,14,-0.0154,-0.0237,-0.0072,0.603,0.98,False
imsa,Long Beach,Long Beach,GTD,2025,746,15,0.0021,-0.0038,0.008,0.503,0.99,False
imsa,Long Beach,Long Beach,GTD,2026,644,16,-0.0092,-0.0225,0.0041,0.635,0.988,False
imsa,Mid-Ohio,Mid-Ohio,GTD,2021,1133,13,0.0105,0.0075,0.0135,0.469,0.979,False
imsa,Mid-Ohio,Mid-Ohio,GTD,2022,969,11,0.0217,0.0154,0.028,0.561,0.997,False
imsa,Mosport,Mosport,GTD,2022,469,6,0.0116,0.0017,0.0214,0.465,0.985,False
imsa,Mosport,Mosport,GTD,2023,1056,14,0.0103,0.001,0.0196,0.954,0.976,False
imsa,Mosport,Mosport,GTD,2024,956,12,0.0185,0.0076,0.0294,0.631,0.976,False
imsa,Mosport,Mosport,GTD,2025,946,13,0.0329,0.0262,0.0395,0.536,0.99,False
imsa,Road America,Road America,GTD,2021,696,14,0.0714,0.0589,0.084,0.951,0.992,False
imsa,Road America,Road America,GTD,2022,378,11,-0.4218,-0.4685,-0.3752,6.008,0.978,False
imsa,Road America,Road America,GTD,2023,793,14,0.019,0.0071,0.031,0.683,0.997,False
imsa,Road America,Road America,GTD,2024,316,12,-0.0008,-0.0327,0.0312,0.899,0.955,False
imsa,Road America,Road America,GTD,2025,361,11,0.047,0.0091,0.085,0.912,0.961,False
imsa,Road Atlanta,Road Atlanta,GTD,2021,2782,15,-0.0357,-0.0466,-0.0248,1.141,0.979,False
imsa,Road Atlanta,Road Atlanta,GTD,2022,3353,14,0.0219,0.0183,0.0255,0.582,0.975,False
imsa,Road Atlanta,Road Atlanta,GTD,2023,4041,19,0.0009,-0.0041,0.0058,0.9,0.953,False
imsa,Road Atlanta,Road Atlanta,GTD,2024,5696,18,0.0233,0.0205,0.0261,0.73,0.988,False
imsa,Road Atlanta,Road Atlanta,GTD,2025,4050,15,0.0198,0.0172,0.0225,0.613,0.976,False
imsa,Sebring,Sebring,GTD,2021,2617,13,0.0171,0.0093,0.0249,0.702,0.966,False
imsa,Sebring,Sebring,GTD,2022,3702,17,0.0256,0.0183,0.033,0.816,0.984,False
imsa,Sebring,Sebring,GTD,2023,3599,20,0.0202,0.011,0.0294,0.807,0.964,False
imsa,Sebring,Sebring,GTD,2024,3895,20,0.0158,0.0068,0.0249,1.02,0.968,False
imsa,Sebring,Sebring,GTD,2025,4130,19,0.0146,0.0078,0.0214,0.729,0.709,True
imsa,Sebring,Sebring,GTD,2026,3575,19,0.0202,0.0128,0.0276,2.411,0.695,True
imsa,VIR,VIR,GTD,2021,949,15,0.0071,-0.0089,0.023,0.636,0.998,False
imsa,VIR,VIR,GTD,2022,834,12,0.0369,0.0154,0.0584,0.641,0.997,False
imsa,VIR,VIR,GTD,2023,706,12,0.0252,0.0156,0.0348,0.536,0.987,False
imsa,VIR,VIR,GTD,2024,934,14,0.0804,0.0693,0.0916,0.629,0.99,False
imsa,VIR,VIR,GTD,2025,740,13,0.0602,0.0493,0.0711,0.489,0.935,False
imsa,Watkins Glen,Watkins Glen,GTD,2022,1412,15,0.0214,0.0142,0.0286,0.695,0.968,False
imsa,Watkins Glen,Watkins Glen,GTD,2023,2489,19,0.0298,0.0228,0.0369,0.703,0.989,False
imsa,Watkins Glen,Watkins Glen,GTD,2024,1470,20,0.0229,0.0045,0.0413,1.062,0.963,False
imsa,Watkins Glen,Watkins Glen,GTD,2025,1430,19,0.0601,0.0509,0.0694,0.747,0.952,False
imsa,Watkins Glen,Watkins Glen,GTD,2026,1765,19,0.0175,0.0104,0.0247,0.679,0.965,False
imsa,Watkins Glen 240,Watkins Glen,GTD,2021,429,11,-0.0287,-0.0426,-0.0149,0.713,0.998,False
imsa,Watkins Glen 6 Hours,Watkins Glen,GTD,2021,1609,14,0.0102,-0.0008,0.0213,1.045,0.974,False
imsa,Canadian Tire Motorsport Park,Mosport,GTDPRO,2026,955,10,0.0006,-0.0039,0.0051,0.385,0.999,False
imsa,Daytona,Daytona,GTDPRO,2022,5639,13,-0.0084,-0.0188,0.0019,0.998,0.951,False
