series,event,circuit_canonical,car_class,held_out_season,pooled_slope,own_slope,r2_within,rmse_s,n_laps
imsa,Daytona,Daytona,GTP,2023,0.0301,0.0216,0.008,0.875,5191
imsa,Daytona,Daytona,GTP,2024,0.027,0.0307,0.0532,0.807,5552
imsa,Daytona,Daytona,GTP,2025,0.0252,0.036,0.0332,1.273,5633
imsa,Daytona,Daytona,GTP,2026,0.0294,0.0233,0.0308,0.838,4961
imsa,Daytona,Daytona,GTP,MEAN,,,0.0313,,
imsa,Detroit,Detroit,GTP,2024,0.0012,0.0316,0.0056,0.89,408
imsa,Detroit,Detroit,GTP,2025,0.0112,-0.0,-0.0475,0.636,702
imsa,Detroit,Detroit,GTP,2026,0.0061,0.0032,0.0004,0.677,640
imsa,Detroit,Detroit,GTP,MEAN,,,-0.0138,,
imsa,Indianapolis,Indianapolis,GTP,2023,0.0175,0.0183,0.0445,0.829,849
imsa,Indianapolis,Indianapolis,GTP,2024,0.0142,0.0304,0.0306,1.377,869
imsa,Indianapolis,Indianapolis,GTP,2025,0.0249,0.013,0.0135,0.716,2104
imsa,Indianapolis,Indianapolis,GTP,MEAN,,,0.0295,,
imsa,Laguna Seca,Laguna Seca,GTP,2023,0.0219,0.0122,0.0073,1.155,576
imsa,Laguna Seca,Laguna Seca,GTP,2024,0.0229,0.0166,0.0306,0.898,961
imsa,Laguna Seca,Laguna Seca,GTP,2025,0.0197,0.0238,0.0887,0.836,1182
imsa,Laguna Seca,Laguna Seca,GTP,2026,0.02,0.0241,0.1045,0.75,992
imsa,Laguna Seca,Laguna Seca,GTP,MEAN,,,0.0578,,
imsa,Long Beach,Long Beach,GTP,2023,-0.0214,0.0008,-0.095,0.825,438
imsa,Long Beach,Long Beach,GTP,2024,-0.0136,-0.0238,0.0382,0.77,393
imsa,Long Beach,Long Beach,GTP,2025,-0.0078,-0.0236,0.0864,0.647,603
imsa,Long Beach,Long Beach,GTP,2026,-0.0151,-0.0127,0.0204,0.655,453
