series,circuit,year,clean_air_dev_s,clear_vs_traffic_s,cost_per_car_s,n_prime_laps,n_other_cars
elms,portimao,2021,-0.061,0.061,-0.001,1416,17
elms,spa,2021,-0.185,0.201,0.272,823,15
elms,barcelona,2022,-0.024,-0.007,0.028,1818,10
elms,imola,2022,-0.032,-0.204,0.072,1553,13
elms,monza,2022,-0.037,-0.001,0.038,1499,13
elms,paul_ricard,2022,-0.026,-0.104,0.095,1625,13
elms,portimao,2022,-0.064,-0.327,-0.571,1271,12
elms,spa,2022,0.066,-0.261,-0.244,1179,13
elms,aragon,2023,-0.671,0.734,0.102,741,22
elms,barcelona,2023,-0.514,0.51,0.118,763,22
elms,paul_ricard,2023,-0.189,0.168,0.076,765,23
elms,portimao,2023,3.964,-3.106,-0.772,328,21
elms,spa,2023,-0.941,0.855,0.362,352,21
elms,barcelona,2024,-1.298,1.304,0.166,1632,29
elms,imola,2024,-0.399,0.214,0.001,1369,29
elms,mugello,2024,-1.49,1.535,0.108,1082,29
elms,paul_ricard,2024,-0.44,0.436,0.082,1447,29
elms,portimao,2024,-0.49,0.394,0.038,1334,28
elms,spa,2024,-0.694,0.672,0.152,988,29
elms,barcelona,2025,-0.927,0.823,0.105,1319,31
elms,imola,2025,-0.465,0.126,-0.041,1079,31
elms,paul_ricard,2025,2.54,-0.071,0.329,549,31
elms,portimao,2025,-0.209,0.159,0.143,954,31
elms,silverstone,2025,-1.743,10.073,0.04,722,31
elms,spa,2025,-0.96,0.911,0.154,742,31
imsa,daytona,2021,-0.113,0.074,0.003,4669,42
imsa,laguna_seca,2021,-0.11,0.095,-0.008,635,18
imsa,long_beach,2021,0.032,-0.101,-0.042,420,20
imsa,mid_ohio,2021,-0.004,-0.014,0.049,657,19
imsa,road_america,2021,-0.447,0.453,0.093,367,29
imsa,road_atlanta,2021,-0.339,0.367,0.074,2175,36
imsa,sebring,2021,-0.036,-0.05,0.018,1912,30
imsa,watkins_glen_240,2021,0.15,-0.268,-0.039,308,24
imsa,watkins_glen_6_hours,2021,-0.243,0.253,0.009,1147,31
imsa,belle_isle,2022,0.29,-0.483,-0.184,420,10
imsa,daytona,2022,-0.334,0.275,0.039,4011,54
imsa,laguna_seca,2022,-0.858,0.945,0.135,525,26
imsa,long_beach,2022,-0.347,0.335,0.093,348,20
imsa,mid_ohio,2022,-0.045,0.028,0.046,656,25
imsa,mosport,2022,-0.322,0.339,0.042,600,18
imsa,road_america,2022,-0.783,0.492,0.116,209,31
imsa,road_atlanta,2022,-0.247,0.247,0.057,2195,36
imsa,sebring,2022,-0.355,0.36,0.08,2027,46
imsa,watkins_glen,2022,-0.433,0.452,0.033,884,41
imsa,daytona,2023,-0.352,0.325,0.039,5634,51
imsa,indianapolis,2023,-0.032,0.001,0.007,940,37
imsa,laguna_seca,2023,-0.457,0.838,0.127,646,29
imsa,long_beach,2023,0.037,-0.06,0.003,486,18
imsa,mosport,2023,-0.362,0.423,0.03,881,25
imsa,road_america,2023,-0.318,0.266,0.031,611,34
imsa,road_atlanta,2023,-0.597,0.602,0.113,2808,41
imsa,sebring,2023,-0.066,-0.015,0.078,1773,43
imsa,watkins_glen,2023,-0.38,0.365,0.045,1228,46
imsa,daytona,2024,-0.318,0.268,0.054,6048,47
imsa,detroit,2024,0.452,-0.933,-0.328,467,11
imsa,indianapolis,2024,-0.566,0.613,0.13,1367,44
imsa,laguna_seca,2024,-0.033,0.023,0.028,1057,24
imsa,long_beach,2024,-0.152,0.283,0.056,439,17
imsa,road_america,2024,-0.361,-0.076,0.086,320,36
imsa,road_atlanta,2024,-0.709,0.732,0.065,3777,41
imsa,sebring,2024,-0.165,0.133,0.109,2655,45
imsa,watkins_glen,2024,-0.655,0.598,0.112,1041,43
imsa,daytona,2025,-0.33,0.319,0.041,6129,47
imsa,detroit,2025,0.297,-0.49,-0.047,778,11
imsa,indianapolis,2025,-0.359,0.347,0.066,2311,39
imsa,laguna_seca,2025,-0.362,0.374,0.062,1288,25
imsa,long_beach,2025,-0.131,0.186,0.028,680,16
imsa,road_america,2025,-0.404,0.404,0.136,465,36
imsa,road_atlanta,2025,-0.313,0.327,0.078,4547,35
imsa,sebring,2025,-0.209,0.208,0.064,3807,41
imsa,watkins_glen,2025,-0.54,0.328,0.11,1208,40
imsa,daytona,2026,-0.263,0.239,0.049,5412,48
imsa,detroit,2026,0.249,-0.422,-0.083,717,10
imsa,laguna_seca,2026,-0.241,0.278,0.057,1082,22
imsa,long_beach,2026,-0.207,0.377,0.105,526,17
imsa,sebring,2026,-0.068,0.049,0.088,3093,42
imsa,watkins_glen,2026,-0.456,0.488,0.135,1220,42
wec,bahrain,2022,-0.164,0.196,0.147,1056,14
wec,fuji,2022,-0.117,0.139,0.118,1101,13
wec,le_mans,2022,-0.62,0.274,0.145,1430,27
wec,monza,2022,-0.115,0.144,0.086,752,14
wec,sebring,2022,-0.226,0.266,0.02,639,15
wec,spa,2022,0.514,1.666,0.391,134,15
wec,bahrain,2023,0.03,-0.062,0.04,2804,11
wec,fuji,2023,-0.094,0.126,0.012,2527,11
wec,portimao,2023,-0.237,0.338,0.136,2216,12
wec,sebring,2023,-0.114,0.107,0.035,1965,12
wec,spa,2023,-0.264,0.247,0.099,1233,11
wec,bahrain,2024,-0.24,0.268,0.148,3549,18
wec,cota,2024,-0.005,-0.014,0.103,2789,18
wec,fuji,2024,-0.108,0.097,0.049,3054,18
wec,imola,2024,-0.243,0.105,-0.019,3099,18
wec,interlagos,2024,-0.213,0.255,0.069,4143,17
wec,spa,2024,-0.643,0.946,0.305,1841,18
wec,bahrain,2025,-0.144,0.183,0.103,3837,18
wec,cota,2025,0.704,-0.625,0.349,878,18
wec,fuji,2025,-0.194,0.211,0.071,2761,18
wec,imola,2025,-0.201,0.196,0.004,3330,18
wec,interlagos,2025,-0.112,0.126,0.062,4036,18
wec,le_mans,2025,-0.512,0.531,0.176,6508,41
wec,losail,2025,-0.109,0.097,0.117,4831,18
wec,spa,2025,-0.331,0.547,0.235,2017,18
wec,imola,2026,-0.184,0.236,0.101,3170,18
wec,le_mans,2026,-0.283,0.269,0.198,5303,44
wec,spa,2026,-0.427,0.666,0.229,2014,18
