series,circuit,n_seasons,clear_vs_traffic_mean_s,clear_vs_traffic_sd_s,cost_per_car_mean_s,cost_per_car_sd_s
elms,aragon,1,0.734,0.0,0.102,0.0
elms,barcelona,4,0.6575,0.4766,0.1042,0.0495
elms,imola,3,0.0453,0.1799,0.0107,0.0466
elms,monza,1,-0.001,0.0,0.038,0.0
elms,mugello,1,1.535,0.0,0.108,0.0
elms,paul_ricard,4,0.1072,0.2169,0.1455,0.1062
elms,portimao,5,-0.5638,1.2922,-0.2326,0.367
elms,silverstone,1,10.073,0.0,0.04,0.0
elms,spa,5,0.4756,0.445,0.1392,0.2071
imsa,belle_isle,1,-0.483,0.0,-0.184,0.0
imsa,daytona,6,0.25,0.0841,0.0375,0.0164
imsa,detroit,3,-0.615,0.2266,-0.1527,0.1248
imsa,indianapolis,3,0.3203,0.2506,0.0677,0.0502
imsa,laguna_seca,6,0.4255,0.3502,0.0668,0.0508
imsa,long_beach,6,0.17,0.1868,0.0405,0.0509
imsa,mid_ohio,2,0.007,0.021,0.0475,0.0015
imsa,mosport,2,0.381,0.042,0.036,0.006
imsa,road_america,5,0.3078,0.2066,0.0924,0.0354
imsa,road_atlanta,5,0.455,0.1821,0.0774,0.0192
imsa,sebring,6,0.1142,0.1399,0.0728,0.028
imsa,watkins_glen,5,0.4462,0.0953,0.087,0.0403
imsa,watkins_glen_240,1,-0.268,0.0,-0.039,0.0
imsa,watkins_glen_6_hours,1,0.253,0.0,0.009,0.0
wec,bahrain,4,0.1462,0.1245,0.1095,0.044
wec,cota,2,-0.3195,0.3055,0.226,0.123
wec,fuji,4,0.1432,0.042,0.0625,0.0384
wec,imola,3,0.179,0.0548,0.0287,0.052
wec,interlagos,2,0.1905,0.0645,0.0655,0.0035
wec,le_mans,3,0.358,0.1223,0.173,0.0217
wec,losail,1,0.097,0.0,0.117,0.0
wec,monza,1,0.144,0.0,0.086,0.0
wec,portimao,1,0.338,0.0,0.136,0.0
wec,sebring,2,0.1865,0.0795,0.0275,0.0075
wec,spa,5,0.8144,0.4813,0.2518,0.0963
