car,class,lap,lap_time,flags,pit_time
10,LMP3,1,112.608,GF,
10,LMP3,2,105.321,GF,
10,LMP3,3,103.504,GF,
10,LMP3,4,103.106,GF,
10,LMP3,5,106.087,SF,
10,LMP3,6,108.481,SF,
10,LMP3,7,177.865,SF,
10,LMP3,8,128.413,GF,
10,LMP3,9,103.765,GF,
10,LMP3,10,103.555,GF,
10,LMP3,11,102.816,GF,
10,LMP3,12,102.385,GF,
10,LMP3,13,102.476,GF,
10,LMP3,14,102.431,GF,
10,LMP3,15,103.423,GF,
10,LMP3,16,103.081,GF,
10,LMP3,17,104.325,GF,
10,LMP3,18,103.452,GF,
10,LMP3,19,103.698,GF,
10,LMP3,20,103.413,GF,
10,LMP3,21,102.923,GF,
10,LMP3,22,104.176,GF,
10,LMP3,23,165.135,FCY,
10,LMP3,24,301.263,FCY,111.034
10,LMP3,25,158.545,GF,
10,LMP3,26,104.82,GF,
10,LMP3,27,104.812,GF,
11,LMP3,1,114.835,GF,
11,LMP3,2,104.716,GF,
11,LMP3,3,104.149,GF,
11,LMP3,4,103.086,GF,
11,LMP3,5,106.15,SF,
11,LMP3,6,108.832,SF,
11,LMP3,7,177.45,SF,
11,LMP3,8,127.628,GF,
11,LMP3,9,103.238,GF,
11,LMP3,10,103.763,GF,
11,LMP3,11,104.264,GF,
11,LMP3,12,102.764,GF,
11,LMP3,13,102.183,GF,
11,LMP3,14,102.614,GF,
11,LMP3,15,102.21,GF,
11,LMP3,16,103.737,GF,
11,LMP3,17,103.045,GF,
11,LMP3,18,104.52,GF,
11,LMP3,19,104.294,GF,
11,LMP3,20,104.964,GF,
11,LMP3,21,106.099,GF,
11,LMP3,22,105.103,GF,
11,LMP3,23,173.542,FCY,
11,LMP3,24,225.478,FCY,
11,LMP3,25,229.092,GF,113.402
11,LMP3,26,102.935,GF,
11,LMP3,27,104.664,GF,
11,LMP3,28,119.608,SF,
11,LMP3,29,170.181,SF,
11,LMP3,30,206.74,SF,
11,LMP3,31,184.519,SF,
11,LMP3,32,131.859,GF,
11,LMP3,33,105.772,GF,
11,LMP3,34,104.487,GF,
11,LMP3,35,104.746,GF,
11,LMP3,36,102.316,GF,
11,LMP3,37,102.25,GF,
11,LMP3,38,102.342,GF,
11,LMP3,39,124.621,FCY,
11,LMP3,40,219.914,FCY,
11,LMP3,41,219.089,FCY,
11,LMP3,42,125.375,GF,
11,LMP3,43,103.531,GF,
11,LMP3,44,103.093,GF,
11,LMP3,45,103.482,GF,
11,LMP3,46,103.786,GF,
11,LMP3,47,103.018,GF,
11,LMP3,48,103.617,GF,
11,LMP3,49,103.909,GF,
11,LMP3,50,103.037,GF,
11,LMP3,51,102.492,GF,
11,LMP3,52,103.38,GF,
11,LMP3,53,103.675,GF,
11,LMP3,54,103.917,GF,
11,LMP3,55,102.772,GF,
11,LMP3,56,103.84,GF,
11,LMP3,57,102.589,GF,
11,LMP3,58,102.741,GF,
11,LMP3,59,120.729,GF,
11,LMP3,60,195.753,GF,111.22
11,LMP3,61,102.816,GF,
11,LMP3,62,101.248,GF,
11,LMP3,63,103.525,GF,
11,LMP3,64,102.163,GF,
11,LMP3,65,102.064,GF,
11,LMP3,66,103.876,GF,
11,LMP3,67,103.185,GF,
11,LMP3,68,101.869,GF,
11,LMP3,69,101.775,GF,
11,LMP3,70,101.956,GF,
11,LMP3,71,102.418,GF,
