car,class,lap,lap_time,flags,pit_time
10,LMP3,1,118.891,GF,
10,LMP3,2,109.031,GF,
10,LMP3,3,108.803,GF,
10,LMP3,4,108.714,GF,
10,LMP3,5,108.845,GF,
10,LMP3,6,108.003,GF,
10,LMP3,7,108.297,GF,
10,LMP3,8,108.417,GF,
10,LMP3,9,108.943,GF,
10,LMP3,10,134.216,SF,
10,LMP3,11,134.769,SF,
10,LMP3,12,202.833,SF,
10,LMP3,13,173.316,SF,
10,LMP3,14,149.242,GF,
10,LMP3,15,109.752,GF,
10,LMP3,16,124.451,SF,
10,LMP3,17,185.358,SF,
10,LMP3,18,222.23,SF,
10,LMP3,19,188.599,GF,
10,LMP3,20,111.579,GF,
10,LMP3,21,110.041,GF,
10,LMP3,22,110.455,GF,
10,LMP3,23,109.065,GF,
10,LMP3,24,109.623,GF,
10,LMP3,25,109.117,GF,
10,LMP3,26,110.534,GF,
10,LMP3,27,109.201,GF,
10,LMP3,28,135.013,SF,
10,LMP3,29,217.991,SF,
10,LMP3,30,226.862,SF,
10,LMP3,31,211.074,SF,
10,LMP3,32,189.534,SF,
10,LMP3,33,216.903,GF,113.341
10,LMP3,34,110.724,GF,
10,LMP3,35,109.475,GF,
10,LMP3,36,109.312,GF,
10,LMP3,37,109.525,GF,
10,LMP3,38,108.672,GF,
10,LMP3,39,108.331,GF,
10,LMP3,40,108.756,GF,
10,LMP3,41,111.276,GF,
10,LMP3,42,110.706,GF,
10,LMP3,43,110.853,GF,
10,LMP3,44,110.076,GF,
10,LMP3,45,109.863,GF,
10,LMP3,46,162.196,FCY,
10,LMP3,47,354.886,FCY,112.719
10,LMP3,48,153.476,GF,
10,LMP3,49,108.568,GF,
10,LMP3,50,107.398,GF,
10,LMP3,51,107.315,GF,
10,LMP3,52,108.626,GF,
10,LMP3,53,107.841,GF,
10,LMP3,54,108.271,GF,
10,LMP3,55,107.438,GF,
10,LMP3,56,108.015,GF,
10,LMP3,57,107.713,GF,
10,LMP3,58,108.566,GF,
10,LMP3,59,107.987,GF,
10,LMP3,60,110.066,GF,
10,LMP3,61,108.115,GF,
10,LMP3,62,107.927,GF,
10,LMP3,63,108.48,GF,
10,LMP3,64,107.727,GF,
10,LMP3,65,107.803,GF,
10,LMP3,66,107.738,GF,
10,LMP3,67,108.778,GF,
10,LMP3,68,108.048,GF,
10,LMP3,69,108.443,GF,
10,LMP3,70,107.358,GF,
10,LMP3,71,107.631,GF,
10,LMP3,72,107.885,GF,
10,LMP3,73,109.471,SF,
10,LMP3,74,129.603,SF,
10,LMP3,75,184.787,SF,
10,LMP3,76,199.221,SF,
10,LMP3,77,141.272,GF,
10,LMP3,78,110.986,GF,
10,LMP3,79,108.344,GF,
10,LMP3,80,114.962,GF,
10,LMP3,81,195.866,GF,92.718
10,LMP3,82,107.478,GF,
10,LMP3,83,107.051,GF,
10,LMP3,84,106.868,GF,
10,LMP3,85,107.434,GF,
10,LMP3,86,107.264,GF,
10,LMP3,87,107.604,GF,
10,LMP3,88,107.71,GF,
10,LMP3,89,107.398,GF,
10,LMP3,90,107.563,GF,
10,LMP3,91,108.422,GF,
10,LMP3,92,109.17,GF,
10,LMP3,93,108.934,GF,
10,LMP3,94,108.32,GF,
10,LMP3,95,108.77,GF,
10,LMP3,96,108.906,GF,
10,LMP3,97,109.392,GF,
10,LMP3,98,108.612,GF,
10,LMP3,99,109.499,GF,
10,LMP3,100,109.607,GF,
10,LMP3,101,108.607,GF,
10,LMP3,102,108.474,GF,
10,LMP3,103,110.058,GF,
10,LMP3,104,109.472,GF,
10,LMP3,105,109.076,GF,
10,LMP3,106,110.774,GF,
10,LMP3,107,109.022,GF,
10,LMP3,108,110.475,GF,
10,LMP3,109,109.07,GF,
10,LMP3,110,109.583,GF,
10,LMP3,111,110.194,GF,
10,LMP3,112,109.593,GF,
10,LMP3,113,128.478,GF,
10,LMP3,114,144.111,GF,39.305
10,LMP3,115,112.794,GF,
10,LMP3,116,135.338,FF,
11,LMP3,1,119.864,GF,
11,LMP3,2,110.751,GF,
11,LMP3,3,108.614,GF,
11,LMP3,4,108.365,GF,
11,LMP3,5,107.967,GF,
11,LMP3,6,107.225,GF,
11,LMP3,7,108.096,GF,
11,LMP3,8,108.532,GF,
11,LMP3,9,108.574,GF,
11,LMP3,10,133.375,SF,
11,LMP3,11,134.817,SF,
11,LMP3,12,203.107,SF,
11,LMP3,13,173.009,SF,
11,LMP3,14,149.46,GF,
11,LMP3,15,109.679,GF,
11,LMP3,16,124.293,SF,
11,LMP3,17,185.265,SF,
11,LMP3,18,222.507,SF,
11,LMP3,19,188.95,GF,
11,LMP3,20,111.315,GF,
11,LMP3,21,109.549,GF,
11,LMP3,22,111.114,GF,
11,LMP3,23,108.428,GF,
11,LMP3,24,109.284,GF,
11,LMP3,25,108.462,GF,
11,LMP3,26,108.944,GF,
11,LMP3,27,108.871,GF,
11,LMP3,28,123.051,SF,
11,LMP3,29,225.21,SF,
11,LMP3,30,230.041,SF,
11,LMP3,31,208.505,SF,
11,LMP3,32,186.565,SF,
11,LMP3,33,154.354,GF,
11,LMP3,34,209.52,GF,104.648
11,LMP3,35,110.697,GF,
11,LMP3,36,109.427,GF,
11,LMP3,37,109.489,GF,
11,LMP3,38,110.854,GF,
11,LMP3,39,110.503,GF,
11,LMP3,40,109.198,GF,
11,LMP3,41,111.437,GF,
11,LMP3,42,109.248,GF,
11,LMP3,43,109.238,GF,
11,LMP3,44,108.778,GF,
11,LMP3,45,111.321,GF,
11,LMP3,46,199.448,FCY,
11,LMP3,47,261.732,FCY,
