car,class,lap,lap_time,flags,pit_time
10,LMP3,1,125.877,GF,
10,LMP3,2,117.449,GF,
10,LMP3,3,137.939,SF,
10,LMP3,4,203.224,SF,
10,LMP3,5,141.397,GF,
10,LMP3,6,115.596,GF,
10,LMP3,7,115.383,GF,
10,LMP3,8,137.069,GF,
10,LMP3,9,116.108,GF,
10,LMP3,10,116.828,SF,
10,LMP3,11,122.321,SF,
10,LMP3,12,167.249,SF,
10,LMP3,13,198.938,SF,
10,LMP3,14,135.098,GF,
10,LMP3,15,117.42,GF,
10,LMP3,16,118.854,GF,
10,LMP3,17,117.491,GF,
10,LMP3,18,116.312,GF,
10,LMP3,19,115.697,GF,
10,LMP3,20,115.333,GF,
10,LMP3,21,115.474,GF,
10,LMP3,22,115.321,GF,
10,LMP3,23,117.546,GF,
10,LMP3,24,118.709,SF,
10,LMP3,25,216.671,SF,
10,LMP3,26,255.419,SF,
10,LMP3,27,150.021,GF,
10,LMP3,28,115.936,GF,
10,LMP3,29,116.676,GF,
10,LMP3,30,115.321,GF,
10,LMP3,31,115.005,GF,
10,LMP3,32,115.945,GF,
10,LMP3,33,115.59,GF,
10,LMP3,34,115.426,GF,
10,LMP3,35,125.696,GF,
10,LMP3,36,200.883,FCY,64.654
10,LMP3,37,258.816,FCY,
10,LMP3,38,215.317,GF,
10,LMP3,39,118.035,GF,
10,LMP3,40,116.603,GF,
10,LMP3,41,116.33,GF,
10,LMP3,42,116.98,GF,
10,LMP3,43,116.654,GF,
10,LMP3,44,117.654,GF,
10,LMP3,45,116.568,GF,
10,LMP3,46,116.505,GF,
10,LMP3,47,116.912,GF,
10,LMP3,48,117.836,GF,
10,LMP3,49,117.25,GF,
10,LMP3,50,117.423,GF,
10,LMP3,51,124.053,GF,
10,LMP3,52,214.675,GF,108.212
10,LMP3,53,112.169,GF,
10,LMP3,54,112.449,GF,
10,LMP3,55,112.627,GF,
10,LMP3,56,113.604,GF,
10,LMP3,57,115.187,GF,
10,LMP3,58,112.664,GF,
10,LMP3,59,112.616,GF,
10,LMP3,60,112.7,GF,
10,LMP3,61,113.684,GF,
10,LMP3,62,111.931,GF,
10,LMP3,63,112.9,GF,
