car,class,lap,lap_time,flags,pit_time
10,LMP3,1,128.453,GF,
10,LMP3,2,118.476,GF,
10,LMP3,3,118.971,GF,
10,LMP3,4,118.531,GF,
10,LMP3,5,118.065,GF,
10,LMP3,6,119.024,GF,
10,LMP3,7,118.748,GF,
10,LMP3,8,118.983,GF,
10,LMP3,9,118.119,GF,
10,LMP3,10,118.693,GF,
10,LMP3,11,118.454,GF,
10,LMP3,12,120.275,GF,
10,LMP3,13,120.955,GF,
10,LMP3,14,123.782,GF,
10,LMP3,15,122.461,GF,
10,LMP3,16,119.108,GF,
10,LMP3,17,119.634,GF,
10,LMP3,18,119.215,GF,
10,LMP3,19,118.446,GF,
10,LMP3,20,120.555,GF,
10,LMP3,21,118.334,GF,
10,LMP3,22,120.154,GF,
10,LMP3,23,119.354,GF,
10,LMP3,24,124.369,GF,
10,LMP3,25,120.139,GF,
10,LMP3,26,126.344,GF,
10,LMP3,27,180.021,GF,63.484
10,LMP3,28,122.134,GF,
10,LMP3,29,121.087,GF,
10,LMP3,30,129.815,SF,
10,LMP3,31,209.745,SF,
10,LMP3,32,242.585,SF,
10,LMP3,33,190.014,GF,
10,LMP3,34,125.671,GF,
10,LMP3,35,120.009,GF,
10,LMP3,36,120.504,GF,
10,LMP3,37,120.322,GF,
10,LMP3,38,119.984,GF,
10,LMP3,39,120.029,GF,
10,LMP3,40,120.244,GF,
10,LMP3,41,121.176,GF,
10,LMP3,42,121.155,GF,
10,LMP3,43,122.353,GF,
10,LMP3,44,120.265,GF,
10,LMP3,45,119.9,GF,
10,LMP3,46,120.272,GF,
10,LMP3,47,122.132,GF,
10,LMP3,48,120.965,GF,
10,LMP3,49,119.425,GF,
10,LMP3,50,119.016,GF,
10,LMP3,51,119.309,GF,
10,LMP3,52,119.707,GF,
10,LMP3,53,119.362,GF,
10,LMP3,54,127.475,GF,
10,LMP3,55,123.815,GF,
10,LMP3,56,125.897,GF,
10,LMP3,57,220.486,GF,107.253
10,LMP3,58,116.833,GF,
10,LMP3,59,115.667,GF,
10,LMP3,60,115.779,GF,
10,LMP3,61,115.623,GF,
10,LMP3,62,115.693,GF,
10,LMP3,63,116.281,GF,
10,LMP3,64,116.376,GF,
10,LMP3,65,116.674,GF,
10,LMP3,66,116.468,GF,
10,LMP3,67,119.178,GF,
11,LMP3,1,125.766,GF,
11,LMP3,2,117.584,GF,
11,LMP3,3,115.881,GF,
11,LMP3,4,116.964,GF,
11,LMP3,5,115.872,GF,
11,LMP3,6,115.861,GF,
11,LMP3,7,116.027,GF,
11,LMP3,8,116.057,GF,
11,LMP3,9,115.896,GF,
11,LMP3,10,116.18,GF,
11,LMP3,11,116.386,GF,
11,LMP3,12,115.992,GF,
11,LMP3,13,116.407,GF,
11,LMP3,14,117.233,GF,
11,LMP3,15,116.617,GF,
11,LMP3,16,117.398,GF,
11,LMP3,17,117.776,GF,
11,LMP3,18,117.187,GF,
11,LMP3,19,116.12,GF,
11,LMP3,20,117.45,GF,
11,LMP3,21,116.475,GF,
11,LMP3,22,117.143,GF,
11,LMP3,23,118.678,GF,
11,LMP3,24,119.948,GF,
11,LMP3,25,116.625,GF,
11,LMP3,26,115.994,GF,
11,LMP3,27,116.069,GF,
11,LMP3,28,116.135,GF,
11,LMP3,29,122.201,GF,
11,LMP3,30,259.131,SF,138.94
11,LMP3,31,218.002,SF,
11,LMP3,32,215.717,SF,
11,LMP3,33,119.904,SF,
11,LMP3,34,134.431,GF,
11,LMP3,35,121.224,GF,
11,LMP3,36,118.019,GF,
11,LMP3,37,117.743,GF,
11,LMP3,38,119.062,GF,
11,LMP3,39,119.715,GF,
11,LMP3,40,118.474,GF,
11,LMP3,41,117.114,GF,
11,LMP3,42,116.745,GF,
11,LMP3,43,118.586,GF,
11,LMP3,44,118.733,GF,
11,LMP3,45,119.892,GF,
11,LMP3,46,119.474,GF,
11,LMP3,47,120.221,GF,
11,LMP3,48,118.672,GF,
11,LMP3,49,118.734,GF,
11,LMP3,50,118.802,GF,
11,LMP3,51,117.597,GF,
11,LMP3,52,117.736,GF,
11,LMP3,53,120.076,GF,
11,LMP3,54,118.026,GF,
11,LMP3,55,117.519,GF,
11,LMP3,56,117.093,GF,
11,LMP3,57,117.753,GF,
11,LMP3,58,119.486,GF,
11,LMP3,59,118.224,GF,
11,LMP3,60,124.281,GF,
11,LMP3,61,340.096,GF,228.325
11,LMP3,62,119.443,GF,
11,LMP3,63,120.136,GF,
11,LMP3,64,120.451,GF,
11,LMP3,65,120.363,GF,
11,LMP3,66,118.899,GF,
11,LMP3,67,120.936,GF,
11,LMP3,68,120.763,GF,
11,LMP3,69,121.745,GF,
11,LMP3,70,119.19,GF,
11,LMP3,71,130.031,FCY,
11,LMP3,72,240.32,FCY,
11,LMP3,73,135.686,GF,
11,LMP3,74,126.448,GF,
11,LMP3,75,165.168,GF,54.393
11,LMP3,76,118.973,GF,
11,LMP3,77,119.319,GF,
11,LMP3,78,118.893,GF,
11,LMP3,79,119.355,GF,
11,LMP3,80,118.251,GF,
11,LMP3,81,118.709,GF,
11,LMP3,82,120.398,GF,
11,LMP3,83,120.478,GF,
11,LMP3,84,118.741,GF,
11,LMP3,85,125.869,GF,
11,LMP3,86,221.279,GF,105.51
11,LMP3,87,120.005,GF,
11,LMP3,88,119.236,GF,
11,LMP3,89,117.428,GF,
11,LMP3,90,118.103,GF,
11,LMP3,91,193.946,GF,
11,LMP3,92,117.466,GF,
11,LMP3,93,116.778,GF,
11,LMP3,94,117.31,GF,
11,LMP3,95,117.984,GF,
11,LMP3,96,118.725,GF,
11,LMP3,97,118.604,GF,
11,LMP3,98,118.602,GF,
11,LMP3,99,117.488,GF,
11,LMP3,100,117.013,GF,
11,LMP3,101,119.211,GF,
11,LMP3,102,118.807,GF,
11,LMP3,103,118.546,GF,
11,LMP3,104,116.846,GF,
11,LMP3,105,117.308,GF,
11,LMP3,106,116.796,GF,
