car,class,lap,lap_time,flags,pit_time
10,LMP3,1,121.141,SF,
10,LMP3,2,207.138,SF,
10,LMP3,3,188.789,SF,
10,LMP3,4,167.886,SF,
10,LMP3,5,155.633,SF,
10,LMP3,6,159.309,SF,
10,LMP3,7,124.657,GF,
10,LMP3,8,102.945,GF,
10,LMP3,9,103.008,GF,
10,LMP3,10,101.902,GF,
10,LMP3,11,102.023,GF,
10,LMP3,12,101.474,GF,
10,LMP3,13,101.669,GF,
10,LMP3,14,101.07,GF,
10,LMP3,15,101.751,GF,
10,LMP3,16,101.468,GF,
10,LMP3,17,102.762,GF,
10,LMP3,18,102.614,GF,
10,LMP3,19,101.782,GF,
10,LMP3,20,102.715,GF,
10,LMP3,21,102.194,GF,
10,LMP3,22,108.65,GF,
10,LMP3,23,123.165,GF,23.452
10,LMP3,24,102.296,GF,
10,LMP3,25,102.887,GF,
10,LMP3,26,104.091,GF,
10,LMP3,27,102.78,GF,
10,LMP3,28,102.73,GF,
10,LMP3,29,103.002,GF,
10,LMP3,30,108.115,GF,
10,LMP3,31,140.834,GF,34.985
10,LMP3,32,196.055,GF,93.636
10,LMP3,33,102.667,GF,
10,LMP3,34,103.089,GF,
10,LMP3,35,101.761,GF,
10,LMP3,36,101.146,GF,
10,LMP3,37,108.757,GF,
10,LMP3,38,153.126,GF,53.436
10,LMP3,39,101.519,GF,
10,LMP3,40,101.6,GF,
10,LMP3,41,100.839,GF,
10,LMP3,42,101.883,GF,
10,LMP3,43,108.645,GF,
10,LMP3,44,102.864,GF,
10,LMP3,45,102.592,GF,
10,LMP3,46,102.259,GF,
10,LMP3,47,101.901,GF,
10,LMP3,48,102.67,GF,
10,LMP3,49,108.636,GF,
10,LMP3,50,144.494,GF,44.773
10,LMP3,51,104.004,GF,
10,LMP3,52,105.296,GF,
10,LMP3,53,103.239,GF,
10,LMP3,54,102.785,GF,
10,LMP3,55,102.078,GF,
10,LMP3,56,112.929,GF,
10,LMP3,57,104.851,GF,
10,LMP3,58,109.922,GF,
10,LMP3,59,210.893,GF,109.481
10,LMP3,60,100.447,GF,
10,LMP3,61,100.919,GF,
10,LMP3,62,99.221,GF,
10,LMP3,63,99.751,GF,
10,LMP3,64,100.104,GF,
10,LMP3,65,179.199,GF,
10,LMP3,66,108.169,GF,
