car,class,lap,lap_time,flags,pit_time
10,LMP2,1,110.329,GF,
10,LMP2,2,98.714,GF,
10,LMP2,3,98.806,GF,
10,LMP2,4,97.843,GF,
10,LMP2,5,97.487,GF,
10,LMP2,6,97.416,GF,
10,LMP2,7,98.097,GF,
10,LMP2,8,138.361,SF,
10,LMP2,9,186.978,SF,
10,LMP2,10,228.365,SF,
10,LMP2,11,190.002,SF,
10,LMP2,12,195.258,GF,
10,LMP2,13,107.617,GF,48.072
10,LMP2,14,100.478,GF,
10,LMP2,15,103.43,GF,
10,LMP2,16,104.984,GF,
10,LMP2,17,101.59,GF,
10,LMP2,18,102.602,GF,
10,LMP2,19,102.606,GF,
10,LMP2,20,101.964,GF,
10,LMP2,21,105.007,GF,
10,LMP2,22,99.102,GF,
10,LMP2,23,99.307,GF,
10,LMP2,24,98.901,GF,
10,LMP2,25,101.753,GF,
10,LMP2,26,102.412,GF,
10,LMP2,27,100.828,GF,
10,LMP2,28,103.851,GF,
10,LMP2,29,105.339,GF,
10,LMP2,30,100.153,GF,
10,LMP2,31,103.964,GF,
10,LMP2,32,100.682,GF,
10,LMP2,33,100.617,GF,
10,LMP2,34,100.585,GF,
10,LMP2,35,99.71,GF,
10,LMP2,36,102.822,GF,
10,LMP2,37,165.54,GF,
10,LMP2,38,110.014,GF,67.919
10,LMP2,39,434.859,GF,
10,LMP2,40,109.135,GF,309.763
10,LMP2,41,101.454,GF,
10,LMP2,42,104.188,GF,
10,LMP2,43,102.208,GF,
10,LMP2,44,106.762,GF,
10,LMP2,45,108.511,GF,
10,LMP2,46,103.409,GF,
10,LMP2,47,101.622,GF,
10,LMP2,48,168.193,SF,
10,LMP2,49,147.953,SF,68.975
10,LMP2,50,229.291,SF,
10,LMP2,51,217.419,SF,
10,LMP2,52,167.518,GF,
10,LMP2,53,104.313,GF,
10,LMP2,54,195.193,GF,
10,LMP2,55,235.487,GF,
10,LMP2,56,233.009,SF,
10,LMP2,57,224.839,SF,
10,LMP2,58,212.98,SF,
10,LMP2,59,156.126,GF,
