car,class,lap,lap_time,flags,pit_time
10,LMP2,1,98.48,GF,
10,LMP2,2,95.222,GF,
10,LMP2,3,94.658,GF,
10,LMP2,4,95.157,GF,
10,LMP2,5,94.167,GF,
10,LMP2,6,93.992,GF,
10,LMP2,7,94.423,GF,
10,LMP2,8,97.825,GF,
10,LMP2,9,126.022,FCY,
10,LMP2,10,140.722,GF,
10,LMP2,11,96.348,GF,
10,LMP2,12,94.344,GF,
10,LMP2,13,94.949,GF,
10,LMP2,14,94.877,GF,
10,LMP2,15,94.669,GF,
10,LMP2,16,95.795,GF,
10,LMP2,17,98.481,GF,
10,LMP2,18,96.54,GF,
10,LMP2,19,128.866,GF,
10,LMP2,20,212.11,GF,
10,LMP2,21,247.772,SF,75.699
10,LMP2,22,209.655,SF,
10,LMP2,23,204.038,SF,
10,LMP2,24,141.884,GF,
10,LMP2,25,98.631,GF,
10,LMP2,26,93.545,SF,
10,LMP2,27,180.111,SF,
10,LMP2,28,190.755,SF,
10,LMP2,29,140.407,GF,
10,LMP2,30,95.885,GF,
10,LMP2,31,94.615,GF,
10,LMP2,32,94.608,GF,
10,LMP2,33,94.87,GF,
10,LMP2,34,94.737,GF,
10,LMP2,35,94.855,GF,
10,LMP2,36,94.544,GF,
10,LMP2,37,96.564,GF,
10,LMP2,38,96.873,GF,
10,LMP2,39,392.689,GF,
10,LMP2,40,266.067,SF,104.617
10,LMP2,41,106.917,SF,
10,LMP2,42,193.51,SF,
10,LMP2,43,188.257,SF,
10,LMP2,44,132.873,GF,
10,LMP2,45,109.566,GF,
10,LMP2,46,97.886,GF,
10,LMP2,47,98.271,GF,
10,LMP2,48,94.97,GF,
10,LMP2,49,95.438,GF,
10,LMP2,50,93.198,GF,
10,LMP2,51,93.941,GF,
10,LMP2,52,92.78,GF,
10,LMP2,53,92.947,GF,
10,LMP2,54,94.904,GF,
10,LMP2,55,94.711,GF,
10,LMP2,56,95.317,GF,
10,LMP2,57,95.104,GF,
10,LMP2,58,94.729,GF,
10,LMP2,59,94.101,GF,
10,LMP2,60,94.798,GF,
10,LMP2,61,94.418,GF,
10,LMP2,62,94.493,GF,
10,LMP2,63,94.047,GF,
10,LMP2,64,95.619,GF,
10,LMP2,65,95.246,GF,
10,LMP2,66,94.872,GF,
10,LMP2,67,101.414,GF,
10,LMP2,68,177.646,GF,82.499
10,LMP2,69,96.382,GF,
10,LMP2,70,94.392,GF,
10,LMP2,71,93.967,GF,
10,LMP2,72,93.986,GF,
10,LMP2,73,94.352,GF,
10,LMP2,74,95.164,GF,
10,LMP2,75,96.016,GF,
10,LMP2,76,95.158,GF,
10,LMP2,77,95.572,GF,
10,LMP2,78,98.158,GF,
10,LMP2,79,95.897,GF,
10,LMP2,80,94.742,GF,
10,LMP2,81,94.48,GF,
10,LMP2,82,94.555,GF,
10,LMP2,83,95.156,GF,
10,LMP2,84,94.972,GF,
10,LMP2,85,94.765,GF,
10,LMP2,86,94.469,GF,
10,LMP2,87,96.16,GF,
10,LMP2,88,94.772,GF,
10,LMP2,89,94.879,GF,
10,LMP2,90,94.706,GF,
10,LMP2,91,95.455,GF,
10,LMP2,92,94.191,GF,
10,LMP2,93,101.915,GF,
10,LMP2,94,185.163,GF,87.876
10,LMP2,95,95.915,GF,
10,LMP2,96,95.758,GF,
10,LMP2,97,94.456,GF,
10,LMP2,98,95.74,GF,
10,LMP2,99,94.677,GF,
10,LMP2,100,93.17,GF,
10,LMP2,101,94.477,GF,
10,LMP2,102,93.319,GF,
10,LMP2,103,93.893,GF,
10,LMP2,104,94.216,GF,
10,LMP2,105,93.531,GF,
10,LMP2,106,94.618,GF,
10,LMP2,107,94.48,GF,
10,LMP2,108,95.053,GF,
10,LMP2,109,94.416,GF,
10,LMP2,110,93.97,GF,
10,LMP2,111,94.024,GF,
10,LMP2,112,95.335,GF,
10,LMP2,113,95.881,GF,
10,LMP2,114,95.515,GF,
10,LMP2,115,94.35,GF,
10,LMP2,116,94.852,GF,
10,LMP2,117,95.828,GF,
10,LMP2,118,94.415,GF,
10,LMP2,119,102.687,GF,
10,LMP2,120,163.885,GF,72.865
10,LMP2,121,96.38,GF,
10,LMP2,122,95.567,GF,
10,LMP2,123,94.536,GF,
10,LMP2,124,94.77,GF,
10,LMP2,125,94.569,GF,
10,LMP2,126,94.16,GF,
10,LMP2,127,95.391,GF,
10,LMP2,128,94.45,GF,
10,LMP2,129,94.335,GF,
10,LMP2,130,94.366,GF,
10,LMP2,131,95.405,GF,
10,LMP2,132,95.415,GF,
10,LMP2,133,95.138,FF,
11,LMP3,1,110.406,GF,
11,LMP3,2,103.5,GF,
11,LMP3,3,102.005,GF,
11,LMP3,4,102.293,GF,
11,LMP3,5,101.643,GF,
11,LMP3,6,102.104,GF,
11,LMP3,7,102.136,GF,
11,LMP3,8,102.189,GF,
11,LMP3,9,157.305,GF,
11,LMP3,10,102.538,GF,
11,LMP3,11,101.982,GF,
11,LMP3,12,102.335,GF,
11,LMP3,13,101.822,GF,
11,LMP3,14,102.618,GF,
11,LMP3,15,106.108,GF,
11,LMP3,16,105.516,GF,
11,LMP3,17,105.796,GF,
11,LMP3,18,163.847,GF,
11,LMP3,19,296.499,GF,110.816
11,LMP3,20,141.188,SF,
11,LMP3,21,203.48,SF,
11,LMP3,22,197.823,SF,
11,LMP3,23,136.395,GF,
11,LMP3,24,106.504,GF,
11,LMP3,25,131.026,SF,
11,LMP3,26,151.137,SF,
11,LMP3,27,192.225,SF,
11,LMP3,28,127.579,GF,
11,LMP3,29,105.706,GF,
11,LMP3,30,105.049,GF,
11,LMP3,31,103.62,GF,
11,LMP3,32,106.641,GF,
11,LMP3,33,106.779,GF,
11,LMP3,34,104.406,GF,
11,LMP3,35,103.312,GF,
11,LMP3,36,104.716,GF,
11,LMP3,37,114.695,GF,
11,LMP3,38,298.104,GF,113.868
11,LMP3,39,208.623,SF,
11,LMP3,40,129.048,SF,
11,LMP3,41,200.372,SF,
11,LMP3,42,191.453,SF,
11,LMP3,43,136.998,GF,
11,LMP3,44,106.844,GF,
11,LMP3,45,106.363,GF,
11,LMP3,46,105.401,GF,
11,LMP3,47,130.106,GF,
11,LMP3,48,104.911,GF,
11,LMP3,49,104.758,GF,
11,LMP3,50,103.23,GF,
11,LMP3,51,105.588,GF,
11,LMP3,52,104.196,GF,
11,LMP3,53,103.099,GF,
11,LMP3,54,104.745,GF,
11,LMP3,55,105.207,GF,
11,LMP3,56,104.019,GF,
11,LMP3,57,104.826,GF,
11,LMP3,58,105.144,GF,
11,LMP3,59,104.143,GF,
11,LMP3,60,103.944,GF,
11,LMP3,61,104.822,GF,
11,LMP3,62,103.783,GF,
11,LMP3,63,111.303,GF,
11,LMP3,64,190.133,GF,89.992
11,LMP3,65,101.892,GF,
11,LMP3,66,101.07,GF,
11,LMP3,67,101.622,GF,
11,LMP3,68,103.322,GF,
11,LMP3,69,101.461,GF,
11,LMP3,70,101.898,GF,
11,LMP3,71,102.522,GF,
11,LMP3,72,102.341,GF,
11,LMP3,73,102.927,GF,
11,LMP3,74,102.321,GF,
11,LMP3,75,101.335,GF,
11,LMP3,76,102.01,GF,
11,LMP3,77,101.732,GF,
11,LMP3,78,101.394,GF,
11,LMP3,79,100.937,GF,
11,LMP3,80,101.416,GF,
11,LMP3,81,101.702,GF,
11,LMP3,82,101.38,GF,
11,LMP3,83,101.175,GF,
11,LMP3,84,101.117,GF,
11,LMP3,85,101.392,GF,
11,LMP3,86,102.528,GF,
11,LMP3,87,101.933,GF,
11,LMP3,88,101.84,GF,
11,LMP3,89,101.124,GF,
11,LMP3,90,101.766,GF,
11,LMP3,91,101.133,GF,
11,LMP3,92,101.736,GF,
11,LMP3,93,101.795,GF,
11,LMP3,94,101.815,GF,
11,LMP3,95,101.482,GF,
11,LMP3,96,101.234,GF,
11,LMP3,97,101.09,GF,
11,LMP3,98,101.071,GF,
11,LMP3,99,101.481,GF,
11,LMP3,100,108.888,GF,
11,LMP3,101,162.22,GF,65.471
11,LMP3,102,102.154,GF,
11,LMP3,103,102.362,GF,
11,LMP3,104,102.104,GF,
11,LMP3,105,102.169,GF,
11,LMP3,106,103.028,GF,
11,LMP3,107,102.104,GF,
11,LMP3,108,102.01,GF,
11,LMP3,109,102.628,GF,
11,LMP3,110,102.036,GF,
11,LMP3,111,102.696,GF,
11,LMP3,112,103.493,GF,
11,LMP3,113,102.493,GF,
11,LMP3,114,102.624,GF,
11,LMP3,115,102.099,GF,
11,LMP3,116,102.621,GF,
11,LMP3,117,102.549,GF,
11,LMP3,118,102.104,GF,
11,LMP3,119,102.527,GF,
11,LMP3,120,101.851,GF,
11,LMP3,121,102.026,GF,
11,LMP3,122,102.577,GF,
11,LMP3,123,101.603,GF,
11,LMP3,124,103.783,GF,
11,LMP3,125,101.793,GF,
11,LMP3,126,101.892,GF,
11,LMP3,127,102.572,FF,
12,LMP3,1,122.873,GF,
12,LMP3,2,106.346,GF,
12,LMP3,3,103.938,GF,
12,LMP3,4,104.485,GF,
12,LMP3,5,103.949,GF,
12,LMP3,6,103.941,GF,
12,LMP3,7,104.729,GF,
12,LMP3,8,121.529,FCY,
12,LMP3,9,152.235,GF,
12,LMP3,10,105.018,GF,
12,LMP3,11,104.404,GF,
12,LMP3,12,104.327,GF,
12,LMP3,13,103.126,GF,
12,LMP3,14,103.128,GF,
12,LMP3,15,103.087,GF,
12,LMP3,16,103.343,GF,
12,LMP3,17,103.722,GF,
12,LMP3,18,188.307,GF,
12,LMP3,19,209.35,GF,
12,LMP3,20,217.304,SF,110.77
12,LMP3,21,162.147,SF,
12,LMP3,22,194.753,SF,
12,LMP3,23,131.279,GF,
12,LMP3,24,105.171,GF,
12,LMP3,25,131.94,SF,
12,LMP3,26,151.614,SF,
12,LMP3,27,192.789,SF,
12,LMP3,28,124.159,GF,
12,LMP3,29,105.414,GF,
12,LMP3,30,105.45,GF,
12,LMP3,31,103.986,GF,
12,LMP3,32,104.412,GF,
12,LMP3,33,104.578,GF,
12,LMP3,34,104.408,GF,
12,LMP3,35,103.278,GF,
12,LMP3,36,104.058,GF,
12,LMP3,37,104.613,GF,
12,LMP3,38,160.425,GF,
12,LMP3,39,211.207,GF,
12,LMP3,40,251.435,SF,111.37
12,LMP3,41,213.312,SF,
12,LMP3,42,195.081,SF,
12,LMP3,43,165.584,GF,
12,LMP3,44,257.093,GF,155.664
12,LMP3,45,104.391,GF,
12,LMP3,46,105.058,GF,
12,LMP3,47,104.468,GF,
12,LMP3,48,103.677,GF,
12,LMP3,49,103.493,GF,
12,LMP3,50,102.748,GF,
12,LMP3,51,103.972,GF,
12,LMP3,52,103.012,GF,
12,LMP3,53,103.078,GF,
12,LMP3,54,104.813,GF,
12,LMP3,55,103.816,GF,
12,LMP3,56,103.842,GF,
12,LMP3,57,111.035,GF,
12,LMP3,58,177.266,GF,74.702
12,LMP3,59,106.073,GF,
12,LMP3,60,102.838,GF,
12,LMP3,61,102.089,GF,
12,LMP3,62,102.135,GF,
12,LMP3,63,102.586,GF,
12,LMP3,64,103.881,GF,
12,LMP3,65,102.733,GF,
12,LMP3,66,102.105,GF,
12,LMP3,67,102.394,GF,
12,LMP3,68,103.165,GF,
12,LMP3,69,103.462,GF,
12,LMP3,70,102.532,GF,
12,LMP3,71,102.601,GF,
12,LMP3,72,105.094,GF,
12,LMP3,73,103.464,GF,
12,LMP3,74,102.387,GF,
12,LMP3,75,104.614,GF,
12,LMP3,76,103.046,GF,
12,LMP3,77,103.058,GF,
12,LMP3,78,103.181,GF,
12,LMP3,79,103.673,GF,
12,LMP3,80,105.107,GF,
12,LMP3,81,104.083,GF,
12,LMP3,82,105.199,GF,
12,LMP3,83,104.303,GF,
12,LMP3,84,103.114,GF,
12,LMP3,85,104.333,GF,
12,LMP3,86,103.288,GF,
12,LMP3,87,102.641,GF,
12,LMP3,88,108.609,GF,
12,LMP3,89,202.785,GF,100.495
12,LMP3,90,102.471,GF,
12,LMP3,91,103.227,GF,
12,LMP3,92,101.775,GF,
12,LMP3,93,101.696,GF,
12,LMP3,94,101.366,GF,
12,LMP3,95,102.828,GF,
12,LMP3,96,101.739,GF,
12,LMP3,97,102.055,GF,
12,LMP3,98,102.158,GF,
12,LMP3,99,103.086,GF,
12,LMP3,100,100.955,GF,
12,LMP3,101,101.309,GF,
12,LMP3,102,102.385,GF,
12,LMP3,103,101.841,GF,
12,LMP3,104,101.92,GF,
12,LMP3,105,101.761,GF,
12,LMP3,106,102.899,GF,
12,LMP3,107,101.848,GF,
12,LMP3,108,101.515,GF,
12,LMP3,109,101.665,GF,
12,LMP3,110,102.349,GF,
12,LMP3,111,102.804,GF,
12,LMP3,112,103.01,GF,
12,LMP3,113,102.232,GF,
12,LMP3,114,101.622,GF,
12,LMP3,115,102.326,GF,
12,LMP3,116,102.301,GF,
12,LMP3,117,101.513,GF,
12,LMP3,118,104.586,GF,
12,LMP3,119,101.892,GF,
12,LMP3,120,102.526,GF,
12,LMP3,121,101.704,GF,
12,LMP3,122,101.851,GF,
12,LMP3,123,101.686,GF,
12,LMP3,124,101.974,GF,
12,LMP3,125,101.881,FF,
15,LMP3,1,118.2,GF,
15,LMP3,2,175.643,GF,72.7
15,LMP3,3,107.367,GF,
15,LMP3,4,104.697,GF,
15,LMP3,5,104.553,GF,
15,LMP3,6,103.332,GF,
15,LMP3,7,103.084,GF,
15,LMP3,8,160.608,GF,
15,LMP3,9,103.927,GF,
15,LMP3,10,103.369,GF,
15,LMP3,11,102.665,GF,
15,LMP3,12,102.771,GF,
15,LMP3,13,103.921,GF,
15,LMP3,14,105.182,GF,
