car,class,lap,lap_time,flags,pit_time
10,LMP2,1,120.765,GF,
10,LMP2,2,183.442,GF,
10,LMP2,3,263.514,GF,
10,LMP2,4,247.24,SF,33.899
10,LMP2,5,211.259,SF,
10,LMP2,6,169.399,GF,
10,LMP2,7,110.593,GF,
10,LMP2,8,109.367,GF,
10,LMP2,9,108.582,GF,
10,LMP2,10,107.191,GF,
10,LMP2,11,107.1,GF,
10,LMP2,12,107.896,GF,
10,LMP2,13,110.649,GF,
10,LMP2,14,108.836,GF,
10,LMP2,15,108.273,GF,
10,LMP2,16,117.784,SF,
10,LMP2,17,303.806,RF,
10,LMP2,18,1794.73,SF,
10,LMP2,19,208.611,GF,
10,LMP2,20,109.184,GF,
10,LMP2,21,106.469,GF,
10,LMP2,22,105.775,GF,
10,LMP2,23,105.971,GF,
10,LMP2,24,119.517,SF,
10,LMP2,25,281.765,RF,
10,LMP2,26,1359.212,SF,
10,LMP2,27,204.574,SF,
10,LMP2,28,208.385,SF,
10,LMP2,29,174.896,SF,63.522
10,LMP2,30,156.815,SF,
10,LMP2,31,155.533,GF,
10,LMP2,32,110.535,GF,
10,LMP2,33,105.492,GF,
10,LMP2,34,105.212,GF,
10,LMP2,35,105.401,GF,
10,LMP2,36,107.49,GF,
10,LMP2,37,106.509,GF,
10,LMP2,38,109.499,GF,
10,LMP2,39,106.009,GF,
10,LMP2,40,104.966,GF,
10,LMP2,41,106.17,GF,
10,LMP2,42,106.503,GF,
10,LMP2,43,107.316,GF,
10,LMP2,44,105.72,GF,
10,LMP2,45,107.54,GF,
10,LMP2,46,109.776,GF,
10,LMP2,47,106.282,GF,
10,LMP2,48,105.09,GF,
10,LMP2,49,107.837,GF,
10,LMP2,50,110.235,GF,
10,LMP2,51,181.546,GF,75.427
10,LMP2,52,108.401,GF,
10,LMP2,53,106.835,GF,
10,LMP2,54,107.708,GF,
10,LMP2,55,109.394,GF,
10,LMP2,56,109.374,GF,
10,LMP2,57,108.15,GF,
10,LMP2,58,107.911,GF,
10,LMP2,59,110.616,GF,
10,LMP2,60,112.293,GF,
10,LMP2,61,112.633,GF,
10,LMP2,62,112.095,GF,
10,LMP2,63,112.428,GF,
10,LMP2,64,108.686,GF,
10,LMP2,65,110.923,GF,
10,LMP2,66,111.91,GF,
10,LMP2,67,123.135,GF,
10,LMP2,68,139.506,GF,
10,LMP2,69,196.415,GF,70.435
10,LMP2,70,122.272,GF,
10,LMP2,71,120.926,GF,
10,LMP2,72,120.953,GF,
10,LMP2,73,122.329,GF,
10,LMP2,74,121.005,GF,
10,LMP2,75,118.41,GF,
10,LMP2,76,120.958,GF,
10,LMP2,77,121.709,GF,
10,LMP2,78,122.367,GF,
10,LMP2,79,121.64,GF,
10,LMP2,80,121.858,GF,
10,LMP2,81,125.147,GF,
10,LMP2,82,122.971,GF,
10,LMP2,83,124.056,GF,
10,LMP2,84,122.78,GF,
10,LMP2,85,122.158,GF,
10,LMP2,86,123.756,GF,
10,LMP2,87,128.707,GF,
10,LMP2,88,188.662,GF,66.433
10,LMP2,89,123.394,GF,
10,LMP2,90,125.335,GF,
10,LMP2,91,122.375,GF,
10,LMP2,92,124.415,GF,
10,LMP2,93,123.411,GF,
10,LMP2,94,123.424,GF,
10,LMP2,95,122.909,GF,
10,LMP2,96,122.451,GF,
10,LMP2,97,124.083,GF,
10,LMP2,98,122.382,GF,
10,LMP2,99,122.261,GF,
10,LMP2,100,123.518,GF,
10,LMP2,101,123.705,GF,
10,LMP2,102,124.782,GF,
10,LMP2,103,176.414,FCY,
10,LMP2,104,214.781,GF,
11,LMP3,1,133.392,GF,
11,LMP3,2,207.234,GF,
11,LMP3,3,263.524,GF,
11,LMP3,4,256.364,SF,101.44
11,LMP3,5,190.082,SF,
11,LMP3,6,164.543,GF,
11,LMP3,7,123.085,GF,
11,LMP3,8,123.028,GF,
11,LMP3,9,122.258,GF,
11,LMP3,10,120.757,GF,
11,LMP3,11,120.792,GF,
11,LMP3,12,120.443,GF,
11,LMP3,13,119.479,GF,
11,LMP3,14,118.865,GF,
11,LMP3,15,133.174,SF,
11,LMP3,16,310.81,RF,
11,LMP3,17,1772.235,SF,
11,LMP3,18,202.559,GF,
11,LMP3,19,120.377,GF,
11,LMP3,20,118.091,GF,
11,LMP3,21,117.825,GF,
11,LMP3,22,117.881,GF,
11,LMP3,23,164.414,SF,
11,LMP3,24,239.558,RF,
11,LMP3,25,1315.745,SF,
11,LMP3,26,202.192,SF,
11,LMP3,27,211.322,SF,
11,LMP3,28,155.138,SF,
11,LMP3,29,158.959,SF,
11,LMP3,30,159.368,GF,
11,LMP3,31,122.024,GF,
11,LMP3,32,119.227,GF,
11,LMP3,33,117.154,GF,
11,LMP3,34,117.513,GF,
11,LMP3,35,116.932,GF,
11,LMP3,36,116.588,GF,
11,LMP3,37,116.99,GF,
11,LMP3,38,122.642,GF,
11,LMP3,39,176.523,GF,59.744
11,LMP3,40,122.222,GF,
11,LMP3,41,118.705,GF,
11,LMP3,42,120.129,GF,
11,LMP3,43,120.506,GF,
11,LMP3,44,119.255,GF,
11,LMP3,45,119.171,GF,
