car,class,lap,lap_time,flags,pit_time
01,DPi,1,80.133,GF,
01,DPi,2,79.645,FCY,
01,DPi,3,164.007,FCY,
01,DPi,4,164.027,FCY,
01,DPi,5,167.611,FCY,
01,DPi,6,148.877,GF,
01,DPi,7,78.837,GF,
01,DPi,8,77.567,GF,
01,DPi,9,76.972,GF,
01,DPi,10,77.157,GF,
01,DPi,11,77.391,GF,
01,DPi,12,77.78,GF,
01,DPi,13,77.617,GF,
01,DPi,14,79.229,GF,
01,DPi,15,80.042,GF,
01,DPi,16,78.557,GF,
01,DPi,17,78.066,GF,
01,DPi,18,77.999,GF,
01,DPi,19,78.323,GF,
01,DPi,20,80.263,GF,
01,DPi,21,115.789,GF,
01,DPi,22,88.199,GF,47.469
01,DPi,23,77.002,GF,
01,DPi,24,76.596,GF,
01,DPi,25,76.501,GF,
01,DPi,26,78.322,GF,
01,DPi,27,76.389,GF,
01,DPi,28,78.374,GF,
01,DPi,29,78.08,GF,
01,DPi,30,77.262,GF,
01,DPi,31,76.434,GF,
01,DPi,32,76.167,GF,
01,DPi,33,77.327,GF,
01,DPi,34,76.099,GF,
01,DPi,35,76.826,GF,
01,DPi,36,78.549,GF,
01,DPi,37,77.582,GF,
01,DPi,38,76.368,GF,
01,DPi,39,76.381,GF,
01,DPi,40,77.109,GF,
01,DPi,41,78.113,GF,
01,DPi,42,78.464,GF,
01,DPi,43,77.977,GF,
01,DPi,44,76.892,GF,
01,DPi,45,78.194,GF,
01,DPi,46,78.5,GF,
01,DPi,47,77.653,GF,
01,DPi,48,78.43,GF,
01,DPi,49,76.78,GF,
01,DPi,50,78.425,GF,
01,DPi,51,121.852,GF,
01,DPi,52,84.775,GF,54.914
01,DPi,53,78.137,GF,
01,DPi,54,77.643,GF,
01,DPi,55,77.515,GF,
01,DPi,56,76.997,GF,
01,DPi,57,77.433,GF,
01,DPi,58,77.324,GF,
01,DPi,59,77.533,GF,
01,DPi,60,80.296,GF,
01,DPi,61,77.632,GF,
01,DPi,62,76.383,GF,
01,DPi,63,76.158,GF,
01,DPi,64,76.024,GF,
01,DPi,65,76.335,GF,
01,DPi,66,77.437,GF,
01,DPi,67,77.229,GF,
01,DPi,68,78.069,GF,
01,DPi,69,78.353,GF,
01,DPi,70,78.582,GF,
01,DPi,71,80.707,GF,
01,DPi,72,79.694,GF,
01,DPi,73,78.12,GF,
01,DPi,74,79.885,GF,
01,DPi,75,77.692,GF,
01,DPi,76,77.462,GF,
01,DPi,77,81.965,GF,
01,DPi,78,77.96,GF,
01,DPi,79,78.38,GF,
01,DPi,80,78.078,GF,
01,DPi,81,78.042,GF,
01,DPi,82,78.716,GF,
01,DPi,83,79.261,GF,
01,DPi,84,78.081,GF,
01,DPi,85,124.38,GF,
01,DPi,86,85.081,GF,57.317
01,DPi,87,77.263,GF,
01,DPi,88,77.421,GF,
01,DPi,89,77.862,GF,
01,DPi,90,76.865,GF,
01,DPi,91,76.601,GF,
01,DPi,92,77.17,GF,
01,DPi,93,77.107,GF,
01,DPi,94,76.898,GF,
01,DPi,95,77.636,GF,
01,DPi,96,77.199,GF,
01,DPi,97,78.298,GF,
01,DPi,98,79.338,GF,
01,DPi,99,77.032,GF,
01,DPi,100,76.765,GF,
01,DPi,101,76.676,GF,
01,DPi,102,76.839,GF,
01,DPi,103,76.878,GF,
01,DPi,104,77.361,GF,
01,DPi,105,79.028,GF,
01,DPi,106,77.66,GF,
01,DPi,107,76.924,GF,
01,DPi,108,76.548,GF,
01,DPi,109,76.712,GF,
01,DPi,110,77.628,GF,
01,DPi,111,76.991,GF,
01,DPi,112,76.849,GF,
01,DPi,113,77.272,GF,
01,DPi,114,77.749,GF,
01,DPi,115,77.675,GF,
01,DPi,116,79.016,GF,
01,DPi,117,77.828,GF,
01,DPi,118,79.147,FF,
1,GTD,1,108.058,GF,
1,GTD,2,92.023,FCY,
1,GTD,3,142.819,FCY,
1,GTD,4,161.696,FCY,
1,GTD,5,165.261,FCY,
1,GTD,6,142.238,GF,
1,GTD,7,88.005,GF,
1,GTD,8,87.079,GF,
1,GTD,9,86.785,GF,
1,GTD,10,86.543,GF,
1,GTD,11,86.867,GF,
1,GTD,12,86.625,GF,
1,GTD,13,86.619,GF,
1,GTD,14,87.211,GF,
1,GTD,15,87.325,GF,
1,GTD,16,87.507,GF,
1,GTD,17,87.148,GF,
1,GTD,18,86.973,GF,
1,GTD,19,87.126,GF,
1,GTD,20,87.808,GF,
1,GTD,21,87.715,GF,
1,GTD,22,87.679,GF,
1,GTD,23,87.576,GF,
1,GTD,24,87.347,GF,
1,GTD,25,87.778,GF,
1,GTD,26,88.199,GF,
1,GTD,27,88.818,GF,
1,GTD,28,88.061,GF,
1,GTD,29,87.47,GF,
1,GTD,30,87.47,GF,
1,GTD,31,87.477,GF,
1,GTD,32,87.464,GF,
1,GTD,33,87.326,GF,
1,GTD,34,87.356,GF,
1,GTD,35,88.016,GF,
1,GTD,36,133.203,GF,
1,GTD,37,94.605,GF,57.909
1,GTD,38,86.703,GF,
1,GTD,39,86.118,GF,
1,GTD,40,85.731,GF,
1,GTD,41,85.954,GF,
1,GTD,42,85.658,GF,
1,GTD,43,86.541,GF,
1,GTD,44,86.135,GF,
1,GTD,45,85.714,GF,
1,GTD,46,86.045,GF,
1,GTD,47,86.626,GF,
1,GTD,48,87.517,GF,
1,GTD,49,86.402,GF,
1,GTD,50,86.311,GF,
1,GTD,51,87.174,GF,
1,GTD,52,86.474,GF,
1,GTD,53,86.471,GF,
1,GTD,54,86.438,GF,
1,GTD,55,87.035,GF,
1,GTD,56,86.871,GF,
1,GTD,57,86.263,GF,
1,GTD,58,87.07,GF,
1,GTD,59,87.294,GF,
1,GTD,60,86.953,GF,
1,GTD,61,86.716,GF,
1,GTD,62,126.193,GF,
1,GTD,63,92.868,GF,51.222
1,GTD,64,87.6,GF,
1,GTD,65,86.347,GF,
1,GTD,66,86.217,GF,
1,GTD,67,85.827,GF,
1,GTD,68,85.852,GF,
1,GTD,69,85.719,GF,
1,GTD,70,85.689,GF,
1,GTD,71,85.98,GF,
1,GTD,72,86.593,GF,
1,GTD,73,86.312,GF,
1,GTD,74,86.199,GF,
1,GTD,75,86.527,GF,
1,GTD,76,86.099,GF,
1,GTD,77,86.406,GF,
1,GTD,78,87.503,GF,
1,GTD,79,86.564,GF,
1,GTD,80,86.4,GF,
1,GTD,81,86.714,GF,
1,GTD,82,86.906,GF,
1,GTD,83,86.873,GF,
1,GTD,84,86.333,GF,
1,GTD,85,86.533,GF,
1,GTD,86,86.29,GF,
1,GTD,87,87.567,GF,
1,GTD,88,87.6,GF,
1,GTD,89,87.175,GF,
1,GTD,90,86.89,GF,
1,GTD,91,86.727,GF,
1,GTD,92,87.021,GF,
1,GTD,93,86.625,GF,
1,GTD,94,86.88,GF,
1,GTD,95,86.679,GF,
1,GTD,96,87.365,GF,
1,GTD,97,87.442,GF,
1,GTD,98,87.35,GF,
1,GTD,99,87.262,GF,
1,GTD,100,86.898,GF,
1,GTD,101,87.191,GF,
1,GTD,102,87.53,GF,
1,GTD,103,87.03,GF,
1,GTD,104,86.784,GF,
1,GTD,105,87.547,GF,
1,GTD,106,87.413,GF,
1,GTD,107,87.784,FF,
10,DPi,1,78.33,GF,
10,DPi,2,79.162,FCY,
10,DPi,3,163.825,FCY,
10,DPi,4,164.686,FCY,
10,DPi,5,167.572,FCY,
10,DPi,6,150.005,GF,
10,DPi,7,77.849,GF,
10,DPi,8,76.75,GF,
10,DPi,9,76.567,GF,
10,DPi,10,76.459,GF,
10,DPi,11,76.415,GF,
10,DPi,12,76.763,GF,
10,DPi,13,78.44,GF,
10,DPi,14,78.119,GF,
10,DPi,15,78.146,GF,
10,DPi,16,76.953,GF,
