car,class,lap,lap_time,flags,pit_time
01,DPi,1,115.406,GF,
01,DPi,2,75.372,GF,
01,DPi,3,74.499,GF,
01,DPi,4,81.826,GF,
01,DPi,5,85.084,GF,23.49
01,DPi,6,72.962,GF,
01,DPi,7,72.758,GF,
01,DPi,8,74.984,GF,
01,DPi,9,75.104,GF,
01,DPi,10,72.775,GF,
01,DPi,11,72.188,GF,
01,DPi,12,72.413,GF,
01,DPi,13,72.547,GF,
01,DPi,14,73.894,GF,
01,DPi,15,73.718,GF,
01,DPi,16,74.417,GF,
01,DPi,17,74.23,GF,
01,DPi,18,75.591,GF,
01,DPi,19,73.576,GF,
01,DPi,20,73.025,GF,
01,DPi,21,72.549,GF,
01,DPi,22,73.476,GF,
01,DPi,23,72.807,GF,
01,DPi,24,74.431,GF,
01,DPi,25,74.724,GF,
01,DPi,26,82.06,GF,
01,DPi,27,116.683,GF,52.104
01,DPi,28,74.317,GF,
01,DPi,29,74.316,GF,
01,DPi,30,73.836,GF,
01,DPi,31,74.709,GF,
01,DPi,32,75.231,GF,
01,DPi,33,74.709,GF,
01,DPi,34,75.999,GF,
01,DPi,35,72.993,GF,
01,DPi,36,73.152,GF,
01,DPi,37,73.087,GF,
01,DPi,38,73.974,GF,
01,DPi,39,73.818,GF,
01,DPi,40,73.545,GF,
01,DPi,41,75.798,GF,
01,DPi,42,74.102,GF,
01,DPi,43,74.882,GF,
01,DPi,44,74.426,GF,
01,DPi,45,73.927,GF,
01,DPi,46,73.494,GF,
01,DPi,47,73.369,GF,
01,DPi,48,73.657,GF,
01,DPi,49,74.083,GF,
01,DPi,50,74.956,GF,
01,DPi,51,74.345,GF,
01,DPi,52,73.697,GF,
01,DPi,53,73.217,GF,
01,DPi,54,74.799,GF,
01,DPi,55,74.05,GF,
01,DPi,56,75.066,GF,
01,DPi,57,73.601,GF,
01,DPi,58,74.069,GF,
01,DPi,59,73.167,GF,
01,DPi,60,73.833,GF,
01,DPi,61,75.348,GF,
01,DPi,62,74.144,GF,
01,DPi,63,82.04,GF,
01,DPi,64,125.035,GF,57.671
01,DPi,65,75.317,GF,
01,DPi,66,73.995,GF,
01,DPi,67,73.262,GF,
01,DPi,68,74.788,GF,
01,DPi,69,73.934,GF,
01,DPi,70,74.245,GF,
01,DPi,71,73.064,GF,
01,DPi,72,73.735,GF,
01,DPi,73,72.905,GF,
01,DPi,74,72.499,GF,
01,DPi,75,73.264,GF,
01,DPi,76,72.78,GF,
01,DPi,77,73.339,GF,
01,DPi,78,78.898,FCY,
01,DPi,79,97.071,FCY,
01,DPi,80,140.105,FCY,
01,DPi,81,157.242,FCY,54.931
01,DPi,82,134.99,FCY,
01,DPi,83,133.334,FCY,
01,DPi,84,141.189,FCY,
01,DPi,85,124.541,GF,
01,DPi,86,77.146,GF,
01,DPi,87,75.906,GF,
01,DPi,88,75.411,GF,
01,DPi,89,74.781,GF,
01,DPi,90,74.168,GF,
01,DPi,91,73.608,GF,
01,DPi,92,74.037,GF,
01,DPi,93,73.808,GF,
01,DPi,94,75.981,GF,
01,DPi,95,75.784,GF,
01,DPi,96,73.529,GF,
01,DPi,97,73.552,GF,
01,DPi,98,73.163,GF,
01,DPi,99,73.849,GF,
01,DPi,100,73.515,GF,
01,DPi,101,73.222,GF,
01,DPi,102,73.491,GF,
01,DPi,103,77.363,GF,
01,DPi,104,75.481,GF,
01,DPi,105,76.113,GF,
01,DPi,106,75.621,GF,
01,DPi,107,74.753,GF,
01,DPi,108,73.701,GF,
01,DPi,109,73.654,GF,
01,DPi,110,73.653,GF,
01,DPi,111,74.043,GF,
01,DPi,112,73.384,GF,
01,DPi,113,73.811,GF,
01,DPi,114,75.723,GF,
01,DPi,115,74.957,GF,
01,DPi,116,74.91,GF,
01,DPi,117,75.042,GF,
01,DPi,118,74.916,GF,
01,DPi,119,74.49,GF,
01,DPi,120,81.478,GF,
01,DPi,121,92.412,GF,30.146
01,DPi,122,73.642,FF,
1,GTD,1,149.691,GF,
1,GTD,2,84.487,GF,
1,GTD,3,83.832,GF,
1,GTD,4,82.933,GF,
1,GTD,5,82.67,GF,
1,GTD,6,83.231,GF,
1,GTD,7,82.825,GF,
1,GTD,8,82.513,GF,
1,GTD,9,82.582,GF,
1,GTD,10,82.087,GF,
1,GTD,11,82.44,GF,
1,GTD,12,82.666,GF,
1,GTD,13,83.157,GF,
1,GTD,14,82.528,GF,
1,GTD,15,83.237,GF,
