car,class,lap,lap_time,flags,pit_time
01,DPi,1,97.771,GF,
01,DPi,2,93.322,GF,
01,DPi,3,92.209,GF,
01,DPi,4,91.743,GF,
01,DPi,5,91.801,GF,
01,DPi,6,94.459,GF,
01,DPi,7,93.75,GF,
01,DPi,8,93.003,GF,
01,DPi,9,93.472,GF,
01,DPi,10,92.828,GF,
01,DPi,11,92.252,GF,
01,DPi,12,92.384,GF,
01,DPi,13,95.032,GF,
01,DPi,14,94.221,GF,
01,DPi,15,91.959,GF,
01,DPi,16,92.055,GF,
01,DPi,17,92.258,GF,
01,DPi,18,92.987,GF,
01,DPi,19,92.551,GF,
01,DPi,20,93.88,GF,
01,DPi,21,95.791,GF,
01,DPi,22,93.048,GF,
01,DPi,23,105.599,GF,
01,DPi,24,144.006,GF,63.198
01,DPi,25,93.839,GF,
01,DPi,26,93.482,GF,
01,DPi,27,94.136,GF,
01,DPi,28,93.823,GF,
01,DPi,29,92.968,GF,
01,DPi,30,92.832,GF,
01,DPi,31,94.15,GF,
01,DPi,32,93.123,GF,
01,DPi,33,93.909,GF,
01,DPi,34,93.147,GF,
01,DPi,35,94.828,GF,
01,DPi,36,119.049,FCY,
01,DPi,37,198.033,FCY,
01,DPi,38,3146.481,FCY,2708.019
01,DPi,39,224.621,FCY,53.504
01,DPi,40,202.335,FCY,
01,DPi,41,178.048,GF,36.825
01,DPi,42,126.383,FCY,
01,DPi,43,197.868,FCY,
01,DPi,44,184.728,GF,
01,DPi,45,100.744,GF,
01,DPi,46,96.053,GF,
01,DPi,47,93.928,GF,
01,DPi,48,92.606,GF,
01,DPi,49,92.476,GF,
01,DPi,50,93.713,GF,
01,DPi,51,95.904,GF,
01,DPi,52,94.104,GF,
01,DPi,53,91.847,GF,
01,DPi,54,92.792,GF,
01,DPi,55,92.424,GF,
01,DPi,56,92.086,GF,
01,DPi,57,93.472,GF,
01,DPi,58,93.272,GF,
01,DPi,59,94.372,GF,
01,DPi,60,93.976,GF,
01,DPi,61,91.828,GF,
01,DPi,62,91.693,GF,
01,DPi,63,91.901,FF,
1,GTD,1,130.253,GF,
1,GTD,2,109.53,GF,
1,GTD,3,108.564,GF,
1,GTD,4,108.298,GF,
1,GTD,5,107.887,GF,
1,GTD,6,107.927,GF,
1,GTD,7,107.826,GF,
1,GTD,8,107.751,GF,
1,GTD,9,108.379,GF,
1,GTD,10,108.295,GF,
1,GTD,11,107.651,GF,
1,GTD,12,107.612,GF,
1,GTD,13,107.463,GF,
1,GTD,14,107.638,GF,
1,GTD,15,108.47,GF,
1,GTD,16,107.588,GF,
1,GTD,17,107.754,GF,
1,GTD,18,107.425,GF,
1,GTD,19,107.611,GF,
1,GTD,20,107.516,GF,
1,GTD,21,107.576,GF,
1,GTD,22,107.744,GF,
1,GTD,23,107.802,GF,
1,GTD,24,107.499,GF,
1,GTD,25,108.594,GF,
1,GTD,26,107.659,GF,
1,GTD,27,107.19,GF,
1,GTD,28,107.476,GF,
1,GTD,29,107.993,GF,
1,GTD,30,121.835,GF,
1,GTD,31,182.682,FCY,72.367
1,GTD,32,196.385,FCY,
1,GTD,33,157.546,FCY,
1,GTD,34,2993.239,FCY,2616.738
1,GTD,35,203.806,FCY,
1,GTD,36,207.804,FCY,
1,GTD,37,196.381,GF,
1,GTD,38,138.493,FCY,
1,GTD,39,196.246,FCY,
1,GTD,40,175.648,GF,
1,GTD,41,113.394,GF,
1,GTD,42,110.295,GF,
1,GTD,43,109.634,GF,
1,GTD,44,108.709,GF,
1,GTD,45,107.839,GF,
1,GTD,46,109.082,GF,
1,GTD,47,107.895,GF,
1,GTD,48,107.293,GF,
10,DPi,1,95.041,GF,
10,DPi,2,92.968,GF,
10,DPi,3,91.896,GF,
10,DPi,4,91.629,GF,
10,DPi,5,92.405,GF,
10,DPi,6,94.59,GF,
10,DPi,7,94.589,GF,
10,DPi,8,93.569,GF,
10,DPi,9,92.7,GF,
10,DPi,10,92.114,GF,
10,DPi,11,91.839,GF,
10,DPi,12,93.742,GF,
10,DPi,13,95.086,GF,
10,DPi,14,93.623,GF,
10,DPi,15,92.034,GF,
10,DPi,16,92.217,GF,
10,DPi,17,92.047,GF,
10,DPi,18,93.323,GF,
10,DPi,19,92.873,GF,
10,DPi,20,93.794,GF,
10,DPi,21,93.519,GF,
10,DPi,22,92.216,GF,
10,DPi,23,92.689,GF,
10,DPi,24,105.801,GF,
10,DPi,25,145.086,GF,62.931
10,DPi,26,94.935,GF,
10,DPi,27,93.075,GF,
10,DPi,28,93.691,GF,
10,DPi,29,92.415,GF,
10,DPi,30,93.909,GF,
10,DPi,31,95.561,GF,
10,DPi,32,91.623,GF,
10,DPi,33,92.914,GF,
10,DPi,34,94.098,GF,
10,DPi,35,94.105,GF,
10,DPi,36,122.639,FCY,
10,DPi,37,197.849,FCY,
10,DPi,38,3147.168,FCY,2703.998
10,DPi,39,219.794,FCY,50.931
10,DPi,40,195.984,FCY,
10,DPi,41,188.206,GF,
10,DPi,42,124.561,FCY,
10,DPi,43,197.885,FCY,
10,DPi,44,187.583,GF,
10,DPi,45,101.102,GF,
10,DPi,46,97.633,GF,
10,DPi,47,94.963,GF,
10,DPi,48,93.854,GF,
10,DPi,49,93.302,GF,
10,DPi,50,92.963,GF,
10,DPi,51,95.082,GF,
10,DPi,52,95.873,GF,
10,DPi,53,92.412,GF,
10,DPi,54,92.945,GF,
10,DPi,55,92.467,GF,
10,DPi,56,93.917,GF,
10,DPi,57,91.504,GF,
10,DPi,58,93.927,GF,
10,DPi,59,92.985,GF,
10,DPi,60,96.135,GF,
10,DPi,61,91.674,GF,
10,DPi,62,92.976,GF,
10,DPi,63,93.098,FF,
11,LMP2,1,103.664,GF,
11,LMP2,2,99.968,GF,
11,LMP2,3,100.753,GF,
11,LMP2,4,101.261,GF,
11,LMP2,5,102.369,GF,
11,LMP2,6,102.796,GF,
11,LMP2,7,102.366,GF,
11,LMP2,8,102.391,GF,
11,LMP2,9,100.724,GF,
11,LMP2,10,102.429,GF,
11,LMP2,11,102.841,GF,
11,LMP2,12,103.754,GF,
11,LMP2,13,106.792,GF,
11,LMP2,14,107.221,GF,
11,LMP2,15,103.709,GF,
11,LMP2,16,103.157,GF,
11,LMP2,17,105.029,GF,
11,LMP2,18,105.407,GF,
11,LMP2,19,104.06,GF,
11,LMP2,20,101.988,GF,
11,LMP2,21,104.346,GF,
11,LMP2,22,102.265,GF,
11,LMP2,23,102.21,GF,
11,LMP2,24,100.497,GF,
11,LMP2,25,103.064,GF,
11,LMP2,26,103.791,GF,
11,LMP2,27,164.339,GF,
11,LMP2,28,117.408,GF,71.423
11,LMP2,29,97.689,GF,
11,LMP2,30,95.431,GF,
11,LMP2,31,96.347,GF,
11,LMP2,32,95.849,GF,
11,LMP2,33,116.472,FCY,
11,LMP2,34,194.839,FCY,
11,LMP2,35,3156.989,FCY,2707.957
11,LMP2,36,199.293,FCY,44.275
11,LMP2,37,208.892,FCY,
11,LMP2,38,183.619,GF,
11,LMP2,39,133.565,FCY,
11,LMP2,40,192.932,FCY,
11,LMP2,41,230.347,GF,
11,LMP2,42,118.824,GF,63.746
11,LMP2,43,101.649,GF,
11,LMP2,44,99.817,GF,
11,LMP2,45,98.348,GF,
11,LMP2,46,99.825,GF,
11,LMP2,47,101.228,GF,
11,LMP2,48,99.349,GF,
11,LMP2,49,98.663,GF,
11,LMP2,50,95.968,GF,
11,LMP2,51,95.384,GF,
11,LMP2,52,95.895,GF,
11,LMP2,53,96.114,GF,
11,LMP2,54,94.569,GF,
11,LMP2,55,93.598,GF,
11,LMP2,56,94.555,GF,
11,LMP2,57,96.397,GF,
11,LMP2,58,99.946,GF,
11,LMP2,59,97.417,FF,
12,GTD,1,127.687,GF,
12,GTD,2,107.28,GF,
12,GTD,3,107.484,GF,
12,GTD,4,107.242,GF,
12,GTD,5,107.076,GF,
12,GTD,6,107.342,GF,
12,GTD,7,107.339,GF,
12,GTD,8,107.823,GF,
12,GTD,9,107.594,GF,
12,GTD,10,107.235,GF,
12,GTD,11,107.29,GF,
12,GTD,12,107.408,GF,
12,GTD,13,107.222,GF,
12,GTD,14,107.201,GF,
12,GTD,15,107.445,GF,
12,GTD,16,107.63,GF,
12,GTD,17,107.271,GF,
12,GTD,18,106.935,GF,
12,GTD,19,107.254,GF,
12,GTD,20,107.185,GF,
12,GTD,21,107.683,GF,
12,GTD,22,107.032,GF,
12,GTD,23,107.427,GF,
12,GTD,24,107.484,GF,
12,GTD,25,107.098,GF,
12,GTD,26,106.834,GF,
12,GTD,27,107.757,GF,
12,GTD,28,106.891,GF,
12,GTD,29,108.319,GF,
12,GTD,30,108.067,GF,
12,GTD,31,165.469,FCY,
12,GTD,32,134.3,FCY,74.196
12,GTD,33,129.249,FCY,
12,GTD,34,3124.057,FCY,2709.919
12,GTD,35,204.494,FCY,
12,GTD,36,207.411,FCY,
12,GTD,37,202.78,GF,
12,GTD,38,133.43,FCY,
12,GTD,39,196.717,FCY,
12,GTD,40,178.717,GF,
12,GTD,41,112.754,GF,
12,GTD,42,109.093,GF,
12,GTD,43,108.38,GF,
12,GTD,44,107.212,GF,
12,GTD,45,107.87,GF,
12,GTD,46,107.412,GF,
12,GTD,47,107.694,GF,
12,GTD,48,106.675,GF,
12,GTD,49,107.025,GF,
12,GTD,50,106.646,GF,
12,GTD,51,106.784,GF,
12,GTD,52,106.796,GF,
12,GTD,53,107.005,GF,
12,GTD,54,108.218,GF,
12,GTD,55,107.042,GF,
12,GTD,56,107.278,GF,
12,GTD,57,108.564,FF,
14,GTD,1,132.299,GF,
14,GTD,2,109.601,GF,
14,GTD,3,109.553,GF,
14,GTD,4,107.82,GF,
14,GTD,5,107.723,GF,
14,GTD,6,108.089,GF,
14,GTD,7,107.724,GF,
14,GTD,8,107.455,GF,
14,GTD,9,106.763,GF,
14,GTD,10,107.913,GF,
14,GTD,11,107.897,GF,
14,GTD,12,107.378,GF,
14,GTD,13,107.633,GF,
14,GTD,14,107.538,GF,
14,GTD,15,107.143,GF,
14,GTD,16,106.914,GF,
14,GTD,17,107.013,GF,
14,GTD,18,107.806,GF,
14,GTD,19,106.994,GF,
14,GTD,20,107.152,GF,
14,GTD,21,107.13,GF,
14,GTD,22,107.275,GF,
14,GTD,23,107.519,GF,
14,GTD,24,107.597,GF,
14,GTD,25,107.127,GF,
14,GTD,26,106.979,GF,
14,GTD,27,107.432,GF,
14,GTD,28,108.6,GF,
14,GTD,29,107.761,GF,
14,GTD,30,162.532,GF,
14,GTD,31,141.011,FCY,72.71
14,GTD,32,198.221,FCY,
14,GTD,33,148.698,FCY,
14,GTD,34,3003.67,FCY,2637.985
14,GTD,35,204.117,FCY,
14,GTD,36,206.83,FCY,
14,GTD,37,199.038,GF,
14,GTD,38,134.245,FCY,
14,GTD,39,196.389,FCY,
14,GTD,40,178.152,GF,
14,GTD,41,111.853,GF,
14,GTD,42,108.543,GF,
14,GTD,43,107.919,GF,
14,GTD,44,107.638,GF,
14,GTD,45,108.24,GF,
14,GTD,46,106.824,GF,
14,GTD,47,107.409,GF,
14,GTD,48,107.201,GF,
14,GTD,49,106.682,GF,
14,GTD,50,106.929,GF,
14,GTD,51,106.801,GF,
14,GTD,52,106.912,GF,
14,GTD,53,106.917,GF,
14,GTD,54,107.823,GF,
14,GTD,55,107.273,GF,
14,GTD,56,107.371,GF,
14,GTD,57,108.834,FF,
19,GTD,1,132.9,GF,
19,GTD,2,110.048,GF,
19,GTD,3,109.088,GF,
19,GTD,4,109.177,GF,
19,GTD,5,109.376,GF,
19,GTD,6,108.671,GF,
19,GTD,7,108.45,GF,
19,GTD,8,108.763,GF,
19,GTD,9,108.464,GF,
19,GTD,10,108.012,GF,
19,GTD,11,108.556,GF,
19,GTD,12,108.038,GF,
19,GTD,13,108.946,GF,
19,GTD,14,109.293,GF,
19,GTD,15,108.9,GF,
19,GTD,16,108.712,GF,
19,GTD,17,108.971,GF,
19,GTD,18,108.607,GF,
19,GTD,19,109.613,GF,
19,GTD,20,109.907,GF,
19,GTD,21,109.059,GF,
19,GTD,22,108.427,GF,
19,GTD,23,108.385,GF,
19,GTD,24,108.814,GF,
19,GTD,25,107.956,GF,
19,GTD,26,201.793,GF,
19,GTD,27,4117.173,FCY,105.55
19,GTD,28,163.983,FCY,3969.947
19,GTD,29,186.07,GF,
19,GTD,30,141.628,FCY,
19,GTD,31,196.724,FCY,
19,GTD,32,169.814,GF,
19,GTD,33,115.018,GF,
19,GTD,34,110.866,GF,
19,GTD,35,109.459,GF,
19,GTD,36,108.924,GF,
19,GTD,37,112.296,GF,
19,GTD,38,111.154,GF,
19,GTD,39,107.046,GF,
19,GTD,40,159.772,GF,
19,GTD,41,125.374,GF,69.713
19,GTD,42,110.771,GF,
19,GTD,43,109.392,GF,
19,GTD,44,109.115,GF,
19,GTD,45,110.038,GF,
19,GTD,46,109.578,GF,
19,GTD,47,112.375,GF,
19,GTD,48,111.977,FF,
23,GTD,1,132.087,GF,
23,GTD,2,109.614,GF,
23,GTD,3,108.893,GF,
23,GTD,4,107.769,GF,
23,GTD,5,108.035,GF,
23,GTD,6,107.128,GF,
23,GTD,7,107.501,GF,
23,GTD,8,107.325,GF,
23,GTD,9,108.385,GF,
23,GTD,10,107.231,GF,
23,GTD,11,107.345,GF,
23,GTD,12,107.269,GF,
23,GTD,13,107.748,GF,
23,GTD,14,107.59,GF,
23,GTD,15,107.439,GF,
23,GTD,16,107.364,GF,
23,GTD,17,107.216,GF,
23,GTD,18,107.498,GF,
23,GTD,19,107.283,GF,
23,GTD,20,107.243,GF,
23,GTD,21,107.231,GF,
23,GTD,22,107.343,GF,
23,GTD,23,107.433,GF,
23,GTD,24,107.26,GF,
23,GTD,25,106.96,GF,
23,GTD,26,107.34,GF,
23,GTD,27,107.333,GF,
23,GTD,28,108.824,GF,
23,GTD,29,107.433,GF,
23,GTD,30,119.931,GF,
23,GTD,31,184.138,FCY,71.542
23,GTD,32,197.446,FCY,
23,GTD,33,148.281,FCY,
23,GTD,34,3004.361,FCY,2638.891
23,GTD,35,204.004,FCY,
23,GTD,36,206.706,FCY,
23,GTD,37,200.194,GF,
23,GTD,38,134.69,FCY,
23,GTD,39,196.45,FCY,
23,GTD,40,177.875,GF,
23,GTD,41,111.866,GF,
23,GTD,42,109.411,GF,
23,GTD,43,108.343,GF,
23,GTD,44,107.314,GF,
23,GTD,45,107.761,GF,
23,GTD,46,107.466,GF,
23,GTD,47,107.565,GF,
23,GTD,48,107.018,GF,
23,GTD,49,106.645,GF,
23,GTD,50,106.848,GF,
23,GTD,51,106.646,GF,
23,GTD,52,106.898,GF,
23,GTD,53,107.487,GF,
23,GTD,54,107.607,GF,
23,GTD,55,107.333,GF,
23,GTD,56,107.127,GF,
23,GTD,57,108.442,FF,
28,GTD,1,133.139,GF,
28,GTD,2,110.062,GF,
28,GTD,3,109.045,GF,
28,GTD,4,109.215,GF,
28,GTD,5,109.367,GF,
28,GTD,6,109.163,GF,
28,GTD,7,108.089,GF,
28,GTD,8,108.73,GF,
28,GTD,9,108.42,GF,
28,GTD,10,108.083,GF,
