car,class,lap,lap_time,flags,pit_time
01,DPi,1,96.976,GF,
01,DPi,2,93.535,GF,
01,DPi,3,92.531,GF,
01,DPi,4,92.557,GF,
01,DPi,5,120.693,FCY,
01,DPi,6,228.482,FCY,
01,DPi,7,237.929,FCY,
01,DPi,8,198.49,FCY,
01,DPi,9,182.582,GF,
01,DPi,10,94.899,GF,
01,DPi,11,93.048,GF,
01,DPi,12,92.459,GF,
01,DPi,13,92.777,GF,
01,DPi,14,92.11,GF,
01,DPi,15,94.023,GF,
01,DPi,16,95.666,GF,
01,DPi,17,92.16,GF,
01,DPi,18,96.069,GF,
01,DPi,19,93.004,GF,
01,DPi,20,94.047,GF,
01,DPi,21,92.675,GF,
01,DPi,22,93.005,GF,
01,DPi,23,95.611,GF,
01,DPi,24,93.352,GF,
01,DPi,25,106.198,GF,
01,DPi,26,143.446,GF,65.396
01,DPi,27,94.875,GF,
01,DPi,28,96.12,GF,
01,DPi,29,93.073,GF,
01,DPi,30,92.538,GF,
01,DPi,31,91.777,GF,
01,DPi,32,93.785,GF,
01,DPi,33,92.898,GF,
01,DPi,34,93.606,GF,
01,DPi,35,97.881,GF,
01,DPi,36,94.661,GF,
01,DPi,37,93.311,GF,
01,DPi,38,92.674,GF,
01,DPi,39,93.277,GF,
01,DPi,40,93.904,GF,
01,DPi,41,94.489,GF,
01,DPi,42,92.598,GF,
01,DPi,43,92.696,GF,
01,DPi,44,93.723,GF,
01,DPi,45,94.671,GF,
01,DPi,46,92.856,GF,
01,DPi,47,92.451,GF,
01,DPi,48,93.482,GF,
01,DPi,49,94.118,GF,
01,DPi,50,106.377,GF,
01,DPi,51,143.536,GF,65.61
01,DPi,52,93.607,GF,
01,DPi,53,93.301,GF,
01,DPi,54,92.758,GF,
01,DPi,55,93.529,GF,
01,DPi,56,95.174,GF,
01,DPi,57,93.454,GF,
01,DPi,58,93.66,GF,
01,DPi,59,94.017,GF,
01,DPi,60,93.069,GF,
01,DPi,61,93.418,GF,
01,DPi,62,93.232,GF,
01,DPi,63,95.727,GF,
01,DPi,64,94.788,GF,
01,DPi,65,108.156,FCY,
01,DPi,66,229.109,FCY,
01,DPi,67,238.982,FCY,
01,DPi,68,211.319,FCY,55.457
01,DPi,69,197.863,FCY,
01,DPi,70,191.397,GF,
01,DPi,71,95.177,GF,
01,DPi,72,93.463,GF,
01,DPi,73,92.809,GF,
01,DPi,74,94.673,GF,
01,DPi,75,92.301,GF,
01,DPi,76,92.376,GF,
01,DPi,77,96.047,GF,
01,DPi,78,94.026,GF,
01,DPi,79,93.314,GF,
01,DPi,80,93.635,GF,
01,DPi,81,94.129,GF,
01,DPi,82,92.815,GF,
01,DPi,83,92.537,GF,
01,DPi,84,138.601,FCY,
01,DPi,85,196.502,FCY,
01,DPi,86,188.231,FCY,
01,DPi,87,186.567,FCY,
01,DPi,88,189.602,FCY,64.001
01,DPi,89,176.17,FCY,
01,DPi,90,172.575,FCY,58.43
01,DPi,91,166.801,GF,
01,DPi,92,94.681,GF,
01,DPi,93,93.24,GF,
01,DPi,94,91.617,GF,
01,DPi,95,92.721,GF,
01,DPi,96,92.692,GF,
01,DPi,97,93.089,GF,
01,DPi,98,95.181,GF,
01,DPi,99,92.976,GF,
01,DPi,100,94.758,GF,
01,DPi,101,93.383,GF,
01,DPi,102,93.091,GF,
01,DPi,103,92.907,GF,
01,DPi,104,93.112,GF,
01,DPi,105,95.991,GF,
01,DPi,106,92.356,GF,
01,DPi,107,93.036,GF,
01,DPi,108,93.606,GF,
01,DPi,109,93.952,GF,
01,DPi,110,94.425,GF,
01,DPi,111,94.694,GF,
01,DPi,112,93.901,GF,
01,DPi,113,108.971,GF,
01,DPi,114,138.805,GF,61.543
01,DPi,115,92.373,GF,
01,DPi,116,94.49,GF,
01,DPi,117,93.577,GF,
01,DPi,118,91.564,GF,
01,DPi,119,92.071,GF,
01,DPi,120,92.422,GF,
01,DPi,121,93.087,GF,
01,DPi,122,93.898,GF,
01,DPi,123,94.716,GF,
01,DPi,124,93.217,GF,
01,DPi,125,93.24,GF,
01,DPi,126,94.407,GF,
01,DPi,127,92.721,GF,
01,DPi,128,92.409,GF,
01,DPi,129,92.312,GF,
01,DPi,130,92.337,GF,
01,DPi,131,93.361,GF,
01,DPi,132,94.913,GF,
01,DPi,133,95.619,GF,
01,DPi,134,93.8,GF,
01,DPi,135,92.324,GF,
01,DPi,136,105.294,GF,
01,DPi,137,150.048,GF,70.899
01,DPi,138,94.017,GF,
01,DPi,139,95.738,GF,
01,DPi,140,93.312,GF,
01,DPi,141,93.238,GF,
01,DPi,142,93.13,GF,
01,DPi,143,92.871,GF,
01,DPi,144,93.978,GF,
01,DPi,145,94.434,GF,
01,DPi,146,92.524,GF,
01,DPi,147,93.027,GF,
01,DPi,148,92.528,GF,
01,DPi,149,94.067,GF,
01,DPi,150,93.813,GF,
01,DPi,151,93.832,GF,
01,DPi,152,93.914,GF,
01,DPi,153,94.147,GF,
01,DPi,154,93.085,GF,
01,DPi,155,93.834,GF,
01,DPi,156,92.129,GF,
01,DPi,157,93.728,GF,
01,DPi,158,93.732,GF,
01,DPi,159,93.806,GF,
01,DPi,160,106.316,GF,
01,DPi,161,140.039,GF,62.794
01,DPi,162,94.339,GF,
01,DPi,163,93.104,GF,
01,DPi,164,93.327,GF,
01,DPi,165,93.176,GF,
01,DPi,166,93.446,GF,
01,DPi,167,92.459,GF,
01,DPi,168,93.424,FCY,
01,DPi,169,184.995,FCY,
01,DPi,170,213.339,FCY,
01,DPi,171,202.225,FCY,
01,DPi,172,211.554,FCY,46.2
01,DPi,173,177.862,FCY,
01,DPi,174,199.13,FCY,
01,DPi,175,184.368,FCY,
01,DPi,176,165.26,GF,
01,DPi,177,95.272,GF,
01,DPi,178,93.419,GF,
01,DPi,179,93.18,GF,
01,DPi,180,92.699,GF,
01,DPi,181,92.618,GF,
01,DPi,182,92.907,GF,
01,DPi,183,96.873,GF,
01,DPi,184,92.746,GF,
01,DPi,185,93.63,GF,
01,DPi,186,95.456,GF,
01,DPi,187,93.307,GF,
01,DPi,188,93.166,GF,
01,DPi,189,93.492,GF,
01,DPi,190,97.929,GF,
01,DPi,191,95.388,GF,
01,DPi,192,95.026,GF,
01,DPi,193,93.769,GF,
01,DPi,194,93.343,GF,
01,DPi,195,93.546,GF,
01,DPi,196,94.043,GF,
01,DPi,197,94.417,GF,
01,DPi,198,97.015,GF,
01,DPi,199,94.89,GF,
1,GTD,1,140.997,GF,
1,GTD,2,109.692,GF,
1,GTD,3,108.496,GF,
1,GTD,4,124.216,FCY,
1,GTD,5,146.456,FCY,
1,GTD,6,138.768,FCY,
1,GTD,7,230.324,FCY,
1,GTD,8,202.131,FCY,
1,GTD,9,156.479,GF,
1,GTD,10,122.388,GF,
1,GTD,11,135.98,GF,46.349
1,GTD,12,108.951,GF,
1,GTD,13,108.533,GF,
1,GTD,14,107.826,GF,
1,GTD,15,108.156,GF,
1,GTD,16,108.583,GF,
1,GTD,17,108.021,GF,
1,GTD,18,108.694,GF,
1,GTD,19,109.506,GF,
1,GTD,20,108.329,GF,
1,GTD,21,108.707,GF,
1,GTD,22,109.447,GF,
1,GTD,23,108.673,GF,
1,GTD,24,108.232,GF,
1,GTD,25,109.042,GF,
1,GTD,26,109.137,GF,
1,GTD,27,108.089,GF,
1,GTD,28,109.126,GF,
1,GTD,29,109.608,GF,
1,GTD,30,108.732,GF,
1,GTD,31,108.259,GF,
1,GTD,32,109.936,GF,
1,GTD,33,108.393,GF,
1,GTD,34,110.29,GF,
1,GTD,35,108.469,GF,
1,GTD,36,108.802,GF,
1,GTD,37,108.323,GF,
1,GTD,38,108.074,GF,
1,GTD,39,108.106,GF,
1,GTD,40,108.723,GF,
1,GTD,41,108.527,GF,
1,GTD,42,108.904,GF,
1,GTD,43,121.696,GF,
