car,class,lap,lap_time,flags,pit_time
01,DPi,1,86.034,GF,
01,DPi,2,85.758,GF,
01,DPi,3,84.426,GF,
01,DPi,4,83.963,GF,
01,DPi,5,82.726,GF,
01,DPi,6,82.626,GF,
01,DPi,7,82.074,GF,
01,DPi,8,81.963,GF,
01,DPi,9,82.407,GF,
01,DPi,10,82.937,GF,
01,DPi,11,82.696,GF,
01,DPi,12,83.951,GF,
01,DPi,13,83.117,GF,
01,DPi,14,81.151,GF,
01,DPi,15,81.294,GF,
01,DPi,16,81.02,GF,
01,DPi,17,81.287,GF,
01,DPi,18,80.813,GF,
01,DPi,19,81.57,GF,
01,DPi,20,81.147,GF,
01,DPi,21,81.046,GF,
01,DPi,22,82.923,GF,
01,DPi,23,81.48,GF,
01,DPi,24,81.32,GF,
01,DPi,25,80.71,GF,
01,DPi,26,80.719,GF,
01,DPi,27,80.384,GF,
01,DPi,28,80.261,GF,
01,DPi,29,80.359,GF,
01,DPi,30,81.466,GF,
01,DPi,31,80.377,GF,
01,DPi,32,81.236,GF,
01,DPi,33,81.384,GF,
01,DPi,34,81.263,GF,
01,DPi,35,82.821,GF,
01,DPi,36,125.908,GF,
01,DPi,37,94.568,GF,55.012
01,DPi,38,83.405,GF,
01,DPi,39,82.445,GF,
01,DPi,40,82.422,GF,
01,DPi,41,82.734,GF,
01,DPi,42,83.012,GF,
01,DPi,43,82.161,GF,
01,DPi,44,81.867,GF,
01,DPi,45,81.547,GF,
01,DPi,46,82.181,GF,
01,DPi,47,83.48,GF,
01,DPi,48,81.722,GF,
01,DPi,49,81.715,GF,
01,DPi,50,82.398,GF,
01,DPi,51,82.011,GF,
01,DPi,52,81.223,GF,
01,DPi,53,81.492,GF,
01,DPi,54,82.12,GF,
01,DPi,55,81.973,GF,
01,DPi,56,81.609,GF,
01,DPi,57,81.544,GF,
01,DPi,58,83.09,GF,
01,DPi,59,82.671,GF,
01,DPi,60,81.366,GF,
01,DPi,61,80.708,GF,
01,DPi,62,80.844,GF,
01,DPi,63,81.411,GF,
01,DPi,64,82.456,GF,
01,DPi,65,81.697,GF,
01,DPi,66,80.777,GF,
01,DPi,67,83.06,GF,
01,DPi,68,81.274,GF,
01,DPi,69,81.664,GF,
01,DPi,70,81.693,GF,
01,DPi,71,82.527,GF,
01,DPi,72,83.115,GF,
01,DPi,73,83.373,FF,
02,DPi,1,89.128,GF,
02,DPi,2,86.558,GF,
02,DPi,3,85.058,GF,
02,DPi,4,84.59,GF,
02,DPi,5,83.836,GF,
02,DPi,6,82.988,GF,
02,DPi,7,82.346,GF,
02,DPi,8,82.062,GF,
02,DPi,9,83.567,GF,
02,DPi,10,82.114,GF,
02,DPi,11,82.568,GF,
02,DPi,12,83.484,GF,
02,DPi,13,84.594,GF,
02,DPi,14,83.449,GF,
02,DPi,15,81.599,GF,
02,DPi,16,81.887,GF,
02,DPi,17,81.805,GF,
02,DPi,18,81.766,GF,
02,DPi,19,81.536,GF,
02,DPi,20,82.284,GF,
02,DPi,21,81.489,GF,
02,DPi,22,80.888,GF,
02,DPi,23,81.203,GF,
02,DPi,24,83.751,GF,
02,DPi,25,83.088,GF,
02,DPi,26,82.332,GF,
02,DPi,27,80.259,GF,
02,DPi,28,81.761,GF,
02,DPi,29,81.041,GF,
02,DPi,30,81.55,GF,
02,DPi,31,81.661,GF,
02,DPi,32,81.152,GF,
02,DPi,33,80.808,GF,
02,DPi,34,81.946,GF,
02,DPi,35,80.734,GF,
02,DPi,36,92.37,GF,
02,DPi,37,127.695,GF,54.831
02,DPi,38,82.978,GF,
02,DPi,39,82.196,GF,
02,DPi,40,80.964,GF,
02,DPi,41,80.953,GF,
02,DPi,42,81.925,GF,
02,DPi,43,80.981,GF,
02,DPi,44,80.293,GF,
02,DPi,45,81.394,GF,
02,DPi,46,80.339,GF,
02,DPi,47,81.552,GF,
02,DPi,48,81.229,GF,
02,DPi,49,80.18,GF,
02,DPi,50,80.596,GF,
02,DPi,51,80.444,GF,
02,DPi,52,80.3,GF,
02,DPi,53,81.322,GF,
02,DPi,54,81.489,GF,
02,DPi,55,83.304,GF,
02,DPi,56,81.025,GF,
02,DPi,57,80.855,GF,
02,DPi,58,83.448,GF,
02,DPi,59,82.55,GF,
02,DPi,60,85.506,GF,
02,DPi,61,80.668,GF,
02,DPi,62,80.466,GF,
02,DPi,63,80.228,GF,
02,DPi,64,80.322,GF,
02,DPi,65,83.303,GF,
02,DPi,66,80.373,GF,
02,DPi,67,83.536,GF,
02,DPi,68,80.413,GF,
02,DPi,69,81.051,GF,
02,DPi,70,81.374,GF,
02,DPi,71,83.486,GF,
02,DPi,72,83.008,GF,
02,DPi,73,81.757,FF,
1,GTD,1,97.154,GF,
1,GTD,2,91.737,GF,
1,GTD,3,90.698,GF,
1,GTD,4,90.414,GF,
1,GTD,5,90.149,GF,
1,GTD,6,89.91,GF,
1,GTD,7,89.622,GF,
1,GTD,8,89.897,GF,
1,GTD,9,90.154,GF,
1,GTD,10,90.027,GF,
1,GTD,11,89.785,GF,
1,GTD,12,91.401,GF,
1,GTD,13,90.441,GF,
1,GTD,14,89.871,GF,
1,GTD,15,89.242,GF,
1,GTD,16,90.13,GF,
1,GTD,17,89.678,GF,
1,GTD,18,89.303,GF,
1,GTD,19,89.768,GF,
1,GTD,20,89.65,GF,
1,GTD,21,89.799,GF,
1,GTD,22,90.597,GF,
1,GTD,23,89.659,GF,
1,GTD,24,127.202,GF,
1,GTD,25,101.324,GF,48.976
1,GTD,26,91.265,GF,
1,GTD,27,89.881,GF,
1,GTD,28,89.844,GF,
1,GTD,29,89.542,GF,
1,GTD,30,89.326,GF,
1,GTD,31,89.473,GF,
1,GTD,32,89.264,GF,
1,GTD,33,89.212,GF,
1,GTD,34,89.945,GF,
1,GTD,35,89.291,GF,
1,GTD,36,89.859,GF,
1,GTD,37,89.504,GF,
1,GTD,38,89.462,GF,
1,GTD,39,89.95,GF,
1,GTD,40,89.287,GF,
1,GTD,41,89.069,GF,
1,GTD,42,88.983,GF,
1,GTD,43,89.644,GF,
1,GTD,44,89.355,GF,
1,GTD,45,89.291,GF,
1,GTD,46,89.32,GF,
1,GTD,47,89.162,GF,
1,GTD,48,89.47,GF,
1,GTD,49,90.64,GF,
1,GTD,50,88.723,GF,
1,GTD,51,89.144,GF,
1,GTD,52,90.486,GF,
1,GTD,53,88.775,GF,
1,GTD,54,90.923,GF,
