car,class,lap,lap_time,flags,pit_time
1,GTD,1,57.613,GF,
1,GTD,2,53.894,GF,
1,GTD,3,53.535,GF,
1,GTD,4,53.488,GF,
1,GTD,5,53.376,GF,
1,GTD,6,53.273,GF,
1,GTD,7,53.647,GF,
1,GTD,8,53.246,GF,
1,GTD,9,53.196,GF,
1,GTD,10,53.322,GF,
1,GTD,11,53.36,GF,
1,GTD,12,53.305,GF,
1,GTD,13,53.435,GF,
1,GTD,14,53.316,GF,
1,GTD,15,53.506,GF,
1,GTD,16,53.283,GF,
1,GTD,17,53.462,GF,
1,GTD,18,53.53,GF,
1,GTD,19,53.396,GF,
1,GTD,20,53.594,GF,
1,GTD,21,53.539,GF,
1,GTD,22,53.643,GF,
1,GTD,23,53.685,GF,
1,GTD,24,53.652,GF,
1,GTD,25,53.772,GF,
1,GTD,26,53.703,GF,
1,GTD,27,54.635,GF,
1,GTD,28,54.204,GF,
1,GTD,29,54.382,GF,
1,GTD,30,53.978,GF,
1,GTD,31,53.98,GF,
1,GTD,32,54.091,GF,
1,GTD,33,53.984,GF,
1,GTD,34,53.985,GF,
1,GTD,35,53.96,GF,
1,GTD,36,54.15,GF,
1,GTD,37,54.114,GF,
1,GTD,38,54.227,GF,
1,GTD,39,54.128,GF,
1,GTD,40,53.954,GF,
1,GTD,41,54.042,GF,
1,GTD,42,54.102,GF,
1,GTD,43,54.153,GF,
1,GTD,44,53.906,GF,
1,GTD,45,95.083,GF,
1,GTD,46,61.625,GF,48.418
1,GTD,47,52.867,GF,
1,GTD,48,52.374,GF,
1,GTD,49,52.961,GF,
1,GTD,50,52.852,GF,
1,GTD,51,52.973,GF,
1,GTD,52,52.812,GF,
1,GTD,53,52.92,GF,
1,GTD,54,52.882,GF,
1,GTD,55,54.808,GF,
1,GTD,56,53.193,GF,
1,GTD,57,53.08,GF,
1,GTD,58,52.779,GF,
1,GTD,59,52.864,GF,
1,GTD,60,52.995,GF,
1,GTD,61,53.072,GF,
1,GTD,62,53.019,GF,
1,GTD,63,53.015,GF,
1,GTD,64,53.129,GF,
1,GTD,65,53.224,GF,
1,GTD,66,53.166,GF,
1,GTD,67,53.225,GF,
1,GTD,68,53.151,GF,
1,GTD,69,52.994,GF,
1,GTD,70,53.013,GF,
1,GTD,71,53.081,GF,
1,GTD,72,53.229,GF,
1,GTD,73,53.065,GF,
1,GTD,74,53.11,GF,
1,GTD,75,53.193,GF,
1,GTD,76,53.164,GF,
1,GTD,77,53.13,GF,
1,GTD,78,53.265,GF,
1,GTD,79,53.162,GF,
1,GTD,80,53.312,GF,
1,GTD,81,53.218,GF,
1,GTD,82,53.367,GF,
1,GTD,83,53.32,GF,
1,GTD,84,53.264,GF,
1,GTD,85,53.317,GF,
1,GTD,86,53.301,GF,
1,GTD,87,53.26,GF,
1,GTD,88,53.244,GF,
1,GTD,89,91.79,GF,
1,GTD,90,61.362,GF,45.744
1,GTD,91,53.277,GF,
1,GTD,92,52.996,GF,
1,GTD,93,52.434,GF,
1,GTD,94,52.712,GF,
1,GTD,95,52.887,GF,
1,GTD,96,52.825,GF,
1,GTD,97,52.592,GF,
1,GTD,98,52.64,GF,
1,GTD,99,53.688,GF,
1,GTD,100,53.716,GF,
1,GTD,101,53.095,GF,
1,GTD,102,52.893,GF,
1,GTD,103,52.798,GF,
1,GTD,104,53.795,GF,
1,GTD,105,53.717,GF,
1,GTD,106,52.988,GF,
1,GTD,107,53.002,GF,
1,GTD,108,87.271,GF,
1,GTD,109,61.927,GF,41.263
1,GTD,110,53.105,GF,
1,GTD,111,52.482,GF,
1,GTD,112,52.303,GF,
1,GTD,113,52.286,GF,
1,GTD,114,52.464,GF,
1,GTD,115,52.614,GF,
1,GTD,116,52.552,GF,
1,GTD,117,52.435,GF,
1,GTD,118,52.534,GF,
1,GTD,119,52.64,GF,
1,GTD,120,52.552,GF,
1,GTD,121,52.504,GF,
1,GTD,122,52.659,GF,
1,GTD,123,52.705,GF,
1,GTD,124,52.791,GF,
1,GTD,125,52.774,GF,
1,GTD,126,52.873,GF,
1,GTD,127,52.869,GF,
1,GTD,128,52.795,GF,
1,GTD,129,52.961,GF,
1,GTD,130,53.266,GF,
1,GTD,131,53.207,GF,
1,GTD,132,53.153,GF,
1,GTD,133,53.368,GF,
1,GTD,134,53.239,GF,
1,GTD,135,53.125,GF,
1,GTD,136,53.231,GF,
1,GTD,137,53.092,GF,
1,GTD,138,53.156,GF,
1,GTD,139,53.307,GF,
1,GTD,140,53.24,GF,
1,GTD,141,53.341,GF,
1,GTD,142,53.251,GF,
1,GTD,143,53.467,GF,
1,GTD,144,53.436,GF,
1,GTD,145,53.541,GF,
1,GTD,146,53.467,GF,
1,GTD,147,53.466,GF,
1,GTD,148,53.501,GF,
1,GTD,149,53.515,GF,
1,GTD,150,53.669,GF,
1,GTD,151,53.76,GF,
1,GTD,152,53.689,GF,
1,GTD,153,53.801,GF,
1,GTD,154,55.5,FCY,
1,GTD,155,57.663,FCY,
1,GTD,156,69.617,FCY,
1,GTD,157,90.266,FCY,
1,GTD,158,90.064,FCY,
1,GTD,159,80.516,FCY,
1,GTD,160,78.632,FCY,
1,GTD,161,76.694,FCY,
1,GTD,162,76.743,FCY,
1,GTD,163,78.484,GF,
1,GTD,164,55.649,GF,
1,GTD,165,55.017,GF,
1,GTD,166,54.703,GF,
1,GTD,167,54.428,GF,
1,GTD,168,54.386,GF,
1,GTD,169,54.52,GF,
1,GTD,170,54.283,GF,
1,GTD,171,54.402,GF,
1,GTD,172,54.54,GF,
1,GTD,173,54.556,GF,
1,GTD,174,55.898,FF,
12,GTD,1,56.972,GF,
12,GTD,2,53.844,GF,
12,GTD,3,53.501,GF,
12,GTD,4,53.455,GF,
12,GTD,5,53.071,GF,
12,GTD,6,53.227,GF,
12,GTD,7,53.178,GF,
12,GTD,8,53.216,GF,
12,GTD,9,53.085,GF,
12,GTD,10,53.215,GF,
12,GTD,11,53.339,GF,
12,GTD,12,53.297,GF,
12,GTD,13,53.261,GF,
12,GTD,14,53.546,GF,
12,GTD,15,53.404,GF,
12,GTD,16,53.368,GF,
12,GTD,17,53.421,GF,
12,GTD,18,53.33,GF,
12,GTD,19,53.437,GF,
12,GTD,20,53.662,GF,
12,GTD,21,53.769,GF,
12,GTD,22,53.639,GF,
12,GTD,23,53.577,GF,
12,GTD,24,53.671,GF,
12,GTD,25,53.615,GF,
12,GTD,26,53.669,GF,
12,GTD,27,53.787,GF,
12,GTD,28,53.936,GF,
12,GTD,29,53.845,GF,
12,GTD,30,53.749,GF,
12,GTD,31,53.816,GF,
12,GTD,32,53.864,GF,
12,GTD,33,53.936,GF,
12,GTD,34,53.783,GF,
12,GTD,35,54.706,GF,
12,GTD,36,54.111,GF,
12,GTD,37,53.995,GF,
12,GTD,38,53.969,GF,
12,GTD,39,54.145,GF,
12,GTD,40,54.495,GF,
12,GTD,41,54.048,GF,
12,GTD,42,54.422,GF,
12,GTD,43,54.104,GF,
12,GTD,44,54.254,GF,
12,GTD,45,54.484,GF,
12,GTD,46,54.428,GF,
12,GTD,47,54.608,GF,
12,GTD,48,54.182,GF,
12,GTD,49,54.143,GF,
12,GTD,50,54.553,GF,
12,GTD,51,66.111,GF,
12,GTD,52,90.873,GF,45.723
12,GTD,53,53.502,GF,
12,GTD,54,53.383,GF,
12,GTD,55,53.011,GF,
12,GTD,56,52.621,GF,
12,GTD,57,52.573,GF,
12,GTD,58,52.471,GF,
12,GTD,59,52.54,GF,
12,GTD,60,53.205,GF,
12,GTD,61,52.958,GF,
12,GTD,62,52.643,GF,
12,GTD,63,52.683,GF,
12,GTD,64,52.796,GF,
12,GTD,65,52.847,GF,
12,GTD,66,52.868,GF,
12,GTD,67,52.918,GF,
12,GTD,68,52.798,GF,
12,GTD,69,52.876,GF,
12,GTD,70,53.138,GF,
12,GTD,71,52.963,GF,
12,GTD,72,53.178,GF,
12,GTD,73,53.191,GF,
12,GTD,74,53.44,GF,
12,GTD,75,53.314,GF,
12,GTD,76,53.305,GF,
12,GTD,77,53.419,GF,
12,GTD,78,53.195,GF,
12,GTD,79,53.06,GF,
12,GTD,80,53.124,GF,
12,GTD,81,53.107,GF,
12,GTD,82,53.229,GF,
12,GTD,83,53.179,GF,
12,GTD,84,52.987,GF,
12,GTD,85,53.184,GF,
12,GTD,86,53.155,GF,
12,GTD,87,53.098,GF,
12,GTD,88,53.456,GF,
12,GTD,89,53.394,GF,
12,GTD,90,53.214,GF,
12,GTD,91,53.313,GF,
12,GTD,92,53.318,GF,
12,GTD,93,53.336,GF,
12,GTD,94,53.322,GF,
12,GTD,95,53.293,GF,
12,GTD,96,53.205,GF,
12,GTD,97,53.394,GF,
12,GTD,98,53.311,GF,
12,GTD,99,53.329,GF,
12,GTD,100,64.004,GF,
12,GTD,101,97.59,GF,53.356
12,GTD,102,52.805,GF,
12,GTD,103,52.435,GF,
12,GTD,104,52.325,GF,
12,GTD,105,52.497,GF,
12,GTD,106,52.192,GF,
12,GTD,107,52.614,GF,
12,GTD,108,52.535,GF,
12,GTD,109,52.458,GF,
12,GTD,110,52.602,GF,
12,GTD,111,52.614,GF,
12,GTD,112,52.897,GF,
12,GTD,113,52.839,GF,
12,GTD,114,52.961,GF,
