car,class,lap,lap_time,flags,pit_time
1,GTD,1,96.568,FCY,
1,GTD,2,144.533,FCY,
1,GTD,3,145.278,FCY,
1,GTD,4,138.839,FCY,
1,GTD,5,110.779,GF,
1,GTD,6,81.485,GF,
1,GTD,7,80.212,GF,
1,GTD,8,79.968,GF,
1,GTD,9,79.764,GF,
1,GTD,10,79.64,GF,
1,GTD,11,79.394,GF,
1,GTD,12,79.79,GF,
1,GTD,13,79.735,GF,
1,GTD,14,79.956,GF,
1,GTD,15,79.638,GF,
1,GTD,16,79.681,GF,
1,GTD,17,79.696,GF,
1,GTD,18,79.449,GF,
1,GTD,19,79.57,GF,
1,GTD,20,79.634,GF,
1,GTD,21,79.442,GF,
1,GTD,22,79.508,GF,
1,GTD,23,79.566,GF,
1,GTD,24,79.316,GF,
1,GTD,25,91.56,GF,
1,GTD,26,132.743,GF,67.455
1,GTD,27,80.599,GF,
1,GTD,28,79.826,GF,
1,GTD,29,80.721,GF,
1,GTD,30,81.236,GF,
1,GTD,31,79.665,GF,
1,GTD,32,79.369,GF,
1,GTD,33,79.089,GF,
1,GTD,34,79.382,GF,
1,GTD,35,79.16,GF,
1,GTD,36,79.583,GF,
1,GTD,37,79.394,GF,
1,GTD,38,79.442,GF,
1,GTD,39,79.387,GF,
1,GTD,40,80.193,GF,
1,GTD,41,81.022,GF,
1,GTD,42,79.662,GF,
1,GTD,43,79.424,GF,
1,GTD,44,79.133,GF,
1,GTD,45,79.244,GF,
1,GTD,46,79.506,GF,
1,GTD,47,79.233,GF,
1,GTD,48,79.281,GF,
1,GTD,49,79.297,GF,
1,GTD,50,80.767,GF,
1,GTD,51,80.03,GF,
1,GTD,52,79.72,GF,
1,GTD,53,79.604,GF,
1,GTD,54,79.538,GF,
1,GTD,55,79.487,GF,
1,GTD,56,79.314,GF,
1,GTD,57,79.424,GF,
1,GTD,58,79.607,GF,
1,GTD,59,79.362,GF,
1,GTD,60,79.337,GF,
1,GTD,61,79.409,GF,
1,GTD,62,79.954,GF,
1,GTD,63,79.49,GF,
1,GTD,64,80.423,GF,
1,GTD,65,79.536,GF,
1,GTD,66,79.879,GF,
1,GTD,67,79.551,GF,
1,GTD,68,80.147,GF,
1,GTD,69,80.39,GF,
1,GTD,70,79.837,GF,
1,GTD,71,79.811,GF,
1,GTD,72,104.936,FCY,
1,GTD,73,107.602,FF,
10,GTP,1,84.12,FCY,
10,GTP,2,142.186,FCY,
10,GTP,3,143.795,FCY,
10,GTP,4,138.161,FCY,
10,GTP,5,120.322,GF,
10,GTP,6,75.874,GF,
10,GTP,7,73.918,GF,
10,GTP,8,73.751,GF,
10,GTP,9,73.049,GF,
10,GTP,10,72.835,GF,
10,GTP,11,72.395,GF,
10,GTP,12,72.45,GF,
10,GTP,13,72.577,GF,
10,GTP,14,73.744,GF,
10,GTP,15,75.409,GF,
10,GTP,16,73.451,GF,
10,GTP,17,72.821,GF,
10,GTP,18,74.576,GF,
10,GTP,19,71.846,GF,
10,GTP,20,71.919,GF,
10,GTP,21,73.465,GF,
10,GTP,22,74.37,GF,
10,GTP,23,73.026,GF,
10,GTP,24,72.241,GF,
10,GTP,25,73.496,GF,
10,GTP,26,72.427,GF,
10,GTP,27,71.902,GF,
10,GTP,28,71.86,GF,
10,GTP,29,74.537,GF,
10,GTP,30,74.503,GF,
10,GTP,31,88.537,GF,
10,GTP,32,142.692,GF,80.768
10,GTP,33,75.222,GF,
10,GTP,34,74.033,GF,
10,GTP,35,73.224,GF,
10,GTP,36,72.797,GF,
10,GTP,37,72.615,GF,
10,GTP,38,72.891,GF,
10,GTP,39,73.288,GF,
10,GTP,40,72.66,GF,
10,GTP,41,72.189,GF,
10,GTP,42,72.18,GF,
10,GTP,43,72.201,GF,
10,GTP,44,75.745,GF,
10,GTP,45,74.009,GF,
10,GTP,46,73.043,GF,
10,GTP,47,73.362,GF,
10,GTP,48,72.488,GF,
10,GTP,49,73.666,GF,
10,GTP,50,72.059,GF,
