car,class,lap,lap_time,flags,pit_time
1,GTD,1,110.386,GF,
1,GTD,2,108.029,GF,
1,GTD,3,107.463,GF,
1,GTD,4,107.261,GF,
1,GTD,5,123.792,FCY,
1,GTD,6,253.18,FCY,
1,GTD,7,233.682,FCY,
1,GTD,8,235.564,FCY,
1,GTD,9,212.627,GF,
1,GTD,10,109.412,GF,
1,GTD,11,107.751,GF,
1,GTD,12,107.351,GF,
1,GTD,13,107.217,GF,
1,GTD,14,106.633,GF,
1,GTD,15,106.724,GF,
1,GTD,16,107.017,GF,
1,GTD,17,107.363,GF,
1,GTD,18,106.651,GF,
1,GTD,19,107.087,GF,
1,GTD,20,106.546,GF,
1,GTD,21,150.24,GF,
1,GTD,22,112.973,GF,48.384
1,GTD,23,106.324,GF,
1,GTD,24,105.82,GF,
1,GTD,25,106.551,GF,
1,GTD,26,106.339,GF,
1,GTD,27,106.376,GF,
1,GTD,28,106.426,GF,
1,GTD,29,106.271,GF,
1,GTD,30,116.323,FCY,
1,GTD,31,223.296,FCY,
1,GTD,32,212.63,FCY,
1,GTD,33,211.917,FCY,
1,GTD,34,197.436,GF,
1,GTD,35,108.669,GF,
1,GTD,36,109.067,GF,
1,GTD,37,106.91,GF,
1,GTD,38,106.449,GF,
1,GTD,39,106.243,GF,
1,GTD,40,106.59,GF,
1,GTD,41,106.441,GF,
1,GTD,42,106.744,GF,
1,GTD,43,106.734,GF,
1,GTD,44,106.65,GF,
1,GTD,45,106.586,GF,
1,GTD,46,154.476,GF,
1,GTD,47,112.967,GF,51.855
1,GTD,48,106.276,GF,
1,GTD,49,105.584,GF,
1,GTD,50,105.563,GF,
1,GTD,51,105.715,GF,
1,GTD,52,105.616,GF,
1,GTD,53,105.961,GF,
1,GTD,54,105.976,GF,
1,GTD,55,106.255,GF,
1,GTD,56,106.544,GF,
1,GTD,57,106.281,GF,
1,GTD,58,106.233,GF,
1,GTD,59,106.26,GF,
1,GTD,60,106.4,GF,
1,GTD,61,106.476,GF,
1,GTD,62,106.497,GF,
1,GTD,63,106.722,GF,
1,GTD,64,106.72,GF,
1,GTD,65,106.456,GF,
1,GTD,66,106.589,GF,
1,GTD,67,106.826,GF,
1,GTD,68,106.691,GF,
1,GTD,69,106.492,GF,
1,GTD,70,106.596,GF,
1,GTD,71,106.676,GF,
1,GTD,72,106.896,GF,
1,GTD,73,107.075,GF,
1,GTD,74,106.815,GF,
1,GTD,75,106.831,GF,
1,GTD,76,106.867,GF,
1,GTD,77,106.871,GF,
1,GTD,78,106.884,GF,
1,GTD,79,107.032,GF,
1,GTD,80,106.843,GF,
1,GTD,81,107.277,FF,
12,GTD,1,111.162,GF,
12,GTD,2,107.979,GF,
12,GTD,3,107.504,GF,
12,GTD,4,107.736,GF,
12,GTD,5,123.222,FCY,
12,GTD,6,253.989,FCY,
12,GTD,7,234.241,FCY,
12,GTD,8,234.706,FCY,
12,GTD,9,212.539,GF,
12,GTD,10,108.793,GF,
12,GTD,11,108.241,GF,
12,GTD,12,107.623,GF,
12,GTD,13,107.511,GF,
12,GTD,14,107.488,GF,
12,GTD,15,107.223,GF,
12,GTD,16,107.121,GF,
12,GTD,17,107.272,GF,
12,GTD,18,107.615,GF,
12,GTD,19,107.008,GF,
12,GTD,20,107.261,GF,
12,GTD,21,107.102,GF,
12,GTD,22,107.004,GF,
12,GTD,23,153.984,GF,
12,GTD,24,115.979,GF,51.358
12,GTD,25,106.912,GF,
12,GTD,26,106.342,GF,
12,GTD,27,106.48,GF,
12,GTD,28,106.98,GF,
12,GTD,29,106.932,GF,
12,GTD,30,121.895,FCY,
12,GTD,31,212.461,FCY,
12,GTD,32,208.73,FCY,
12,GTD,33,212.539,FCY,
12,GTD,34,193.331,GF,
12,GTD,35,110.378,GF,
12,GTD,36,107.995,GF,
12,GTD,37,108.628,GF,
12,GTD,38,107.823,GF,
12,GTD,39,107.27,GF,
12,GTD,40,107.585,GF,
12,GTD,41,107.337,GF,
12,GTD,42,107.428,GF,
12,GTD,43,107.545,GF,
12,GTD,44,107.813,GF,
12,GTD,45,107.483,GF,
12,GTD,46,153.802,GF,
12,GTD,47,113.096,GF,49.99
12,GTD,48,106.903,GF,
12,GTD,49,106.811,GF,
12,GTD,50,106.238,GF,
12,GTD,51,106.391,GF,
12,GTD,52,106.185,GF,
12,GTD,53,106.191,GF,
12,GTD,54,106.233,GF,
12,GTD,55,106.544,GF,
12,GTD,56,106.43,GF,
12,GTD,57,106.479,GF,
12,GTD,58,106.644,GF,
12,GTD,59,106.48,GF,
12,GTD,60,106.751,GF,
12,GTD,61,106.409,GF,
12,GTD,62,106.584,GF,
12,GTD,63,106.856,GF,
12,GTD,64,106.73,GF,
12,GTD,65,107.019,GF,
12,GTD,66,106.866,GF,
12,GTD,67,107.101,GF,
12,GTD,68,107.042,GF,
12,GTD,69,106.888,GF,
12,GTD,70,106.952,GF,
12,GTD,71,107.213,GF,
12,GTD,72,106.839,GF,
12,GTD,73,106.943,GF,
12,GTD,74,107.126,GF,
12,GTD,75,106.967,GF,
12,GTD,76,107.119,GF,
12,GTD,77,107.201,GF,
12,GTD,78,106.806,GF,
12,GTD,79,106.72,GF,
12,GTD,80,108.423,GF,
12,GTD,81,110.62,FF,
14,GTDPRO,1,109.035,GF,
14,GTDPRO,2,107.236,GF,
14,GTDPRO,3,107.296,GF,
14,GTDPRO,4,106.817,GF,
14,GTDPRO,5,124.675,FCY,
14,GTDPRO,6,249.36,FCY,
14,GTDPRO,7,235.186,FCY,
14,GTDPRO,8,235.143,FCY,
14,GTDPRO,9,216.036,GF,
14,GTDPRO,10,107.978,GF,
14,GTDPRO,11,107.306,GF,
14,GTDPRO,12,107.039,GF,
14,GTDPRO,13,106.869,GF,
14,GTDPRO,14,106.858,GF,
14,GTDPRO,15,106.657,GF,
14,GTDPRO,16,106.706,GF,
14,GTDPRO,17,106.819,GF,
14,GTDPRO,18,106.774,GF,
14,GTDPRO,19,106.671,GF,
14,GTDPRO,20,106.495,GF,
14,GTDPRO,21,106.644,GF,
14,GTDPRO,22,106.682,GF,
14,GTDPRO,23,106.889,GF,
14,GTDPRO,24,106.667,GF,
14,GTDPRO,25,107.017,GF,
14,GTDPRO,26,156.262,GF,
14,GTDPRO,27,112.816,GF,54.836
14,GTDPRO,28,105.412,GF,
14,GTDPRO,29,105.196,GF,
14,GTDPRO,30,119.869,FCY,
14,GTDPRO,31,219.806,FCY,
14,GTDPRO,32,212.331,FCY,
14,GTDPRO,33,212.291,FCY,
14,GTDPRO,34,196.622,GF,
14,GTDPRO,35,108.296,GF,
14,GTDPRO,36,107.626,GF,
14,GTDPRO,37,105.586,GF,
14,GTDPRO,38,105.715,GF,
14,GTDPRO,39,105.972,GF,
14,GTDPRO,40,106.098,GF,
14,GTDPRO,41,106.189,GF,
14,GTDPRO,42,106.089,GF,
14,GTDPRO,43,106.211,GF,
14,GTDPRO,44,105.773,GF,
14,GTDPRO,45,105.989,GF,
14,GTDPRO,46,106.698,GF,
14,GTDPRO,47,106.422,GF,
14,GTDPRO,48,154.765,GF,
14,GTDPRO,49,113.322,GF,53.326
14,GTDPRO,50,105.154,GF,
14,GTDPRO,51,104.916,GF,
14,GTDPRO,52,105.209,GF,
14,GTDPRO,53,105.48,GF,
14,GTDPRO,54,105.824,GF,
14,GTDPRO,55,105.902,GF,
14,GTDPRO,56,105.785,GF,
14,GTDPRO,57,105.913,GF,
14,GTDPRO,58,105.951,GF,
14,GTDPRO,59,105.973,GF,
14,GTDPRO,60,106.032,GF,
14,GTDPRO,61,106.087,GF,
14,GTDPRO,62,106.003,GF,
14,GTDPRO,63,106.61,GF,
14,GTDPRO,64,106.257,GF,
14,GTDPRO,65,106.772,GF,
14,GTDPRO,66,106.633,GF,
14,GTDPRO,67,106.374,GF,
14,GTDPRO,68,106.218,GF,
14,GTDPRO,69,106.466,GF,
14,GTDPRO,70,106.308,GF,
14,GTDPRO,71,105.941,GF,
14,GTDPRO,72,106.724,GF,
14,GTDPRO,73,106.179,GF,
14,GTDPRO,74,106.427,GF,
14,GTDPRO,75,107.07,GF,
14,GTDPRO,76,106.628,GF,
14,GTDPRO,77,106.723,GF,
14,GTDPRO,78,106.547,GF,
14,GTDPRO,79,106.493,GF,
14,GTDPRO,80,106.61,GF,
14,GTDPRO,81,107.367,FF,
23,GTDPRO,1,113.207,GF,
23,GTDPRO,2,108.37,GF,
23,GTDPRO,3,108.869,GF,
23,GTDPRO,4,107.887,GF,
23,GTDPRO,5,123.85,FCY,
23,GTDPRO,6,251.683,FCY,
23,GTDPRO,7,238.169,FCY,
23,GTDPRO,8,234.196,FCY,
23,GTDPRO,9,207.947,GF,
23,GTDPRO,10,109.513,GF,
23,GTDPRO,11,108.465,GF,
23,GTDPRO,12,108.009,GF,
23,GTDPRO,13,107.666,GF,
23,GTDPRO,14,107.442,GF,
23,GTDPRO,15,107.445,GF,
23,GTDPRO,16,108.068,GF,
23,GTDPRO,17,107.965,GF,
23,GTDPRO,18,107.864,GF,
23,GTDPRO,19,107.582,GF,
23,GTDPRO,20,107.511,GF,
23,GTDPRO,21,107.773,GF,
23,GTDPRO,22,107.594,GF,
23,GTDPRO,23,107.622,GF,
23,GTDPRO,24,156.219,GF,
23,GTDPRO,25,113.6,GF,54.013
23,GTDPRO,26,106.737,GF,
23,GTDPRO,27,106.287,GF,
23,GTDPRO,28,106.445,GF,
23,GTDPRO,29,107.436,GF,
23,GTDPRO,30,125.436,FCY,
23,GTDPRO,31,203.486,FCY,
23,GTDPRO,32,247.318,FCY,
23,GTDPRO,33,186.019,FCY,55.762
23,GTDPRO,34,184.832,GF,
23,GTDPRO,35,109.416,GF,
23,GTDPRO,36,108.694,GF,
23,GTDPRO,37,107.612,GF,
23,GTDPRO,38,109.353,GF,
23,GTDPRO,39,107.237,GF,
23,GTDPRO,40,107.794,GF,
23,GTDPRO,41,108.975,GF,
23,GTDPRO,42,108.661,GF,
23,GTDPRO,43,108.287,GF,
23,GTDPRO,44,108.076,GF,
23,GTDPRO,45,107.937,GF,
23,GTDPRO,46,107.873,GF,
23,GTDPRO,47,148.911,GF,
23,GTDPRO,48,115.351,GF,46.082
23,GTDPRO,49,107.489,GF,
23,GTDPRO,50,107.009,GF,
23,GTDPRO,51,106.718,GF,
23,GTDPRO,52,108.161,GF,
23,GTDPRO,53,108.472,GF,
23,GTDPRO,54,107.222,GF,
23,GTDPRO,55,106.951,GF,
23,GTDPRO,56,107.096,GF,
23,GTDPRO,57,107.237,GF,
23,GTDPRO,58,107.243,GF,
23,GTDPRO,59,107.355,GF,
23,GTDPRO,60,107.5,GF,
23,GTDPRO,61,118.646,GF,
23,GTDPRO,62,107.892,GF,
23,GTDPRO,63,107.174,GF,
23,GTDPRO,64,106.957,GF,
23,GTDPRO,65,107.165,GF,
23,GTDPRO,66,106.744,GF,
23,GTDPRO,67,106.909,GF,
23,GTDPRO,68,107.0,GF,
23,GTDPRO,69,107.451,GF,
23,GTDPRO,70,107.407,GF,
23,GTDPRO,71,107.53,GF,
23,GTDPRO,72,107.685,GF,
23,GTDPRO,73,107.594,GF,
23,GTDPRO,74,107.564,GF,
23,GTDPRO,75,107.556,GF,
23,GTDPRO,76,107.404,GF,
23,GTDPRO,77,107.662,GF,
23,GTDPRO,78,107.671,GF,
23,GTDPRO,79,107.369,GF,
23,GTDPRO,80,107.517,GF,
23,GTDPRO,81,107.726,FF,
27,GTD,1,112.341,GF,
27,GTD,2,108.505,GF,
27,GTD,3,109.461,GF,
27,GTD,4,108.998,GF,
27,GTD,5,124.029,FCY,
27,GTD,6,251.41,FCY,
27,GTD,7,238.075,FCY,
27,GTD,8,234.325,FCY,
27,GTD,9,207.472,GF,
27,GTD,10,109.389,GF,
27,GTD,11,108.671,GF,
27,GTD,12,108.127,GF,
27,GTD,13,108.192,GF,
27,GTD,14,107.699,GF,
27,GTD,15,107.521,GF,
27,GTD,16,107.792,GF,
27,GTD,17,107.958,GF,
27,GTD,18,107.715,GF,
27,GTD,19,108.084,GF,
27,GTD,20,107.561,GF,
27,GTD,21,107.799,GF,
27,GTD,22,154.778,GF,
27,GTD,23,115.295,GF,51.956
27,GTD,24,106.8,GF,
27,GTD,25,123.982,GF,
27,GTD,26,112.095,GF,21.884
27,GTD,27,106.9,GF,
27,GTD,28,106.357,GF,
27,GTD,29,107.023,GF,
27,GTD,30,118.145,FCY,
27,GTD,31,213.772,FCY,
27,GTD,32,189.626,FCY,35.998
27,GTD,33,212.413,FCY,
27,GTD,34,187.813,GF,
27,GTD,35,110.544,GF,
27,GTD,36,108.284,GF,
27,GTD,37,107.732,GF,
27,GTD,38,108.473,GF,
27,GTD,39,108.458,GF,
27,GTD,40,108.35,GF,
27,GTD,41,108.506,GF,
27,GTD,42,108.894,GF,
27,GTD,43,108.143,GF,
27,GTD,44,107.967,GF,
27,GTD,45,107.907,GF,
27,GTD,46,151.337,GF,
27,GTD,47,113.374,GF,48.045
27,GTD,48,108.106,GF,
27,GTD,49,107.24,GF,
27,GTD,50,106.694,GF,
27,GTD,51,106.866,GF,
27,GTD,52,108.667,GF,
27,GTD,53,107.475,GF,
27,GTD,54,107.792,GF,
27,GTD,55,107.2,GF,
27,GTD,56,107.203,GF,
27,GTD,57,107.239,GF,
27,GTD,58,107.211,GF,
27,GTD,59,107.337,GF,
27,GTD,60,107.562,GF,
27,GTD,61,108.171,GF,
27,GTD,62,108.127,GF,
27,GTD,63,107.561,GF,
27,GTD,64,108.357,GF,
27,GTD,65,107.793,GF,
27,GTD,66,107.702,GF,
27,GTD,67,108.265,GF,
27,GTD,68,109.05,GF,
27,GTD,69,107.817,GF,
27,GTD,70,107.715,GF,
27,GTD,71,108.033,GF,
27,GTD,72,107.727,GF,
27,GTD,73,108.02,GF,
27,GTD,74,108.772,GF,
27,GTD,75,109.204,GF,
27,GTD,76,109.18,GF,
27,GTD,77,108.923,GF,
27,GTD,78,108.558,GF,
27,GTD,79,109.12,GF,
27,GTD,80,110.908,GF,
27,GTD,81,117.435,FF,
3,GTDPRO,1,110.078,GF,
3,GTDPRO,2,108.049,GF,
3,GTDPRO,3,106.892,GF,
3,GTDPRO,4,107.012,GF,
3,GTDPRO,5,123.636,FCY,
3,GTDPRO,6,250.618,FCY,
3,GTDPRO,7,234.749,FCY,
3,GTDPRO,8,234.828,FCY,
3,GTDPRO,9,215.425,GF,
3,GTDPRO,10,108.783,GF,
3,GTDPRO,11,107.551,GF,
3,GTDPRO,12,107.095,GF,
3,GTDPRO,13,107.17,GF,
3,GTDPRO,14,106.906,GF,
3,GTDPRO,15,106.61,GF,
3,GTDPRO,16,107.013,GF,
3,GTDPRO,17,106.982,GF,
3,GTDPRO,18,106.754,GF,
3,GTDPRO,19,107.015,GF,
3,GTDPRO,20,106.609,GF,
3,GTDPRO,21,106.838,GF,
3,GTDPRO,22,106.944,GF,
3,GTDPRO,23,106.929,GF,
3,GTDPRO,24,106.872,GF,
