car,class,lap,lap_time,flags,pit_time
01,GTP,1,84.071,GF,
01,GTP,2,79.808,GF,
01,GTP,3,78.877,GF,
01,GTP,4,77.574,GF,
01,GTP,5,78.619,GF,
01,GTP,6,80.009,GF,
01,GTP,7,80.816,GF,
01,GTP,8,79.531,GF,
01,GTP,9,79.872,GF,
01,GTP,10,79.465,GF,
01,GTP,11,77.351,GF,
01,GTP,12,78.512,FCY,
01,GTP,13,154.276,FCY,
01,GTP,14,159.926,FCY,
01,GTP,15,130.537,FCY,
01,GTP,16,152.153,FCY,
01,GTP,17,142.678,FCY,81.942
01,GTP,18,137.172,FCY,
01,GTP,19,143.662,FCY,
01,GTP,20,135.341,GF,
01,GTP,21,85.476,GF,
01,GTP,22,85.433,GF,
01,GTP,23,84.896,GF,
01,GTP,24,85.938,GF,
01,GTP,25,87.779,GF,
01,GTP,26,102.903,FCY,
01,GTP,27,164.036,FCY,
01,GTP,28,162.255,FCY,
01,GTP,29,140.704,GF,
01,GTP,30,122.375,FCY,
01,GTP,31,171.46,FCY,
01,GTP,32,171.751,FCY,
01,GTP,33,167.619,FCY,
01,GTP,34,165.043,FCY,
01,GTP,35,160.46,FCY,
01,GTP,36,160.246,FCY,
01,GTP,37,155.088,FCY,
01,GTP,38,151.517,FCY,
01,GTP,39,148.587,FCY,
01,GTP,40,145.769,FCY,
01,GTP,41,144.458,FCY,
01,GTP,42,142.651,FCY,
01,GTP,43,141.537,FCY,
01,GTP,44,138.701,FCY,
01,GTP,45,139.972,FCY,
01,GTP,46,138.492,FCY,
01,GTP,47,140.313,FCY,
01,GTP,48,137.783,FCY,
01,GTP,49,138.275,FCY,
01,GTP,50,136.664,FCY,
01,GTP,51,135.236,FCY,
01,GTP,52,132.203,GF,
01,GTP,53,89.311,GF,
01,GTP,54,87.516,GF,
01,GTP,55,87.751,GF,
01,GTP,56,87.957,GF,
01,GTP,57,89.872,GF,
01,GTP,58,93.738,GF,
01,GTP,59,93.504,GF,
01,GTP,60,91.201,GF,
01,GTP,61,90.874,GF,
01,GTP,62,91.021,GF,
01,GTP,63,88.255,GF,
01,GTP,64,89.456,GF,
01,GTP,65,87.005,GF,
01,GTP,66,90.778,GF,
01,GTP,67,87.941,GF,
01,GTP,68,88.84,GF,
01,GTP,69,96.002,GF,
01,GTP,70,89.289,GF,
01,GTP,71,88.669,GF,
01,GTP,72,89.176,GF,
01,GTP,73,88.765,GF,
01,GTP,74,87.27,GF,
01,GTP,75,86.303,GF,
01,GTP,76,107.147,GF,
01,GTP,77,152.06,GF,90.721
01,GTP,78,87.677,GF,
01,GTP,79,90.086,GF,
01,GTP,80,88.723,GF,
01,GTP,81,87.312,GF,
01,GTP,82,87.51,GF,
01,GTP,83,86.501,GF,
01,GTP,84,87.14,GF,
01,GTP,85,86.812,GF,
01,GTP,86,88.403,GF,
01,GTP,87,86.35,GF,
01,GTP,88,85.996,GF,
01,GTP,89,86.738,GF,
01,GTP,90,86.793,GF,
01,GTP,91,84.861,GF,
01,GTP,92,86.456,GF,
01,GTP,93,84.621,GF,
01,GTP,94,85.844,GF,
01,GTP,95,84.564,GF,
01,GTP,96,85.431,GF,
01,GTP,97,84.84,GF,
01,GTP,98,87.0,GF,
01,GTP,99,85.674,FCY,
01,GTP,100,162.921,FCY,
01,GTP,101,172.899,FCY,
01,GTP,102,172.487,FCY,78.451
01,GTP,103,134.764,FCY,
01,GTP,104,148.03,FCY,
01,GTP,105,137.893,FCY,
01,GTP,106,124.315,FCY,
01,GTP,107,134.286,GF,
01,GTP,108,80.69,GF,
01,GTP,109,77.952,GF,
01,GTP,110,77.539,GF,
01,GTP,111,78.196,GF,
01,GTP,112,77.217,GF,
01,GTP,113,78.235,GF,
01,GTP,114,78.798,GF,
01,GTP,115,79.162,GF,
01,GTP,116,81.588,GF,
01,GTP,117,78.681,GF,
01,GTP,118,78.774,GF,
01,GTP,119,78.286,GF,
01,GTP,120,77.084,GF,
01,GTP,121,98.546,FCY,
01,GTP,122,151.111,FCY,77.082
01,GTP,123,96.71,FCY,
01,GTP,124,117.505,FCY,
01,GTP,125,128.877,FCY,
01,GTP,126,128.845,FCY,
01,GTP,127,138.305,FCY,
01,GTP,128,143.716,FCY,
01,GTP,129,131.09,GF,
01,GTP,130,78.452,GF,
01,GTP,131,77.567,GF,
01,GTP,132,77.417,GF,
01,GTP,133,76.885,GF,
01,GTP,134,77.234,GF,
01,GTP,135,78.31,GF,
01,GTP,136,79.788,GF,
01,GTP,137,78.171,GF,
01,GTP,138,80.524,GF,
01,GTP,139,80.13,GF,
01,GTP,140,79.827,GF,
01,GTP,141,78.039,GF,
01,GTP,142,77.075,GF,
01,GTP,143,77.636,GF,
01,GTP,144,78.479,GF,
01,GTP,145,77.667,GF,
01,GTP,146,79.41,GF,
01,GTP,147,78.711,GF,
01,GTP,148,78.263,GF,
01,GTP,149,79.88,GF,
01,GTP,150,79.774,GF,
01,GTP,151,80.668,GF,
01,GTP,152,78.536,GF,
01,GTP,153,77.748,GF,
01,GTP,154,77.303,GF,
01,GTP,155,77.752,GF,
01,GTP,156,77.855,GF,
01,GTP,157,77.97,GF,
01,GTP,158,102.774,GF,
01,GTP,159,155.333,GF,88.434
01,GTP,160,179.819,GF,
01,GTP,161,252.991,GF,192.263
01,GTP,162,82.533,GF,
01,GTP,163,80.402,GF,
01,GTP,164,99.743,FCY,
01,GTP,165,111.974,FCY,
01,GTP,166,111.074,FCY,
01,GTP,167,129.406,FCY,
01,GTP,168,135.441,FCY,
01,GTP,169,141.536,FCY,
01,GTP,170,104.566,FCY,
01,GTP,171,111.884,FCY,
01,GTP,172,122.625,FCY,61.017
01,GTP,173,86.687,GF,
01,GTP,174,78.553,GF,
01,GTP,175,79.079,GF,
01,GTP,176,78.301,GF,
01,GTP,177,78.856,GF,
01,GTP,178,77.26,GF,
01,GTP,179,77.538,GF,
01,GTP,180,78.03,GF,
01,GTP,181,78.232,GF,
01,GTP,182,78.912,GF,
01,GTP,183,79.149,GF,
01,GTP,184,80.918,GF,
01,GTP,185,78.798,GF,
01,GTP,186,78.639,GF,
01,GTP,187,77.644,GF,
01,GTP,188,78.192,GF,
01,GTP,189,77.745,GF,
01,GTP,190,79.618,GF,
01,GTP,191,80.712,GF,
01,GTP,192,78.077,GF,
01,GTP,193,78.672,GF,
01,GTP,194,77.993,GF,
01,GTP,195,79.22,GF,
01,GTP,196,79.626,GF,
01,GTP,197,77.885,GF,
01,GTP,198,78.56,GF,
01,GTP,199,77.962,GF,
01,GTP,200,78.148,GF,
