car,class,lap,lap_time,flags,pit_time
04,LMP2,1,76.047,GF,
04,LMP2,2,72.12,GF,
04,LMP2,3,71.673,GF,
04,LMP2,4,71.521,GF,
04,LMP2,5,71.728,GF,
04,LMP2,6,71.839,GF,
04,LMP2,7,73.03,GF,
04,LMP2,8,72.07,GF,
04,LMP2,9,73.735,GF,
04,LMP2,10,72.291,GF,
04,LMP2,11,73.171,GF,
04,LMP2,12,73.692,GF,
04,LMP2,13,73.762,GF,
04,LMP2,14,73.892,GF,
04,LMP2,15,105.275,GF,
04,LMP2,16,82.621,GF,46.492
04,LMP2,17,73.832,GF,
04,LMP2,18,72.354,GF,
04,LMP2,19,73.382,FCY,
04,LMP2,20,89.688,FCY,
04,LMP2,21,167.026,FCY,
04,LMP2,22,165.099,FCY,
04,LMP2,23,142.316,FCY,
04,LMP2,24,138.157,FCY,
04,LMP2,25,146.508,GF,
04,LMP2,26,73.551,GF,
04,LMP2,27,71.833,GF,
04,LMP2,28,72.052,FCY,
04,LMP2,29,160.498,FCY,
04,LMP2,30,152.256,FCY,
04,LMP2,31,147.332,FCY,
04,LMP2,32,149.336,FCY,
04,LMP2,33,147.118,FCY,
04,LMP2,34,153.043,GF,
04,LMP2,35,73.179,GF,
04,LMP2,36,72.652,GF,
04,LMP2,37,77.618,GF,
04,LMP2,38,76.346,GF,
04,LMP2,39,73.995,GF,
04,LMP2,40,123.73,GF,
04,LMP2,41,82.76,GF,62.758
04,LMP2,42,69.34,GF,
04,LMP2,43,70.421,GF,
04,LMP2,44,72.546,GF,
04,LMP2,45,74.664,GF,
04,LMP2,46,72.12,GF,
04,LMP2,47,72.387,GF,
04,LMP2,48,74.015,GF,
04,LMP2,49,74.012,GF,
04,LMP2,50,71.43,GF,
04,LMP2,51,70.336,GF,
04,LMP2,52,71.559,GF,
04,LMP2,53,71.773,GF,
04,LMP2,54,70.204,GF,
04,LMP2,55,71.804,GF,
04,LMP2,56,70.699,GF,
04,LMP2,57,70.504,GF,
04,LMP2,58,71.393,GF,
04,LMP2,59,71.761,GF,
