car,class,lap,lap_time,flags,pit_time
01,GTP,1,132.524,FCY,
01,GTP,2,245.962,FCY,
01,GTP,3,198.649,GF,
01,GTP,4,114.456,GF,
01,GTP,5,112.41,GF,
01,GTP,6,112.015,GF,
01,GTP,7,112.223,GF,
01,GTP,8,171.768,FCY,
01,GTP,9,256.527,FCY,
01,GTP,10,227.24,FCY,53.371
01,GTP,11,208.561,FCY,
01,GTP,12,230.968,FCY,
01,GTP,13,230.132,GF,
01,GTP,14,115.073,GF,
01,GTP,15,113.235,GF,
01,GTP,16,112.843,GF,
01,GTP,17,112.185,GF,
01,GTP,18,112.533,GF,
01,GTP,19,113.23,GF,
01,GTP,20,114.261,GF,
01,GTP,21,116.867,GF,
01,GTP,22,114.704,GF,
01,GTP,23,114.084,GF,
01,GTP,24,112.513,GF,
01,GTP,25,112.706,GF,
01,GTP,26,113.051,GF,
01,GTP,27,113.193,GF,
01,GTP,28,129.209,GF,
01,GTP,29,177.591,GF,68.643
01,GTP,30,156.129,FCY,
01,GTP,31,222.014,FCY,89.326
01,GTP,32,240.655,FCY,
01,GTP,33,213.499,FCY,47.049
01,GTP,34,219.297,FCY,
01,GTP,35,220.153,FCY,51.195
01,GTP,36,226.095,GF,
01,GTP,37,117.828,GF,
01,GTP,38,114.868,GF,
01,GTP,39,147.634,FCY,
01,GTP,40,260.552,FCY,
01,GTP,41,224.062,GF,
01,GTP,42,116.231,GF,
01,GTP,43,113.671,GF,
01,GTP,44,113.677,GF,
01,GTP,45,112.78,GF,
01,GTP,46,112.766,GF,
01,GTP,47,114.852,GF,
01,GTP,48,139.301,FCY,
01,GTP,49,255.374,FCY,
01,GTP,50,250.702,FCY,
01,GTP,51,226.77,FCY,
01,GTP,52,220.372,FCY,
01,GTP,53,234.899,GF,
01,GTP,54,115.444,GF,
01,GTP,55,115.219,GF,
01,GTP,56,112.631,GF,
01,GTP,57,112.505,GF,
01,GTP,58,114.154,GF,
01,GTP,59,115.596,GF,
01,GTP,60,169.265,GF,
01,GTP,61,173.769,FF,60.657
023,GTD,1,176.491,FCY,
023,GTD,2,237.611,FCY,
023,GTD,3,181.906,GF,
023,GTD,4,126.436,GF,
023,GTD,5,125.659,GF,
023,GTD,6,125.78,GF,
023,GTD,7,136.5,FCY,
023,GTD,8,173.38,FCY,
023,GTD,9,183.207,FCY,
023,GTD,10,193.003,FCY,
023,GTD,11,255.386,FCY,
023,GTD,12,234.627,FCY,
023,GTD,13,215.178,GF,
023,GTD,14,126.303,GF,
023,GTD,15,126.06,GF,
023,GTD,16,125.397,GF,
023,GTD,17,125.726,GF,
023,GTD,18,125.985,GF,
023,GTD,19,126.155,GF,
023,GTD,20,176.307,GF,
023,GTD,21,152.538,GF,74.535
023,GTD,22,126.489,GF,
023,GTD,23,124.391,GF,
023,GTD,24,125.713,GF,
023,GTD,25,126.231,GF,
023,GTD,26,126.934,GF,
023,GTD,27,126.141,GF,
023,GTD,28,126.779,FCY,
023,GTD,29,165.523,FCY,
023,GTD,30,156.62,FCY,
023,GTD,31,219.216,FCY,
023,GTD,32,196.894,FCY,
023,GTD,33,213.597,FCY,
023,GTD,34,251.098,FCY,
023,GTD,35,221.844,GF,
023,GTD,36,126.169,GF,
023,GTD,37,125.293,GF,
023,GTD,38,143.906,FCY,
023,GTD,39,253.206,FCY,
023,GTD,40,215.126,GF,
023,GTD,41,126.398,GF,
023,GTD,42,125.416,GF,
023,GTD,43,125.385,GF,
023,GTD,44,125.436,GF,
023,GTD,45,126.047,GF,
023,GTD,46,131.556,FCY,
023,GTD,47,162.435,FCY,
023,GTD,48,163.651,FCY,
023,GTD,49,244.034,FCY,
023,GTD,50,289.226,FCY,
023,GTD,51,190.48,FCY,91.251
023,GTD,52,209.126,GF,
023,GTD,53,146.288,GF,
023,GTD,54,147.653,GF,38.796
023,GTD,55,132.777,GF,
023,GTD,56,219.825,GF,
023,GTD,57,180.413,GF,96.758
1,GTDPRO,1,163.239,FCY,
1,GTDPRO,2,242.535,FCY,
1,GTDPRO,3,185.414,GF,
1,GTDPRO,4,125.328,GF,
1,GTDPRO,5,125.596,GF,
1,GTDPRO,6,125.755,GF,
1,GTDPRO,7,130.2,FCY,
1,GTDPRO,8,150.89,FCY,
1,GTDPRO,9,206.068,FCY,
1,GTDPRO,10,213.237,FCY,
1,GTDPRO,11,261.982,FCY,64.067
1,GTDPRO,12,236.071,FCY,
1,GTDPRO,13,206.85,GF,
1,GTDPRO,14,128.102,GF,
1,GTDPRO,15,125.288,GF,
1,GTDPRO,16,125.001,GF,
1,GTDPRO,17,125.13,GF,
1,GTDPRO,18,125.662,GF,
1,GTDPRO,19,125.928,GF,
1,GTDPRO,20,125.455,GF,
1,GTDPRO,21,126.459,GF,
1,GTDPRO,22,127.115,GF,
1,GTDPRO,23,125.363,GF,
1,GTDPRO,24,125.352,GF,
1,GTDPRO,25,126.493,GF,
1,GTDPRO,26,126.693,GF,
1,GTDPRO,27,125.962,GF,
1,GTDPRO,28,129.845,GF,
1,GTDPRO,29,141.712,FCY,
1,GTDPRO,30,210.23,FCY,
1,GTDPRO,31,230.303,FCY,
1,GTDPRO,32,223.306,FCY,
1,GTDPRO,33,232.954,FCY,68.757
1,GTDPRO,34,236.351,FCY,
1,GTDPRO,35,217.522,GF,
1,GTDPRO,36,127.112,GF,
1,GTDPRO,37,125.79,GF,
1,GTDPRO,38,154.434,FCY,
1,GTDPRO,39,244.74,FCY,
1,GTDPRO,40,210.29,GF,
1,GTDPRO,41,126.206,GF,
1,GTDPRO,42,125.68,GF,
1,GTDPRO,43,125.492,GF,
1,GTDPRO,44,125.919,GF,
1,GTDPRO,45,125.74,GF,
1,GTDPRO,46,130.804,FCY,
1,GTDPRO,47,162.538,FCY,
1,GTDPRO,48,163.669,FCY,
1,GTDPRO,49,243.935,FCY,
1,GTDPRO,50,228.154,FCY,
1,GTDPRO,51,222.459,FCY,
1,GTDPRO,52,231.089,GF,
1,GTDPRO,53,127.001,GF,
1,GTDPRO,54,125.484,GF,
1,GTDPRO,55,125.447,GF,
1,GTDPRO,56,125.003,GF,
1,GTDPRO,57,125.55,GF,
1,GTDPRO,58,125.066,GF,
1,GTDPRO,59,125.155,GF,
1,GTDPRO,60,125.881,GF,
1,GTDPRO,61,125.984,FF,
10,GTP,1,127.79,FCY,
10,GTP,2,245.176,FCY,
10,GTP,3,203.282,GF,
10,GTP,4,113.608,GF,
10,GTP,5,112.366,GF,
10,GTP,6,111.887,GF,
10,GTP,7,111.706,GF,
10,GTP,8,163.876,FCY,
10,GTP,9,256.315,FCY,
10,GTP,10,209.191,FCY,
10,GTP,11,224.544,FCY,
10,GTP,12,235.395,FCY,
10,GTP,13,235.874,GF,
10,GTP,14,114.168,GF,
10,GTP,15,112.343,GF,
10,GTP,16,111.676,GF,
10,GTP,17,111.249,GF,
10,GTP,18,113.347,GF,
10,GTP,19,112.271,GF,
10,GTP,20,114.694,GF,
10,GTP,21,116.382,GF,
10,GTP,22,113.816,GF,
10,GTP,23,113.368,GF,
10,GTP,24,111.551,GF,
10,GTP,25,112.123,GF,
10,GTP,26,114.066,GF,
10,GTP,27,111.923,GF,
10,GTP,28,127.722,GF,
10,GTP,29,185.979,GF,80.556
10,GTP,30,134.766,FCY,
10,GTP,31,224.794,FCY,
10,GTP,32,231.78,FCY,
10,GTP,33,221.047,FCY,
10,GTP,34,219.514,FCY,
10,GTP,35,232.477,FCY,
10,GTP,36,233.747,GF,
10,GTP,37,113.929,GF,
10,GTP,38,111.763,GF,
10,GTP,39,146.119,FCY,
10,GTP,40,263.288,FCY,
10,GTP,41,230.125,GF,
10,GTP,42,112.235,GF,
10,GTP,43,112.151,GF,
10,GTP,44,110.736,GF,
10,GTP,45,110.385,GF,
10,GTP,46,111.767,GF,
10,GTP,47,111.167,GF,
10,GTP,48,130.517,FCY,
10,GTP,49,275.556,FCY,
10,GTP,50,253.401,FCY,
10,GTP,51,268.441,FCY,78.366
10,GTP,52,188.423,FCY,
10,GTP,53,230.334,GF,
10,GTP,54,114.411,GF,
10,GTP,55,112.342,GF,
10,GTP,56,112.087,GF,
10,GTP,57,112.357,GF,
10,GTP,58,111.877,GF,
10,GTP,59,112.205,GF,
10,GTP,60,111.825,GF,
10,GTP,61,113.772,GF,
10,GTP,62,118.716,FF,
11,LMP2,1,141.65,FCY,
11,LMP2,2,251.378,FCY,
11,LMP2,3,191.401,GF,
11,LMP2,4,119.527,GF,
11,LMP2,5,118.348,GF,
11,LMP2,6,117.59,GF,
11,LMP2,7,117.719,GF,
11,LMP2,8,160.883,FCY,
11,LMP2,9,245.979,FCY,
11,LMP2,10,236.714,FCY,61.618
11,LMP2,11,203.376,FCY,
11,LMP2,12,231.525,FCY,
11,LMP2,13,222.696,GF,
11,LMP2,14,120.316,GF,
11,LMP2,15,118.447,GF,
11,LMP2,16,117.522,GF,
11,LMP2,17,117.659,GF,
11,LMP2,18,118.712,GF,
11,LMP2,19,116.996,GF,
11,LMP2,20,117.631,GF,
11,LMP2,21,118.455,GF,
11,LMP2,22,121.894,GF,
11,LMP2,23,118.318,GF,
11,LMP2,24,117.666,GF,
11,LMP2,25,119.14,GF,
11,LMP2,26,123.846,GF,
11,LMP2,27,312.865,GF,
12,GTD,1,179.468,FCY,
12,GTD,2,239.821,FCY,
12,GTD,3,179.885,GF,
12,GTD,4,127.398,GF,
12,GTD,5,126.281,GF,
12,GTD,6,127.584,GF,
12,GTD,7,134.073,FCY,
12,GTD,8,174.402,FCY,
12,GTD,9,183.529,FCY,
12,GTD,10,201.997,FCY,
12,GTD,11,256.98,FCY,58.177
12,GTD,12,236.179,FCY,
12,GTD,13,206.39,GF,
12,GTD,14,129.487,GF,
12,GTD,15,126.508,GF,
12,GTD,16,126.157,GF,
12,GTD,17,126.47,GF,
12,GTD,18,126.619,GF,
12,GTD,19,126.661,GF,
12,GTD,20,131.866,GF,
12,GTD,21,126.682,GF,
12,GTD,22,127.852,GF,
12,GTD,23,142.072,GF,
12,GTD,24,175.4,GF,64.446
