car,class,lap,lap_time,flags,pit_time
1,GTDPRO,1,102.245,GF,
1,GTDPRO,2,76.526,FCY,
1,GTDPRO,3,95.907,FCY,
1,GTDPRO,4,107.096,GF,
1,GTDPRO,5,73.521,GF,
1,GTDPRO,6,72.438,GF,
1,GTDPRO,7,71.82,GF,
1,GTDPRO,8,71.466,GF,
1,GTDPRO,9,71.324,GF,
1,GTDPRO,10,71.072,GF,
1,GTDPRO,11,149.189,GF,
1,GTDPRO,12,78.282,GF,47.78
1,GTDPRO,13,71.717,GF,
1,GTDPRO,14,151.496,GF,
1,GTDPRO,15,88.267,GF,85.282
1,GTDPRO,16,82.839,GF,12.701
1,GTDPRO,17,175.213,GF,
1,GTDPRO,18,76.174,GF,
1,GTDPRO,19,74.1,GF,
1,GTDPRO,20,74.459,GF,
1,GTDPRO,21,74.927,GF,
1,GTDPRO,22,77.063,GF,
1,GTDPRO,23,74.261,GF,
1,GTDPRO,24,73.726,GF,
1,GTDPRO,25,76.504,GF,
1,GTDPRO,26,74.047,GF,
1,GTDPRO,27,72.878,GF,
1,GTDPRO,28,72.875,GF,
1,GTDPRO,29,72.802,GF,
1,GTDPRO,30,72.768,GF,
1,GTDPRO,31,73.588,GF,
1,GTDPRO,32,75.038,GF,
1,GTDPRO,33,75.045,GF,
1,GTDPRO,34,110.146,GF,
1,GTDPRO,35,77.662,GF,
1,GTDPRO,36,74.345,GF,
1,GTDPRO,37,145.051,GF,
1,GTDPRO,38,85.115,GF,78.387
1,GTDPRO,39,76.37,GF,
1,GTDPRO,40,76.385,GF,
1,GTDPRO,41,74.451,GF,
1,GTDPRO,42,73.964,GF,
1,GTDPRO,43,74.738,GF,
1,GTDPRO,44,75.107,GF,
1,GTDPRO,45,76.865,FCY,
1,GTDPRO,46,87.65,FCY,
1,GTDPRO,47,81.688,FCY,
1,GTDPRO,48,78.058,FCY,
1,GTDPRO,49,77.091,FCY,
1,GTDPRO,50,95.344,FCY,
1,GTDPRO,51,104.496,GF,
1,GTDPRO,52,74.709,GF,
1,GTDPRO,53,73.414,GF,
1,GTDPRO,54,74.918,GF,
1,GTDPRO,55,73.41,GF,
1,GTDPRO,56,72.498,GF,
1,GTDPRO,57,73.828,GF,
1,GTDPRO,58,72.746,GF,
1,GTDPRO,59,72.201,GF,
