car,class,lap,lap_time,flags,pit_time
021,GTD,1,162.716,GF,
021,GTD,2,117.776,GF,
021,GTD,3,113.453,GF,
021,GTD,4,112.23,GF,
021,GTD,5,111.059,GF,
021,GTD,6,109.298,GF,
021,GTD,7,108.81,GF,
021,GTD,8,109.84,GF,
021,GTD,9,109.558,GF,
021,GTD,10,108.707,GF,
021,GTD,11,110.397,GF,
021,GTD,12,110.024,GF,
021,GTD,13,111.929,GF,
021,GTD,14,110.491,GF,
021,GTD,15,110.107,GF,
021,GTD,16,109.269,GF,
021,GTD,17,120.386,FCY,
021,GTD,18,155.897,FCY,
021,GTD,19,257.709,FCY,
021,GTD,20,230.932,FCY,
021,GTD,21,252.46,FCY,
021,GTD,22,183.584,FCY,72.497
021,GTD,23,218.994,FCY,
021,GTD,24,172.343,GF,
021,GTD,25,144.949,FCY,
021,GTD,26,232.937,FCY,
021,GTD,27,219.232,FCY,
021,GTD,28,220.602,FCY,
021,GTD,29,196.983,FCY,
021,GTD,30,157.32,GF,
021,GTD,31,133.375,FCY,
021,GTD,32,174.697,FCY,
021,GTD,33,219.079,FCY,
021,GTD,34,165.314,FCY,58.821
021,GTD,35,195.358,FCY,
021,GTD,36,158.194,GF,
021,GTD,37,110.244,GF,
021,GTD,38,112.517,GF,
021,GTD,39,109.768,GF,
021,GTD,40,113.324,GF,
021,GTD,41,109.889,GF,
021,GTD,42,109.721,GF,
021,GTD,43,108.509,GF,
021,GTD,44,108.372,GF,
021,GTD,45,108.379,GF,
021,GTD,46,108.728,GF,
021,GTD,47,108.438,GF,
021,GTD,48,108.801,GF,
021,GTD,49,108.734,GF,
021,GTD,50,109.454,GF,
021,GTD,51,151.134,FCY,
021,GTD,52,155.861,FCY,
021,GTD,53,118.169,FCY,
021,GTD,54,179.514,FCY,
021,GTD,55,134.126,FCY,69.464
021,GTD,56,181.817,FCY,
021,GTD,57,155.974,GF,
021,GTD,58,108.45,GF,
021,GTD,59,108.177,GF,
021,GTD,60,108.276,GF,
021,GTD,61,108.597,GF,
021,GTD,62,108.696,GF,
021,GTD,63,109.339,GF,
021,GTD,64,109.595,GF,
021,GTD,65,115.807,FCY,
021,GTD,66,202.518,FCY,
021,GTD,67,216.998,FCY,
021,GTD,68,198.955,FCY,
021,GTD,69,181.191,FCY,
021,GTD,70,179.623,FCY,
021,GTD,71,152.528,GF,
021,GTD,72,109.543,GF,
021,GTD,73,114.862,FCY,
021,GTD,74,138.536,FCY,
021,GTD,75,133.713,FCY,
021,GTD,76,173.354,FCY,
021,GTD,77,167.962,FCY,58.931
021,GTD,78,175.453,FCY,
021,GTD,79,170.07,FCY,
021,GTD,80,186.02,FCY,
021,GTD,81,147.49,GF,
021,GTD,82,108.909,GF,
021,GTD,83,107.636,GF,
021,GTD,84,108.989,GF,
021,GTD,85,108.795,GF,
021,GTD,86,107.915,GF,
021,GTD,87,109.43,GF,
021,GTD,88,109.972,GF,
021,GTD,89,110.028,GF,
021,GTD,90,108.653,GF,
021,GTD,91,109.616,GF,
021,GTD,92,109.473,GF,
021,GTD,93,108.825,GF,
021,GTD,94,109.33,GF,
021,GTD,95,108.984,GF,
021,GTD,96,110.89,GF,
021,GTD,97,110.053,GF,
