car,class,lap,lap_time,flags,pit_time
04,LMP2,1,74.573,GF,
04,LMP2,2,70.542,GF,
04,LMP2,3,70.33,GF,
04,LMP2,4,69.742,GF,
04,LMP2,5,69.549,GF,
04,LMP2,6,69.728,GF,
04,LMP2,7,72.868,GF,
04,LMP2,8,73.753,GF,
04,LMP2,9,74.48,GF,
04,LMP2,10,76.652,GF,
04,LMP2,11,76.032,GF,
04,LMP2,12,78.833,FCY,
04,LMP2,13,151.461,FCY,
04,LMP2,14,135.116,GF,
04,LMP2,15,72.527,GF,
04,LMP2,16,71.168,GF,
04,LMP2,17,72.965,GF,
04,LMP2,18,70.876,GF,
04,LMP2,19,70.414,GF,
04,LMP2,20,71.298,GF,
04,LMP2,21,70.591,GF,
04,LMP2,22,71.659,GF,
04,LMP2,23,74.5,GF,
04,LMP2,24,72.596,GF,
04,LMP2,25,84.289,GF,
04,LMP2,26,113.772,GF,51.922
04,LMP2,27,71.276,GF,
04,LMP2,28,71.209,GF,
04,LMP2,29,71.619,GF,
04,LMP2,30,72.726,GF,
04,LMP2,31,72.233,GF,
04,LMP2,32,87.141,FCY,
04,LMP2,33,109.145,FCY,
04,LMP2,34,90.044,FCY,
04,LMP2,35,120.681,FCY,
04,LMP2,36,125.358,FCY,
04,LMP2,37,156.424,GF,
04,LMP2,38,72.017,GF,
04,LMP2,39,70.252,GF,
04,LMP2,40,70.167,GF,
04,LMP2,41,70.16,GF,
04,LMP2,42,70.016,GF,
04,LMP2,43,69.994,GF,
04,LMP2,44,70.391,GF,
04,LMP2,45,81.376,GF,
04,LMP2,46,114.013,GF,53.874
04,LMP2,47,69.041,GF,
04,LMP2,48,69.032,GF,
04,LMP2,49,68.792,GF,
04,LMP2,50,69.399,GF,
04,LMP2,51,71.544,GF,
04,LMP2,52,73.223,GF,
04,LMP2,53,74.98,GF,
04,LMP2,54,73.384,GF,
04,LMP2,55,70.495,GF,
04,LMP2,56,68.885,GF,
04,LMP2,57,69.407,GF,
04,LMP2,58,69.139,GF,
04,LMP2,59,69.048,GF,
04,LMP2,60,69.006,GF,
04,LMP2,61,69.16,GF,
04,LMP2,62,73.736,GF,
04,LMP2,63,70.933,GF,
04,LMP2,64,72.78,GF,
04,LMP2,65,72.979,GF,
04,LMP2,66,69.82,GF,
04,LMP2,67,69.156,GF,
04,LMP2,68,68.862,GF,
04,LMP2,69,69.043,GF,
04,LMP2,70,68.698,GF,
04,LMP2,71,69.057,GF,
04,LMP2,72,70.811,GF,
04,LMP2,73,69.409,GF,
04,LMP2,74,69.916,GF,
04,LMP2,75,72.58,GF,
04,LMP2,76,70.411,GF,
04,LMP2,77,71.556,GF,
04,LMP2,78,71.64,GF,
04,LMP2,79,70.888,GF,
04,LMP2,80,70.455,GF,
04,LMP2,81,70.456,GF,
04,LMP2,82,69.675,GF,
04,LMP2,83,68.842,GF,
04,LMP2,84,78.48,GF,
04,LMP2,85,127.423,GF,68.426
04,LMP2,86,71.807,GF,
04,LMP2,87,71.454,GF,
04,LMP2,88,71.559,GF,
