car,class,lap,lap_time,flags,pit_time
1,LMP2,1,107.261,GF,
1,LMP2,2,101.429,GF,
1,LMP2,3,100.673,GF,
1,LMP2,4,100.729,GF,
1,LMP2,5,101.106,GF,
1,LMP2,6,100.917,GF,
1,LMP2,7,101.095,GF,
1,LMP2,8,210.785,FCY,
1,LMP2,9,261.159,FCY,
1,LMP2,10,185.599,GF,45.25
1,LMP2,11,102.278,GF,
1,LMP2,12,168.512,FCY,
1,LMP2,13,259.494,FCY,
1,LMP2,14,220.57,GF,
1,LMP2,15,103.004,GF,
1,LMP2,16,101.661,GF,
1,LMP2,17,101.74,GF,
1,LMP2,18,101.484,GF,
1,LMP2,19,101.179,GF,
1,LMP2,20,100.727,GF,
1,LMP2,21,100.856,GF,
1,LMP2,22,100.868,GF,
1,LMP2,23,101.188,GF,
1,LMP2,24,101.798,GF,
1,LMP2,25,103.568,GF,
1,LMP2,26,101.272,GF,
1,LMP2,27,101.554,GF,
1,LMP2,28,100.983,GF,
1,LMP2,29,101.211,GF,
1,LMP2,30,101.317,GF,
1,LMP2,31,107.488,GF,
1,LMP2,32,160.641,GF,62.872
1,LMP2,33,101.651,GF,
1,LMP2,34,102.31,GF,
1,LMP2,35,101.809,GF,
1,LMP2,36,102.227,GF,
1,LMP2,37,101.682,GF,
1,LMP2,38,101.577,GF,
1,LMP2,39,101.61,GF,
1,LMP2,40,101.446,GF,
1,LMP2,41,101.922,GF,
1,LMP2,42,101.718,GF,
1,LMP2,43,103.518,GF,
1,LMP2,44,101.563,GF,
1,LMP2,45,102.98,GF,
1,LMP2,46,103.584,GF,
1,LMP2,47,101.642,GF,
1,LMP2,48,101.291,GF,
1,LMP2,49,102.668,GF,
1,LMP2,50,101.945,GF,
1,LMP2,51,103.898,GF,
1,LMP2,52,107.993,GF,
1,LMP2,53,182.592,GF,81.987
1,LMP2,54,102.758,GF,
1,LMP2,55,102.527,GF,
1,LMP2,56,103.261,GF,
1,LMP2,57,102.469,GF,
1,LMP2,58,132.649,FCY,
1,LMP2,59,260.632,FCY,
1,LMP2,60,260.73,FCY,
1,LMP2,61,112.548,GF,
1,LMP2,62,103.192,GF,
