car,class,lap,lap_time,flags,pit_time
10,LMP2,1,120.616,GF,
10,LMP2,2,115.322,GF,
10,LMP2,3,115.082,GF,
10,LMP2,4,115.635,GF,
10,LMP2,5,115.614,GF,
10,LMP2,6,115.631,GF,
10,LMP2,7,116.012,GF,
10,LMP2,8,116.176,GF,
10,LMP2,9,116.656,GF,
10,LMP2,10,116.58,GF,
10,LMP2,11,117.141,GF,
10,LMP2,12,117.069,GF,
10,LMP2,13,117.378,GF,
10,LMP2,14,116.877,GF,
10,LMP2,15,116.43,GF,
10,LMP2,16,116.644,GF,
10,LMP2,17,118.729,GF,
10,LMP2,18,117.189,GF,
10,LMP2,19,116.844,GF,
10,LMP2,20,120.842,GF,
10,LMP2,21,183.527,GF,70.128
10,LMP2,22,117.601,GF,
10,LMP2,23,117.637,GF,
10,LMP2,24,117.405,GF,
10,LMP2,25,117.405,GF,
10,LMP2,26,117.544,GF,
10,LMP2,27,118.026,GF,
10,LMP2,28,117.241,GF,
10,LMP2,29,117.983,GF,
10,LMP2,30,117.347,GF,
10,LMP2,31,117.378,GF,
10,LMP2,32,117.76,GF,
10,LMP2,33,117.563,GF,
10,LMP2,34,117.202,GF,
10,LMP2,35,117.664,GF,
10,LMP2,36,117.546,GF,
10,LMP2,37,118.371,GF,
10,LMP2,38,118.617,GF,
10,LMP2,39,118.904,GF,
10,LMP2,40,117.837,GF,
10,LMP2,41,118.102,GF,
10,LMP2,42,121.75,GF,
10,LMP2,43,204.21,GF,85.249
10,LMP2,44,117.214,GF,
10,LMP2,45,118.699,GF,
10,LMP2,46,116.674,GF,
10,LMP2,47,117.002,GF,
10,LMP2,48,116.758,GF,
10,LMP2,49,117.801,GF,
10,LMP2,50,117.003,GF,
10,LMP2,51,155.372,GF,
10,LMP2,52,116.71,GF,
10,LMP2,53,116.931,GF,
10,LMP2,54,117.201,GF,
10,LMP2,55,117.777,GF,
10,LMP2,56,117.561,GF,
10,LMP2,57,118.243,GF,
10,LMP2,58,117.858,GF,
10,LMP2,59,116.935,GF,
10,LMP2,60,122.256,GF,
10,LMP2,61,235.325,GF,120.509
10,LMP2,62,117.731,GF,
10,LMP2,63,118.053,GF,
10,LMP2,64,121.759,GF,
10,LMP2,65,202.4,GF,85.642
10,LMP2,66,117.475,GF,
10,LMP2,67,116.939,GF,
10,LMP2,68,118.317,GF,
10,LMP2,69,117.168,GF,
10,LMP2,70,117.877,GF,
