car,class,lap,lap_time,flags,pit_time
10,LMP2,1,101.94,GF,
10,LMP2,2,96.81,GF,
10,LMP2,3,97.635,GF,
10,LMP2,4,96.179,GF,
10,LMP2,5,96.024,GF,
10,LMP2,6,95.786,GF,
10,LMP2,7,96.14,GF,
10,LMP2,8,96.367,GF,
10,LMP2,9,96.36,GF,
10,LMP2,10,96.873,GF,
10,LMP2,11,98.533,GF,
10,LMP2,12,99.722,GF,
10,LMP2,13,97.653,GF,
10,LMP2,14,96.884,GF,
10,LMP2,15,98.0,GF,
10,LMP2,16,99.09,GF,
10,LMP2,17,97.491,GF,
10,LMP2,18,97.206,GF,
10,LMP2,19,98.178,GF,
10,LMP2,20,96.873,GF,
10,LMP2,21,96.841,GF,
10,LMP2,22,104.159,GF,
10,LMP2,23,163.045,GF,70.085
10,LMP2,24,198.256,GF,
10,LMP2,25,2099.479,GF,2004.354
10,LMP2,26,100.652,GF,
10,LMP2,27,101.222,GF,
10,LMP2,28,98.061,GF,
10,LMP2,29,97.55,GF,
10,LMP2,30,99.15,GF,
10,LMP2,31,97.557,GF,
10,LMP2,32,99.904,GF,
10,LMP2,33,98.38,GF,
10,LMP2,34,99.136,GF,
10,LMP2,35,97.726,GF,
10,LMP2,36,98.527,GF,
10,LMP2,37,98.421,GF,
10,LMP2,38,97.995,GF,
10,LMP2,39,98.205,GF,
10,LMP2,40,98.164,GF,
10,LMP2,41,97.298,GF,
10,LMP2,42,97.702,GF,
10,LMP2,43,100.051,GF,
10,LMP2,44,97.413,GF,
10,LMP2,45,97.262,GF,
10,LMP2,46,99.481,GF,
10,LMP2,47,97.99,GF,
10,LMP2,48,129.87,GF,
10,LMP2,49,181.85,GF,85.322
10,LMP2,50,97.394,GF,
10,LMP2,51,97.067,GF,
10,LMP2,52,96.306,GF,
10,LMP2,53,98.36,GF,
10,LMP2,54,96.743,GF,
10,LMP2,55,96.548,GF,
10,LMP2,56,96.464,GF,
10,LMP2,57,96.427,GF,
10,LMP2,58,96.147,GF,
10,LMP2,59,96.119,GF,
10,LMP2,60,96.061,GF,
10,LMP2,61,97.209,GF,
10,LMP2,62,97.856,GF,
10,LMP2,63,97.947,GF,
10,LMP2,64,98.19,GF,
10,LMP2,65,98.783,GF,
10,LMP2,66,97.18,GF,
10,LMP2,67,96.12,GF,
10,LMP2,68,98.59,GF,
10,LMP2,69,96.121,GF,
10,LMP2,70,96.844,GF,
10,LMP2,71,97.721,GF,
10,LMP2,72,97.355,GF,
10,LMP2,73,102.3,GF,
10,LMP2,74,165.631,GF,71.533
10,LMP2,75,96.357,GF,
10,LMP2,76,96.853,GF,
10,LMP2,77,97.69,GF,
10,LMP2,78,97.407,GF,
10,LMP2,79,97.528,GF,
10,LMP2,80,98.613,GF,
10,LMP2,81,96.37,GF,
10,LMP2,82,97.377,GF,
10,LMP2,83,97.619,GF,
10,LMP2,84,96.509,GF,
10,LMP2,85,96.827,GF,
10,LMP2,86,96.518,GF,
10,LMP2,87,96.569,GF,
10,LMP2,88,96.302,GF,
10,LMP2,89,96.273,GF,
10,LMP2,90,95.769,GF,
10,LMP2,91,95.657,GF,
10,LMP2,92,95.869,GF,
10,LMP2,93,95.836,GF,
10,LMP2,94,95.924,GF,
10,LMP2,95,96.475,GF,
10,LMP2,96,96.954,GF,
10,LMP2,97,103.555,GF,
10,LMP2,98,187.464,GF,86.739
10,LMP2,99,97.842,GF,
10,LMP2,100,98.129,GF,
10,LMP2,101,99.653,GF,
10,LMP2,102,98.706,GF,
10,LMP2,103,97.264,GF,
10,LMP2,104,97.186,GF,
10,LMP2,105,96.797,GF,
10,LMP2,106,97.045,GF,
10,LMP2,107,96.456,GF,
10,LMP2,108,95.97,GF,
10,LMP2,109,96.557,GF,
10,LMP2,110,96.744,GF,
10,LMP2,111,99.518,GF,
10,LMP2,112,98.84,GF,
10,LMP2,113,98.098,GF,
10,LMP2,114,97.581,GF,
10,LMP2,115,96.853,GF,
10,LMP2,116,96.648,GF,
10,LMP2,117,96.969,GF,
10,LMP2,118,97.192,GF,
10,LMP2,119,97.086,GF,
10,LMP2,120,97.897,GF,
10,LMP2,121,103.825,GF,
10,LMP2,122,163.691,GF,69.883
10,LMP2,123,97.956,GF,
10,LMP2,124,98.5,GF,
10,LMP2,125,98.154,GF,
10,LMP2,126,98.51,GF,
10,LMP2,127,97.459,GF,
10,LMP2,128,97.764,GF,
10,LMP2,129,96.992,GF,
10,LMP2,130,98.068,GF,
10,LMP2,131,96.914,GF,
10,LMP2,132,96.746,GF,
10,LMP2,133,97.867,GF,
10,LMP2,134,97.584,GF,
10,LMP2,135,96.973,GF,
10,LMP2,136,97.023,GF,
10,LMP2,137,97.267,GF,
10,LMP2,138,97.272,GF,
10,LMP2,139,97.968,GF,
10,LMP2,140,96.776,GF,
10,LMP2,141,97.021,GF,
10,LMP2,142,98.351,GF,
10,LMP2,143,96.928,GF,
10,LMP2,144,96.973,GF,
10,LMP2,145,102.77,GF,
10,LMP2,146,188.927,GF,91.767
10,LMP2,147,96.623,GF,
10,LMP2,148,96.785,GF,
10,LMP2,149,96.836,GF,
10,LMP2,150,96.144,GF,
10,LMP2,151,96.293,GF,
10,LMP2,152,96.333,GF,
10,LMP2,153,96.112,GF,
10,LMP2,154,95.778,GF,
10,LMP2,155,106.414,SF,
10,LMP2,156,182.759,SF,
10,LMP2,157,128.372,SF,
10,LMP2,158,103.76,SF,
10,LMP2,159,139.9,SF,
10,LMP2,160,120.3,GF,
10,LMP2,161,99.32,GF,
10,LMP2,162,97.824,GF,
10,LMP2,163,97.47,GF,
10,LMP2,164,98.421,GF,
10,LMP2,165,96.284,GF,
10,LMP2,166,96.519,GF,
10,LMP2,167,96.543,GF,
10,LMP2,168,95.771,GF,
10,LMP2,169,96.006,GF,
10,LMP2,170,95.941,GF,
10,LMP2,171,102.036,GF,
10,LMP2,172,161.499,GF,68.714
10,LMP2,173,97.784,GF,
10,LMP2,174,98.339,GF,
10,LMP2,175,97.564,GF,
10,LMP2,176,97.053,GF,
10,LMP2,177,97.856,GF,
10,LMP2,178,97.741,GF,
10,LMP2,179,97.105,GF,
10,LMP2,180,96.685,GF,
10,LMP2,181,96.944,GF,
10,LMP2,182,97.307,GF,
10,LMP2,183,97.038,GF,
10,LMP2,184,100.065,GF,
10,LMP2,185,100.478,GF,
10,LMP2,186,97.291,GF,
10,LMP2,187,96.562,GF,
10,LMP2,188,96.126,GF,
10,LMP2,189,96.433,GF,
10,LMP2,190,96.414,GF,
10,LMP2,191,97.195,GF,
10,LMP2,192,96.845,GF,
10,LMP2,193,102.062,FF,
2,HYPERCAR,1,98.403,GF,
2,HYPERCAR,2,95.641,GF,
2,HYPERCAR,3,94.346,GF,
2,HYPERCAR,4,94.466,GF,
2,HYPERCAR,5,94.378,GF,
2,HYPERCAR,6,94.318,GF,
2,HYPERCAR,7,94.979,GF,
2,HYPERCAR,8,94.725,GF,
2,HYPERCAR,9,95.073,GF,
2,HYPERCAR,10,96.254,GF,
2,HYPERCAR,11,96.015,GF,
2,HYPERCAR,12,95.814,GF,
2,HYPERCAR,13,95.598,GF,
2,HYPERCAR,14,95.683,GF,
2,HYPERCAR,15,94.488,GF,
2,HYPERCAR,16,94.328,GF,
2,HYPERCAR,17,94.63,GF,
2,HYPERCAR,18,94.146,GF,
2,HYPERCAR,19,95.173,GF,
2,HYPERCAR,20,95.132,GF,
2,HYPERCAR,21,95.471,GF,
2,HYPERCAR,22,94.429,GF,
2,HYPERCAR,23,95.941,GF,
2,HYPERCAR,24,95.494,GF,
2,HYPERCAR,25,95.907,GF,
2,HYPERCAR,26,95.514,GF,
2,HYPERCAR,27,95.064,GF,
2,HYPERCAR,28,95.023,GF,
2,HYPERCAR,29,96.276,GF,
2,HYPERCAR,30,94.525,GF,
2,HYPERCAR,31,94.519,GF,
2,HYPERCAR,32,93.882,GF,
2,HYPERCAR,33,93.626,GF,
2,HYPERCAR,34,94.11,GF,
2,HYPERCAR,35,95.335,GF,
2,HYPERCAR,36,102.742,GF,
2,HYPERCAR,37,159.598,GF,68.194
2,HYPERCAR,38,96.403,GF,
2,HYPERCAR,39,97.612,GF,
2,HYPERCAR,40,97.032,GF,
2,HYPERCAR,41,96.876,GF,
2,HYPERCAR,42,96.589,GF,
2,HYPERCAR,43,96.611,GF,
2,HYPERCAR,44,97.19,GF,
2,HYPERCAR,45,96.621,GF,
2,HYPERCAR,46,96.777,GF,
2,HYPERCAR,47,97.925,GF,
2,HYPERCAR,48,97.344,GF,
2,HYPERCAR,49,98.166,GF,
2,HYPERCAR,50,99.425,GF,
2,HYPERCAR,51,104.645,GF,
2,HYPERCAR,52,169.202,GF,75.089
2,HYPERCAR,53,94.444,GF,
2,HYPERCAR,54,95.242,GF,
2,HYPERCAR,55,94.41,GF,
2,HYPERCAR,56,94.299,GF,
2,HYPERCAR,57,95.128,GF,
2,HYPERCAR,58,95.144,GF,
2,HYPERCAR,59,96.12,GF,
2,HYPERCAR,60,95.441,GF,
2,HYPERCAR,61,95.535,GF,
2,HYPERCAR,62,95.419,GF,
2,HYPERCAR,63,96.175,GF,
2,HYPERCAR,64,94.659,GF,
2,HYPERCAR,65,94.636,GF,
2,HYPERCAR,66,95.452,GF,
2,HYPERCAR,67,95.573,GF,
2,HYPERCAR,68,95.737,GF,
2,HYPERCAR,69,95.141,GF,
2,HYPERCAR,70,94.819,GF,
2,HYPERCAR,71,95.206,GF,
2,HYPERCAR,72,94.066,GF,
2,HYPERCAR,73,95.177,GF,
2,HYPERCAR,74,94.633,GF,
2,HYPERCAR,75,95.353,GF,
2,HYPERCAR,76,95.39,GF,
2,HYPERCAR,77,95.07,GF,
2,HYPERCAR,78,94.562,GF,
2,HYPERCAR,79,93.857,GF,
2,HYPERCAR,80,94.107,GF,
2,HYPERCAR,81,94.182,GF,
2,HYPERCAR,82,94.191,GF,
2,HYPERCAR,83,94.755,GF,
2,HYPERCAR,84,94.377,GF,
2,HYPERCAR,85,94.456,GF,
2,HYPERCAR,86,95.506,GF,
2,HYPERCAR,87,103.228,GF,
2,HYPERCAR,88,187.957,GF,91.118
2,HYPERCAR,89,94.962,GF,
2,HYPERCAR,90,95.287,GF,
2,HYPERCAR,91,95.363,GF,
2,HYPERCAR,92,94.78,GF,
2,HYPERCAR,93,94.798,GF,
2,HYPERCAR,94,94.566,GF,
2,HYPERCAR,95,94.891,GF,
2,HYPERCAR,96,94.974,GF,
2,HYPERCAR,97,94.203,GF,
2,HYPERCAR,98,93.892,GF,
2,HYPERCAR,99,94.21,GF,
2,HYPERCAR,100,94.975,GF,
2,HYPERCAR,101,94.605,GF,
2,HYPERCAR,102,95.005,GF,
2,HYPERCAR,103,94.332,GF,
2,HYPERCAR,104,94.876,GF,
2,HYPERCAR,105,95.878,GF,
2,HYPERCAR,106,94.723,GF,
2,HYPERCAR,107,94.411,GF,
2,HYPERCAR,108,94.529,GF,
2,HYPERCAR,109,94.156,GF,
2,HYPERCAR,110,94.149,GF,
2,HYPERCAR,111,94.348,GF,
2,HYPERCAR,112,93.945,GF,
2,HYPERCAR,113,94.448,GF,
2,HYPERCAR,114,94.455,GF,
2,HYPERCAR,115,93.816,GF,
2,HYPERCAR,116,94.32,GF,
2,HYPERCAR,117,93.51,GF,
2,HYPERCAR,118,95.469,GF,
2,HYPERCAR,119,94.092,GF,
2,HYPERCAR,120,94.986,GF,
2,HYPERCAR,121,93.253,GF,
2,HYPERCAR,122,93.077,GF,
2,HYPERCAR,123,99.049,GF,
2,HYPERCAR,124,163.839,GF,74.593
2,HYPERCAR,125,95.566,GF,
2,HYPERCAR,126,94.569,GF,
2,HYPERCAR,127,95.302,GF,
2,HYPERCAR,128,96.9,GF,
2,HYPERCAR,129,96.049,GF,
2,HYPERCAR,130,94.501,GF,
2,HYPERCAR,131,94.469,GF,
2,HYPERCAR,132,93.865,GF,
2,HYPERCAR,133,94.018,GF,
2,HYPERCAR,134,94.395,GF,
2,HYPERCAR,135,94.386,GF,
2,HYPERCAR,136,94.084,GF,
2,HYPERCAR,137,94.293,GF,
2,HYPERCAR,138,94.561,GF,
2,HYPERCAR,139,95.405,GF,
2,HYPERCAR,140,95.108,GF,
2,HYPERCAR,141,95.416,GF,
2,HYPERCAR,142,96.276,GF,
2,HYPERCAR,143,95.348,GF,
2,HYPERCAR,144,94.998,GF,
2,HYPERCAR,145,94.829,GF,
2,HYPERCAR,146,94.992,GF,
2,HYPERCAR,147,96.34,GF,
2,HYPERCAR,148,95.967,GF,
2,HYPERCAR,149,95.233,GF,
2,HYPERCAR,150,95.513,GF,
2,HYPERCAR,151,95.244,GF,
2,HYPERCAR,152,94.095,GF,
2,HYPERCAR,153,94.982,GF,
2,HYPERCAR,154,94.887,GF,
2,HYPERCAR,155,94.407,GF,
2,HYPERCAR,156,96.579,GF,
2,HYPERCAR,157,95.756,GF,
2,HYPERCAR,158,101.31,GF,
2,HYPERCAR,159,190.607,GF,94.702
2,HYPERCAR,160,95.923,GF,
2,HYPERCAR,161,95.625,GF,
2,HYPERCAR,162,96.449,GF,
2,HYPERCAR,163,94.137,GF,
2,HYPERCAR,164,94.876,GF,
2,HYPERCAR,165,94.49,GF,
2,HYPERCAR,166,96.145,GF,
2,HYPERCAR,167,95.284,GF,
2,HYPERCAR,168,94.565,GF,
2,HYPERCAR,169,94.458,GF,
2,HYPERCAR,170,95.44,GF,
2,HYPERCAR,171,94.939,GF,
2,HYPERCAR,172,93.987,GF,
2,HYPERCAR,173,95.131,GF,
2,HYPERCAR,174,95.478,GF,
2,HYPERCAR,175,95.811,GF,
2,HYPERCAR,176,94.432,GF,
2,HYPERCAR,177,93.856,GF,
2,HYPERCAR,178,94.347,GF,
2,HYPERCAR,179,94.398,GF,
2,HYPERCAR,180,95.568,GF,
2,HYPERCAR,181,95.06,GF,
2,HYPERCAR,182,112.388,SF,
2,HYPERCAR,183,168.64,SF,
2,HYPERCAR,184,197.721,SF,
2,HYPERCAR,185,151.234,SF,
2,HYPERCAR,186,133.444,GF,
2,HYPERCAR,187,152.69,GF,63.112
2,HYPERCAR,188,93.985,GF,
2,HYPERCAR,189,93.597,GF,
2,HYPERCAR,190,93.583,GF,
2,HYPERCAR,191,93.421,GF,
2,HYPERCAR,192,94.491,GF,
2,HYPERCAR,193,93.454,GF,
2,HYPERCAR,194,95.614,GF,
2,HYPERCAR,195,94.745,GF,
2,HYPERCAR,196,94.553,GF,
2,HYPERCAR,197,94.341,GF,
2,HYPERCAR,198,93.829,GF,
2,HYPERCAR,199,93.764,GF,
2,HYPERCAR,200,93.482,GF,
2,HYPERCAR,201,93.561,GF,
2,HYPERCAR,202,93.401,GF,
2,HYPERCAR,203,93.579,GF,
2,HYPERCAR,204,94.139,GF,
2,HYPERCAR,205,94.316,GF,
2,HYPERCAR,206,94.482,GF,
2,HYPERCAR,207,95.199,GF,
2,HYPERCAR,208,94.658,GF,
2,HYPERCAR,209,95.587,GF,
2,HYPERCAR,210,95.687,GF,
2,HYPERCAR,211,94.227,GF,
2,HYPERCAR,212,94.775,GF,
2,HYPERCAR,213,94.015,GF,
2,HYPERCAR,214,94.468,GF,
2,HYPERCAR,215,95.448,GF,
2,HYPERCAR,216,95.853,GF,
2,HYPERCAR,217,95.052,GF,
2,HYPERCAR,218,96.072,GF,
2,HYPERCAR,219,103.72,GF,
2,HYPERCAR,220,101.883,FF,
22,LMP2,1,101.399,GF,
22,LMP2,2,96.05,GF,
22,LMP2,3,96.251,GF,
22,LMP2,4,95.742,GF,
22,LMP2,5,95.838,GF,
22,LMP2,6,95.918,GF,
22,LMP2,7,95.994,GF,
22,LMP2,8,95.979,GF,
22,LMP2,9,96.075,GF,
22,LMP2,10,96.406,GF,
22,LMP2,11,96.485,GF,
22,LMP2,12,98.177,GF,
22,LMP2,13,96.592,GF,
22,LMP2,14,96.49,GF,
22,LMP2,15,97.422,GF,
22,LMP2,16,96.125,GF,
22,LMP2,17,96.752,GF,
22,LMP2,18,95.87,GF,
22,LMP2,19,95.664,GF,
22,LMP2,20,96.131,GF,
22,LMP2,21,95.656,GF,
22,LMP2,22,96.044,GF,
22,LMP2,23,103.391,GF,
22,LMP2,24,178.156,GF,83.482
22,LMP2,25,97.82,GF,
22,LMP2,26,97.693,GF,
22,LMP2,27,97.298,GF,
22,LMP2,28,97.555,GF,
22,LMP2,29,97.728,GF,
22,LMP2,30,98.924,GF,
22,LMP2,31,97.444,GF,
22,LMP2,32,96.913,GF,
22,LMP2,33,97.137,GF,
22,LMP2,34,96.724,GF,
22,LMP2,35,98.437,GF,
22,LMP2,36,96.637,GF,
22,LMP2,37,96.349,GF,
22,LMP2,38,96.586,GF,
22,LMP2,39,96.509,GF,
22,LMP2,40,96.432,GF,
22,LMP2,41,96.346,GF,
22,LMP2,42,97.412,GF,
22,LMP2,43,98.562,GF,
22,LMP2,44,98.355,GF,
22,LMP2,45,98.587,GF,
22,LMP2,46,98.278,GF,
22,LMP2,47,100.969,GF,
22,LMP2,48,104.448,GF,
22,LMP2,49,167.012,GF,74.267
22,LMP2,50,96.898,GF,
22,LMP2,51,97.545,GF,
22,LMP2,52,97.098,GF,
22,LMP2,53,97.986,GF,
22,LMP2,54,97.646,GF,
22,LMP2,55,98.365,GF,
22,LMP2,56,98.625,GF,
22,LMP2,57,97.828,GF,
22,LMP2,58,97.275,GF,
22,LMP2,59,99.659,GF,
22,LMP2,60,97.526,GF,
22,LMP2,61,97.303,GF,
22,LMP2,62,97.091,GF,
22,LMP2,63,97.316,GF,
22,LMP2,64,98.952,GF,
22,LMP2,65,97.297,GF,
22,LMP2,66,97.05,GF,
22,LMP2,67,97.838,GF,
22,LMP2,68,97.303,GF,
22,LMP2,69,97.438,GF,
22,LMP2,70,97.658,GF,
22,LMP2,71,98.168,GF,
22,LMP2,72,97.294,GF,
22,LMP2,73,105.178,GF,
22,LMP2,74,187.243,GF,92.657
22,LMP2,75,97.136,GF,
22,LMP2,76,96.538,GF,
22,LMP2,77,96.129,GF,
