car,class,lap,lap_time,flags,pit_time
10,LMP2,1,223.421,GF,
10,LMP2,2,119.447,GF,
10,LMP2,3,114.04,GF,
10,LMP2,4,113.154,GF,
10,LMP2,5,131.18,SF,
10,LMP2,6,230.266,SF,
10,LMP2,7,213.617,SF,
10,LMP2,8,209.245,SF,
10,LMP2,9,194.899,SF,
10,LMP2,10,196.671,SF,
10,LMP2,11,184.479,SF,
10,LMP2,12,149.576,GF,
10,LMP2,13,113.704,GF,
10,LMP2,14,113.397,GF,
10,LMP2,15,113.275,GF,
10,LMP2,16,113.428,GF,
10,LMP2,17,112.347,GF,
10,LMP2,18,112.012,GF,
10,LMP2,19,112.136,GF,
10,LMP2,20,112.421,GF,
10,LMP2,21,113.307,GF,
10,LMP2,22,201.845,GF,91.467
10,LMP2,23,117.664,GF,
10,LMP2,24,113.591,GF,
10,LMP2,25,113.39,FCY,
10,LMP2,26,257.353,GF,
10,LMP2,27,118.229,GF,
10,LMP2,28,112.461,GF,
10,LMP2,29,114.36,GF,
10,LMP2,30,114.488,GF,
10,LMP2,31,114.662,GF,
10,LMP2,32,113.944,GF,
10,LMP2,33,113.399,GF,
10,LMP2,34,114.465,GF,
10,LMP2,35,113.74,GF,
10,LMP2,36,112.908,GF,
10,LMP2,37,1330.787,GF,1213.445
10,LMP2,38,197.22,GF,79.568
10,LMP2,39,163.284,GF,46.305
10,LMP2,40,116.974,GF,
10,LMP2,41,115.874,GF,
10,LMP2,42,115.405,GF,
10,LMP2,43,114.496,GF,
10,LMP2,44,115.295,GF,
10,LMP2,45,113.146,GF,
10,LMP2,46,112.971,GF,
10,LMP2,47,112.986,GF,
10,LMP2,48,112.974,GF,
10,LMP2,49,112.663,GF,
10,LMP2,50,113.811,GF,
10,LMP2,51,143.157,GF,33.736
10,LMP2,52,115.044,GF,
10,LMP2,53,116.259,GF,
10,LMP2,54,116.955,GF,
10,LMP2,55,239.71,GF,
10,LMP2,56,116.371,GF,
10,LMP2,57,114.274,GF,
10,LMP2,58,113.788,GF,
10,LMP2,59,114.713,GF,
10,LMP2,60,186.624,GF,75.597
10,LMP2,61,116.288,GF,
10,LMP2,62,115.634,GF,
10,LMP2,63,114.637,GF,
10,LMP2,64,115.649,GF,
10,LMP2,65,114.159,GF,
10,LMP2,66,115.339,GF,
10,LMP2,67,115.5,GF,
10,LMP2,68,113.87,GF,
10,LMP2,69,209.988,GF,
10,LMP2,70,115.288,GF,
10,LMP2,71,114.23,GF,
10,LMP2,72,113.768,GF,
10,LMP2,73,113.577,GF,
10,LMP2,74,114.615,GF,
10,LMP2,75,116.282,GF,
10,LMP2,76,116.534,GF,
10,LMP2,77,115.741,GF,
