car,class,lap,lap_time,flags,pit_time
11,HYPERCAR,1,96.054,GF,
11,HYPERCAR,2,88.091,GF,
11,HYPERCAR,3,87.256,GF,
11,HYPERCAR,4,86.953,GF,
11,HYPERCAR,5,87.185,GF,
11,HYPERCAR,6,87.678,GF,
11,HYPERCAR,7,87.999,GF,
11,HYPERCAR,8,88.106,GF,
11,HYPERCAR,9,91.142,GF,
11,HYPERCAR,10,135.134,FCY,
11,HYPERCAR,11,125.312,GF,
11,HYPERCAR,12,88.886,GF,
11,HYPERCAR,13,88.662,GF,
11,HYPERCAR,14,88.517,GF,
11,HYPERCAR,15,88.523,GF,
11,HYPERCAR,16,88.825,GF,
11,HYPERCAR,17,89.054,GF,
11,HYPERCAR,18,90.322,GF,
11,HYPERCAR,19,89.423,GF,
11,HYPERCAR,20,90.561,GF,
11,HYPERCAR,21,91.041,GF,
11,HYPERCAR,22,90.063,GF,
11,HYPERCAR,23,89.53,GF,
11,HYPERCAR,24,89.989,GF,
11,HYPERCAR,25,89.506,GF,
11,HYPERCAR,26,89.596,GF,
11,HYPERCAR,27,89.11,GF,
11,HYPERCAR,28,89.687,GF,
11,HYPERCAR,29,89.339,GF,
11,HYPERCAR,30,91.219,GF,
11,HYPERCAR,31,90.46,GF,
11,HYPERCAR,32,89.817,GF,
11,HYPERCAR,33,89.779,GF,
11,HYPERCAR,34,89.907,GF,
11,HYPERCAR,35,89.427,GF,
11,HYPERCAR,36,89.714,GF,
11,HYPERCAR,37,90.653,GF,
11,HYPERCAR,38,90.063,GF,
11,HYPERCAR,39,89.982,GF,
11,HYPERCAR,40,90.197,GF,
11,HYPERCAR,41,90.43,GF,
11,HYPERCAR,42,97.568,GF,
11,HYPERCAR,43,165.914,GF,75.937
11,HYPERCAR,44,90.874,GF,
11,HYPERCAR,45,91.341,GF,
11,HYPERCAR,46,91.436,GF,
11,HYPERCAR,47,90.703,GF,
11,HYPERCAR,48,91.341,GF,
11,HYPERCAR,49,90.511,GF,
11,HYPERCAR,50,90.406,GF,
11,HYPERCAR,51,90.017,GF,
11,HYPERCAR,52,90.46,GF,
11,HYPERCAR,53,90.357,GF,
11,HYPERCAR,54,89.972,GF,
11,HYPERCAR,55,91.033,GF,
11,HYPERCAR,56,90.057,GF,
11,HYPERCAR,57,89.797,GF,
11,HYPERCAR,58,91.133,GF,
11,HYPERCAR,59,90.557,GF,
11,HYPERCAR,60,89.905,GF,
11,HYPERCAR,61,91.063,GF,
11,HYPERCAR,62,90.933,GF,
11,HYPERCAR,63,91.98,GF,
11,HYPERCAR,64,90.937,GF,
11,HYPERCAR,65,90.815,GF,
11,HYPERCAR,66,91.156,GF,
11,HYPERCAR,67,90.631,GF,
11,HYPERCAR,68,90.787,GF,
11,HYPERCAR,69,91.171,GF,
11,HYPERCAR,70,90.436,GF,
11,HYPERCAR,71,90.679,GF,
11,HYPERCAR,72,91.523,GF,
11,HYPERCAR,73,91.804,GF,
11,HYPERCAR,74,90.977,GF,
11,HYPERCAR,75,90.952,GF,
11,HYPERCAR,76,91.318,GF,
11,HYPERCAR,77,93.059,GF,
11,HYPERCAR,78,92.834,GF,
11,HYPERCAR,79,91.62,GF,
11,HYPERCAR,80,92.16,GF,
11,HYPERCAR,81,91.105,GF,
11,HYPERCAR,82,98.906,GF,
11,HYPERCAR,83,185.647,GF,89.332
11,HYPERCAR,84,91.128,GF,
11,HYPERCAR,85,96.371,GF,
11,HYPERCAR,86,118.336,GF,33.264
11,HYPERCAR,87,91.336,GF,
11,HYPERCAR,88,89.617,GF,
11,HYPERCAR,89,90.776,GF,
11,HYPERCAR,90,90.528,GF,
11,HYPERCAR,91,90.574,GF,
11,HYPERCAR,92,91.534,GF,
11,HYPERCAR,93,91.434,GF,
11,HYPERCAR,94,89.717,GF,
