car,class,lap,lap_time,flags,pit_time
007,HYPERCAR,1,218.404,SF,
007,HYPERCAR,2,185.357,SF,
007,HYPERCAR,3,183.245,SF,
007,HYPERCAR,4,182.734,SF,
007,HYPERCAR,5,181.414,SF,
007,HYPERCAR,6,181.607,SF,
007,HYPERCAR,7,180.686,SF,
007,HYPERCAR,8,178.548,SF,
007,HYPERCAR,9,181.147,SF,
007,HYPERCAR,10,174.161,SF,
007,HYPERCAR,11,179.395,SF,
007,HYPERCAR,12,174.82,SF,
007,HYPERCAR,13,176.966,SF,
007,HYPERCAR,14,175.576,SF,
007,HYPERCAR,15,194.821,SF,
007,HYPERCAR,16,197.6,SF,
007,HYPERCAR,17,215.384,SF,
007,HYPERCAR,18,226.514,SF,
007,HYPERCAR,19,247.204,RF,
007,HYPERCAR,20,2614.643,SF,
007,HYPERCAR,21,183.644,SF,
007,HYPERCAR,22,163.566,GF,
007,HYPERCAR,23,141.2,GF,
007,HYPERCAR,24,137.266,GF,
007,HYPERCAR,25,207.566,SF,
007,HYPERCAR,26,193.627,SF,
007,HYPERCAR,27,230.489,SF,
007,HYPERCAR,28,212.445,SF,
007,HYPERCAR,29,245.786,SF,101.031
007,HYPERCAR,30,133.754,GF,
007,HYPERCAR,31,132.123,GF,
007,HYPERCAR,32,130.827,GF,
007,HYPERCAR,33,130.295,GF,
007,HYPERCAR,34,132.71,GF,
007,HYPERCAR,35,131.263,GF,
007,HYPERCAR,36,128.88,GF,
007,HYPERCAR,37,128.693,GF,
007,HYPERCAR,38,128.458,GF,
007,HYPERCAR,39,129.959,GF,
007,HYPERCAR,40,131.576,GF,
007,HYPERCAR,41,133.814,GF,
007,HYPERCAR,42,134.348,GF,
007,HYPERCAR,43,216.562,GF,
007,HYPERCAR,44,279.372,GF,48.666
007,HYPERCAR,45,189.409,SF,
007,HYPERCAR,46,186.634,SF,
007,HYPERCAR,47,268.82,SF,
007,HYPERCAR,48,179.484,GF,
007,HYPERCAR,49,149.31,GF,
007,HYPERCAR,50,145.821,GF,
007,HYPERCAR,51,142.14,GF,
007,HYPERCAR,52,142.247,GF,
007,HYPERCAR,53,142.892,GF,
007,HYPERCAR,54,139.829,GF,
007,HYPERCAR,55,138.884,GF,
007,HYPERCAR,56,139.381,GF,
007,HYPERCAR,57,138.796,GF,
007,HYPERCAR,58,137.444,GF,
007,HYPERCAR,59,136.943,GF,
007,HYPERCAR,60,136.698,GF,
007,HYPERCAR,61,135.22,GF,
007,HYPERCAR,62,135.127,GF,
007,HYPERCAR,63,132.821,GF,
007,HYPERCAR,64,132.4,GF,
007,HYPERCAR,65,133.109,GF,
007,HYPERCAR,66,132.891,GF,
007,HYPERCAR,67,133.578,GF,
007,HYPERCAR,68,132.286,GF,
007,HYPERCAR,69,135.519,GF,
007,HYPERCAR,70,133.223,GF,
007,HYPERCAR,71,166.41,GF,
007,HYPERCAR,72,249.075,GF,
007,HYPERCAR,73,263.352,SF,59.27
007,HYPERCAR,74,195.543,SF,
007,HYPERCAR,75,234.509,SF,
007,HYPERCAR,76,179.104,GF,
007,HYPERCAR,77,138.628,GF,
007,HYPERCAR,78,136.628,GF,
007,HYPERCAR,79,135.37,GF,
007,HYPERCAR,80,135.711,GF,
007,HYPERCAR,81,142.868,SF,
007,HYPERCAR,82,233.204,SF,
007,HYPERCAR,83,240.968,SF,
007,HYPERCAR,84,237.943,SF,
007,HYPERCAR,85,201.879,GF,
007,HYPERCAR,86,130.761,GF,
007,HYPERCAR,87,129.887,GF,
007,HYPERCAR,88,128.666,GF,
007,HYPERCAR,89,154.879,FCY,
007,HYPERCAR,90,249.295,FCY,
007,HYPERCAR,91,162.911,GF,
007,HYPERCAR,92,129.647,GF,
007,HYPERCAR,93,130.432,GF,
007,HYPERCAR,94,130.626,GF,
007,HYPERCAR,95,133.638,GF,
007,HYPERCAR,96,131.003,GF,
007,HYPERCAR,97,131.637,GF,
007,HYPERCAR,98,132.878,GF,
007,HYPERCAR,99,133.795,GF,
007,HYPERCAR,100,134.264,GF,
007,HYPERCAR,101,134.264,GF,
007,HYPERCAR,102,135.036,GF,
009,HYPERCAR,1,209.939,SF,
009,HYPERCAR,2,188.387,SF,
009,HYPERCAR,3,183.367,SF,
009,HYPERCAR,4,182.966,SF,
009,HYPERCAR,5,181.516,SF,
009,HYPERCAR,6,181.607,SF,
009,HYPERCAR,7,179.395,SF,
009,HYPERCAR,8,180.365,SF,
009,HYPERCAR,9,178.773,SF,
009,HYPERCAR,10,176.362,SF,
009,HYPERCAR,11,177.344,SF,
009,HYPERCAR,12,176.969,SF,
009,HYPERCAR,13,177.213,SF,
009,HYPERCAR,14,175.716,SF,
009,HYPERCAR,15,195.845,SF,
009,HYPERCAR,16,196.635,SF,
009,HYPERCAR,17,210.739,SF,
009,HYPERCAR,18,249.158,SF,29.953
009,HYPERCAR,19,272.14,RF,
009,HYPERCAR,20,2572.853,SF,
009,HYPERCAR,21,183.127,SF,
009,HYPERCAR,22,164.795,GF,
009,HYPERCAR,23,138.012,GF,
009,HYPERCAR,24,136.235,GF,
009,HYPERCAR,25,141.609,SF,
009,HYPERCAR,26,230.581,SF,
009,HYPERCAR,27,228.315,SF,
009,HYPERCAR,28,214.704,SF,
009,HYPERCAR,29,185.984,SF,
009,HYPERCAR,30,164.711,GF,
009,HYPERCAR,31,138.299,GF,
009,HYPERCAR,32,132.802,GF,
009,HYPERCAR,33,130.855,GF,
009,HYPERCAR,34,131.155,GF,
009,HYPERCAR,35,131.543,GF,
009,HYPERCAR,36,131.741,GF,
009,HYPERCAR,37,133.579,GF,
009,HYPERCAR,38,133.908,GF,
009,HYPERCAR,39,137.938,GF,
009,HYPERCAR,40,131.792,GF,
009,HYPERCAR,41,131.168,GF,
009,HYPERCAR,42,133.352,GF,
009,HYPERCAR,43,187.14,GF,
009,HYPERCAR,44,309.303,GF,75.206
009,HYPERCAR,45,192.744,SF,
009,HYPERCAR,46,213.025,SF,
009,HYPERCAR,47,268.726,SF,
009,HYPERCAR,48,183.35,GF,
009,HYPERCAR,49,149.202,GF,
009,HYPERCAR,50,145.311,GF,
009,HYPERCAR,51,140.946,GF,
009,HYPERCAR,52,141.754,GF,
009,HYPERCAR,53,142.8,GF,
009,HYPERCAR,54,139.084,GF,
009,HYPERCAR,55,139.951,GF,
009,HYPERCAR,56,138.19,GF,
009,HYPERCAR,57,138.006,GF,
009,HYPERCAR,58,137.89,GF,
009,HYPERCAR,59,136.735,GF,
009,HYPERCAR,60,135.822,GF,
009,HYPERCAR,61,133.351,GF,
009,HYPERCAR,62,132.701,GF,
009,HYPERCAR,63,132.532,GF,
009,HYPERCAR,64,131.978,GF,
009,HYPERCAR,65,133.977,GF,
009,HYPERCAR,66,136.102,GF,
009,HYPERCAR,67,133.598,GF,
009,HYPERCAR,68,137.5,GF,
009,HYPERCAR,69,135.744,GF,
009,HYPERCAR,70,134.098,GF,
009,HYPERCAR,71,164.235,GF,
009,HYPERCAR,72,302.677,GF,69.784
