car,class,lap,lap_time,flags,pit_time
007,HYPERCAR,1,95.343,GF,
007,HYPERCAR,2,92.508,GF,
007,HYPERCAR,3,92.372,GF,
007,HYPERCAR,4,91.467,GF,
007,HYPERCAR,5,91.915,GF,
007,HYPERCAR,6,91.909,GF,
007,HYPERCAR,7,91.98,GF,
007,HYPERCAR,8,92.448,GF,
007,HYPERCAR,9,110.866,GF,
007,HYPERCAR,10,93.638,GF,
007,HYPERCAR,11,174.528,FCY,
007,HYPERCAR,12,178.481,GF,
007,HYPERCAR,13,93.932,GF,
007,HYPERCAR,14,92.011,GF,
007,HYPERCAR,15,92.124,GF,
007,HYPERCAR,16,92.122,GF,
007,HYPERCAR,17,92.145,GF,
007,HYPERCAR,18,92.552,GF,
007,HYPERCAR,19,92.148,GF,
007,HYPERCAR,20,93.791,GF,
007,HYPERCAR,21,94.128,GF,
007,HYPERCAR,22,95.848,GF,
007,HYPERCAR,23,93.747,GF,
007,HYPERCAR,24,93.679,GF,
007,HYPERCAR,25,93.177,GF,
007,HYPERCAR,26,118.136,GF,
007,HYPERCAR,27,204.33,GF,
007,HYPERCAR,28,250.771,SF,93.834
007,HYPERCAR,29,117.723,SF,
007,HYPERCAR,30,198.326,SF,
007,HYPERCAR,31,183.928,SF,
007,HYPERCAR,32,117.129,GF,
007,HYPERCAR,33,93.726,GF,
007,HYPERCAR,34,93.094,GF,
007,HYPERCAR,35,93.296,GF,
007,HYPERCAR,36,92.608,GF,
007,HYPERCAR,37,92.516,GF,
007,HYPERCAR,38,92.807,GF,
007,HYPERCAR,39,92.896,GF,
007,HYPERCAR,40,94.614,GF,
007,HYPERCAR,41,95.175,GF,
007,HYPERCAR,42,92.447,GF,
007,HYPERCAR,43,93.238,GF,
007,HYPERCAR,44,97.892,GF,
007,HYPERCAR,45,117.53,GF,29.589
007,HYPERCAR,46,92.112,GF,
007,HYPERCAR,47,92.216,GF,
007,HYPERCAR,48,92.16,GF,
007,HYPERCAR,49,93.252,GF,
007,HYPERCAR,50,92.642,GF,
007,HYPERCAR,51,92.273,GF,
007,HYPERCAR,52,93.016,GF,
007,HYPERCAR,53,93.73,GF,
007,HYPERCAR,54,92.062,GF,
007,HYPERCAR,55,92.177,GF,
007,HYPERCAR,56,91.967,GF,
007,HYPERCAR,57,92.693,GF,
007,HYPERCAR,58,91.933,GF,
007,HYPERCAR,59,92.881,GF,
007,HYPERCAR,60,93.537,GF,
007,HYPERCAR,61,93.125,GF,
007,HYPERCAR,62,93.535,GF,
007,HYPERCAR,63,92.14,GF,
007,HYPERCAR,64,92.369,GF,
007,HYPERCAR,65,92.178,GF,
007,HYPERCAR,66,94.318,GF,
007,HYPERCAR,67,97.55,GF,
007,HYPERCAR,68,183.587,GF,87.052
007,HYPERCAR,69,93.073,GF,
007,HYPERCAR,70,175.828,GF,
007,HYPERCAR,71,202.946,GF,
007,HYPERCAR,72,166.807,SF,
007,HYPERCAR,73,123.218,SF,
007,HYPERCAR,74,195.341,SF,
007,HYPERCAR,75,203.373,SF,
007,HYPERCAR,76,204.604,SF,
007,HYPERCAR,77,206.819,SF,
007,HYPERCAR,78,204.909,SF,
007,HYPERCAR,79,195.096,SF,
007,HYPERCAR,80,188.437,SF,
007,HYPERCAR,81,118.093,GF,
007,HYPERCAR,82,94.49,GF,
007,HYPERCAR,83,92.242,GF,
007,HYPERCAR,84,91.201,GF,
007,HYPERCAR,85,91.387,GF,
007,HYPERCAR,86,91.588,GF,
007,HYPERCAR,87,91.419,GF,
007,HYPERCAR,88,91.611,GF,
007,HYPERCAR,89,91.833,GF,
007,HYPERCAR,90,91.798,GF,
007,HYPERCAR,91,93.406,GF,
007,HYPERCAR,92,93.13,GF,
007,HYPERCAR,93,91.994,GF,
007,HYPERCAR,94,91.787,GF,
007,HYPERCAR,95,92.06,GF,
007,HYPERCAR,96,92.11,GF,
007,HYPERCAR,97,92.394,GF,
007,HYPERCAR,98,92.007,GF,
007,HYPERCAR,99,93.221,GF,
007,HYPERCAR,100,93.678,GF,
007,HYPERCAR,101,93.68,GF,
007,HYPERCAR,102,94.285,GF,
007,HYPERCAR,103,92.969,GF,
007,HYPERCAR,104,92.407,GF,
007,HYPERCAR,105,93.283,GF,
007,HYPERCAR,106,93.067,GF,
007,HYPERCAR,107,93.625,GF,
007,HYPERCAR,108,92.622,GF,
007,HYPERCAR,109,94.433,GF,
007,HYPERCAR,110,92.542,GF,
007,HYPERCAR,111,94.666,GF,
007,HYPERCAR,112,94.534,GF,
007,HYPERCAR,113,98.66,GF,
009,HYPERCAR,1,91.79,GF,
009,HYPERCAR,2,91.132,GF,
009,HYPERCAR,3,91.023,GF,
009,HYPERCAR,4,91.012,GF,
009,HYPERCAR,5,91.316,GF,
009,HYPERCAR,6,90.907,GF,
009,HYPERCAR,7,91.34,GF,
009,HYPERCAR,8,93.74,GF,
009,HYPERCAR,9,95.672,GF,
009,HYPERCAR,10,91.723,GF,
009,HYPERCAR,11,140.135,FCY,
009,HYPERCAR,12,202.653,FCY,
009,HYPERCAR,13,107.445,GF,
009,HYPERCAR,14,91.71,GF,
009,HYPERCAR,15,91.913,GF,
009,HYPERCAR,16,92.422,GF,
