car,class,lap,lap_time,flags,pit_time
007,HYPERCAR,1,99.473,GF,
007,HYPERCAR,2,95.434,GF,
007,HYPERCAR,3,94.529,GF,
007,HYPERCAR,4,94.186,GF,
007,HYPERCAR,5,93.964,GF,
007,HYPERCAR,6,94.15,GF,
007,HYPERCAR,7,94.176,GF,
007,HYPERCAR,8,94.854,GF,
007,HYPERCAR,9,97.745,GF,
007,HYPERCAR,10,99.133,GF,
007,HYPERCAR,11,94.249,GF,
007,HYPERCAR,12,94.337,GF,
007,HYPERCAR,13,94.364,GF,
007,HYPERCAR,14,94.231,GF,
007,HYPERCAR,15,94.004,GF,
007,HYPERCAR,16,94.336,GF,
007,HYPERCAR,17,94.35,GF,
007,HYPERCAR,18,95.111,GF,
007,HYPERCAR,19,96.408,GF,
007,HYPERCAR,20,97.313,GF,
007,HYPERCAR,21,94.946,GF,
007,HYPERCAR,22,94.243,GF,
007,HYPERCAR,23,93.728,GF,
007,HYPERCAR,24,93.766,GF,
007,HYPERCAR,25,93.774,GF,
007,HYPERCAR,26,94.215,GF,
007,HYPERCAR,27,94.053,GF,
007,HYPERCAR,28,96.142,GF,
007,HYPERCAR,29,95.766,GF,
007,HYPERCAR,30,96.102,GF,
007,HYPERCAR,31,93.425,GF,
007,HYPERCAR,32,93.243,GF,
007,HYPERCAR,33,154.64,GF,
007,HYPERCAR,34,109.65,GF,77.113
007,HYPERCAR,35,94.571,GF,
007,HYPERCAR,36,95.567,GF,
007,HYPERCAR,37,96.732,GF,
007,HYPERCAR,38,160.409,GF,
007,HYPERCAR,39,223.532,GF,42.635
007,HYPERCAR,40,216.764,SF,
007,HYPERCAR,41,144.214,SF,
007,HYPERCAR,42,201.29,SF,
007,HYPERCAR,43,149.753,GF,
007,HYPERCAR,44,96.59,GF,
007,HYPERCAR,45,94.312,GF,
007,HYPERCAR,46,93.611,GF,
007,HYPERCAR,47,93.603,GF,
007,HYPERCAR,48,93.742,GF,
007,HYPERCAR,49,94.132,GF,
007,HYPERCAR,50,94.161,GF,
007,HYPERCAR,51,94.019,GF,
007,HYPERCAR,52,96.884,GF,
007,HYPERCAR,53,96.01,GF,
007,HYPERCAR,54,95.67,GF,
007,HYPERCAR,55,94.703,GF,
007,HYPERCAR,56,94.023,GF,
007,HYPERCAR,57,94.504,GF,
007,HYPERCAR,58,94.576,GF,
007,HYPERCAR,59,95.533,GF,
