car,class,lap,lap_time,flags,pit_time
007,HYPERCAR,1,131.027,GF,
007,HYPERCAR,2,125.601,GF,
007,HYPERCAR,3,125.589,GF,
007,HYPERCAR,4,125.717,GF,
007,HYPERCAR,5,126.2,GF,
007,HYPERCAR,6,125.732,GF,
007,HYPERCAR,7,151.013,SF,
007,HYPERCAR,8,285.752,SF,
007,HYPERCAR,9,187.525,SF,
007,HYPERCAR,10,176.668,GF,
007,HYPERCAR,11,127.012,GF,
007,HYPERCAR,12,126.413,GF,
007,HYPERCAR,13,126.446,GF,
007,HYPERCAR,14,126.535,GF,
007,HYPERCAR,15,127.073,GF,
007,HYPERCAR,16,126.217,GF,
007,HYPERCAR,17,127.377,GF,
007,HYPERCAR,18,130.365,GF,
007,HYPERCAR,19,130.208,GF,
007,HYPERCAR,20,126.884,GF,
007,HYPERCAR,21,126.52,GF,
007,HYPERCAR,22,125.847,GF,
007,HYPERCAR,23,125.782,GF,
007,HYPERCAR,24,124.739,GF,
007,HYPERCAR,25,126.288,GF,
007,HYPERCAR,26,126.454,GF,
007,HYPERCAR,27,135.26,GF,
007,HYPERCAR,28,184.074,GF,67.766
007,HYPERCAR,29,126.475,GF,
007,HYPERCAR,30,126.417,GF,
007,HYPERCAR,31,126.816,GF,
007,HYPERCAR,32,126.43,GF,
007,HYPERCAR,33,126.394,GF,
007,HYPERCAR,34,127.229,GF,
007,HYPERCAR,35,132.851,GF,
007,HYPERCAR,36,127.449,GF,
007,HYPERCAR,37,128.69,GF,
007,HYPERCAR,38,126.573,GF,
007,HYPERCAR,39,126.84,GF,
007,HYPERCAR,40,125.886,GF,
007,HYPERCAR,41,128.494,GF,
007,HYPERCAR,42,126.222,GF,
007,HYPERCAR,43,125.785,GF,
007,HYPERCAR,44,129.387,GF,
007,HYPERCAR,45,126.174,GF,
007,HYPERCAR,46,126.826,GF,
007,HYPERCAR,47,127.724,GF,
007,HYPERCAR,48,126.835,GF,
007,HYPERCAR,49,126.328,GF,
007,HYPERCAR,50,125.249,GF,
007,HYPERCAR,51,125.952,GF,
007,HYPERCAR,52,133.711,GF,
007,HYPERCAR,53,203.918,GF,80.144
007,HYPERCAR,54,127.736,GF,
007,HYPERCAR,55,125.735,GF,
007,HYPERCAR,56,125.295,GF,
007,HYPERCAR,57,126.27,GF,
007,HYPERCAR,58,125.881,GF,
007,HYPERCAR,59,126.137,GF,
007,HYPERCAR,60,126.407,GF,
007,HYPERCAR,61,127.467,GF,
007,HYPERCAR,62,126.268,GF,
007,HYPERCAR,63,126.408,GF,
007,HYPERCAR,64,127.712,GF,
007,HYPERCAR,65,126.257,GF,
007,HYPERCAR,66,126.16,GF,
007,HYPERCAR,67,128.179,GF,
007,HYPERCAR,68,126.733,GF,
007,HYPERCAR,69,126.86,GF,
007,HYPERCAR,70,126.187,GF,
007,HYPERCAR,71,126.837,GF,
007,HYPERCAR,72,127.188,GF,
007,HYPERCAR,73,127.928,GF,
007,HYPERCAR,74,127.659,GF,
007,HYPERCAR,75,212.574,GF,
007,HYPERCAR,76,126.11,GF,
007,HYPERCAR,77,133.87,GF,
007,HYPERCAR,78,187.758,GF,69.355
007,HYPERCAR,79,127.557,GF,
007,HYPERCAR,80,127.101,GF,
007,HYPERCAR,81,127.599,GF,
007,HYPERCAR,82,127.971,GF,
007,HYPERCAR,83,128.833,GF,
007,HYPERCAR,84,127.661,GF,
007,HYPERCAR,85,126.548,GF,
007,HYPERCAR,86,127.339,GF,
007,HYPERCAR,87,126.754,GF,
007,HYPERCAR,88,127.118,GF,
007,HYPERCAR,89,126.512,GF,
007,HYPERCAR,90,126.652,GF,
007,HYPERCAR,91,128.82,GF,
007,HYPERCAR,92,127.083,GF,
007,HYPERCAR,93,127.442,GF,
007,HYPERCAR,94,127.964,GF,
007,HYPERCAR,95,128.028,GF,
007,HYPERCAR,96,127.44,GF,
007,HYPERCAR,97,128.841,GF,
007,HYPERCAR,98,127.88,GF,
007,HYPERCAR,99,127.105,GF,
007,HYPERCAR,100,125.897,GF,
007,HYPERCAR,101,133.084,GF,
007,HYPERCAR,102,207.053,GF,82.735
007,HYPERCAR,103,127.947,GF,
007,HYPERCAR,104,197.917,GF,
007,HYPERCAR,105,318.276,GF,
007,HYPERCAR,106,293.198,SF,33.294
007,HYPERCAR,107,165.824,SF,
007,HYPERCAR,108,261.651,SF,
007,HYPERCAR,109,267.306,SF,
007,HYPERCAR,110,186.985,GF,
007,HYPERCAR,111,127.73,GF,
007,HYPERCAR,112,126.21,GF,
007,HYPERCAR,113,125.96,GF,
007,HYPERCAR,114,125.87,GF,
007,HYPERCAR,115,126.657,GF,
007,HYPERCAR,116,126.495,GF,
007,HYPERCAR,117,126.443,GF,
007,HYPERCAR,118,126.136,GF,
007,HYPERCAR,119,129.498,GF,
007,HYPERCAR,120,131.214,GF,
007,HYPERCAR,121,127.526,GF,
007,HYPERCAR,122,125.951,GF,
007,HYPERCAR,123,126.165,GF,
007,HYPERCAR,124,126.75,GF,
007,HYPERCAR,125,126.536,GF,
007,HYPERCAR,126,126.703,GF,
007,HYPERCAR,127,125.121,GF,
007,HYPERCAR,128,124.453,GF,
007,HYPERCAR,129,127.306,GF,
007,HYPERCAR,130,128.882,GF,
007,HYPERCAR,131,200.019,GF,
007,HYPERCAR,132,317.857,GF,
007,HYPERCAR,133,321.269,SF,83.259
007,HYPERCAR,134,282.209,SF,
007,HYPERCAR,135,240.691,SF,
007,HYPERCAR,136,182.828,GF,
007,HYPERCAR,137,139.157,SF,
007,HYPERCAR,138,263.796,SF,
007,HYPERCAR,139,223.46,GF,
007,HYPERCAR,140,128.552,GF,
007,HYPERCAR,141,124.334,GF,
007,HYPERCAR,142,124.757,GF,
007,HYPERCAR,143,125.289,GF,
007,HYPERCAR,144,126.283,GF,
007,HYPERCAR,145,125.636,GF,
007,HYPERCAR,146,125.332,GF,
007,HYPERCAR,147,125.685,GF,
007,HYPERCAR,148,129.872,GF,
007,HYPERCAR,149,128.495,GF,
007,HYPERCAR,150,126.848,GF,
007,HYPERCAR,151,126.09,FF,
009,HYPERCAR,1,128.785,GF,
009,HYPERCAR,2,125.694,GF,
009,HYPERCAR,3,125.404,GF,
009,HYPERCAR,4,125.453,GF,
009,HYPERCAR,5,125.729,GF,
009,HYPERCAR,6,125.641,GF,
009,HYPERCAR,7,150.191,SF,
009,HYPERCAR,8,286.197,SF,
009,HYPERCAR,9,186.855,SF,
009,HYPERCAR,10,178.921,GF,
009,HYPERCAR,11,126.726,GF,
009,HYPERCAR,12,126.097,GF,
009,HYPERCAR,13,125.622,GF,
009,HYPERCAR,14,125.934,GF,
009,HYPERCAR,15,125.908,GF,
009,HYPERCAR,16,126.182,GF,
009,HYPERCAR,17,127.694,GF,
009,HYPERCAR,18,130.193,GF,
009,HYPERCAR,19,127.826,GF,
009,HYPERCAR,20,126.424,GF,
009,HYPERCAR,21,125.43,GF,
009,HYPERCAR,22,125.415,GF,
009,HYPERCAR,23,125.803,GF,
009,HYPERCAR,24,125.754,GF,
009,HYPERCAR,25,126.418,GF,
009,HYPERCAR,26,134.226,GF,
009,HYPERCAR,27,182.576,GF,67.115
009,HYPERCAR,28,126.889,GF,
009,HYPERCAR,29,128.288,GF,
009,HYPERCAR,30,127.36,GF,
009,HYPERCAR,31,126.446,GF,
009,HYPERCAR,32,126.203,GF,
009,HYPERCAR,33,127.806,GF,
009,HYPERCAR,34,127.667,GF,
009,HYPERCAR,35,128.64,GF,
009,HYPERCAR,36,127.182,GF,
009,HYPERCAR,37,126.361,GF,
009,HYPERCAR,38,126.14,GF,
009,HYPERCAR,39,127.385,GF,
009,HYPERCAR,40,126.589,GF,
009,HYPERCAR,41,125.987,GF,
009,HYPERCAR,42,126.557,GF,
009,HYPERCAR,43,127.89,GF,
009,HYPERCAR,44,126.672,GF,
009,HYPERCAR,45,128.194,GF,
009,HYPERCAR,46,127.246,GF,
009,HYPERCAR,47,127.027,GF,
009,HYPERCAR,48,126.46,GF,
009,HYPERCAR,49,126.526,GF,
009,HYPERCAR,50,127.229,GF,
009,HYPERCAR,51,134.273,GF,
009,HYPERCAR,52,212.187,GF,86.903
009,HYPERCAR,53,127.482,GF,
009,HYPERCAR,54,127.642,GF,
009,HYPERCAR,55,125.441,GF,
009,HYPERCAR,56,124.594,GF,
009,HYPERCAR,57,126.03,GF,
009,HYPERCAR,58,125.129,GF,
009,HYPERCAR,59,125.653,GF,
009,HYPERCAR,60,125.625,GF,
009,HYPERCAR,61,126.132,GF,
009,HYPERCAR,62,128.983,GF,
009,HYPERCAR,63,126.89,GF,
009,HYPERCAR,64,128.063,GF,
009,HYPERCAR,65,127.03,GF,
009,HYPERCAR,66,125.626,GF,
009,HYPERCAR,67,126.41,GF,
009,HYPERCAR,68,125.692,GF,
009,HYPERCAR,69,126.3,GF,
009,HYPERCAR,70,126.521,GF,
009,HYPERCAR,71,129.356,GF,
009,HYPERCAR,72,126.308,GF,
009,HYPERCAR,73,129.329,GF,
009,HYPERCAR,74,126.816,GF,
009,HYPERCAR,75,210.745,GF,
009,HYPERCAR,76,133.857,GF,
009,HYPERCAR,77,173.451,GF,55.398
009,HYPERCAR,78,128.715,GF,
009,HYPERCAR,79,125.837,GF,
009,HYPERCAR,80,126.128,GF,
009,HYPERCAR,81,126.992,GF,
009,HYPERCAR,82,126.839,GF,
009,HYPERCAR,83,127.659,GF,
009,HYPERCAR,84,126.949,GF,
009,HYPERCAR,85,127.372,GF,
009,HYPERCAR,86,126.219,GF,
009,HYPERCAR,87,125.287,GF,
009,HYPERCAR,88,125.213,GF,
009,HYPERCAR,89,127.035,GF,
009,HYPERCAR,90,126.377,GF,
009,HYPERCAR,91,128.724,GF,
009,HYPERCAR,92,126.088,GF,
009,HYPERCAR,93,135.077,GF,
009,HYPERCAR,94,205.41,GF,81.619
009,HYPERCAR,95,127.23,GF,
009,HYPERCAR,96,126.421,GF,
009,HYPERCAR,97,127.815,GF,
009,HYPERCAR,98,127.161,GF,
009,HYPERCAR,99,126.973,GF,
009,HYPERCAR,100,126.032,GF,
009,HYPERCAR,101,127.155,GF,
009,HYPERCAR,102,125.436,GF,
009,HYPERCAR,103,124.637,GF,
009,HYPERCAR,104,138.621,GF,
009,HYPERCAR,105,318.276,GF,
009,HYPERCAR,106,338.924,SF,46.221
009,HYPERCAR,107,195.109,SF,
009,HYPERCAR,108,276.586,SF,
009,HYPERCAR,109,267.92,SF,
009,HYPERCAR,110,189.355,GF,
009,HYPERCAR,111,127.863,GF,
009,HYPERCAR,112,125.651,GF,
009,HYPERCAR,113,124.989,GF,
009,HYPERCAR,114,125.81,GF,
009,HYPERCAR,115,126.301,GF,
009,HYPERCAR,116,125.862,GF,
009,HYPERCAR,117,125.785,GF,
009,HYPERCAR,118,126.556,GF,
009,HYPERCAR,119,127.833,GF,
009,HYPERCAR,120,132.278,GF,
009,HYPERCAR,121,126.203,GF,
009,HYPERCAR,122,126.084,GF,
009,HYPERCAR,123,125.698,GF,
009,HYPERCAR,124,126.168,GF,
009,HYPERCAR,125,126.142,GF,
009,HYPERCAR,126,126.17,GF,
009,HYPERCAR,127,125.712,GF,
009,HYPERCAR,128,126.484,GF,
009,HYPERCAR,129,130.173,GF,
009,HYPERCAR,130,128.692,GF,
009,HYPERCAR,131,191.93,GF,
009,HYPERCAR,132,318.321,GF,
009,HYPERCAR,133,328.45,SF,81.618
009,HYPERCAR,134,283.047,SF,
009,HYPERCAR,135,240.776,SF,
009,HYPERCAR,136,178.336,GF,
10,LMGT3,1,153.143,GF,
10,LMGT3,2,141.606,GF,
10,LMGT3,3,141.18,GF,
10,LMGT3,4,141.7,GF,
10,LMGT3,5,141.996,GF,
10,LMGT3,6,145.026,SF,
10,LMGT3,7,183.249,SF,
10,LMGT3,8,165.87,SF,
10,LMGT3,9,190.776,SF,
10,LMGT3,10,166.144,GF,
10,LMGT3,11,144.49,GF,
10,LMGT3,12,142.292,GF,
10,LMGT3,13,143.147,GF,
10,LMGT3,14,146.471,GF,
10,LMGT3,15,143.184,GF,
10,LMGT3,16,142.577,GF,
10,LMGT3,17,146.966,GF,
10,LMGT3,18,142.66,GF,
10,LMGT3,19,143.306,GF,
10,LMGT3,20,144.165,GF,
10,LMGT3,21,143.286,GF,
10,LMGT3,22,142.802,GF,
10,LMGT3,23,145.555,GF,
10,LMGT3,24,145.08,GF,
10,LMGT3,25,143.363,GF,
10,LMGT3,26,148.926,GF,
10,LMGT3,27,216.382,GF,80.46
10,LMGT3,28,143.218,GF,
10,LMGT3,29,142.425,GF,
10,LMGT3,30,142.851,GF,
10,LMGT3,31,143.107,GF,
10,LMGT3,32,143.701,GF,
10,LMGT3,33,143.188,GF,
10,LMGT3,34,142.453,GF,
10,LMGT3,35,141.841,GF,
10,LMGT3,36,143.348,GF,
10,LMGT3,37,142.803,GF,
10,LMGT3,38,142.135,GF,
10,LMGT3,39,144.625,GF,
10,LMGT3,40,144.203,GF,
10,LMGT3,41,143.421,GF,
10,LMGT3,42,144.61,GF,
10,LMGT3,43,144.597,GF,
10,LMGT3,44,152.275,GF,
10,LMGT3,45,203.539,GF,72.504
10,LMGT3,46,140.415,GF,
10,LMGT3,47,138.563,GF,
10,LMGT3,48,139.072,GF,
10,LMGT3,49,139.671,GF,
10,LMGT3,50,139.923,GF,
10,LMGT3,51,140.702,GF,
10,LMGT3,52,140.014,GF,
10,LMGT3,53,140.002,GF,
10,LMGT3,54,140.694,GF,
10,LMGT3,55,140.945,GF,
10,LMGT3,56,139.8,GF,
10,LMGT3,57,140.075,GF,
10,LMGT3,58,140.753,GF,
10,LMGT3,59,140.812,GF,
10,LMGT3,60,140.557,GF,
10,LMGT3,61,141.12,GF,
10,LMGT3,62,141.395,GF,
10,LMGT3,63,142.743,GF,
10,LMGT3,64,143.67,GF,
10,LMGT3,65,141.287,GF,
10,LMGT3,66,140.955,GF,
10,LMGT3,67,141.606,GF,
10,LMGT3,68,218.133,GF,
10,LMGT3,69,140.952,GF,
10,LMGT3,70,145.965,GF,
10,LMGT3,71,214.088,GF,82.486
10,LMGT3,72,140.438,GF,
10,LMGT3,73,140.111,GF,
10,LMGT3,74,140.685,GF,
10,LMGT3,75,140.013,GF,
10,LMGT3,76,142.153,GF,
10,LMGT3,77,139.777,GF,
10,LMGT3,78,139.195,GF,
10,LMGT3,79,139.636,GF,
10,LMGT3,80,139.894,GF,
10,LMGT3,81,139.554,GF,
10,LMGT3,82,139.694,GF,
10,LMGT3,83,139.585,GF,
10,LMGT3,84,140.113,GF,
