series,circuit,car_class,year,winner_car,fuel_range_laps,longest_stint,n_full_stints,n_stints,ran_fuel_limited
imsa,daytona,GTP,2023,1,34,34,5,31,True
imsa,daytona,GTP,2024,5,34,35,8,31,True
imsa,daytona,GTP,2025,6,34,35,6,32,True
imsa,daytona,GTP,2026,6,34,34,9,34,True
imsa,detroit,GTP,2024,1,58,50,0,2,False
imsa,detroit,GTP,2025,6,58,52,0,2,False
imsa,detroit,GTP,2026,6,58,36,0,4,False
imsa,indianapolis,GTP,2023,1,48,44,0,5,False
imsa,indianapolis,GTP,2024,6,48,66,1,9,True
imsa,indianapolis,GTP,2025,6,48,49,3,8,True
imsa,laguna_seca,GTP,2023,1,48,38,0,4,False
imsa,laguna_seca,GTP,2024,1,48,43,0,3,False
imsa,laguna_seca,GTP,2025,6,48,43,0,3,False
imsa,laguna_seca,GTP,2026,5,48,33,0,4,False
imsa,long_beach,GTP,2023,6,49,45,0,2,False
imsa,long_beach,GTP,2024,1,49,40,0,2,False
imsa,long_beach,GTP,2025,6,49,56,1,2,True
imsa,long_beach,GTP,2026,5,49,36,0,3,False
imsa,mosport,GTP,2023,5,45,43,1,4,True
imsa,road_america,GTP,2023,1,24,29,3,3,True
imsa,road_america,GTP,2024,5,24,32,1,3,True
imsa,road_america,GTP,2025,6,24,22,1,4,True
imsa,road_atlanta,GTP,2023,1,51,53,2,11,True
imsa,road_atlanta,GTP,2024,1,51,48,1,13,True
imsa,road_atlanta,GTP,2025,6,51,53,3,11,True
imsa,sebring,GTP,2023,25,31,31,4,17,True
imsa,sebring,GTP,2024,1,31,33,7,15,True
imsa,sebring,GTP,2025,5,31,32,8,15,True
imsa,sebring,GTP,2026,5,31,33,7,15,True
imsa,watkins_glen,GTP,2023,6,37,34,2,7,True
imsa,watkins_glen,GTP,2024,1,37,32,0,9,False
imsa,watkins_glen,GTP,2025,6,37,39,2,9,True
imsa,watkins_glen,GTP,2026,5,37,37,2,8,True
imsa,canadian_tire_motorsport_park,GTD,2026,12,52,52,1,3,True
imsa,daytona,GTD,2021,1,34,32,1,32,True
imsa,daytona,GTD,2022,16,34,34,10,28,True
imsa,daytona,GTD,2023,27,34,34,15,27,True
imsa,daytona,GTD,2024,21,34,32,6,30,True
imsa,daytona,GTD,2025,13,34,35,8,33,True
imsa,daytona,GTD,2026,13,34,57,7,27,True
imsa,indianapolis,GTD,2023,1,48,42,0,3,False
imsa,indianapolis,GTD,2024,13,48,45,1,8,True
imsa,indianapolis,GTD,2025,12,48,47,2,8,True
imsa,laguna_seca,GTD,2021,1,48,44,0,3,False
imsa,laguna_seca,GTD,2022,1,48,44,0,3,False
imsa,laguna_seca,GTD,2023,1,48,36,0,4,False
imsa,laguna_seca,GTD,2024,57,48,45,1,3,True
imsa,laguna_seca,GTD,2025,12,48,46,1,3,True
imsa,laguna_seca,GTD,2026,45,48,34,0,4,False
imsa,lime_rock,GTD,2021,1,75,52,0,2,False
imsa,lime_rock,GTD,2022,1,75,65,0,4,False
imsa,lime_rock,GTD,2023,1,75,68,0,5,False
imsa,long_beach,GTD,2021,1,49,47,1,2,True
imsa,long_beach,GTD,2022,1,49,40,0,2,False
imsa,long_beach,GTD,2023,1,49,47,1,2,True
imsa,long_beach,GTD,2024,13,49,39,0,2,False
imsa,long_beach,GTD,2025,12,49,45,0,2,False
imsa,long_beach,GTD,2026,12,49,41,0,2,False
imsa,mid_ohio,GTD,2021,1,53,47,0,3,False
imsa,mid_ohio,GTD,2022,1,53,52,1,3,True
imsa,mosport,GTD,2022,1,45,36,0,4,False
imsa,mosport,GTD,2023,1,45,48,1,3,True
imsa,mosport,GTD,2024,27,45,49,2,3,True
imsa,mosport,GTD,2025,12,45,37,0,4,False
imsa,road_america,GTD,2021,9,24,29,2,4,True
imsa,road_america,GTD,2022,1,24,20,0,5,False
imsa,road_america,GTD,2023,1,24,27,2,3,True
imsa,road_america,GTD,2024,12,24,35,1,4,True
imsa,road_america,GTD,2025,12,24,18,0,5,False
imsa,road_atlanta,GTD,2021,9,51,44,0,13,False
imsa,road_atlanta,GTD,2022,66,51,43,0,13,False
imsa,road_atlanta,GTD,2023,23,51,46,0,17,False
imsa,road_atlanta,GTD,2024,34,51,45,0,11,False
imsa,road_atlanta,GTD,2025,12,51,52,1,11,True
imsa,sebring,GTD,2021,9,31,35,6,13,True
imsa,sebring,GTD,2022,21,31,31,6,13,True
imsa,sebring,GTD,2023,1,31,39,7,12,True
imsa,sebring,GTD,2024,12,31,33,4,14,True
imsa,sebring,GTD,2025,12,31,33,8,12,True
imsa,sebring,GTD,2026,13,31,32,6,14,True
imsa,vir,GTD,2021,1,30,32,2,4,True
imsa,vir,GTD,2022,1,30,30,2,4,True
imsa,vir,GTD,2023,1,30,34,1,3,True
imsa,vir,GTD,2024,12,30,30,3,3,True
imsa,vir,GTD,2025,12,30,28,1,5,True
imsa,watkins_glen,GTD,2022,27,37,38,2,6,True
imsa,watkins_glen,GTD,2023,1,37,36,3,8,True
imsa,watkins_glen,GTD,2024,12,37,34,2,7,True
imsa,watkins_glen,GTD,2025,13,37,29,0,8,False
imsa,watkins_glen,GTD,2026,12,37,36,3,8,True
imsa,watkins_glen_240,GTD,2021,12,30,32,1,3,True
imsa,watkins_glen_6_hours,GTD,2021,1,34,33,2,8,True
imsa,canadian_tire_motorsport_park,GTDPRO,2026,1,52,51,1,3,True
imsa,daytona,GTDPRO,2022,2,34,35,15,28,True
imsa,daytona,GTDPRO,2023,3,34,34,17,28,True
imsa,daytona,GTDPRO,2024,62,34,36,8,30,True
imsa,daytona,GTDPRO,2025,1,34,37,14,28,True
imsa,daytona,GTDPRO,2026,1,34,53,13,22,True
imsa,detroit,GTDPRO,2024,1,58,58,1,2,True
imsa,detroit,GTDPRO,2025,3,58,57,1,2,True
imsa,detroit,GTDPRO,2026,1,58,60,1,2,True
imsa,indianapolis,GTDPRO,2023,3,48,42,0,3,False
imsa,indianapolis,GTDPRO,2024,1,48,54,1,13,True
imsa,indianapolis,GTDPRO,2025,1,48,44,0,8,False
imsa,laguna_seca,GTDPRO,2022,3,48,42,0,4,False
imsa,laguna_seca,GTDPRO,2023,9,48,41,0,6,False
imsa,laguna_seca,GTDPRO,2024,3,48,50,1,3,True
imsa,laguna_seca,GTDPRO,2025,77,48,46,1,3,True
imsa,laguna_seca,GTDPRO,2026,3,48,51,2,4,True
imsa,lime_rock,GTDPRO,2022,9,75,67,0,3,False
imsa,lime_rock,GTDPRO,2023,3,75,74,1,4,True
imsa,long_beach,GTDPRO,2022,3,49,30,0,3,False
imsa,long_beach,GTDPRO,2023,3,49,45,0,2,False
imsa,mosport,GTDPRO,2022,3,45,55,2,3,True
imsa,mosport,GTDPRO,2023,3,45,47,1,3,True
imsa,mosport,GTDPRO,2024,3,45,48,2,3,True
imsa,mosport,GTDPRO,2025,1,45,39,0,4,False
imsa,road_america,GTDPRO,2022,3,24,29,1,3,True
imsa,road_america,GTDPRO,2023,23,24,30,2,3,True
imsa,road_america,GTDPRO,2024,1,24,28,2,3,True
imsa,road_america,GTDPRO,2025,1,24,22,2,4,True
imsa,road_atlanta,GTDPRO,2022,3,51,46,0,13,False
imsa,road_atlanta,GTDPRO,2023,9,51,48,1,16,True
imsa,road_atlanta,GTDPRO,2024,3,51,53,2,12,True
imsa,road_atlanta,GTDPRO,2025,48,51,54,5,10,True
imsa,sebring,GTDPRO,2022,3,31,34,5,13,True
imsa,sebring,GTDPRO,2023,3,31,32,3,15,True
imsa,sebring,GTDPRO,2024,1,31,35,6,12,True
imsa,sebring,GTDPRO,2025,1,31,31,6,14,True
imsa,sebring,GTDPRO,2026,1,31,33,7,13,True
imsa,vir,GTDPRO,2022,3,30,30,2,4,True
imsa,vir,GTDPRO,2023,3,30,33,1,3,True
imsa,vir,GTDPRO,2024,1,30,34,2,3,True
imsa,vir,GTDPRO,2025,1,30,31,1,3,True
imsa,watkins_glen,GTDPRO,2022,25,37,38,1,6,True
imsa,watkins_glen,GTDPRO,2023,3,37,37,1,7,True
imsa,watkins_glen,GTDPRO,2024,1,37,32,0,12,False
imsa,watkins_glen,GTDPRO,2025,1,37,24,0,11,False
imsa,watkins_glen,GTDPRO,2026,1,37,37,3,6,True
wec,bahrain,HYPERCAR,2022,7,32,33,7,8,True
wec,bahrain,HYPERCAR,2023,7,32,32,8,8,True
wec,bahrain,HYPERCAR,2024,2,32,32,4,10,True
wec,bahrain,HYPERCAR,2025,7,32,31,2,16,True
wec,cota,HYPERCAR,2024,2,37,32,0,6,False
wec,cota,HYPERCAR,2025,5,37,44,2,4,True
wec,fuji,HYPERCAR,2022,7,46,39,0,6,False
wec,fuji,HYPERCAR,2023,6,46,40,0,6,False
wec,fuji,HYPERCAR,2024,6,46,44,2,6,True
wec,fuji,HYPERCAR,2025,5,46,43,1,7,True
wec,imola,HYPERCAR,2024,5,37,37,4,8,True
wec,imola,HYPERCAR,2025,5,37,38,3,7,True
wec,imola,HYPERCAR,2026,7,37,37,1,12,True
wec,interlagos,HYPERCAR,2024,5,43,43,4,6,True
wec,interlagos,HYPERCAR,2025,5,43,43,4,6,True
wec,le_mans,HYPERCAR,2022,7,13,13,29,33,True
wec,le_mans,HYPERCAR,2025,6,13,15,29,32,True
wec,le_mans,HYPERCAR,2026,7,13,16,26,60,True
wec,losail,HYPERCAR,2025,7,36,36,1,17,True
wec,monza,HYPERCAR,2022,8,30,30,4,8,True
wec,portimao,HYPERCAR,2023,8,37,40,5,6,True
