series_code,year,event,circuit_name,session,session_id,car,class,driver_name,driver_id,lap,stint_number,stint_lap,lap_time,lap_time_s1,lap_time_s2,lap_time_s3,pit_time,flags,est_tire_age,air_temp_f,track_temp_f,humidity_percent,raining,race_duration_minutes
wec,2024,Spa,Circuit de Spa-Francorchamps,race,897,11,HYPERCAR,Jean-Karl VERNAY,jean-karl vernay,1,1.0,0,139.047,41.856,63.464,33.727,,GF,0,71.42,85.82,41.0,False,360
wec,2024,Spa,Circuit de Spa-Francorchamps,race,897,11,HYPERCAR,Jean-Karl VERNAY,jean-karl vernay,2,1.0,1,129.856,36.568,60.086,33.202,,GF,0,71.78,86.0,41.0,False,360
wec,2024,Spa,Circuit de Spa-Francorchamps,race,897,11,HYPERCAR,Jean-Karl VERNAY,jean-karl vernay,3,1.0,2,129.47,36.254,60.045,33.171,,GF,1,71.96,86.36,40.0,False,360
wec,2024,Spa,Circuit de Spa-Francorchamps,race,897,11,HYPERCAR,Jean-Karl VERNAY,jean-karl vernay,4,1.0,3,129.491,36.235,59.97,33.286,,GF,2,72.14,86.54,40.0,False,360
wec,2024,Spa,Circuit de Spa-Francorchamps,race,897,11,HYPERCAR,Jean-Karl VERNAY,jean-karl vernay,5,1.0,4,129.705,36.431,60.008,33.266,,GF,3,72.14,86.9,40.0,False,360
wec,2024,Spa,Circuit de Spa-Francorchamps,race,897,11,HYPERCAR,Jean-Karl VERNAY,jean-karl vernay,6,1.0,5,130.302,36.366,60.306,33.63,,GF,4,72.14,86.9,40.0,False,360
wec,2024,Spa,Circuit de Spa-Francorchamps,race,897,11,HYPERCAR,Jean-Karl VERNAY,jean-karl vernay,7,1.0,6,131.665,36.607,61.275,33.783,,GF,5,72.14,87.26,40.0,False,360
wec,2024,Spa,Circuit de Spa-Francorchamps,race,897,11,HYPERCAR,Jean-Karl VERNAY,jean-karl vernay,8,1.0,7,132.04,36.691,61.448,33.901,,GF,6,72.32,87.26,40.0,False,360
wec,2024,Spa,Circuit de Spa-Francorchamps,race,897,11,HYPERCAR,Jean-Karl VERNAY,jean-karl vernay,9,1.0,8,134.458,36.807,62.954,34.697,,GF,7,72.5,87.08,39.0,False,360
wec,2024,Spa,Circuit de Spa-Francorchamps,race,897,11,HYPERCAR,Jean-Karl VERNAY,jean-karl vernay,10,1.0,9,306.415,93.11,127.896,85.409,,FCY,8,72.14,87.44,39.0,False,360
wec,2024,Spa,Circuit de Spa-Francorchamps,race,897,11,HYPERCAR,Jean-Karl VERNAY,jean-karl vernay,11,1.0,10,136.603,41.132,61.376,34.095,,GF,8,71.96,87.8,40.0,False,360
wec,2024,Spa,Circuit de Spa-Francorchamps,race,897,11,HYPERCAR,Jean-Karl VERNAY,jean-karl vernay,12,1.0,11,132.105,36.758,61.367,33.98,,GF,9,71.96,87.98,40.0,False,360
wec,2024,Spa,Circuit de Spa-Francorchamps,race,897,11,HYPERCAR,Jean-Karl VERNAY,jean-karl vernay,13,1.0,12,131.784,36.697,61.358,33.729,,GF,10,71.96,88.16,40.0,False,360
wec,2024,Spa,Circuit de Spa-Francorchamps,race,897,11,HYPERCAR,Jean-Karl VERNAY,jean-karl vernay,14,1.0,13,131.339,36.597,60.985,33.757,,GF,11,72.14,88.16,40.0,False,360
wec,2024,Spa,Circuit de Spa-Francorchamps,race,897,11,HYPERCAR,Jean-Karl VERNAY,jean-karl vernay,15,1.0,14,130.964,36.541,60.815,33.608,,GF,12,72.14,88.52,40.0,False,360
wec,2024,Spa,Circuit de Spa-Francorchamps,race,897,11,HYPERCAR,Jean-Karl VERNAY,jean-karl vernay,16,1.0,15,130.82,36.44,60.806,33.574,,GF,13,72.14,88.52,40.0,False,360
wec,2024,Spa,Circuit de Spa-Francorchamps,race,897,11,HYPERCAR,Jean-Karl VERNAY,jean-karl vernay,17,1.0,16,130.956,36.474,60.797,33.685,,GF,14,72.32,89.24,39.0,False,360
wec,2024,Spa,Circuit de Spa-Francorchamps,race,897,11,HYPERCAR,Jean-Karl VERNAY,jean-karl vernay,18,1.0,17,131.543,36.603,61.22,33.72,,GF,15,72.14,89.6,40.0,False,360
wec,2024,Spa,Circuit de Spa-Francorchamps,race,897,11,HYPERCAR,Jean-Karl VERNAY,jean-karl vernay,19,1.0,18,231.711,36.353,110.19,85.168,,FCY,16,72.14,89.96,40.0,False,360
wec,2024,Spa,Circuit de Spa-Francorchamps,race,897,11,HYPERCAR,Jean-Karl VERNAY,jean-karl vernay,20,1.0,19,210.24,101.709,74.42,34.111,,GF,16,72.14,90.14,40.0,False,360
wec,2024,Spa,Circuit de Spa-Francorchamps,race,897,11,HYPERCAR,Jean-Karl VERNAY,jean-karl vernay,21,1.0,20,132.9,36.938,62.294,33.668,,GF,17,72.68,90.68,40.0,False,360
wec,2024,Spa,Circuit de Spa-Francorchamps,race,897,11,HYPERCAR,Jean-Karl VERNAY,jean-karl vernay,22,1.0,21,133.806,36.624,63.274,33.908,,GF,18,72.86,90.86,39.0,False,360
wec,2024,Spa,Circuit de Spa-Francorchamps,race,897,11,HYPERCAR,Jean-Karl VERNAY,jean-karl vernay,23,1.0,22,133.044,37.743,61.526,33.775,,GF,19,73.04,90.5,39.0,False,360
wec,2024,Spa,Circuit de Spa-Francorchamps,race,897,11,HYPERCAR,Jean-Karl VERNAY,jean-karl vernay,24,1.0,23,130.15,36.369,60.558,33.223,,GF,20,73.22,90.68,39.0,False,360
wec,2024,Spa,Circuit de Spa-Francorchamps,race,897,11,HYPERCAR,Jean-Karl VERNAY,jean-karl vernay,25,1.0,24,130.935,36.629,60.733,33.573,,GF,21,73.22,91.04,39.0,False,360
wec,2024,Spa,Circuit de Spa-Francorchamps,race,897,11,HYPERCAR,Jean-Karl VERNAY,jean-karl vernay,26,1.0,25,199.679,38.049,61.482,100.148,,GF,22,73.04,91.22,39.0,False,360
wec,2024,Spa,Circuit de Spa-Francorchamps,race,897,11,HYPERCAR,Antonio Serravalle,antonio serravalle,27,2.0,0,157.8,56.783,66.37,34.647,83.12,GF,0,73.04,91.76,40.0,False,360
wec,2024,Spa,Circuit de Spa-Francorchamps,race,897,11,HYPERCAR,Antonio Serravalle,antonio serravalle,28,2.0,1,134.599,37.912,62.01,34.677,,GF,0,73.22,91.76,39.0,False,360
wec,2024,Spa,Circuit de Spa-Francorchamps,race,897,11,HYPERCAR,Antonio Serravalle,antonio serravalle,29,2.0,2,134.477,37.613,62.597,34.267,,GF,1,73.04,91.94,40.0,False,360
wec,2024,Spa,Circuit de Spa-Francorchamps,race,897,11,HYPERCAR,Antonio Serravalle,antonio serravalle,30,2.0,3,132.719,37.581,61.199,33.939,,GF,2,72.86,91.94,40.0,False,360
wec,2024,Spa,Circuit de Spa-Francorchamps,race,897,11,HYPERCAR,Antonio Serravalle,antonio serravalle,31,2.0,4,135.041,37.413,62.957,34.671,,GF,3,72.68,91.22,40.0,False,360
wec,2024,Spa,Circuit de Spa-Francorchamps,race,897,11,HYPERCAR,Antonio Serravalle,antonio serravalle,32,2.0,5,134.053,37.138,62.453,34.462,,GF,4,72.5,91.4,41.0,False,360
wec,2024,Spa,Circuit de Spa-Francorchamps,race,897,11,HYPERCAR,Antonio Serravalle,antonio serravalle,33,2.0,6,138.442,37.713,62.386,38.343,,GF,5,72.5,91.94,40.0,False,360
wec,2024,Spa,Circuit de Spa-Francorchamps,race,897,11,HYPERCAR,Antonio Serravalle,antonio serravalle,34,2.0,7,132.839,37.341,61.568,33.93,,GF,6,72.86,92.84,40.0,False,360
wec,2024,Spa,Circuit de Spa-Francorchamps,race,897,11,HYPERCAR,Antonio Serravalle,antonio serravalle,35,2.0,8,133.566,37.82,61.291,34.455,,GF,7,72.86,93.2,40.0,False,360
wec,2024,Spa,Circuit de Spa-Francorchamps,race,897,11,HYPERCAR,Antonio Serravalle,antonio serravalle,36,2.0,9,131.975,37.064,61.137,33.774,,GF,8,72.86,93.74,40.0,False,360
wec,2024,Spa,Circuit de Spa-Francorchamps,race,897,11,HYPERCAR,Antonio Serravalle,antonio serravalle,37,2.0,10,131.65,36.79,60.992,33.868,,GF,9,73.22,94.1,40.0,False,360
wec,2024,Spa,Circuit de Spa-Francorchamps,race,897,11,HYPERCAR,Antonio Serravalle,antonio serravalle,38,2.0,11,255.804,36.943,98.346,120.515,,GF,10,73.76,94.82,39.0,False,360
wec,2024,Spa,Circuit de Spa-Francorchamps,race,897,11,HYPERCAR,Antonio Serravalle,antonio serravalle,39,2.0,12,323.193,105.342,131.323,86.528,51.359,GF,0,73.4,94.64,40.0,False,360
wec,2024,Spa,Circuit de Spa-Francorchamps,race,897,11,HYPERCAR,Antonio Serravalle,antonio serravalle,40,2.0,13,265.368,103.082,119.923,42.363,,SF,0,73.22,95.36,40.0,False,360
wec,2024,Spa,Circuit de Spa-Francorchamps,race,897,11,HYPERCAR,Antonio Serravalle,antonio serravalle,41,2.0,14,158.294,44.783,73.247,40.264,,SF,0,72.86,95.54,40.0,False,360
wec,2024,Spa,Circuit de Spa-Francorchamps,race,897,11,HYPERCAR,Antonio Serravalle,antonio serravalle,42,2.0,15,193.619,43.535,73.797,76.287,,SF,0,73.04,96.08,40.0,False,360
wec,2024,Spa,Circuit de Spa-Francorchamps,race,897,11,HYPERCAR,Antonio Serravalle,antonio serravalle,43,2.0,16,305.638,99.36,124.587,81.691,,SF,0,73.76,96.26,40.0,False,360
wec,2024,Spa,Circuit de Spa-Francorchamps,race,897,11,HYPERCAR,Antonio Serravalle,antonio serravalle,44,2.0,17,296.854,99.772,112.206,84.876,,SF,0,74.48,96.08,40.0,False,360
