series,circuit,held_out,train_median_s,test_median_s,rmse_s,n_test_events
imsa,Daytona,2023,31.98,30.46,6.26,163
imsa,Daytona,2024,30.78,32.39,5.98,191
imsa,Daytona,2025,31.06,35.71,11.38,190
imsa,Daytona,2026,32.38,28.54,5.71,170
imsa,Detroit,2024,7.92,6.08,3.39,10
imsa,Detroit,2025,7.6,7.38,2.34,11
imsa,Detroit,2026,6.48,8.05,2.61,15
imsa,Indianapolis,2023,72.04,68.66,23.69,13
imsa,Indianapolis,2024,71.67,71.87,28.75,20
imsa,Indianapolis,2025,68.81,72.04,21.61,42
imsa,Laguna Seca,2023,11.87,14.53,3.87,5
imsa,Laguna Seca,2024,11.66,13.71,4.14,14
imsa,Laguna Seca,2025,11.9,12.0,4.84,26
imsa,Laguna Seca,2026,12.31,10.44,4.43,21
imsa,Long Beach,2023,49.23,57.25,19.42,9
imsa,Long Beach,2024,50.81,53.56,9.4,9
imsa,Long Beach,2025,52.13,66.65,14.52,1
imsa,Long Beach,2026,56.8,44.67,17.68,10
imsa,Road America,2023,52.67,76.69,25.04,18
imsa,Road America,2024,76.2,57.1,31.87,4
imsa,Road America,2025,75.16,50.49,28.37,4
imsa,Road Atlanta,2023,71.42,72.92,17.91,33
imsa,Road Atlanta,2024,72.08,71.13,18.72,78
imsa,Road Atlanta,2025,71.49,71.5,16.47,89
imsa,Sebring,2023,68.98,72.09,20.85,49
imsa,Sebring,2024,69.41,68.33,16.6,60
imsa,Sebring,2025,69.18,69.24,14.8,117
imsa,Sebring,2026,69.36,69.01,16.01,77
imsa,Watkins Glen,2023,47.71,60.63,21.83,43
imsa,Watkins Glen,2024,49.9,62.59,26.1,22
imsa,Watkins Glen,2025,54.55,41.25,22.31,9
imsa,Watkins Glen,2026,60.14,37.31,24.25,15
imsa,Daytona,2021,75.54,76.55,27.93,360
imsa,Daytona,2022,74.8,86.4,28.64,236
imsa,Daytona,2023,75.31,76.55,25.18,340
imsa,Daytona,2024,76.83,72.51,26.77,378
imsa,Daytona,2025,74.91,77.99,24.37,317
imsa,Daytona,2026,76.51,71.55,27.36,228
imsa,Indianapolis,2023,23.14,22.94,5.83,18
imsa,Indianapolis,2024,22.8,36.96,19.12,37
imsa,Indianapolis,2025,27.44,22.47,5.93,37
imsa,Laguna Seca,2021,8.45,7.11,2.44,25
imsa,Laguna Seca,2022,7.88,7.34,3.83,17
imsa,Laguna Seca,2023,7.84,7.54,2.87,19
imsa,Laguna Seca,2024,7.63,7.93,2.75,24
imsa,Laguna Seca,2025,7.26,9.24,3.74,35
imsa,Laguna Seca,2026,8.0,6.34,3.35,27
imsa,Lime Rock,2021,8.78,8.1,1.61,9
imsa,Lime Rock,2022,7.92,8.95,3.43,17
imsa,Lime Rock,2023,8.86,7.73,2.77,11
imsa,Long Beach,2021,54.58,55.72,13.32,17
imsa,Long Beach,2022,54.43,56.56,14.09,15
imsa,Long Beach,2023,54.42,56.82,11.09,14
imsa,Long Beach,2024,54.58,54.74,11.71,17
imsa,Long Beach,2025,55.35,52.54,9.82,16
imsa,Long Beach,2026,54.87,33.99,21.26,4
imsa,Mid-Ohio,2021,45.78,52.18,13.21,13
imsa,Mid-Ohio,2022,52.18,45.78,19.15,20
imsa,Mosport,2022,11.4,12.81,1.58,5
imsa,Mosport,2023,11.54,11.5,2.27,16
imsa,Mosport,2024,11.29,12.15,4.28,16
imsa,Mosport,2025,11.78,10.83,1.93,24
imsa,Road America,2021,55.97,66.31,18.62,18
imsa,Road America,2022,56.17,98.17,40.32,8
imsa,Road America,2023,63.24,55.97,11.38,30
imsa,Road America,2024,61.74,51.63,23.96,17
imsa,Road America,2025,61.62,35.23,30.88,4
imsa,Road Atlanta,2021,65.17,72.54,19.59,46
imsa,Road Atlanta,2022,65.7,66.33,19.58,55
imsa,Road Atlanta,2023,66.87,58.41,27.44,62
imsa,Road Atlanta,2024,65.5,66.22,20.55,125
imsa,Road Atlanta,2025,65.53,66.24,18.33,78
imsa,Sebring,2021,23.87,28.32,21.63,65
imsa,Sebring,2022,25.08,24.06,9.3,101
imsa,Sebring,2023,24.83,24.61,8.62,72
imsa,Sebring,2024,24.32,28.61,29.67,96
imsa,Sebring,2025,24.96,23.3,4.66,82
imsa,Sebring,2026,24.42,40.62,31.91,104
imsa,VIR,2021,5.77,12.63,7.5,32
imsa,VIR,2022,6.16,4.69,1.78,24
imsa,VIR,2023,5.63,6.1,1.66,26
imsa,VIR,2024,5.49,6.33,2.7,30
imsa,VIR,2025,5.88,4.9,2.06,20
imsa,Watkins Glen,2022,13.42,14.27,7.89,26
imsa,Watkins Glen,2023,13.2,14.32,3.37,47
imsa,Watkins Glen,2024,13.42,14.3,8.54,24
imsa,Watkins Glen,2025,13.61,13.17,9.81,18
imsa,Watkins Glen,2026,14.17,12.69,4.74,49
imsa,Daytona,2022,28.7,38.49,14.95,142
imsa,Daytona,2023,29.72,30.33,4.19,122
imsa,Daytona,2024,31.28,27.19,5.52,149
imsa,Daytona,2025,29.37,31.78,14.96,139
imsa,Daytona,2026,30.63,27.2,5.25,127
imsa,Detroit,2024,7.54,12.28,9.21,12
imsa,Detroit,2025,9.04,6.98,3.46,14
imsa,Detroit,2026,8.09,8.62,2.12,10
imsa,Indianapolis,2023,62.37,42.04,25.7,7
imsa,Indianapolis,2024,51.58,67.54,29.95,23
imsa,Indianapolis,2025,51.58,61.53,23.46,26
imsa,Laguna Seca,2022,8.32,8.6,1.91,8
imsa,Laguna Seca,2023,8.46,5.41,3.14,5
imsa,Laguna Seca,2024,8.38,8.64,2.29,12
imsa,Laguna Seca,2025,8.22,8.5,2.27,25
imsa,Laguna Seca,2026,8.41,7.74,3.09,19
imsa,Lime Rock,2022,36.0,30.71,17.81,10
imsa,Lime Rock,2023,30.71,36.0,10.77,9
imsa,Long Beach,2022,56.0,56.84,15.46,5
imsa,Long Beach,2023,56.84,56.0,4.59,5
imsa,Mosport,2022,38.19,10.85,26.38,6
imsa,Mosport,2023,37.66,35.57,15.39,7
imsa,Mosport,2024,33.19,45.46,16.18,13
imsa,Mosport,2025,36.37,40.58,13.33,19
imsa,Road America,2022,48.64,358.31,275.7,3
imsa,Road America,2023,47.37,53.58,14.02,12
imsa,Road America,2024,52.33,18.01,30.84,5
imsa,Road America,2025,52.33,48.15,20.04,7
imsa,Road Atlanta,2022,66.61,67.48,12.03,33
imsa,Road Atlanta,2023,67.48,61.69,27.15,23
imsa,Road Atlanta,2024,66.42,67.32,17.15,79
imsa,Road Atlanta,2025,65.8,67.67,21.16,57
imsa,Sebring,2022,66.7,67.26,15.79,84
imsa,Sebring,2023,66.98,64.38,19.56,45
imsa,Sebring,2024,66.79,66.06,19.02,64
imsa,Sebring,2025,66.76,66.77,10.91,90
imsa,Sebring,2026,66.57,67.59,17.03,66
imsa,VIR,2022,6.32,4.77,1.99,11
imsa,VIR,2023,6.32,5.35,1.32,11
