series,year,event,car_class,car,rank,decision_lap,real_pit_lap,model_pit_lap,delta_laps,fuel_deadline_lap,p_best_at_real,median_cost_s,real_stop_neutralised
elms,2021,Portimao,LMP2,24,2,27,30,31,1,31,0.02,1.2,False
elms,2021,Portimao,LMP2,65,4,28,31,30,-1,31,0.4,0.18,False
elms,2021,Spa,LMP2,28,3,14,17,23,6,23,0.0217,3.89,False
elms,2021,Spa,LMP2,32,4,11,14,22,8,23,0.0258,10.96,False
elms,2021,Spa,LMP2,30,5,14,17,23,6,23,0.0217,3.89,False
elms,2022,Barcelona,LMP2,65,1,23,26,25,-1,26,0.98,1.12,False
elms,2022,Barcelona,LMP2,47,5,22,25,26,1,26,0.0167,1.81,False
elms,2022,Imola,LMP2,22,1,20,23,25,2,25,0.0233,0.49,True
elms,2022,Imola,LMP2,65,2,21,24,25,1,25,0.0217,0.43,True
elms,2022,Imola,LMP2,34,4,21,24,25,1,25,0.0217,0.43,True
elms,2022,Imola,LMP2,30,5,20,23,25,2,25,0.0233,0.49,True
elms,2022,Monza,LMP2,19,1,20,23,23,0,23,0.9442,0.0,False
elms,2022,Monza,LMP2,22,3,20,23,23,0,23,0.9442,0.0,False
elms,2022,Monza,LMP2,24,4,19,22,23,1,23,0.0167,0.91,False
elms,2022,Paul Ricard,LMP2,19,1,18,21,20,-1,24,0.0158,0.69,False
elms,2022,Paul Ricard,LMP2,22,2,19,22,21,-1,24,0.02,0.25,False
elms,2022,Paul Ricard,LMP2,28,3,20,23,21,-2,24,0.0267,2.06,False
elms,2022,Paul Ricard,LMP2,34,4,20,23,21,-2,24,0.0267,2.06,False
elms,2022,Paul Ricard,LMP2,37,5,21,24,23,-1,24,0.0225,0.19,True
elms,2022,Portimao,LMP2,65,1,15,18,16,-2,27,0.0258,12.25,True
elms,2022,Portimao,LMP2,9,2,16,19,17,-2,27,0.0242,11.32,True
elms,2022,Portimao,LMP2,37,3,15,18,16,-2,27,0.0258,12.25,True
elms,2022,Portimao,LMP2,19,4,16,19,17,-2,27,0.0208,14.23,True
elms,2022,Portimao,LMP2,43,5,16,19,17,-2,27,0.0208,14.23,True
elms,2022,Spa,LMP2,19,1,10,13,11,-2,19,0.02,5.29,True
elms,2022,Spa,LMP2,22,2,10,13,11,-2,19,0.02,5.29,True
elms,2022,Spa,LMP2,34,3,10,13,11,-2,19,0.02,5.29,False
elms,2022,Spa,LMP2,30,4,9,12,10,-2,19,0.0308,4.01,True
elms,2022,Spa,LMP2,65,5,10,13,11,-2,19,0.02,5.29,False
elms,2023,Aragon,LMP2,22,1,18,21,23,2,23,0.0133,9.88,False
elms,2023,Aragon,LMP2,23,2,19,22,23,1,23,0.0175,2.06,False
elms,2023,Aragon,LMP2,25,3,19,22,23,1,23,0.0175,2.06,False
elms,2023,Aragon,LMP2,28,4,19,22,23,1,23,0.0175,2.06,False
elms,2023,Aragon,LMP2,30,5,18,21,23,2,23,0.0133,9.88,False
elms,2023,Aragon,LMP2 Pro/Am,24,1,16,19,23,4,23,0.0158,7.47,False
elms,2023,Aragon,LMP2 Pro/Am,21,2,16,19,23,4,23,0.0158,7.47,False
elms,2023,Aragon,LMP2 Pro/Am,83,3,17,20,23,3,23,0.0167,6.55,False
elms,2023,Aragon,LMP2 Pro/Am,19,4,17,20,23,3,23,0.0133,6.66,False
elms,2023,Aragon,LMP2 Pro/Am,20,5,16,19,23,4,23,0.015,7.15,False
elms,2023,Barcelona,LMP2,30,3,21,24,27,3,27,0.02,16.04,False
elms,2023,Barcelona,LMP2,65,4,20,23,27,4,27,0.0108,24.05,False
elms,2023,Barcelona,LMP2,22,5,4,7,27,20,27,0.0,119.93,False
elms,2023,Barcelona,LMP2 Pro/Am,83,1,24,27,28,1,28,0.0217,3.74,False
elms,2023,Barcelona,LMP2 Pro/Am,34,3,24,27,28,1,28,0.0217,3.74,False
elms,2023,Barcelona,LMP2 Pro/Am,99,4,9,12,28,16,28,0.0,56.69,False
elms,2023,Barcelona,LMP2 Pro/Am,3,5,22,25,28,3,28,0.0167,11.42,False
elms,2023,Paul Ricard,LMP2,22,1,19,22,25,3,25,0.0075,8.13,False
elms,2023,Paul Ricard,LMP2,25,2,19,22,25,3,25,0.0075,8.13,False
elms,2023,Paul Ricard,LMP2,28,3,20,23,25,2,25,0.0125,7.78,False
elms,2023,Paul Ricard,LMP2,30,4,20,23,25,2,25,0.0125,7.78,False
elms,2023,Paul Ricard,LMP2,43,5,11,14,25,11,25,0.0017,47.79,False
elms,2023,Paul Ricard,LMP2 Pro/Am,21,1,15,18,25,7,25,0.0275,0.82,False
elms,2023,Paul Ricard,LMP2 Pro/Am,34,2,18,21,23,2,25,0.0258,0.6,False
elms,2023,Paul Ricard,LMP2 Pro/Am,24,3,10,13,13,0,25,0.0225,0.0,False
elms,2023,Paul Ricard,LMP2 Pro/Am,83,4,20,23,21,-2,25,0.02,0.24,False
elms,2023,Paul Ricard,LMP2 Pro/Am,37,5,20,23,21,-2,25,0.02,0.24,False
elms,2023,Portimao,LMP2,22,1,26,29,27,-2,30,0.0,18.47,False
elms,2023,Portimao,LMP2,25,2,27,30,28,-2,30,0.0,17.66,True
elms,2023,Portimao,LMP2,30,3,25,28,26,-2,30,0.0,19.12,False
elms,2023,Portimao,LMP2,65,4,27,30,28,-2,30,0.0,17.66,True
elms,2023,Portimao,LMP2,43,5,21,24,22,-2,30,0.0,22.56,False
elms,2023,Portimao,LMP2 Pro/Am,3,1,23,26,24,-2,29,0.0,27.93,False
elms,2023,Portimao,LMP2 Pro/Am,24,2,23,26,24,-2,29,0.0,27.93,False
elms,2023,Portimao,LMP2 Pro/Am,83,3,21,24,22,-2,29,0.0,29.39,False
elms,2023,Portimao,LMP2 Pro/Am,81,4,21,24,22,-2,29,0.0,29.39,False
elms,2023,Portimao,LMP2 Pro/Am,34,5,21,24,22,-2,29,0.0,29.39,False
elms,2024,Barcelona,LMP2,25,1,15,18,29,11,29,0.0,76.16,True
elms,2024,Barcelona,LMP2,22,2,14,17,29,12,29,0.0,84.0,False
elms,2024,Barcelona,LMP2,37,3,14,17,29,12,29,0.0,84.0,False
elms,2024,Barcelona,LMP2,65,4,14,17,29,12,29,0.0,83.06,False
elms,2024,Barcelona,LMP2,28,5,15,18,29,11,29,0.0,76.16,True
elms,2024,Barcelona,LMP2 Pro/Am,83,1,14,17,28,11,28,0.0,81.28,False
elms,2024,Barcelona,LMP2 Pro/Am,29,2,14,17,28,11,28,0.0,81.28,False
elms,2024,Barcelona,LMP2 Pro/Am,20,3,13,16,28,12,28,0.0,90.25,False
elms,2024,Barcelona,LMP2 Pro/Am,24,4,13,16,28,12,28,0.0,89.09,False
elms,2024,Barcelona,LMP2 Pro/Am,77,5,14,17,28,11,28,0.0,80.12,False
elms,2024,Imola,LMP2,10,1,21,24,26,2,28,0.02,1.77,False
elms,2024,Imola,LMP2,14,2,22,25,28,3,28,0.0258,1.59,False
elms,2024,Imola,LMP2,23,3,21,24,26,2,28,0.02,1.77,False
elms,2024,Imola,LMP2,65,4,21,24,26,2,28,0.02,1.77,False
elms,2024,Imola,LMP2,34,5,22,25,28,3,28,0.0258,1.59,False
elms,2024,Imola,LMP2 Pro/Am,20,1,22,25,27,2,27,0.02,0.64,False
elms,2024,Imola,LMP2 Pro/Am,29,2,21,24,22,-2,27,0.0217,1.03,False
elms,2024,Imola,LMP2 Pro/Am,83,3,22,25,27,2,27,0.02,0.64,False
elms,2024,Imola,LMP2 Pro/Am,19,4,22,25,27,2,27,0.0167,0.18,False
elms,2024,Imola,LMP2 Pro/Am,3,5,22,25,27,2,27,0.0167,0.29,False
elms,2024,Mugello,LMP2,22,2,23,26,26,0,26,0.9892,0.0,False
elms,2024,Mugello,LMP2,23,4,22,25,26,1,26,0.0092,4.44,False
elms,2024,Mugello,LMP2,27,5,22,25,26,1,26,0.0092,4.44,False
elms,2024,Mugello,LMP2 Pro/Am,20,2,22,25,26,1,26,0.0167,3.59,False
elms,2024,Mugello,LMP2 Pro/Am,21,3,21,24,26,2,26,0.0092,4.81,False
elms,2024,Mugello,LMP2 Pro/Am,24,4,18,21,26,5,26,0.0025,9.38,False
elms,2024,Mugello,LMP2 Pro/Am,29,5,23,26,26,0,26,0.9233,0.0,False
elms,2024,Paul Ricard,LMP2,14,1,19,22,26,4,26,0.0225,5.78,False
elms,2024,Paul Ricard,LMP2,22,2,19,22,26,4,26,0.0225,5.78,False
elms,2024,Paul Ricard,LMP2,25,3,19,22,26,4,26,0.0225,5.78,False
elms,2024,Paul Ricard,LMP2,47,4,19,22,26,4,26,0.0225,5.78,False
elms,2024,Paul Ricard,LMP2,30,5,20,23,26,3,26,0.0183,3.2,False
elms,2024,Paul Ricard,LMP2 Pro/Am,24,1,17,20,27,7,27,0.0117,17.77,False
elms,2024,Paul Ricard,LMP2 Pro/Am,21,2,17,20,27,7,27,0.0117,17.77,False
elms,2024,Paul Ricard,LMP2 Pro/Am,77,3,19,22,27,5,27,0.0183,9.29,False
elms,2024,Paul Ricard,LMP2 Pro/Am,29,4,20,23,27,4,27,0.0183,11.6,False
elms,2024,Paul Ricard,LMP2 Pro/Am,83,5,20,23,27,4,27,0.0183,11.6,False
elms,2024,Portimao,LMP2,14,1,25,28,26,-2,29,0.015,0.46,False
elms,2024,Portimao,LMP2,22,2,25,28,26,-2,29,0.015,0.46,False
elms,2024,Portimao,LMP2,25,3,12,15,27,12,29,0.02,2.36,False
elms,2024,Portimao,LMP2,27,5,25,28,26,-2,29,0.015,0.46,False
elms,2024,Portimao,LMP2 Pro/Am,20,1,27,30,28,-2,30,0.2933,2.39,False
elms,2024,Portimao,LMP2 Pro/Am,77,3,24,27,27,0,30,0.0233,0.0,False
elms,2024,Portimao,LMP2 Pro/Am,29,4,25,28,27,-1,30,0.0183,0.14,False
elms,2024,Spa,LMP2,10,1,15,18,17,-1,20,0.0208,1.53,False
elms,2024,Spa,LMP2,14,2,16,19,20,1,20,0.0267,1.38,False
elms,2024,Spa,LMP2,22,3,16,19,20,1,20,0.0267,1.38,False
elms,2024,Spa,LMP2,23,4,15,18,17,-1,20,0.0208,1.53,False
elms,2024,Spa,LMP2,34,5,15,18,17,-1,20,0.0208,1.53,False
elms,2024,Spa,LMP2 Pro/Am,19,1,16,19,20,1,20,0.025,0.99,False
elms,2024,Spa,LMP2 Pro/Am,20,2,16,19,20,1,20,0.025,0.99,False
elms,2024,Spa,LMP2 Pro/Am,21,3,14,17,15,-2,20,0.0233,0.26,False
elms,2024,Spa,LMP2 Pro/Am,24,4,14,17,15,-2,20,0.0233,0.26,False
elms,2024,Spa,LMP2 Pro/Am,3,5,16,19,20,1,20,0.025,0.99,False
elms,2025,Barcelona,LMP2,10,1,23,26,31,5,31,0.0192,7.93,False
elms,2025,Barcelona,LMP2,18,2,24,27,30,3,31,0.0217,4.56,False
elms,2025,Barcelona,LMP2,22,3,23,26,31,5,31,0.0192,7.93,False
elms,2025,Barcelona,LMP2,24,4,24,27,30,3,31,0.0217,4.56,False
elms,2025,Barcelona,LMP2,25,5,24,27,30,3,31,0.0217,4.56,False
elms,2025,Barcelona,LMP2 Pro/Am,20,1,23,26,31,5,31,0.0192,6.43,False
elms,2025,Barcelona,LMP2 Pro/Am,21,2,21,24,31,7,31,0.0175,11.42,False
elms,2025,Barcelona,LMP2 Pro/Am,29,3,24,27,31,4,31,0.0217,4.11,False
elms,2025,Barcelona,LMP2 Pro/Am,77,4,23,26,31,5,31,0.0192,6.43,False
elms,2025,Barcelona,LMP2 Pro/Am,83,5,24,27,31,4,31,0.0217,4.11,False
elms,2025,Imola,LMP2,25,1,21,24,22,-2,28,0.0208,3.69,True
elms,2025,Imola,LMP2,9,2,21,24,22,-2,28,0.0208,3.69,True
elms,2025,Imola,LMP2,43,3,21,24,22,-2,28,0.0208,3.69,True
elms,2025,Imola,LMP2,48,4,21,24,22,-2,28,0.0208,3.69,True
elms,2025,Imola,LMP2,24,5,21,24,22,-2,28,0.02,4.89,True
elms,2025,Imola,LMP2 Pro/Am,20,1,21,24,28,4,28,0.0042,9.01,True
elms,2025,Imola,LMP2 Pro/Am,29,2,21,24,28,4,28,0.0042,9.01,True
