series,season,circuit,driver,decision_lap,real_pit_lap,model_pit_lap,race_laps,compound,tyre_age,slope_s_per_lap,pit_loss_s,b1_lap,b2_lap,b3_lap,b3_undefined,car_class,model_error,b1_error,b2_error,b3_error
f1,2022,austin,VER,8,13,31,56,MEDIUM,8,0.04355,21.64,28,32.0,,no refuelling in this series: the rule does not apply,,18,15,19.0,
f1,2022,austin,HAM,7,12,28,56,MEDIUM,7,0.04355,21.64,28,32.0,,no refuelling in this series: the rule does not apply,,16,16,20.0,
f1,2022,austin,LEC,13,18,30,56,MEDIUM,13,0.04355,21.64,28,32.0,,no refuelling in this series: the rule does not apply,,12,10,14.0,
f1,2022,austin,PER,9,14,30,56,MEDIUM,9,0.04355,21.64,28,32.0,,no refuelling in this series: the rule does not apply,,16,14,18.0,
f1,2022,austin,RUS,8,13,31,56,MEDIUM,8,0.04355,21.64,28,32.0,,no refuelling in this series: the rule does not apply,,18,15,19.0,
f1,2022,bahrain,LEC,10,15,28,57,SOFT,10,0.11402,24.79,28,21.0,,no refuelling in this series: the rule does not apply,,13,13,6.0,
f1,2022,bahrain,SAI,9,14,28,57,SOFT,12,0.11402,24.79,28,18.0,,no refuelling in this series: the rule does not apply,,14,14,4.0,
f1,2022,bahrain,HAM,6,11,25,57,SOFT,8,0.11402,24.79,28,19.0,,no refuelling in this series: the rule does not apply,,14,17,8.0,
f1,2022,bahrain,RUS,10,15,23,57,SOFT,13,0.11402,24.79,28,18.0,,no refuelling in this series: the rule does not apply,,8,13,3.0,
f1,2022,bahrain,MAG,9,14,29,57,SOFT,9,0.11402,24.79,28,21.0,,no refuelling in this series: the rule does not apply,,15,14,7.0,
f1,2022,baku,VER,13,18,30,51,MEDIUM,13,0.01307,22.48,26,,,no refuelling in this series: the rule does not apply,,12,8,,
f1,2022,baku,PER,11,16,31,51,MEDIUM,11,0.01307,22.48,26,,,no refuelling in this series: the rule does not apply,,15,10,,
f1,2022,baku,RUS,4,9,31,51,MEDIUM,4,0.01307,22.48,26,,,no refuelling in this series: the rule does not apply,,22,17,,
f1,2022,baku,HAM,4,9,31,51,MEDIUM,4,0.01307,22.48,26,,,no refuelling in this series: the rule does not apply,,22,17,,
f1,2022,baku,GAS,4,9,31,51,MEDIUM,4,0.01307,22.48,26,,,no refuelling in this series: the rule does not apply,,22,17,,
f1,2022,barcelona,VER,8,13,32,66,SOFT,11,0.08181,23.33,33,21.0,,no refuelling in this series: the rule does not apply,,19,20,8.0,
f1,2022,barcelona,PER,12,17,31,66,SOFT,15,0.08181,23.33,33,21.0,,no refuelling in this series: the rule does not apply,,14,16,4.0,
f1,2022,barcelona,RUS,8,13,32,66,SOFT,11,0.08181,23.33,33,21.0,,no refuelling in this series: the rule does not apply,,19,20,8.0,
f1,2022,barcelona,SAI,5,10,31,66,SOFT,8,0.08181,23.33,33,21.0,,no refuelling in this series: the rule does not apply,,21,23,11.0,
f1,2022,hungaroring,VER,11,16,26,70,SOFT,12,0.09075,21.61,35,21.0,,no refuelling in this series: the rule does not apply,,10,19,5.0,
f1,2022,hungaroring,HAM,14,19,35,70,MEDIUM,14,0.05925,21.61,35,27.0,,no refuelling in this series: the rule does not apply,,16,16,8.0,
f1,2022,hungaroring,RUS,11,16,25,70,SOFT,14,0.09075,21.61,35,19.0,,no refuelling in this series: the rule does not apply,,9,19,3.0,
f1,2022,hungaroring,SAI,12,17,35,70,MEDIUM,12,0.05925,21.61,35,27.0,,no refuelling in this series: the rule does not apply,,18,18,10.0,
f1,2022,hungaroring,PER,13,18,27,70,SOFT,13,0.09075,21.61,35,22.0,,no refuelling in this series: the rule does not apply,,9,17,4.0,
f1,2022,interlagos,RUS,19,24,40,71,SOFT,19,0.04453,22.34,36,32.0,,no refuelling in this series: the rule does not apply,,16,12,8.0,
f1,2022,interlagos,HAM,24,29,42,71,SOFT,24,0.04453,22.34,36,32.0,,no refuelling in this series: the rule does not apply,,13,7,3.0,
f1,2022,interlagos,SAI,12,17,29,71,MEDIUM,12,0.05869,22.34,36,28.0,,no refuelling in this series: the rule does not apply,,12,19,11.0,
f1,2022,interlagos,ALO,9,14,35,71,MEDIUM,9,0.05869,22.34,36,28.0,,no refuelling in this series: the rule does not apply,,21,22,14.0,
f1,2022,jeddah,VER,11,16,28,50,MEDIUM,11,0.01247,21.74,25,,,no refuelling in this series: the rule does not apply,,12,9,,
f1,2022,jeddah,LEC,11,16,28,50,MEDIUM,11,0.01247,21.74,25,,,no refuelling in this series: the rule does not apply,,12,9,,
f1,2022,jeddah,SAI,11,16,28,50,MEDIUM,11,0.01247,21.74,25,,,no refuelling in this series: the rule does not apply,,12,9,,
f1,2022,jeddah,PER,10,15,22,50,MEDIUM,10,0.01247,21.74,25,,,no refuelling in this series: the rule does not apply,,7,10,,
f1,2022,jeddah,RUS,11,16,28,50,MEDIUM,11,0.01247,21.74,25,,,no refuelling in this series: the rule does not apply,,12,9,,
f1,2022,melbourne,LEC,17,22,18,58,MEDIUM,17,0.02377,20.91,29,42.0,,no refuelling in this series: the rule does not apply,,4,7,20.0,
f1,2022,melbourne,PER,15,20,16,58,MEDIUM,15,0.02377,20.91,29,42.0,,no refuelling in this series: the rule does not apply,,4,9,22.0,
f1,2022,melbourne,RUS,18,23,19,58,MEDIUM,18,0.02377,20.91,29,42.0,,no refuelling in this series: the rule does not apply,,4,6,19.0,
f1,2022,melbourne,HAM,17,22,18,58,MEDIUM,17,0.02377,20.91,29,42.0,,no refuelling in this series: the rule does not apply,,4,7,20.0,
f1,2022,melbourne,NOR,15,20,16,58,MEDIUM,15,0.02377,20.91,29,42.0,,no refuelling in this series: the rule does not apply,,4,9,22.0,
f1,2022,mexico_city,VER,20,25,30,71,SOFT,23,0.00751,23.35,36,,,no refuelling in this series: the rule does not apply,,5,11,,
f1,2022,mexico_city,HAM,24,29,34,71,MEDIUM,24,0.04553,23.35,36,32.0,,no refuelling in this series: the rule does not apply,,5,7,3.0,
f1,2022,mexico_city,PER,18,23,28,71,SOFT,21,0.00751,23.35,36,,,no refuelling in this series: the rule does not apply,,5,13,,
f1,2022,mexico_city,RUS,29,34,35,71,MEDIUM,29,0.04553,23.35,36,32.0,,no refuelling in this series: the rule does not apply,,1,2,2.0,
f1,2022,mexico_city,SAI,24,29,32,71,SOFT,27,0.00751,23.35,36,,,no refuelling in this series: the rule does not apply,,3,7,,
f1,2022,miami,VER,21,26,28,57,MEDIUM,21,0.02077,20.77,28,45.0,,no refuelling in this series: the rule does not apply,,2,2,19.0,
f1,2022,miami,LEC,19,24,29,57,MEDIUM,19,0.02077,20.77,28,45.0,,no refuelling in this series: the rule does not apply,,5,4,21.0,
f1,2022,miami,SAI,22,27,27,57,MEDIUM,22,0.02077,20.77,28,45.0,,no refuelling in this series: the rule does not apply,,0,1,18.0,
f1,2022,miami,PER,22,27,27,57,MEDIUM,22,0.02077,20.77,28,45.0,,no refuelling in this series: the rule does not apply,,0,1,18.0,
f1,2022,miami,RUS,35,40,36,57,HARD,35,0.01937,20.77,28,46.0,,no refuelling in this series: the rule does not apply,,4,12,6.0,
f1,2022,montreal,VER,4,9,67,70,MEDIUM,4,-0.00102,20.28,35,,,no refuelling in this series: the rule does not apply,,58,26,,
f1,2022,montreal,SAI,15,20,67,70,MEDIUM,15,-0.00102,20.28,35,,,no refuelling in this series: the rule does not apply,,47,15,,
f1,2022,montreal,HAM,4,9,67,70,MEDIUM,4,-0.00102,20.28,35,,,no refuelling in this series: the rule does not apply,,58,26,,
f1,2022,montreal,RUS,14,19,67,70,MEDIUM,14,-0.00102,20.28,35,,,no refuelling in this series: the rule does not apply,,48,16,,
f1,2022,montreal,LEC,36,41,37,70,HARD,36,0.01875,20.28,35,47.0,,no refuelling in this series: the rule does not apply,,4,6,6.0,
f1,2022,monza,VER,20,25,42,53,SOFT,20,0.00647,25.71,26,,,no refuelling in this series: the rule does not apply,,17,1,,
f1,2022,monza,LEC,7,12,41,53,SOFT,7,0.00647,25.71,26,,,no refuelling in this series: the rule does not apply,,29,14,,
f1,2022,monza,RUS,18,23,40,53,SOFT,18,0.00647,25.71,26,,,no refuelling in this series: the rule does not apply,,17,3,,
f1,2022,monza,SAI,25,30,26,53,MEDIUM,25,0.03055,25.71,26,41.0,,no refuelling in this series: the rule does not apply,,4,4,11.0,
f1,2022,monza,HAM,28,33,29,53,MEDIUM,28,0.03055,25.71,26,41.0,,no refuelling in this series: the rule does not apply,,4,7,8.0,
f1,2022,red_bull_ring,LEC,21,26,37,71,MEDIUM,21,0.05841,21.52,36,27.0,,no refuelling in this series: the rule does not apply,,11,10,1.0,
f1,2022,red_bull_ring,VER,8,13,39,71,MEDIUM,8,0.05841,21.52,36,27.0,,no refuelling in this series: the rule does not apply,,26,23,14.0,
f1,2022,red_bull_ring,HAM,23,28,35,71,MEDIUM,23,0.05841,21.52,36,27.0,,no refuelling in this series: the rule does not apply,,7,8,1.0,
f1,2022,red_bull_ring,RUS,6,11,39,71,MEDIUM,6,0.05841,21.52,36,27.0,,no refuelling in this series: the rule does not apply,,28,25,16.0,
f1,2022,red_bull_ring,OCO,11,16,35,71,MEDIUM,11,0.05841,21.52,36,27.0,,no refuelling in this series: the rule does not apply,,19,20,11.0,
f1,2022,ricard,VER,11,16,12,53,MEDIUM,11,0.04975,29.16,26,34.0,,no refuelling in this series: the rule does not apply,,4,10,18.0,
f1,2022,ricard,HAM,13,18,14,53,MEDIUM,13,0.04975,29.16,26,34.0,,no refuelling in this series: the rule does not apply,,4,8,16.0,
f1,2022,ricard,RUS,13,18,14,53,MEDIUM,13,0.04975,29.16,26,34.0,,no refuelling in this series: the rule does not apply,,4,8,16.0,
f1,2022,ricard,PER,13,18,14,53,MEDIUM,13,0.04975,29.16,26,34.0,,no refuelling in this series: the rule does not apply,,4,8,16.0,
f1,2022,ricard,SAI,13,18,14,53,HARD,13,0.06723,29.16,26,29.0,,no refuelling in this series: the rule does not apply,,4,8,11.0,
f1,2022,spa,VER,10,15,19,44,SOFT,10,0.10369,19.39,22,19.0,,no refuelling in this series: the rule does not apply,,4,7,4.0,
f1,2022,spa,PER,9,14,22,44,MEDIUM,9,0.17659,19.39,22,15.0,,no refuelling in this series: the rule does not apply,,8,8,1.0,
f1,2022,spa,SAI,6,11,14,44,SOFT,8,0.10369,19.39,22,17.0,,no refuelling in this series: the rule does not apply,,3,11,6.0,
f1,2022,spa,RUS,8,13,22,44,MEDIUM,8,0.17659,19.39,22,15.0,,no refuelling in this series: the rule does not apply,,9,9,2.0,
f1,2022,yas_marina,VER,15,20,25,58,MEDIUM,15,0.07703,23.34,29,25.0,,no refuelling in this series: the rule does not apply,,5,9,5.0,
f1,2022,yas_marina,LEC,16,21,25,58,MEDIUM,16,0.07703,23.34,29,25.0,,no refuelling in this series: the rule does not apply,,4,8,4.0,
f1,2022,yas_marina,PER,10,15,26,58,MEDIUM,10,0.07703,23.34,29,25.0,,no refuelling in this series: the rule does not apply,,11,14,10.0,
f1,2022,yas_marina,SAI,12,17,24,58,MEDIUM,12,0.07703,23.34,29,25.0,,no refuelling in this series: the rule does not apply,,7,12,8.0,
f1,2022,yas_marina,RUS,10,15,26,58,MEDIUM,10,0.07703,23.34,29,25.0,,no refuelling in this series: the rule does not apply,,11,14,10.0,
f1,2022,zandvoort,VER,13,18,41,72,SOFT,13,0.02898,24.0,36,41.0,,no refuelling in this series: the rule does not apply,,23,18,23.0,
f1,2022,zandvoort,RUS,26,31,29,72,MEDIUM,26,0.04485,24.0,36,33.0,,no refuelling in this series: the rule does not apply,,2,5,2.0,
f1,2022,zandvoort,LEC,12,17,42,72,SOFT,15,0.02898,24.0,36,38.0,,no refuelling in this series: the rule does not apply,,25,19,21.0,
