compound_races,compound_race_concentration,circuit,compound,degree,cv_rmse_s,fuel_slope_s_per_lap,fuel_slope_se,fuel_slope_classical_se,fuel_slope_ci_low,fuel_slope_ci_high,n_laps,n_stints,n_clusters,deg_p1,deg_p1_se,deg_p1_classical_se,deg_p1_ci_low,deg_p1_ci_high,deg_p2,deg_p2_se,deg_p2_classical_se,deg_p2_ci_low,deg_p2_ci_high
4,0.391304347826087,austin,HARD,1,0.5664062106458507,-0.0633597775811765,0.001553318571271338,0.0008175343355571398,-0.06645414685285782,-0.060265408309495186,3355,184,76,0.05165381319443263,0.004371389772932787,0.0018288081787478188,0.04294555821178986,0.0603620681770754,,,,,
4,0.3368421052631579,austin,MEDIUM,1,0.5664062106458507,-0.0633597775811765,0.001553318571271338,0.0008175343355571398,-0.06645414685285782,-0.060265408309495186,3355,184,76,0.0435545974013401,0.0032336079736421646,0.0017681375088800097,0.03711291999184872,0.04999627481083148,,,,,
2,0.95,austin,SOFT,1,0.5664062106458507,-0.0633597775811765,0.001553318571271338,0.0008175343355571398,-0.06645414685285782,-0.060265408309495186,3355,184,76,0.06031142793656752,0.005997521076195734,0.0029824703151229174,0.04836375328200415,0.07225910259113089,,,,,
4,0.4111111111111111,bahrain,HARD,2,0.45229867953318464,-0.07437052503171504,0.0017356822885759638,0.0006988064967658589,-0.07782531420790378,-0.0709157358555263,3608,259,80,0.1325996755526404,0.011204393683674202,0.006110526653293599,0.11029788778946997,0.15490146331581084,-0.00028206842091016426,0.00042254664033000846,0.00024039635316149764,-0.0011231264699870641,0.0005589896281667356
3,0.5306122448979592,bahrain,MEDIUM,2,0.45229867953318464,-0.07437052503171504,0.0017356822885759638,0.0006988064967658589,-0.07782531420790378,-0.0709157358555263,3608,259,80,0.14101409562776723,0.012416410765366108,0.007432152808572909,0.11629984820954063,0.16572834304599382,-0.0006103529330898638,0.00046613331297801604,0.00033865375789418286,-0.001538168083902222,0.00031746221772249446
4,0.38333333333333336,bahrain,SOFT,2,0.45229867953318464,-0.07437052503171504,0.0017356822885759638,0.0006988064967658589,-0.07782531420790378,-0.0709157358555263,3608,259,80,0.11402480912482815,0.01121976905251989,0.006939935371769747,0.09169241745550645,0.13635720079414987,0.0011882883381746367,0.0005569780048571788,0.0003527967683585678,7.965135131310776e-05,0.0022969253250361655
4,0.29411764705882354,baku,HARD,1,0.7047354080807212,-0.0749321793752884,0.0029969290226509737,0.0013700844811837453,-0.08089860673546978,-0.06896575201510702,3174,156,79,0.022723861442521365,0.0038246642979734924,0.0018790163589465102,0.015109539735712114,0.030338183149330615,,,,,
4,0.2857142857142857,baku,MEDIUM,1,0.7047354080807212,-0.0749321793752884,0.0029969290226509737,0.0013700844811837453,-0.08089860673546978,-0.06896575201510702,3174,156,79,0.013065664463917326,0.005446241006944295,0.003231668278345092,0.0022230315192002456,0.023908297408634406,,,,,
1,1.0,baku,SOFT,1,0.7047354080807212,-0.0749321793752884,0.0029969290226509737,0.0013700844811837453,-0.08089860673546978,-0.06896575201510702,3174,156,79,0.019679143651019526,0.010412034368770931,0.02516946032989514,-0.0010496244524146638,0.04040791175445371,,,,,
4,0.5945945945945946,barcelona,HARD,1,0.615945529572048,-0.054353093390590246,0.001238244694014095,0.0006394974353185148,-0.05681824921013984,-0.051887937571040654,4394,261,79,0.07287242400266547,0.010810226394178571,0.002164875412471165,0.05135091647262429,0.09439393153270664,,,,,
