circuit,year,era,net_slope_s,tyre_slope_s,fuel_evo_slope_s,n_laps,rmse_s
spa,2022,ground-effect,0.1035,0.1873,-0.0909,614,0.766
spa,2023,ground-effect,0.0846,0.1777,-0.1142,673,0.84
catalunya,2022,ground-effect,0.0694,0.1176,-0.0537,1022,0.469
shanghai,2024,ground-effect,0.0516,0.086,-0.0764,732,1.202
suzuka,2023,ground-effect,0.0477,0.1176,-0.0761,660,0.574
silverstone,2024,ground-effect,0.0469,-0.1338,0.0039,800,1.341
bahrain,2023,ground-effect,0.046,0.1256,-0.0811,872,0.426
bahrain,2024,ground-effect,0.0382,0.1118,-0.0776,941,0.317
red_bull_ring,2024,ground-effect,0.0362,0.0579,-0.0242,1172,0.53
hungaroring,2024,ground-effect,0.0227,0.0691,-0.0494,1133,0.485
red_bull_ring,2023,ground-effect,0.021,0.0589,-0.0393,1064,0.295
catalunya,2024,ground-effect,0.0195,0.0786,-0.0603,1094,0.402
monza,2023,ground-effect,0.0185,0.0546,-0.036,799,0.303
interlagos,2022,ground-effect,0.0184,0.0474,-0.0424,874,0.388
interlagos,2023,ground-effect,0.0182,0.0605,-0.0425,879,0.525
yas_marina,2022,ground-effect,0.0181,0.0601,-0.0509,933,0.455
suzuka,2024,ground-effect,0.0169,0.1153,-0.0955,705,0.481
red_bull_ring,2022,ground-effect,0.0168,0.0506,-0.0363,1089,0.389
hungaroring,2023,ground-effect,0.0138,0.0601,-0.0506,1042,0.36
imola,2024,ground-effect,0.0108,0.0453,-0.0336,1037,0.449
marina_bay,2024,ground-effect,0.0094,0.0585,-0.0477,983,0.454
rodriguez,2023,ground-effect,0.0087,0.0318,-0.0359,1009,0.608
zandvoort,2022,ground-effect,0.0068,0.0381,-0.0373,1069,1.036
monza,2022,ground-effect,0.0061,-0.0854,0.0531,765,2.07
americas,2023,ground-effect,0.0057,0.0682,-0.0637,841,0.479
rodriguez,2022,ground-effect,0.0037,0.0303,-0.0298,1155,0.382
yas_marina,2023,ground-effect,0.0033,0.0635,-0.0628,962,0.316
yas_marina,2024,ground-effect,0.0001,0.0512,-0.0584,856,0.51
villeneuve,2022,ground-effect,-0.0033,0.0318,-0.0377,960,0.494
vegas,2024,ground-effect,-0.0059,0.0781,-0.0907,776,0.748
ricard,2022,ground-effect,-0.0068,0.0574,-0.0599,748,0.334
rodriguez,2024,ground-effect,-0.0068,0.0371,-0.0456,928,0.36
albert_park,2024,ground-effect,-0.0104,0.0424,-0.0529,811,0.4
villeneuve,2023,ground-effect,-0.0117,0.0295,-0.0443,1016,0.456
americas,2022,ground-effect,-0.0134,0.0362,-0.0608,726,0.399
marina_bay,2023,ground-effect,-0.0173,0.0508,-0.055,870,0.639
imola,2022,ground-effect,-0.0191,0.1979,-0.3444,873,0.818
bahrain,2022,ground-effect,-0.0202,0.0225,-0.0299,888,3.336
baku,2022,ground-effect,-0.0219,0.0478,-0.076,722,1.133
spa,2024,ground-effect,-0.0234,0.0731,-0.1054,695,0.77
miami,2023,ground-effect,-0.0236,0.0221,-0.0515,953,0.36
miami,2024,ground-effect,-0.0266,0.0214,-0.0523,893,0.644
silverstone,2023,ground-effect,-0.0277,0.0194,-0.0526,723,0.645
americas,2024,ground-effect,-0.0333,0.0391,-0.0693,831,0.369
silverstone,2022,ground-effect,-0.0382,0.0179,-0.0552,593,0.476
baku,2024,ground-effect,-0.0388,0.036,-0.0754,786,0.471
jeddah,2023,ground-effect,-0.0435,0.0147,-0.0661,733,0.604
baku,2023,ground-effect,-0.0443,,,751,0.638
losail,2023,ground-effect,-0.0481,0.0386,-0.0953,776,0.483
albert_park,2023,ground-effect,-0.0524,,,703,0.421
albert_park,2022,ground-effect,-0.0532,0.0046,-0.0642,747,0.618
monaco,2024,ground-effect,-0.0563,,,1014,0.889
jeddah,2024,ground-effect,-0.0589,0.0257,-0.0822,716,0.5
jeddah,2022,ground-effect,-0.0669,0.0127,-0.0862,594,0.506
losail,2024,ground-effect,-0.0671,-0.0465,-0.0513,621,0.531
vegas,2023,ground-effect,-0.0866,0.0348,-0.1467,698,1.89
silverstone,2015,hybrid-v6,0.1704,-0.2377,0.289,557,2.31
bahrain,2016,hybrid-v6,0.1178,0.1924,-0.0772,820,0.589
marina_bay,2014,hybrid-v6,0.1137,0.1287,-0.035,847,1.179
bahrain,2015,hybrid-v6,0.0933,0.1427,-0.0629,848,0.671
sepang,2015,hybrid-v6,0.0761,0.1494,-0.0852,733,0.836
spa,2014,hybrid-v6,0.0533,0.1348,-0.0969,704,0.707
sepang,2014,hybrid-v6,0.0528,0.0859,-0.064,803,0.676
hockenheimring,2016,hybrid-v6,0.0506,0.0905,-0.0415,1182,0.484
shanghai,2014,hybrid-v6,0.0448,0.1097,-0.069,949,0.481
hockenheimring,2014,hybrid-v6,0.0444,0.0828,-0.0375,1055,0.496
shanghai,2015,hybrid-v6,0.0434,0.0876,-0.0464,821,0.929
catalunya,2016,hybrid-v6,0.0376,0.096,-0.0562,972,0.492
yas_marina,2015,hybrid-v6,0.0341,0.0729,-0.0583,857,0.869
suzuka,2015,hybrid-v6,0.0332,0.0909,-0.0635,859,0.531
