Driver,DriverNumber,Team,LapNumber,Stint,Compound,TyreLife,FreshTyre,Position,TrackStatus,lap_time_s,time_s,lap_start_time_s,air_temp_c,track_temp_c,humidity_pct,rainfall,is_in_lap,is_out_lap,is_missing_laptime,is_inaccurate,is_wet_compound,is_non_green,is_unknown_status,is_deleted,is_pace_lap,stint_crosses_red_flag
VER,1,Red Bull Racing,1.0,1.0,SOFT,4.0,False,2.0,1,100.236,3855.34,3754.872,23.9,29.0,26.0,False,False,False,False,True,False,False,False,False,False,False
VER,1,Red Bull Racing,2.0,1.0,SOFT,5.0,False,2.0,1,97.88,3953.22,3855.34,23.8,29.0,26.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,3.0,1.0,SOFT,6.0,False,2.0,1,98.357,4051.577,3953.22,23.8,28.8,29.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,4.0,1.0,SOFT,7.0,False,2.0,1,98.566,4150.143,4051.577,23.8,28.7,31.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,5.0,1.0,SOFT,8.0,False,2.0,1,98.877,4249.02,4150.143,23.8,28.5,33.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,6.0,1.0,SOFT,9.0,False,2.0,1,98.94,4347.96,4249.02,23.6,28.3,34.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,7.0,1.0,SOFT,10.0,False,2.0,1,99.062,4447.022,4347.96,23.6,28.3,35.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,8.0,1.0,SOFT,11.0,False,2.0,1,99.092,4546.114,4447.022,23.5,28.1,35.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,9.0,1.0,SOFT,12.0,False,2.0,1,99.251,4645.365,4546.114,23.4,28.0,36.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,10.0,1.0,SOFT,13.0,False,2.0,1,99.392,4744.757,4645.365,23.3,28.0,36.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,11.0,1.0,SOFT,14.0,False,2.0,1,99.479,4844.236,4744.757,23.3,28.0,36.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,12.0,1.0,SOFT,15.0,False,2.0,1,99.41,4943.646,4844.236,23.2,27.9,37.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,13.0,1.0,SOFT,16.0,False,2.0,1,99.534,5043.18,4943.646,23.1,27.8,37.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,14.0,1.0,SOFT,17.0,False,2.0,1,102.05,5145.23,5043.18,23.1,27.8,38.0,False,True,False,False,True,False,False,False,False,False,False
VER,1,Red Bull Racing,15.0,2.0,SOFT,1.0,True,4.0,12,117.409,5262.639,5145.23,23.1,27.7,38.0,False,False,True,False,True,False,True,False,False,False,False
VER,1,Red Bull Racing,16.0,2.0,SOFT,2.0,True,2.0,1,96.905,5359.544,5262.639,23.0,27.7,38.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,17.0,2.0,SOFT,3.0,True,2.0,1,97.587,5457.131,5359.544,23.0,27.8,38.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,18.0,2.0,SOFT,4.0,True,2.0,1,97.717,5554.848,5457.131,22.9,27.9,38.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,19.0,2.0,SOFT,5.0,True,2.0,1,97.728,5652.576,5554.848,22.8,27.7,37.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,20.0,2.0,SOFT,6.0,True,2.0,1,98.257,5750.833,5652.576,22.7,27.7,38.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,21.0,2.0,SOFT,7.0,True,2.0,1,98.294,5849.127,5750.833,22.8,27.6,37.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,22.0,2.0,SOFT,8.0,True,2.0,1,98.243,5947.37,5849.127,22.8,27.5,37.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,23.0,2.0,SOFT,9.0,True,2.0,1,98.091,6045.461,5947.37,22.8,27.5,36.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,24.0,2.0,SOFT,10.0,True,2.0,1,98.187,6143.648,6045.461,22.8,27.5,36.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,25.0,2.0,SOFT,11.0,True,2.0,1,98.372,6242.02,6143.648,22.8,27.4,36.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,26.0,2.0,SOFT,12.0,True,2.0,1,98.476,6340.496,6242.02,22.8,27.5,35.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,27.0,2.0,SOFT,13.0,True,2.0,1,98.823,6439.319,6340.496,22.8,27.4,36.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,28.0,2.0,SOFT,14.0,True,2.0,1,98.782,6538.101,6439.319,22.8,27.4,36.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,29.0,2.0,SOFT,15.0,True,2.0,1,99.384,6637.485,6538.101,22.9,27.3,36.0,False,False,False,False,False,False,False,False,False,True,False
