Driver,DriverNumber,Team,LapNumber,Stint,Compound,TyreLife,FreshTyre,Position,TrackStatus,lap_time_s,time_s,lap_start_time_s,air_temp_c,track_temp_c,humidity_pct,rainfall,is_in_lap,is_out_lap,is_missing_laptime,is_inaccurate,is_wet_compound,is_non_green,is_unknown_status,is_deleted,is_pace_lap,stint_crosses_red_flag
VER,1,Red Bull Racing,1.0,1.0,MEDIUM,1.0,True,3.0,1,112.92,3889.654,3776.466,25.9,47.6,57.0,False,False,False,False,True,False,False,False,False,False,False
VER,1,Red Bull Racing,2.0,1.0,MEDIUM,2.0,True,3.0,1,108.954,3998.608,3889.654,25.9,48.5,56.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,3.0,1.0,MEDIUM,3.0,True,3.0,1,108.69,4107.298,3998.608,25.8,48.5,56.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,4.0,1.0,MEDIUM,4.0,True,3.0,1,108.248,4215.546,4107.298,25.3,48.5,56.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,5.0,1.0,MEDIUM,5.0,True,3.0,1,108.312,4323.858,4215.546,25.6,47.9,59.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,6.0,1.0,MEDIUM,6.0,True,3.0,1,108.566,4432.424,4323.858,25.6,47.7,59.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,7.0,1.0,MEDIUM,7.0,True,3.0,1,108.775,4541.199,4432.424,25.4,46.9,60.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,8.0,1.0,MEDIUM,8.0,True,3.0,1,108.907,4650.106,4541.199,25.5,47.0,62.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,9.0,1.0,MEDIUM,9.0,True,2.0,126,118.315,4768.421,4650.106,25.8,46.8,61.0,False,False,False,False,True,False,True,False,False,False,False
VER,1,Red Bull Racing,10.0,1.0,MEDIUM,10.0,True,2.0,671,136.036,4904.457,4768.421,25.6,47.2,60.0,False,False,False,False,True,False,True,False,False,False,False
VER,1,Red Bull Racing,11.0,1.0,MEDIUM,11.0,True,2.0,1,108.416,5012.873,4904.457,25.5,46.7,61.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,12.0,1.0,MEDIUM,12.0,True,2.0,1,108.502,5121.375,5012.873,25.4,47.9,62.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,13.0,1.0,MEDIUM,13.0,True,2.0,12,108.507,5229.882,5121.375,25.3,47.2,60.0,False,False,False,False,False,False,True,False,False,False,False
VER,1,Red Bull Racing,14.0,1.0,MEDIUM,14.0,True,2.0,1,108.692,5338.574,5229.882,25.6,47.2,61.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,15.0,1.0,MEDIUM,15.0,True,1.0,1,109.087,5447.661,5338.574,25.6,46.5,61.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,16.0,1.0,MEDIUM,16.0,True,1.0,1,109.274,5556.935,5447.661,25.6,46.8,61.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,17.0,1.0,MEDIUM,17.0,True,1.0,1,109.131,5666.066,5556.935,25.8,46.5,61.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,18.0,1.0,MEDIUM,18.0,True,1.0,1,113.486,5779.552,5666.066,25.8,46.5,60.0,False,True,False,False,True,False,False,False,False,False,False
VER,1,Red Bull Racing,19.0,2.0,HARD,1.0,True,2.0,1,124.139,5903.691,5779.552,25.6,46.6,60.0,False,False,True,False,True,False,False,False,False,False,False
VER,1,Red Bull Racing,20.0,2.0,HARD,2.0,True,1.0,1,106.898,6010.589,5903.691,25.4,46.1,62.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,21.0,2.0,HARD,3.0,True,1.0,1,107.366,6117.955,6010.589,25.6,46.2,61.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,22.0,2.0,HARD,4.0,True,1.0,1,108.153,6226.108,6117.955,25.5,45.6,60.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,23.0,2.0,HARD,5.0,True,1.0,1,107.927,6334.035,6226.108,25.4,45.3,61.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,24.0,2.0,HARD,6.0,True,1.0,1,107.886,6441.921,6334.035,25.5,45.7,62.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,25.0,2.0,HARD,7.0,True,1.0,1,107.631,6549.552,6441.921,25.5,45.8,63.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,26.0,2.0,HARD,8.0,True,1.0,1,107.713,6657.265,6549.552,25.3,45.8,63.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,27.0,2.0,HARD,9.0,True,1.0,1,107.801,6765.066,6657.265,25.2,45.7,63.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,28.0,2.0,HARD,10.0,True,1.0,1,107.643,6872.709,6765.066,25.1,45.9,62.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,29.0,2.0,HARD,11.0,True,1.0,1,107.493,6980.202,6872.709,25.2,45.3,64.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,30.0,2.0,HARD,12.0,True,1.0,1,107.459,7087.661,6980.202,25.3,45.3,65.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,31.0,2.0,HARD,13.0,True,1.0,1,107.7,7195.361,7087.661,25.1,45.5,63.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,32.0,2.0,HARD,14.0,True,1.0,1,107.522,7302.883,7195.361,25.0,45.7,63.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,33.0,2.0,HARD,15.0,True,1.0,126,119.285,7422.168,7302.883,25.0,45.7,64.0,False,True,False,False,True,False,True,False,False,False,False
VER,1,Red Bull Racing,34.0,3.0,HARD,1.0,True,1.0,6,,7586.05,7422.168,24.9,45.1,64.0,False,False,True,True,True,False,True,False,False,False,False
VER,1,Red Bull Racing,35.0,3.0,HARD,2.0,True,1.0,671,127.685,7713.735,7586.05,24.9,45.4,64.0,False,False,False,False,True,False,True,False,False,False,False
VER,1,Red Bull Racing,36.0,3.0,HARD,3.0,True,1.0,1,106.523,7820.258,7713.735,24.9,46.1,64.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,37.0,3.0,HARD,4.0,True,1.0,1,106.367,7926.625,7820.258,25.0,45.7,65.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,38.0,3.0,HARD,5.0,True,1.0,1,106.929,8033.554,7926.625,25.0,45.7,65.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,39.0,3.0,HARD,6.0,True,1.0,1,106.918,8140.472,8033.554,25.1,45.7,65.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,40.0,3.0,HARD,7.0,True,1.0,1,106.959,8247.431,8140.472,25.1,45.7,63.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,41.0,3.0,HARD,8.0,True,1.0,1,107.257,8354.688,8247.431,25.0,45.1,64.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,42.0,3.0,HARD,9.0,True,1.0,1,106.549,8461.237,8354.688,25.0,45.0,65.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,43.0,3.0,HARD,10.0,True,1.0,1,106.48,8567.717,8461.237,25.1,45.3,64.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,44.0,3.0,HARD,11.0,True,1.0,1,106.494,8674.211,8567.717,25.0,45.2,64.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,45.0,3.0,HARD,12.0,True,1.0,1,106.846,8781.057,8674.211,24.9,44.8,64.0,False,False,False,False,False,False,False,False,False,True,False
