Driver,DriverNumber,Team,LapNumber,Stint,Compound,TyreLife,FreshTyre,Position,TrackStatus,lap_time_s,time_s,lap_start_time_s,air_temp_c,track_temp_c,humidity_pct,rainfall,is_in_lap,is_out_lap,is_missing_laptime,is_inaccurate,is_wet_compound,is_non_green,is_unknown_status,is_deleted,is_pace_lap,stint_crosses_red_flag
VER,1,Red Bull Racing,1.0,1.0,WET,1.0,True,4.0,12,156.498,7596.96,7440.206,21.1,28.8,85.0,False,False,True,False,True,True,True,False,False,False,False
VER,1,Red Bull Racing,2.0,1.0,WET,2.0,True,4.0,14,142.614,7739.574,7596.96,21.3,29.1,82.0,False,False,False,False,True,True,True,False,False,False,False
VER,1,Red Bull Racing,3.0,1.0,WET,3.0,True,4.0,1,105.603,7845.177,7739.574,21.3,28.6,83.0,False,False,False,False,False,True,False,False,False,False,False
VER,1,Red Bull Racing,4.0,1.0,WET,4.0,True,4.0,1,101.426,7946.603,7845.177,21.4,28.6,83.0,False,False,False,False,False,True,False,False,False,False,False
VER,1,Red Bull Racing,5.0,1.0,WET,5.0,True,4.0,1,100.918,8047.521,7946.603,21.6,28.5,83.0,False,False,False,False,False,True,False,False,False,False,False
VER,1,Red Bull Racing,6.0,1.0,WET,6.0,True,4.0,12,98.151,8145.672,8047.521,21.5,28.4,82.0,False,False,False,False,False,True,True,False,False,False,False
VER,1,Red Bull Racing,7.0,1.0,WET,7.0,True,4.0,1,98.028,8243.7,8145.672,21.7,28.5,82.0,True,False,False,False,False,True,False,False,False,False,False
VER,1,Red Bull Racing,8.0,1.0,WET,8.0,True,4.0,1,97.715,8341.415,8243.7,21.8,28.2,81.0,True,False,False,False,False,True,False,False,False,False,False
VER,1,Red Bull Racing,9.0,1.0,WET,9.0,True,4.0,1,96.951,8438.366,8341.415,21.6,28.1,81.0,True,False,False,False,False,True,False,False,False,False,False
VER,1,Red Bull Racing,10.0,1.0,WET,10.0,True,4.0,12,96.834,8535.2,8438.366,21.9,28.3,80.0,True,False,False,False,False,True,True,False,False,False,False
VER,1,Red Bull Racing,11.0,1.0,WET,11.0,True,4.0,12,95.808,8631.008,8535.2,21.9,27.9,80.0,True,False,False,False,False,True,True,False,False,False,False
VER,1,Red Bull Racing,12.0,1.0,WET,12.0,True,4.0,1,95.414,8726.422,8631.008,21.9,27.3,78.0,True,False,False,False,False,True,False,False,False,False,False
VER,1,Red Bull Racing,13.0,1.0,WET,13.0,True,4.0,1,94.257,8820.679,8726.422,22.0,27.1,79.0,True,False,False,False,False,True,False,False,False,False,False
VER,1,Red Bull Racing,14.0,1.0,WET,14.0,True,4.0,1,94.031,8914.71,8820.679,21.9,27.0,78.0,True,False,False,False,False,True,False,False,False,False,False
VER,1,Red Bull Racing,15.0,1.0,WET,15.0,True,4.0,1,92.702,9007.412,8914.71,21.9,27.2,78.0,True,False,False,False,False,True,False,False,False,False,False
VER,1,Red Bull Racing,16.0,1.0,WET,16.0,True,3.0,1,92.113,9099.525,9007.412,21.9,27.0,78.0,True,False,False,False,False,True,False,False,False,False,False
VER,1,Red Bull Racing,17.0,1.0,WET,17.0,True,3.0,1,91.38,9190.905,9099.525,22.1,26.9,76.0,False,False,False,False,False,True,False,False,False,False,False
VER,1,Red Bull Racing,18.0,1.0,WET,18.0,True,4.0,12,109.118,9300.023,9190.905,22.0,26.8,77.0,True,True,False,False,True,True,True,False,False,False,False
VER,1,Red Bull Racing,19.0,2.0,INTERMEDIATE,,False,4.0,1,88.667,9388.69,9300.023,22.1,27.1,76.0,True,False,True,False,True,True,False,False,False,False,False
VER,1,Red Bull Racing,20.0,2.0,INTERMEDIATE,,False,4.0,1,84.805,9473.495,9388.69,22.0,27.1,77.0,True,False,False,False,False,True,False,False,False,False,False
VER,1,Red Bull Racing,21.0,2.0,INTERMEDIATE,,False,2.0,12,87.259,9560.754,9473.495,22.1,27.6,76.0,True,False,False,False,False,True,True,False,False,False,False
VER,1,Red Bull Racing,22.0,2.0,INTERMEDIATE,,False,3.0,1,104.688,9665.442,9560.754,22.1,27.3,76.0,True,True,False,False,True,True,False,False,False,False,False
VER,1,Red Bull Racing,23.0,3.0,HARD,1.0,True,3.0,1,91.284,9756.726,9665.442,22.2,27.3,75.0,True,False,True,False,True,False,False,False,False,False,True
VER,1,Red Bull Racing,24.0,3.0,HARD,2.0,True,3.0,1,84.584,9841.31,9756.726,22.1,27.2,76.0,True,False,False,False,False,False,False,False,False,True,True
VER,1,Red Bull Racing,25.0,3.0,HARD,3.0,True,3.0,1,82.965,9924.275,9841.31,22.2,27.8,75.0,True,False,False,False,False,False,False,False,False,True,True
VER,1,Red Bull Racing,26.0,3.0,HARD,4.0,True,3.0,126,82.674,10006.949,9924.275,22.3,27.9,76.0,True,False,False,False,True,False,True,False,False,False,True
VER,1,Red Bull Racing,27.0,3.0,HARD,5.0,True,3.0,64,120.175,10127.124,10006.949,22.2,27.9,75.0,True,False,False,False,True,False,True,False,False,False,True
VER,1,Red Bull Racing,28.0,3.0,HARD,6.0,True,3.0,4,126.222,10253.346,10127.124,22.4,28.3,75.0,True,False,False,False,True,False,True,False,False,False,True
VER,1,Red Bull Racing,29.0,3.0,HARD,7.0,True,3.0,4,118.806,10372.152,10253.346,22.4,28.7,73.0,True,False,False,False,True,False,True,False,False,False,True
VER,1,Red Bull Racing,30.0,3.0,HARD,8.0,True,3.0,451,,11659.146,10372.152,21.9,28.1,73.0,False,True,False,True,True,False,True,False,False,False,True
VER,1,Red Bull Racing,31.0,4.0,MEDIUM,1.0,True,3.0,1,,11813.648,11640.322,21.8,28.0,73.0,False,False,True,True,True,False,False,False,False,False,False
VER,1,Red Bull Racing,32.0,4.0,MEDIUM,2.0,True,3.0,1,122.493,11936.141,11813.648,21.9,28.0,74.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,33.0,4.0,MEDIUM,3.0,True,3.0,1,83.603,12019.744,11936.141,21.9,28.5,73.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,34.0,4.0,MEDIUM,4.0,True,3.0,1,81.169,12100.913,12019.744,22.0,28.6,73.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,35.0,4.0,MEDIUM,5.0,True,3.0,1,79.85,12180.763,12100.913,22.0,28.8,73.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,36.0,4.0,MEDIUM,6.0,True,3.0,1,79.018,12259.781,12180.763,22.2,28.9,72.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,37.0,4.0,MEDIUM,7.0,True,3.0,1,78.481,12338.262,12259.781,22.3,28.9,71.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,38.0,4.0,MEDIUM,8.0,True,3.0,1,77.542,12415.804,12338.262,22.3,29.1,72.0,True,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,39.0,4.0,MEDIUM,9.0,True,3.0,1,77.044,12492.848,12415.804,22.4,28.8,70.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,40.0,4.0,MEDIUM,10.0,True,3.0,1,76.543,12569.391,12492.848,22.3,28.8,70.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,41.0,4.0,MEDIUM,11.0,True,3.0,1,76.273,12645.664,12569.391,22.3,28.7,71.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,42.0,4.0,MEDIUM,12.0,True,3.0,1,76.962,12722.626,12645.664,22.4,28.9,71.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,43.0,4.0,MEDIUM,13.0,True,3.0,1,77.426,12800.052,12722.626,22.5,29.4,71.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,44.0,4.0,MEDIUM,14.0,True,3.0,1,77.092,12877.144,12800.052,22.6,29.4,70.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,45.0,4.0,MEDIUM,15.0,True,3.0,1,76.761,12953.905,12877.144,22.4,29.5,69.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,46.0,4.0,MEDIUM,16.0,True,3.0,1,76.758,13030.663,12953.905,22.3,28.7,70.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,47.0,4.0,MEDIUM,17.0,True,3.0,1,76.052,13106.715,13030.663,22.4,29.0,71.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,48.0,4.0,MEDIUM,18.0,True,3.0,1,76.195,13182.91,13106.715,22.5,29.0,70.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,49.0,4.0,MEDIUM,19.0,True,3.0,1,76.906,13259.816,13182.91,22.5,29.6,69.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,50.0,4.0,MEDIUM,20.0,True,3.0,1,76.832,13336.648,13259.816,22.5,29.8,68.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,51.0,4.0,MEDIUM,21.0,True,3.0,1,77.503,13414.151,13336.648,22.6,29.5,68.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,52.0,4.0,MEDIUM,22.0,True,3.0,1,77.241,13491.392,13414.151,22.6,29.5,68.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,53.0,4.0,MEDIUM,23.0,True,3.0,1,77.668,13569.06,13491.392,22.5,29.2,67.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,54.0,4.0,MEDIUM,24.0,True,3.0,1,77.692,13646.752,13569.06,22.4,29.2,64.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,55.0,4.0,MEDIUM,25.0,True,3.0,1,78.227,13724.979,13646.752,22.4,29.2,66.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,56.0,4.0,MEDIUM,26.0,True,3.0,12,78.731,13803.71,13724.979,22.5,29.1,67.0,False,False,False,False,False,False,True,False,False,False,False
VER,1,Red Bull Racing,57.0,4.0,MEDIUM,27.0,True,3.0,21,78.916,13882.626,13803.71,22.4,29.1,66.0,False,False,False,False,False,False,True,False,False,False,False
