Driver,DriverNumber,Team,LapNumber,Stint,Compound,TyreLife,FreshTyre,Position,TrackStatus,lap_time_s,time_s,lap_start_time_s,air_temp_c,track_temp_c,humidity_pct,rainfall,is_in_lap,is_out_lap,is_missing_laptime,is_inaccurate,is_wet_compound,is_non_green,is_unknown_status,is_deleted,is_pace_lap,stint_crosses_red_flag
VER,1,Red Bull Racing,1.0,1.0,MEDIUM,1.0,True,2.0,12,104.415,2664.903,2560.279,30.4,52.3,43.0,False,False,False,False,True,False,True,False,False,False,False
VER,1,Red Bull Racing,2.0,1.0,MEDIUM,2.0,True,2.0,1,98.33,2763.233,2664.903,30.4,52.8,45.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,3.0,1.0,MEDIUM,3.0,True,2.0,1,98.117,2861.35,2763.233,30.3,52.2,47.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,4.0,1.0,MEDIUM,4.0,True,2.0,1,98.39,2959.74,2861.35,30.3,52.2,47.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,5.0,1.0,MEDIUM,5.0,True,2.0,1,98.72,3058.46,2959.74,30.3,52.8,47.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,6.0,1.0,MEDIUM,6.0,True,2.0,1,98.634,3157.094,3058.46,30.4,54.1,47.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,7.0,1.0,MEDIUM,7.0,True,2.0,1,99.219,3256.313,3157.094,30.3,54.0,45.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,8.0,1.0,MEDIUM,8.0,True,2.0,1,99.159,3355.472,3256.313,30.4,53.4,47.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,9.0,1.0,MEDIUM,9.0,True,2.0,1,99.13,3454.602,3355.472,30.6,54.1,46.0,False,False,False,False,False,False,False,False,True,False,False
VER,1,Red Bull Racing,10.0,1.0,MEDIUM,10.0,True,2.0,1,99.043,3553.645,3454.602,30.6,54.1,47.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,11.0,1.0,MEDIUM,11.0,True,2.0,1,99.285,3652.93,3553.645,30.4,54.6,47.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,12.0,1.0,MEDIUM,12.0,True,2.0,1,99.109,3752.039,3652.93,30.3,54.6,47.0,False,False,False,False,False,False,False,False,False,True,False
