Driver,DriverNumber,Team,LapNumber,Stint,Compound,TyreLife,FreshTyre,Position,TrackStatus,lap_time_s,time_s,lap_start_time_s,air_temp_c,track_temp_c,humidity_pct,rainfall,is_in_lap,is_out_lap,is_missing_laptime,is_inaccurate,is_wet_compound,is_non_green,is_unknown_status,is_deleted,is_pace_lap,stint_crosses_red_flag
VER,1,Red Bull Racing,1.0,1.0,SOFT,1.0,True,1.0,1,79.66,3796.566,3716.649,22.4,32.1,77.0,False,False,False,False,True,False,False,False,False,False,False
VER,1,Red Bull Racing,2.0,1.0,SOFT,2.0,True,1.0,12,76.249,3872.815,3796.566,22.3,31.9,78.0,False,False,False,False,False,False,True,False,False,False,False
VER,1,Red Bull Racing,3.0,1.0,SOFT,3.0,True,1.0,1,76.523,3949.338,3872.815,22.4,32.0,78.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,4.0,1.0,SOFT,4.0,True,1.0,12,76.656,4025.994,3949.338,22.4,32.4,77.0,False,False,False,False,False,False,True,False,False,False,False
VER,1,Red Bull Racing,5.0,1.0,SOFT,5.0,True,1.0,1,76.449,4102.443,4025.994,22.4,32.4,78.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,6.0,1.0,SOFT,6.0,True,1.0,1,76.35,4178.793,4102.443,22.4,32.5,77.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,7.0,1.0,SOFT,7.0,True,1.0,1,76.253,4255.046,4178.793,22.4,33.2,77.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,8.0,1.0,SOFT,8.0,True,1.0,1,76.486,4331.532,4255.046,22.5,33.2,77.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,9.0,1.0,SOFT,9.0,True,1.0,1,76.51,4408.042,4331.532,22.5,33.1,77.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,10.0,1.0,SOFT,10.0,True,1.0,1,76.636,4484.678,4408.042,22.6,33.6,77.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,11.0,1.0,SOFT,11.0,True,1.0,1,76.671,4561.349,4484.678,22.5,33.6,76.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,12.0,1.0,SOFT,12.0,True,1.0,1,76.698,4638.047,4561.349,22.4,33.4,77.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,13.0,1.0,SOFT,13.0,True,1.0,1,76.521,4714.568,4638.047,22.4,33.0,77.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,14.0,1.0,SOFT,14.0,True,1.0,1,76.461,4791.029,4714.568,22.4,33.0,77.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,15.0,1.0,SOFT,15.0,True,1.0,1,76.519,4867.548,4791.029,22.5,33.0,77.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,16.0,1.0,SOFT,16.0,True,1.0,1,76.537,4944.085,4867.548,22.5,33.2,77.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,17.0,1.0,SOFT,17.0,True,1.0,1,76.492,5020.577,4944.085,22.4,33.4,77.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,18.0,1.0,SOFT,18.0,True,1.0,1,79.428,5100.005,5020.577,22.5,33.4,76.0,False,True,False,False,True,False,False,False,False,False,False
VER,1,Red Bull Racing,19.0,2.0,MEDIUM,1.0,True,3.0,1,94.74,5194.745,5100.005,22.6,33.3,76.0,False,False,True,False,True,False,False,False,False,False,False
VER,1,Red Bull Racing,20.0,2.0,MEDIUM,2.0,True,3.0,1,75.904,5270.649,5194.745,22.6,33.5,76.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,21.0,2.0,MEDIUM,3.0,True,3.0,1,76.259,5346.908,5270.649,22.5,32.9,75.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,22.0,2.0,MEDIUM,4.0,True,3.0,1,75.996,5422.904,5346.908,22.6,32.6,76.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,23.0,2.0,MEDIUM,5.0,True,3.0,1,76.164,5499.068,5422.904,22.5,32.8,76.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,24.0,2.0,MEDIUM,6.0,True,3.0,1,76.224,5575.292,5499.068,22.5,32.8,76.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,25.0,2.0,MEDIUM,7.0,True,3.0,1,76.102,5651.394,5575.292,22.5,32.8,76.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,26.0,2.0,MEDIUM,8.0,True,3.0,1,76.083,5727.477,5651.394,22.7,32.8,77.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,27.0,2.0,MEDIUM,9.0,True,3.0,1,75.725,5803.202,5727.477,22.6,32.8,77.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,28.0,2.0,MEDIUM,10.0,True,2.0,1,76.051,5879.253,5803.202,22.6,32.9,77.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,29.0,2.0,MEDIUM,11.0,True,1.0,1,76.127,5955.38,5879.253,22.7,33.2,77.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,30.0,2.0,MEDIUM,12.0,True,1.0,1,76.359,6031.739,5955.38,22.7,33.5,77.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,31.0,2.0,MEDIUM,13.0,True,1.0,1,76.553,6108.292,6031.739,22.7,33.0,77.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,32.0,2.0,MEDIUM,14.0,True,1.0,1,76.327,6184.619,6108.292,22.8,33.3,77.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,33.0,2.0,MEDIUM,15.0,True,1.0,1,76.269,6260.888,6184.619,22.8,33.4,77.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,34.0,2.0,MEDIUM,16.0,True,1.0,1,76.279,6337.167,6260.888,22.7,33.4,77.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,35.0,2.0,MEDIUM,17.0,True,1.0,1,76.334,6413.501,6337.167,22.7,33.0,77.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,36.0,2.0,MEDIUM,18.0,True,1.0,1,76.096,6489.597,6413.501,22.7,33.4,77.0,False,False,False,False,False,False,False,False,False,True,False
