Driver,DriverNumber,Team,LapNumber,Stint,Compound,TyreLife,FreshTyre,Position,TrackStatus,lap_time_s,time_s,lap_start_time_s,air_temp_c,track_temp_c,humidity_pct,rainfall,is_in_lap,is_out_lap,is_missing_laptime,is_inaccurate,is_wet_compound,is_non_green,is_unknown_status,is_deleted,is_pace_lap,stint_crosses_red_flag
VER,1,Red Bull Racing,1.0,1.0,MEDIUM,1.0,True,1.0,126,105.67,948.731,842.793,18.0,18.3,47.0,False,False,False,False,True,False,True,False,False,False,False
VER,1,Red Bull Racing,2.0,1.0,MEDIUM,2.0,True,1.0,671,133.011,1081.742,948.731,18.0,18.3,47.0,False,False,False,False,True,False,True,False,False,False,False
VER,1,Red Bull Racing,3.0,1.0,MEDIUM,3.0,True,1.0,124,109.988,1191.73,1081.742,18.0,18.3,47.0,False,False,False,False,True,False,True,False,False,False,False
VER,1,Red Bull Racing,4.0,1.0,MEDIUM,4.0,True,1.0,4,,1377.526,1191.73,18.1,18.3,47.0,False,False,False,True,True,False,True,False,False,False,False
VER,1,Red Bull Racing,5.0,1.0,MEDIUM,5.0,True,1.0,4,,1545.176,1377.526,18.0,18.2,47.0,False,False,False,True,True,False,True,False,False,False,False
VER,1,Red Bull Racing,6.0,1.0,MEDIUM,6.0,True,1.0,41,,1706.574,1545.176,18.0,18.1,47.0,False,False,False,True,True,False,True,False,False,False,False
VER,1,Red Bull Racing,7.0,1.0,MEDIUM,7.0,True,1.0,1,100.785,1807.359,1706.574,18.0,18.2,47.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,8.0,1.0,MEDIUM,8.0,True,1.0,1,100.142,1907.501,1807.359,18.1,18.1,47.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,9.0,1.0,MEDIUM,9.0,True,1.0,1,99.669,2007.17,1907.501,18.1,18.1,47.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,10.0,1.0,MEDIUM,10.0,True,1.0,1,99.484,2106.654,2007.17,18.1,18.0,48.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,11.0,1.0,MEDIUM,11.0,True,1.0,1,98.763,2205.417,2106.654,18.1,17.8,48.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,12.0,1.0,MEDIUM,12.0,True,1.0,1,98.773,2304.19,2205.417,18.1,17.8,48.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,13.0,1.0,MEDIUM,13.0,True,1.0,1,98.759,2402.949,2304.19,18.1,17.8,49.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,14.0,1.0,MEDIUM,14.0,True,1.0,12,98.942,2501.891,2402.949,18.2,17.9,48.0,False,False,False,False,False,False,True,False,False,False,False
VER,1,Red Bull Racing,15.0,1.0,MEDIUM,15.0,True,1.0,1,99.477,2601.368,2501.891,18.2,17.9,48.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,16.0,1.0,MEDIUM,16.0,True,2.0,1,104.727,2706.095,2601.368,18.2,17.9,48.0,False,True,False,False,True,False,False,False,False,False,False
VER,1,Red Bull Racing,17.0,2.0,HARD,1.0,True,10.0,1,122.018,2828.113,2706.095,18.1,17.9,48.0,False,False,True,False,True,False,False,False,False,False,False
VER,1,Red Bull Racing,18.0,2.0,HARD,2.0,True,9.0,1,98.348,2926.461,2828.113,18.1,17.8,48.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,19.0,2.0,HARD,3.0,True,9.0,1,98.335,3024.796,2926.461,18.1,17.9,48.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,20.0,2.0,HARD,4.0,True,8.0,12,99.611,3124.407,3024.796,18.0,17.9,48.0,False,False,False,False,False,False,True,False,False,False,False
VER,1,Red Bull Racing,21.0,2.0,HARD,5.0,True,7.0,1,97.88,3222.287,3124.407,18.0,17.8,48.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,22.0,2.0,HARD,6.0,True,7.0,1,98.605,3320.892,3222.287,18.0,17.7,48.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,23.0,2.0,HARD,7.0,True,6.0,1,97.988,3418.88,3320.892,18.0,17.8,48.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,24.0,2.0,HARD,8.0,True,5.0,1,98.482,3517.362,3418.88,18.0,17.9,48.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,25.0,2.0,HARD,9.0,True,4.0,1,98.943,3616.305,3517.362,18.1,17.8,48.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,26.0,2.0,HARD,10.0,True,4.0,14,113.326,3729.631,3616.305,18.0,17.8,48.0,False,True,False,False,True,False,True,False,False,False,False
VER,1,Red Bull Racing,27.0,3.0,HARD,1.0,True,5.0,4,,3901.319,3729.631,18.0,17.8,48.0,False,False,True,True,True,False,True,False,False,False,False
VER,1,Red Bull Racing,28.0,3.0,HARD,2.0,True,5.0,41,,4064.913,3901.319,18.0,17.7,48.0,False,False,False,True,True,False,True,False,False,False,False
VER,1,Red Bull Racing,29.0,3.0,HARD,3.0,True,5.0,1,100.938,4165.851,4064.913,17.9,17.7,48.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,30.0,3.0,HARD,4.0,True,5.0,1,98.469,4264.32,4165.851,17.9,17.7,47.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,31.0,3.0,HARD,5.0,True,4.0,1,97.748,4362.068,4264.32,18.0,17.8,47.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,32.0,3.0,HARD,6.0,True,4.0,1,96.603,4458.671,4362.068,18.0,17.8,47.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,33.0,3.0,HARD,7.0,True,3.0,1,96.596,4555.267,4458.671,18.0,17.8,48.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,34.0,3.0,HARD,8.0,True,3.0,1,96.359,4651.626,4555.267,18.1,17.7,47.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,35.0,3.0,HARD,9.0,True,3.0,1,96.239,4747.865,4651.626,18.2,17.7,47.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,36.0,3.0,HARD,10.0,True,2.0,1,96.276,4844.141,4747.865,18.2,17.7,47.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,37.0,3.0,HARD,11.0,True,1.0,1,96.66,4940.801,4844.141,18.2,17.7,47.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,38.0,3.0,HARD,12.0,True,1.0,1,96.1,5036.901,4940.801,18.1,17.9,47.0,False,False,False,False,False,False,False,False,False,True,False
